Date,Open,High,Low,Close,Volume
2016-01-04,25.24,25.88,24.73,25.86,456761
2016-01-05,26.16,26.18,24.99,25.06,467245
2016-01-06,23.84,23.88,22.37,23.04,587803
2016-01-07,21.29,22.24,20.52,20.68,565032
2016-01-08,21.12,21.31,19.6,19.66,647865
2016-01-11,20.0,20.5,19.15,19.96,620192
2016-01-12,20.67,21.02,19.61,20.46,555572
2016-01-13,20.5,20.92,18.46,18.52,434911
2016-01-14,18.76,19.96,17.97,19.66,558150
2016-01-15,17.29,17.72,16.21,17.01,814688
2016-01-19,17.9,18.18,16.61,17.07,616351
2016-01-20,16.4,17.93,15.96,17.4,737955
2016-01-21,17.88,18.84,17.34,18.12,887859
2016-01-22,19.14,19.56,18.82,19.18,823222
2016-01-25,18.97,19.16,18.24,18.36,510495
2016-01-26,18.65,19.33,18.32,18.9,530431
2016-01-27,18.57,19.29,17.94,18.23,612033
2016-01-28,18.68,18.76,17.67,18.07,419199
2016-01-29,18.37,20.55,18.37,20.51,798338
2016-02-01,20.08,21.13,19.9,20.82,535846
2016-02-02,20.14,20.14,18.55,18.76,583498
2016-02-03,19.41,19.5,17.74,18.91,644349
2016-02-04,19.0,20.22,18.86,19.84,916368
2016-02-05,19.66,19.66,17.57,17.83,1129131
2016-02-08,16.94,17.0,15.65,16.45,672447
2016-02-09,15.84,17.07,15.71,16.13,436550
2016-02-10,16.7,17.03,15.76,15.78,906663
2016-02-11,15.0,15.71,14.83,15.42,1207400
2016-02-12,16.2,16.51,15.29,16.44,957327
2016-02-16,17.17,18.46,16.94,18.18,1304490
2016-02-17,18.56,19.6,18.47,19.48,1248665
2016-02-18,19.95,19.96,19.13,19.17,791875
2016-02-19,19.12,19.79,19.05,19.43,516305
2016-02-22,20.13,20.69,20.07,20.35,565318
2016-02-23,19.9,20.22,19.28,19.36,369705
2016-02-24,18.7,20.3,18.35,20.17,977229
2016-02-25,20.46,20.97,19.68,20.95,619579
2016-02-26,21.42,21.54,21.01,21.27,742649
2016-02-29,21.6,22.26,21.16,21.16,1023640
2016-03-01,21.95,22.94,21.6,22.92,828255
2016-03-02,22.96,23.32,22.67,23.31,571042
2016-03-03,23.3,23.5,22.87,23.36,617545
2016-03-04,23.87,24.68,23.33,24.1,1149742
2016-03-07,23.54,24.69,23.36,24.37,879865
2016-03-08,23.78,23.85,22.64,22.71,874306
2016-03-09,23.03,23.45,22.72,23.27,729384
2016-03-10,23.64,24.25,22.62,23.58,700279
2016-03-11,24.27,24.99,24.21,24.98,675432
2016-03-14,24.81,25.02,24.42,24.69,680203
2016-03-15,24.44,24.55,23.94,24.55,726140
2016-03-16,24.36,25.33,24.11,25.23,825875
2016-03-17,25.11,25.93,24.9,25.78,691524
2016-03-18,25.94,26.86,25.7,26.81,626052
2016-03-21,26.5,26.96,26.17,26.94,460845
2016-03-22,26.63,27.13,26.28,26.87,431341
2016-03-23,26.73,26.75,25.75,25.79,484019
2016-03-24,25.21,25.75,24.88,25.73,677672
2016-03-28,26.15,26.15,25.35,25.7,550586
2016-03-29,25.44,26.82,24.99,26.68,565601
2016-03-30,27.18,27.95,27.12,27.48,585912
2016-03-31,27.23,27.41,26.96,27.01,407416
2016-04-01,26.62,27.56,26.13,27.54,560141
2016-04-04,27.54,27.57,26.65,26.78,457278
2016-04-05,26.13,26.9,25.9,26.3,320266
2016-04-06,26.27,27.17,25.6,27.1,522777
2016-04-07,26.68,26.8,25.57,25.83,274157
2016-04-08,26.59,26.95,25.96,26.22,395443
2016-04-11,26.64,27.37,26.18,26.18,318430
2016-04-12,26.28,26.56,25.08,26.1,463153
2016-04-13,26.62,27.92,26.55,27.88,556352
2016-04-14,27.13,27.33,26.36,27.2,492815
2016-04-15,27.26,27.26,26.45,26.47,278265
2016-04-18,26.0,26.73,26.0,26.51,385309
2016-04-19,26.63,26.76,25.21,25.5,510367
2016-04-20,25.35,26.61,25.3,26.25,451057
2016-04-21,26.27,26.27,25.43,25.79,239926
2016-04-22,25.85,26.62,25.32,25.93,323051
2016-04-25,25.64,26.11,25.28,25.46,237589
2016-04-26,26.04,27.19,25.89,26.48,347829
2016-04-27,25.72,27.43,25.63,27.33,469683
2016-04-28,26.76,27.31,24.96,25.13,582829
2016-04-29,24.91,24.91,22.59,23.2,695932
2016-05-02,23.29,23.78,22.82,23.68,296886
2016-05-03,23.05,23.32,22.56,22.89,290691
2016-05-04,22.3,22.85,21.86,22.07,318690
2016-05-05,22.71,22.91,22.03,22.24,370882
2016-05-06,22.03,22.34,21.43,22.33,226587
2016-05-09,22.42,22.85,22.07,22.23,233454
