Date,Open,High,Low,Close,Volume
2013-01-02,80.0,80.75,79.53,80.74,3469000
2013-01-03,80.6,82.44,80.04,81.82,3095117
2013-01-04,82.2,83.72,81.91,83.2,3096696
2013-01-07,81.8,81.99,80.12,80.35,4713430
2013-01-08,80.17,80.25,79.4,79.91,2721324
2013-01-09,80.43,80.51,79.25,79.6,2535067
2013-01-10,80.2,80.72,79.68,80.71,2264697
2013-01-11,80.6,80.81,79.95,80.57,1942247
2013-01-14,80.36,80.89,79.92,80.33,1448522
2013-01-15,79.81,80.44,79.32,80.4,1926191
2013-01-16,80.19,80.97,79.94,80.83,2106117
2013-01-17,80.96,81.54,80.4,81.32,2163802
2013-01-18,81.33,82.0,81.25,81.82,2988320
2013-01-22,81.79,82.6,80.91,82.58,2724290
2013-01-23,82.45,82.95,81.95,82.06,2269690
2013-01-24,82.16,83.77,82.13,83.24,3445010
2013-01-25,83.51,84.48,83.5,84.15,3384879
2013-01-28,84.45,84.45,83.1,83.73,2444782
2013-01-29,83.73,85.58,83.57,85.38,3713626
2013-01-30,85.41,86.35,84.21,84.36,3304785
2013-01-31,84.13,84.42,83.5,83.76,2942512
2013-02-01,84.6,85.5,83.87,85.36,3340921
2013-02-04,84.76,84.8,83.36,83.57,3097287
2013-02-05,83.95,85.62,83.9,85.24,2882605
2013-02-06,84.54,85.16,84.1,84.91,2253411
2013-02-07,85.1,85.1,83.52,83.74,2584719
2013-02-08,84.13,85.18,84.11,84.65,2181859
2013-02-11,84.81,85.47,83.73,83.81,2207403
2013-02-12,84.06,84.43,83.33,84.18,2736042
2013-02-13,84.18,84.43,83.7,84.33,3169036
2013-02-14,83.72,84.0,80.11,80.33,8655745
2013-02-15,80.08,80.16,76.61,76.85,10830729
2013-02-19,76.84,77.36,76.27,77.3,5855222
2013-02-20,77.22,77.26,75.41,75.48,5908997
2013-02-21,75.2,75.64,74.48,75.11,4569254
2013-02-22,75.42,75.85,74.78,75.4,2984091
2013-02-25,76.04,76.04,73.25,73.25,3974365
2013-02-26,73.69,74.19,72.62,73.56,4187541
2013-02-27,73.35,74.8,73.35,74.38,3952579
2013-02-28,74.26,74.8,73.84,74.27,3508393
2013-03-01,73.56,74.12,72.76,73.75,3794127
2013-03-04,73.45,73.85,72.2,72.73,4529377
2013-03-05,73.21,73.44,72.72,72.85,3305402
2013-03-06,73.38,73.77,73.01,73.55,3102543
2013-03-07,74.51,76.48,74.24,75.65,5420042
2013-03-08,76.06,76.17,75.42,75.65,2494797
2013-03-11,75.43,75.73,74.51,75.51,2730273
2013-03-12,75.53,75.87,75.16,75.27,2290010
2013-03-13,75.18,75.6,75.07,75.28,1938732
2013-03-14,75.45,75.99,75.23,75.48,2648331
2013-03-15,75.13,76.24,74.7,75.68,4665624
2013-03-18,74.68,76.34,74.67,75.72,3283512
2013-03-19,75.78,75.91,74.14,74.66,2835770
2013-03-20,75.27,75.53,74.34,75.37,2579626
2013-03-21,74.91,75.33,74.12,74.15,2885996
2013-03-22,74.48,75.25,74.23,74.47,2948294
2013-03-25,74.65,75.15,74.29,74.63,2806704
2013-03-26,75.05,75.21,74.3,74.4,3880051
2013-03-27,74.01,75.98,73.68,75.93,4444582
2013-03-28,75.93,78.08,75.86,77.16,6026028
2013-04-01,77.21,77.24,75.7,76.71,2755770
2013-04-02,76.87,76.87,75.84,76.16,2567054
2013-04-03,76.07,76.09,74.4,74.85,3145292
2013-04-04,74.96,75.65,74.4,75.0,2450017
2013-04-05,74.1,74.79,73.58,74.2,3406831
2013-04-08,74.26,74.76,73.97,74.64,2177537
2013-04-09,74.6,75.87,74.03,75.49,2359585
2013-04-10,75.75,76.12,75.24,75.63,2509320
2013-04-11,75.89,76.78,75.69,76.52,2978022
2013-04-12,75.95,76.02,74.99,75.09,3672666
2013-04-15,74.34,74.52,72.59,72.62,3983457
2013-04-16,73.38,74.0,70.52,72.05,5597971
2013-04-17,71.41,72.0,70.6,71.45,5052741
2013-04-18,70.18,71.05,69.85,70.82,4833828
2013-04-19,71.25,71.3,68.57,68.84,5657505
2013-04-22,69.12,69.45,67.91,69.21,3213165
2013-04-23,69.5,70.77,69.17,70.46,3528690
2013-04-24,70.82,71.49,70.52,71.34,3159424
2013-04-25,71.61,73.26,71.12,72.48,3699054
2013-04-26,72.57,72.69,71.4,72.27,2107150
2013-04-29,72.63,73.66,71.71,73.16,2172587
2013-04-30,73.55,73.94,72.41,73.88,3337882
2013-05-01,73.45,73.88,72.53,73.42,3278657
2013-05-02,73.68,73.97,72.51,73.8,2391744
2013-05-03,74.3,75.91,74.3,75.24,2591584
2013-05-06,75.25,76.34,75.01,76.02,2211271
2013-05-07,76.51,77.58,76.31,76.7,2843916
2013-05-08,76.8,77.83,76.1,77.76,3705380
2013-05-09,78.51,81.85,78.51,81.47,9768750
2013-05-10,81.07,83.41,80.62,83.33,5827473
2013-05-13,81.84,83.5,81.84,83.28,4690126
2013-05-14,83.41,83.8,82.61,83.03,3521836
2013-05-15,82.73,82.81,80.85,81.89,3303198
2013-05-16,81.9,81.94,80.88,80.89,3029918
2013-05-17,81.03,81.69,80.55,81.3,4380726
2013-05-20,81.3,84.2,81.23,84.08,4729254
2013-05-21,83.96,84.86,83.68,84.36,3207165
2013-05-22,84.33,85.52,83.12,83.37,3961628
2013-05-23,81.27,81.88,80.74,81.85,4890239
2013-05-24,81.45,81.86,80.97,81.66,1873021
2013-05-28,82.71,83.2,81.41,82.39,3055194
2013-05-29,81.71,85.14,81.54,84.29,4129449
2013-05-30,83.91,85.15,83.11,84.75,3585167
2013-05-31,84.4,85.29,82.09,82.13,3875447
2013-06-03,82.71,84.58,82.12,84.57,5404926
2013-06-04,84.13,84.92,83.5,84.35,2648583
2013-06-05,84.97,86.31,84.68,84.74,4578000
2013-06-06,85.0,85.86,84.22,85.8,3540400
2013-06-07,85.75,86.1,84.59,84.73,4017750
2013-06-10,84.93,85.82,84.37,85.61,3813164
2013-06-11,84.58,84.92,84.15,84.4,3810057
2013-06-12,85.0,85.36,84.26,84.45,5127477
2013-06-13,84.14,85.24,83.9,85.12,2531202
2013-06-14,85.44,85.61,84.49,84.89,2514166
2013-06-17,85.34,86.92,85.29,86.52,3371866
2013-06-18,86.45,87.57,86.26,87.12,2983191
2013-06-19,87.23,87.57,86.57,86.57,3406717
2013-06-20,85.61,85.85,84.2,84.93,4894440
2013-06-21,85.56,85.64,84.45,85.04,4977221
2013-06-24,83.72,84.27,81.67,82.18,4594826
2013-06-25,82.87,83.12,82.3,82.64,3147772
2013-06-26,83.21,83.59,82.85,83.17,2421542
2013-06-27,83.55,84.22,83.3,84.06,2607679
2013-06-28,83.61,84.59,83.3,83.83,3273918
2013-07-01,84.21,84.32,83.03,83.3,4721253
2013-07-02,83.22,84.33,81.47,82.13,5070557
2013-07-03,81.77,81.93,79.5,80.23,5294820
2013-07-05,81.77,83.01,81.28,82.17,5102685
2013-07-08,82.52,82.88,81.32,81.45,3260789
2013-07-09,81.87,82.19,80.75,81.46,3759013
2013-07-10,81.4,81.43,80.12,80.33,4641316
2013-07-11,80.95,81.94,80.07,81.69,4688261
2013-07-12,81.57,82.58,81.45,82.41,2289975
2013-07-15,82.39,83.2,82.13,82.97,2733393
2013-07-16,82.96,83.22,81.45,82.03,2831368
2013-07-17,82.06,82.52,81.8,82.51,2763987
2013-07-18,82.51,83.68,82.47,83.6,2930406
2013-07-19,85.25,85.41,83.89,84.98,5977373
2013-07-22,84.9,84.97,83.71,83.9,3149151
2013-07-23,83.89,84.15,83.3,83.57,1917227
2013-07-24,83.31,83.56,81.86,82.51,2298406
2013-07-25,82.54,83.31,81.9,82.77,2185266
2013-07-26,82.29,82.41,81.73,82.06,1880831
2013-07-29,81.8,81.92,80.49,81.15,2458672
2013-07-30,81.0,81.05,79.99,80.58,2333536
2013-07-31,80.77,81.95,80.25,80.25,3035648
2013-08-01,81.85,82.33,80.52,81.68,2924786
2013-08-02,81.25,82.29,80.89,82.0,3843057
2013-08-05,81.97,82.48,81.46,82.31,2437991
2013-08-06,82.29,82.49,81.62,82.26,3302568
2013-08-07,82.12,82.54,81.35,81.94,3248570
2013-08-08,82.0,83.51,81.92,83.18,2332081
2013-08-09,83.04,83.51,82.38,83.2,1845186
2013-08-12,82.56,83.37,82.4,82.7,1369137
2013-08-13,82.87,83.0,82.14,82.51,1837130
2013-08-14,82.41,82.56,80.72,80.74,3349890
2013-08-15,80.34,80.42,79.56,80.27,2642289
2013-08-16,80.05,80.18,78.83,78.99,3453435
2013-08-19,78.42,78.45,75.28,75.37,6779569
2013-08-20,75.8,76.99,75.07,76.27,4362234
2013-08-21,76.49,77.87,76.3,77.22,4465349
2013-08-22,77.47,79.34,77.16,78.99,2402259
2013-08-23,79.28,79.92,78.4,79.8,2471119
2013-08-26,79.95,80.8,79.69,79.73,2307100
2013-08-27,78.22,79.23,78.16,78.57,2879771
2013-08-28,78.72,80.31,78.64,79.17,2377777
2013-08-29,78.91,79.05,78.42,78.64,1744872
2013-08-30,84.86,85.99,84.15,85.68,13946939
2013-09-03,86.5,86.69,84.41,84.79,4539509
2013-09-04,84.56,86.0,84.5,85.53,3670047
2013-09-05,85.98,86.73,85.76,86.19,3766304
2013-09-06,86.19,87.17,85.81,86.51,2794218
2013-09-09,86.06,87.03,86.01,86.66,2411844
2013-09-10,87.65,87.76,86.85,87.26,3453394
2013-09-11,86.62,87.23,86.23,87.03,3094841
2013-09-12,87.03,87.63,86.76,87.2,2334236
2013-09-13,87.08,87.42,86.43,86.81,1932800
2013-09-16,87.78,87.86,86.9,87.0,2794798
2013-09-17,87.82,88.74,87.55,88.25,3331710
2013-09-18,88.05,89.17,87.44,88.93,2608013
2013-09-19,89.0,89.11,88.05,88.47,1659421
2013-09-20,88.54,88.6,87.6,87.85,4751943
2013-09-23,87.5,87.82,87.0,87.37,1814283
2013-09-24,87.5,87.88,86.57,87.0,2073743
2013-09-25,87.28,87.55,86.59,86.63,2203498
2013-09-26,86.92,87.0,86.03,86.49,2030340
2013-09-27,86.24,86.9,86.06,86.25,1849866
2013-09-30,85.43,85.59,84.75,85.14,2061314
2013-10-01,84.76,86.84,84.76,86.47,2492900
2013-10-02,85.96,86.46,84.97,86.07,2725281
2013-10-03,86.08,86.46,85.28,85.63,1662152
2013-10-04,85.56,87.29,85.36,87.0,1983042
2013-10-07,86.04,87.16,85.63,86.82,1910481
2013-10-08,87.04,87.45,85.98,86.1,2614725
2013-10-09,86.42,86.48,84.95,85.92,2162375
2013-10-10,86.62,87.68,86.44,87.62,2005818
2013-10-11,86.88,88.31,86.8,87.95,1764844
2013-10-14,87.24,89.33,87.13,88.62,1608918
2013-10-15,88.52,89.59,88.18,88.73,2721665
2013-10-16,89.0,90.74,89.0,90.23,2965820
2013-10-17,90.0,90.64,89.68,90.57,2231676
2013-10-18,90.77,91.65,90.57,91.26,2761441
2013-10-21,90.6,91.13,88.81,89.59,3557758
2013-10-22,89.85,90.6,89.21,89.7,1799963
2013-10-23,89.26,89.59,88.09,88.74,1981249
2013-10-24,88.73,90.24,88.47,89.77,2026030
2013-10-25,90.11,90.53,89.77,90.45,1707289
2013-10-28,90.53,90.72,90.0,90.36,1764244
2013-10-29,90.55,91.21,90.41,90.85,1563934
2013-10-30,90.64,91.18,88.21,88.93,2157668
2013-10-31,89.11,89.97,88.53,88.8,1951777
2013-11-01,88.89,89.7,88.35,89.24,2323162
2013-11-04,89.59,90.4,89.25,90.35,1772834
2013-11-05,90.09,90.09,89.02,89.13,2527311
2013-11-06,89.5,89.89,87.73,88.45,3192925
2013-11-07,89.37,91.1,88.13,88.59,4680237
2013-11-08,88.78,89.9,88.59,89.8,3248050
2013-11-11,90.0,90.17,89.42,89.79,2142888
2013-11-12,89.84,90.11,89.03,89.71,3456102
2013-11-13,89.13,90.89,88.84,90.85,2395533
2013-11-14,90.76,92.44,90.42,92.13,2914448
2013-11-15,92.26,92.84,91.6,92.5,2634056
2013-11-18,91.42,93.2,91.42,91.99,2559899
2013-11-19,91.83,93.22,91.62,93.01,3316924
2013-11-20,93.42,93.99,92.78,93.18,2539600
2013-11-21,93.49,94.84,93.49,93.99,2546193
2013-11-22,93.99,94.77,93.41,94.42,2104484
2013-11-25,93.85,94.07,92.15,93.24,2012484
2013-11-26,93.24,94.55,92.67,93.74,2588551
2013-11-27,93.42,93.73,91.51,92.04,2586438
2013-11-29,91.94,92.28,90.87,91.49,1178289
2013-12-02,91.22,91.85,90.7,91.2,2066809
2013-12-03,91.28,91.34,89.9,90.56,2843886
2013-12-04,90.65,91.27,89.54,89.89,2148162
2013-12-05,89.52,90.82,89.11,89.84,2759163
2013-12-06,90.94,91.05,88.95,89.02,2363538
2013-12-09,89.03,90.03,88.24,88.98,2662745
2013-12-10,88.5,89.51,87.68,87.88,2493115
2013-12-11,87.9,88.2,86.14,86.42,2539248
2013-12-12,85.77,86.48,85.07,86.03,3522534
2013-12-13,85.78,86.5,85.3,86.16,2618445
2013-12-16,86.04,86.84,85.65,86.14,2636268
2013-12-17,85.69,85.97,85.24,85.28,3413199
2013-12-18,85.53,86.0,84.15,85.87,2366532
2013-12-19,85.54,86.8,85.34,86.59,2216961
2013-12-20,86.52,87.15,86.41,86.41,2967663
2013-12-23,87.04,87.63,85.87,85.96,2217833
2013-12-24,86.1,86.48,85.81,86.21,822141
2013-12-26,86.5,86.75,85.9,86.31,1232108
2013-12-27,86.39,87.04,85.88,86.68,1501396
2013-12-30,87.16,87.83,86.11,86.16,1635114
2013-12-31,86.15,86.42,85.5,85.94,2331117
2014-01-02,85.82,85.97,85.16,85.48,2565384
2014-01-03,85.8,86.73,85.38,85.54,2259386
2014-01-06,85.76,86.46,85.12,86.31,2316499
2014-01-07,86.42,87.91,86.13,87.9,2812787
2014-01-08,87.56,87.58,86.36,86.65,2712796
2014-01-09,86.49,87.0,85.43,86.09,2141937
2014-01-10,85.95,86.46,85.64,86.2,2389194
2014-01-13,85.95,86.41,84.06,84.29,2583829
2014-01-14,84.5,85.82,84.5,85.69,3453656
2014-01-15,85.85,86.04,84.26,84.44,2970207
2014-01-16,84.25,85.95,83.75,85.9,3187674
2014-01-17,85.9,85.9,84.28,84.31,2859104
2014-01-21,84.78,85.23,84.31,84.49,2090779
2014-01-22,84.76,85.22,83.36,84.53,2444880
2014-01-23,84.17,84.74,83.23,83.59,2154438
2014-01-24,83.4,83.55,82.13,82.42,3194197
2014-01-27,81.93,82.0,80.62,81.18,3540822
2014-01-28,81.02,82.63,81.0,81.99,2213418
2014-01-29,81.33,81.91,80.8,81.02,2009754
2014-01-30,81.69,81.7,80.67,81.28,1453250
2014-01-31,80.3,80.95,79.84,80.26,2425471
2014-02-03,80.26,80.63,78.69,78.73,3198271
2014-02-04,79.24,79.54,78.46,78.5,3155348
2014-02-05,78.69,78.83,77.31,78.02,3694477
2014-02-06,78.33,80.09,78.29,79.92,2431559
2014-02-07,80.46,81.62,80.26,81.4,3529144
2014-02-10,81.46,81.59,80.28,80.75,2164323
2014-02-11,80.08,81.8,79.18,81.38,2874429
2014-02-12,81.78,81.98,81.1,81.28,2318672
2014-02-13,79.53,81.17,78.53,80.96,5583288
2014-02-14,81.15,83.82,81.05,83.39,4410727
2014-02-18,83.42,83.76,82.53,83.32,3364630
2014-02-19,83.26,85.29,82.8,84.07,3748845
2014-02-20,84.17,84.58,83.74,84.36,2835081
2014-02-21,84.91,85.95,84.53,84.56,3571131
2014-02-24,85.01,85.83,84.25,84.33,3861329
2014-02-25,84.06,84.06,82.24,83.09,3982676
2014-02-26,83.01,83.1,79.78,79.82,6759522
2014-02-27,79.61,79.85,79.08,79.59,4270873
2014-02-28,79.71,80.14,79.05,79.29,5037795
2014-03-03,79.0,80.78,78.98,79.86,4064791
2014-03-04,80.24,80.77,79.51,80.48,3578765
2014-03-05,80.17,80.37,78.83,79.01,3976245
2014-03-06,79.04,79.85,78.76,79.52,3458071
2014-03-07,79.98,80.26,79.6,80.05,2125706
2014-03-10,79.85,80.61,79.55,80.5,2781869
2014-03-11,80.49,81.26,79.36,79.55,2187734
2014-03-12,78.94,79.67,78.7,79.19,2444964
2014-03-13,79.22,79.58,78.58,78.99,2519463
2014-03-14,79.03,79.36,78.4,79.23,2448642
2014-03-17,79.5,79.76,79.0,79.37,1569433
2014-03-18,79.35,80.48,79.23,80.04,2447823
2014-03-19,80.16,80.24,79.0,79.33,1945458
2014-03-20,79.33,80.21,78.84,80.05,1805973
2014-03-21,80.66,81.39,80.29,80.71,4360483
2014-03-24,80.89,81.38,80.63,80.77,2203937
2014-03-25,81.32,81.99,81.21,81.93,3133435
2014-03-26,82.24,82.49,81.39,81.46,2575047
2014-03-27,81.58,82.48,81.17,82.08,2516075
2014-03-28,82.33,83.36,82.04,83.02,3210431
2014-03-31,83.84,83.9,82.4,82.95,2506665
2014-04-01,82.79,83.82,82.7,83.76,3550757
2014-04-02,83.47,84.48,83.27,84.23,2001219
2014-04-03,84.31,85.41,84.2,85.36,2834644
2014-04-04,85.85,86.32,85.16,85.47,3032065
2014-04-07,85.0,85.19,83.83,84.09,3070283
2014-04-08,84.43,85.5,84.0,85.18,2978118
2014-04-09,84.63,84.75,82.59,83.65,4315224
2014-04-10,83.24,84.08,82.72,82.72,3384889
2014-04-11,82.43,83.11,81.9,82.09,2919718
2014-04-14,82.92,83.0,81.87,82.57,3017586
2014-04-15,82.65,83.81,82.24,83.33,3773887
2014-04-16,84.09,84.69,83.16,84.17,3401264
2014-04-17,83.97,85.19,83.74,85.11,4798124
2014-04-21,85.0,85.82,84.75,85.8,3190444
2014-04-22,85.38,86.4,84.78,86.2,3000882
2014-04-23,86.14,88.32,86.1,87.58,5507257
2014-04-24,87.79,88.39,87.38,87.96,2631462
2014-04-25,87.46,87.87,86.43,87.28,3530445
2014-04-28,87.37,87.55,86.09,86.81,2862042
2014-04-29,87.5,88.69,87.47,87.83,2486648
2014-04-30,87.25,87.44,86.45,86.8,3681285
2014-05-01,86.77,87.23,86.36,87.04,3636180
2014-05-02,87.0,87.82,86.77,86.96,1834046
2014-05-05,86.53,87.25,86.33,86.96,2573259
2014-05-06,87.02,87.59,86.42,86.42,3547621
2014-05-07,87.05,88.13,86.57,87.76,3872491
2014-05-08,88.58,89.97,86.83,88.03,3996718
2014-05-09,88.5,89.59,87.84,88.89,4973373
2014-05-12,89.2,90.1,88.9,90.04,3362008
2014-05-13,90.31,90.69,89.81,90.02,2213994
2014-05-14,90.05,90.32,89.79,89.87,2700985
2014-05-15,89.86,89.86,88.18,88.92,3450680
2014-05-16,88.84,89.15,88.0,88.78,4010074
2014-05-19,88.34,89.85,88.21,89.33,3648849
2014-05-20,89.0,90.3,88.95,89.73,2314188
2014-05-21,90.04,90.38,89.44,90.29,1740121
2014-05-22,90.26,90.8,89.86,90.34,2098514
2014-05-23,90.33,90.61,90.06,90.18,3204141
2014-05-27,90.36,90.79,89.77,90.36,1929594
2014-05-28,90.62,91.96,90.62,91.76,4467193
2014-05-29,91.95,93.24,91.72,93.06,4409630
2014-05-30,92.59,93.4,92.22,93.22,3762257
2014-06-02,93.09,93.33,92.43,92.64,1865498
2014-06-03,92.19,92.52,91.53,92.0,3466375
2014-06-04,91.93,92.86,91.93,92.5,2189857
2014-06-05,92.68,93.36,92.31,93.17,1914240
2014-06-06,92.85,94.79,92.75,94.31,4109632
2014-06-09,94.29,95.6,93.89,94.65,4058679
2014-06-10,94.46,95.17,94.16,95.05,2533358
2014-06-11,94.68,95.6,94.51,95.41,2331330
2014-06-12,95.78,97.15,95.75,96.31,3204672
2014-06-13,96.87,97.74,96.51,97.66,2778922
2014-06-16,97.9,98.27,97.52,98.2,2473086
2014-06-17,97.74,98.26,97.32,98.0,3183278
2014-06-18,98.04,99.72,97.9,99.6,3067162
2014-06-19,99.13,100.4,98.98,100.02,3091000
2014-06-20,100.19,100.84,99.73,100.69,4327926
2014-06-23,101.48,102.34,101.0,101.6,3985233
2014-06-24,101.62,101.72,98.51,98.85,3273670
2014-06-25,99.1,99.55,98.19,99.38,3205620
2014-06-26,99.61,99.7,98.72,99.69,1947730
2014-06-27,99.47,99.85,98.96,99.76,2011787
2014-06-30,99.81,101.98,99.69,100.62,3729632
2014-07-01,100.95,101.44,100.14,100.51,1955028
2014-07-02,100.0,100.5,99.4,99.85,2019999
2014-07-03,99.85,100.22,99.4,100.03,1086170
2014-07-07,100.46,100.46,98.83,99.05,1945519
2014-07-08,98.59,99.43,98.29,98.46,2621490
2014-07-09,98.5,99.75,98.47,99.65,1952727
