Date,Open,High,Low,Close,Volume
2013-01-02,29.69,30.08,29.54,30.07,5102649
2013-01-03,30.04,30.23,29.77,29.92,6147083
2013-01-04,29.6,30.22,29.6,30.2,4011545
2013-01-07,30.06,30.23,29.73,30.04,2751120
2013-01-08,30.06,30.14,29.62,29.83,3854428
2013-01-09,29.93,30.24,29.87,30.04,3099863
2013-01-10,30.25,30.58,30.16,30.54,4303749
2013-01-11,30.54,30.54,30.03,30.31,2949945
2013-01-14,30.32,30.37,29.92,30.26,2630225
2013-01-15,30.11,30.37,30.02,30.32,2216828
2013-01-16,30.22,30.46,30.09,30.31,3482045
2013-01-17,30.6,31.09,30.31,30.89,6910622
2013-01-18,31.17,31.22,30.7,31.04,6128442
2013-01-22,31.02,31.12,30.8,30.85,4992227
2013-01-23,30.77,30.98,30.64,30.76,5138696
2013-01-24,30.79,31.08,30.76,30.91,2852679
2013-01-25,31.01,31.19,30.77,30.87,3372332
2013-01-28,30.94,31.01,30.63,31.0,2937477
2013-01-29,30.94,31.03,30.82,30.93,3274167
2013-01-30,30.84,30.88,30.5,30.56,4882702
2013-01-31,30.53,30.55,30.13,30.28,6226246
2013-02-01,30.54,31.36,30.52,31.12,6303761
2013-02-04,30.94,30.95,30.5,30.52,3814977
2013-02-05,31.12,31.12,30.65,31.02,5978096
2013-02-06,30.74,30.89,30.65,30.86,3896710
2013-02-07,30.87,30.87,30.47,30.67,3378806
2013-02-08,30.67,30.75,30.51,30.65,3169594
2013-02-11,30.67,30.8,30.56,30.63,2331836
2013-02-12,30.66,30.69,30.4,30.6,3294416
2013-02-13,30.63,30.66,30.4,30.52,2954293
2013-02-14,30.42,30.56,30.28,30.36,3035758
2013-02-15,30.42,30.48,30.18,30.27,2881148
2013-02-19,30.31,30.45,30.28,30.37,3681926
2013-02-20,30.3,30.41,29.98,30.0,4151942
2013-02-21,29.95,30.19,29.86,30.04,4903036
2013-02-22,30.19,30.6,30.1,30.58,3531672
2013-02-25,30.8,30.9,29.89,29.89,4591752
2013-02-26,30.09,30.25,29.89,30.08,4434406
