Date,Open,High,Low,Close,Volume
2013-01-02,81.2,81.79,80.56,81.79,1669190
2013-01-03,81.84,82.29,81.64,82.22,1396106
2013-01-04,82.23,82.39,81.75,82.32,1995124
2013-01-07,81.9,82.22,80.97,81.32,1248918
2013-01-08,81.0,81.23,79.79,79.99,2193416
2013-01-09,80.2,80.81,80.13,80.64,1281121
2013-01-10,81.03,82.11,80.84,82.04,2347632
2013-01-11,82.08,82.8,81.9,82.76,1177565
2013-01-14,82.64,83.17,82.39,83.03,892782
2013-01-15,82.51,83.53,82.33,83.42,1195549
2013-01-16,83.1,83.25,82.76,82.94,1113580
2013-01-17,83.14,83.47,82.71,83.23,962435
2013-01-18,83.01,83.35,82.66,83.24,1437181
2013-01-22,83.74,84.85,83.66,84.85,1990182
2013-01-23,84.51,84.8,84.17,84.65,1017328
2013-01-24,84.86,85.42,84.7,85.31,1672018
2013-01-25,85.62,85.72,84.81,85.34,1230081
2013-01-28,85.59,85.59,84.58,84.66,1090729
2013-01-29,84.58,85.48,84.58,84.94,1590838
2013-01-30,84.31,84.51,82.94,83.9,2793752
2013-01-31,84.0,85.36,84.0,85.33,3704227
2013-02-01,86.09,86.66,85.28,85.59,2174363
2013-02-04,84.97,85.22,84.49,84.5,1927046
2013-02-05,84.55,85.82,83.33,85.66,2620112
2013-02-06,85.15,85.67,84.97,85.61,2368239
2013-02-07,85.65,85.82,84.76,85.24,1906440
2013-02-08,85.1,86.23,85.01,86.2,1796871
2013-02-11,85.93,86.77,85.56,86.41,1333860
2013-02-12,86.34,86.96,86.1,86.82,875723
2013-02-13,86.89,86.98,86.25,86.66,840327
2013-02-14,86.13,86.7,86.12,86.44,1201303
2013-02-15,86.66,86.75,86.08,86.5,1052922
2013-02-19,86.71,87.09,86.41,86.95,1224803
2013-02-20,87.05,87.41,85.95,85.97,1658488
2013-02-21,85.94,86.47,85.72,86.15,2009135
2013-02-22,86.55,86.87,86.45,86.69,1222700
2013-02-25,86.85,86.9,84.41,84.42,1373400
2013-02-26,84.78,85.35,84.6,85.03,1575879
2013-02-27,84.74,85.8,84.7,85.77,1383900
2013-02-28,85.6,86.16,85.39,85.39,1285467
2013-03-01,85.14,85.71,84.71,85.67,1030070
2013-03-04,85.35,85.86,85.19,85.78,977444
2013-03-05,86.14,87.09,86.14,86.75,814737
2013-03-06,87.12,87.34,86.52,86.66,1161223
2013-03-07,86.68,87.0,86.56,86.62,874322
2013-03-08,87.0,87.24,86.58,86.98,1301929
2013-03-11,86.9,87.35,86.64,87.34,1099609
2013-03-12,87.36,88.52,87.24,88.04,1952970
2013-03-13,87.98,88.65,87.83,88.6,937933
2013-03-14,88.71,89.06,88.59,89.06,951668
2013-03-15,88.78,88.91,88.26,88.26,2134183
2013-03-18,87.51,88.36,87.46,87.71,972575
2013-03-19,87.77,88.15,87.32,87.74,1327700
2013-03-20,88.27,88.68,88.06,88.45,936179
2013-03-21,88.06,88.56,87.61,87.69,843921
2013-03-22,87.99,88.32,87.82,88.32,1091010
2013-03-25,88.64,88.98,88.05,88.47,986463
2013-03-26,88.08,88.38,87.67,88.29,1367583
2013-03-27,87.84,88.46,87.64,88.34,955125
2013-03-28,88.46,89.05,87.98,88.97,1490629
2013-04-01,89.1,89.3,88.46,88.7,718091
2013-04-02,89.22,89.51,88.59,88.95,1190694
2013-04-03,89.02,89.34,87.86,88.01,1237727
2013-04-04,88.15,89.2,88.15,89.06,1804508
2013-04-05,88.12,89.04,88.01,88.98,1803687
2013-04-08,88.95,90.07,88.84,90.04,1371192
2013-04-09,90.5,91.17,90.14,90.53,1299312
2013-04-10,90.59,91.04,90.15,90.94,1149918
2013-04-11,91.21,92.28,91.11,91.91,1531472
2013-04-12,91.7,91.99,91.19,91.99,1071795
2013-04-15,91.76,91.76,88.76,88.81,2243311
2013-04-16,89.57,89.97,89.01,89.87,1335567
2013-04-17,89.43,89.56,88.53,88.91,1515851
2013-04-18,89.23,89.36,88.14,88.34,1016616
2013-04-19,88.24,89.17,88.09,89.03,1412387
2013-04-22,89.09,89.56,88.37,89.27,1213699
2013-04-23,90.47,91.75,89.73,90.0,2282470
2013-04-24,90.24,90.41,89.29,89.54,1845368
2013-04-25,89.88,90.03,89.3,89.5,1663826
2013-04-26,89.57,89.83,88.9,88.94,1307387
2013-04-29,89.09,89.34,88.62,88.92,1272495
2013-04-30,88.96,89.14,88.59,89.14,1478127
2013-05-01,88.78,89.34,88.2,88.3,1236773
2013-05-02,88.5,88.69,88.18,88.65,975332
2013-05-03,89.42,89.96,89.33,89.9,1782533
2013-05-06,90.14,90.94,89.72,90.68,1505162
2013-05-07,90.7,91.53,90.46,91.39,1416744
2013-05-08,91.44,92.27,91.3,92.26,1224052
2013-05-09,92.2,92.44,91.4,91.78,1903980
2013-05-10,91.71,91.9,90.96,91.6,1244969
2013-05-13,91.42,91.62,91.05,91.42,919630
2013-05-14,91.41,92.69,91.39,92.62,1062786
2013-05-15,92.45,92.67,91.71,92.67,1567296
2013-05-16,92.67,93.05,91.91,92.11,1523338
2013-05-17,92.42,92.81,91.25,91.65,3063835
2013-05-20,91.46,91.9,90.8,91.04,1387527
2013-05-21,90.95,91.36,89.91,90.01,1564603
2013-05-22,89.92,90.57,89.23,89.55,2512728
2013-05-23,89.06,89.73,88.64,89.11,2179132
2013-05-24,88.77,89.82,88.48,89.78,1412525
2013-05-28,90.63,90.83,89.15,89.51,1766209
2013-05-29,89.04,89.49,88.6,89.12,1432495
2013-05-30,89.46,90.38,89.11,90.1,987950
2013-05-31,90.44,90.83,89.67,89.68,2117265
2013-06-03,89.65,89.76,88.23,88.58,2268780
2013-06-04,88.56,89.32,88.29,88.79,1416745
2013-06-05,88.7,88.7,87.79,87.85,1623875
2013-06-06,87.81,89.01,87.43,89.01,1518992
2013-06-07,89.81,89.9,88.84,89.88,2708498
2013-06-10,89.92,90.31,89.51,90.23,1411282
2013-06-11,89.41,90.1,89.2,89.43,1425180
2013-06-12,89.8,90.17,88.22,88.32,1061240
2013-06-13,88.25,89.82,87.82,89.78,1140329
2013-06-14,89.68,89.97,88.52,88.55,1193065
2013-06-17,89.13,89.64,88.76,89.51,1338617
2013-06-18,89.63,90.2,89.51,90.16,913828
2013-06-19,90.2,90.32,88.49,88.51,1438569
2013-06-20,87.71,88.08,86.34,86.48,2776617
2013-06-21,86.95,87.1,85.78,86.15,3006114
2013-06-24,85.45,86.35,84.73,85.79,2071709
2013-06-25,86.26,86.69,85.88,86.38,1634311
2013-06-26,87.53,88.86,87.3,88.6,2174121
2013-06-27,88.77,89.55,88.53,89.52,1671024
2013-06-28,89.24,89.95,88.7,89.48,1511990
2013-07-01,89.87,90.42,89.59,89.77,1064889
2013-07-02,89.72,90.28,88.81,88.98,1185231
2013-07-03,88.64,89.25,88.39,89.0,593765
2013-07-05,89.81,90.12,89.02,90.12,964776
2013-07-08,90.34,91.55,90.34,91.47,1278999
2013-07-09,92.2,92.45,91.68,92.38,1364281
2013-07-10,92.25,92.35,91.0,91.75,1287912
2013-07-11,92.96,92.96,91.88,92.27,1458602
2013-07-12,92.28,93.57,92.28,93.5,1351193
2013-07-15,93.63,93.96,93.14,93.73,1126699
2013-07-16,93.84,94.31,93.06,93.22,1077993
2013-07-17,93.51,94.29,93.44,94.23,1422265
2013-07-18,94.35,95.26,94.19,95.26,1095686
2013-07-19,94.78,94.98,94.02,94.74,977829
2013-07-22,94.5,95.6,94.45,95.58,1102295
2013-07-23,95.56,95.58,93.09,93.23,2063795
2013-07-24,93.82,94.89,91.68,91.88,2174940
2013-07-25,91.56,92.46,91.03,92.43,1448630
2013-07-26,92.16,92.46,91.38,92.33,1451654
2013-07-29,92.4,92.4,91.61,91.79,1027367
2013-07-30,92.16,92.52,91.06,91.33,888712
2013-07-31,91.67,91.95,91.22,91.38,1249309
2013-08-01,92.17,92.63,91.96,92.33,850887
2013-08-02,92.2,92.32,91.7,91.95,1339591
2013-08-05,91.93,92.27,90.69,90.96,1323160
2013-08-06,90.95,90.95,89.6,90.1,1986363
2013-08-07,89.99,90.18,89.22,89.77,1215716
2013-08-08,90.11,90.5,89.57,89.87,1053434
2013-08-09,89.82,90.19,89.27,89.74,1221564
2013-08-12,89.49,90.27,89.05,89.82,855640
2013-08-13,89.87,90.59,89.18,90.35,1269247
2013-08-14,90.19,90.75,90.08,90.54,1169271
2013-08-15,89.64,89.99,88.85,89.64,1385301
2013-08-16,89.72,90.51,89.44,89.55,1239565
2013-08-19,89.27,89.55,88.87,88.87,916006
2013-08-20,88.93,89.82,88.69,89.44,773113
2013-08-21,89.22,90.33,88.72,89.36,1246271
2013-08-22,89.28,90.85,89.13,90.6,767226
2013-08-23,90.59,90.78,89.84,90.44,681168
2013-08-26,90.44,90.51,89.67,89.76,885669
2013-08-27,88.78,89.26,88.41,88.45,1042867
2013-08-28,88.17,88.47,87.68,87.94,1720551
2013-08-29,87.86,88.93,87.67,88.26,763420
2013-08-30,88.32,88.41,87.4,87.72,1211014
2013-09-03,88.69,89.2,87.85,88.28,1232159
2013-09-04,88.37,88.89,88.0,88.23,1478839
2013-09-05,88.18,88.7,88.09,88.19,1094564
2013-09-06,88.44,88.9,87.11,88.19,950188
2013-09-09,88.38,89.67,88.29,89.5,1026532
2013-09-10,90.04,90.17,89.3,90.01,871628
2013-09-11,89.95,92.23,89.9,92.22,1817644
2013-09-12,92.08,92.08,90.9,91.05,1247532
2013-09-13,91.4,91.95,91.16,91.67,962694
2013-09-16,92.99,92.99,92.11,92.4,924160
2013-09-17,92.45,92.88,92.33,92.8,844542
2013-09-18,92.92,94.41,92.61,94.35,1171247
2013-09-19,94.51,95.48,94.5,95.35,1367547
2013-09-20,95.44,95.9,94.86,94.99,1830026
2013-09-23,94.89,95.21,94.14,94.33,1386785
2013-09-24,94.12,95.5,94.12,94.66,1160670
2013-09-25,94.76,95.48,94.56,95.27,1111771
2013-09-26,95.2,95.2,94.22,94.67,942085
2013-09-27,94.41,94.6,94.0,94.32,755254
2013-09-30,93.35,93.89,92.92,93.56,1232555
2013-10-01,93.73,94.49,93.57,94.02,797431
2013-10-02,93.69,94.13,93.16,94.13,963182
2013-10-03,93.71,94.0,92.17,92.29,1446197
2013-10-04,92.29,92.9,92.03,92.88,921640
2013-10-07,92.37,92.94,91.91,92.47,891681
2013-10-08,92.53,92.67,91.12,91.16,1044148
2013-10-09,91.62,91.86,90.52,91.01,1000876
2013-10-10,91.87,93.19,91.86,93.17,883877
2013-10-11,93.01,94.17,92.63,94.1,698508
2013-10-14,93.67,94.56,93.49,94.5,725145
2013-10-15,94.05,94.67,93.76,93.79,821996
2013-10-16,94.28,96.04,94.21,95.75,1245195
2013-10-17,95.38,96.99,95.13,96.9,874070
2013-10-18,96.53,96.99,96.06,96.97,1431841
2013-10-21,97.08,97.68,97.05,97.48,1068416
2013-10-22,97.98,98.39,97.69,97.8,1690259
2013-10-23,95.33,98.07,95.33,96.29,1728442
2013-10-24,96.78,97.08,96.57,96.74,946458
2013-10-25,97.0,97.24,95.98,96.14,1048989
2013-10-28,96.07,96.25,95.68,95.82,1287183
2013-10-29,96.21,96.57,95.92,96.39,909014
2013-10-30,96.65,96.79,95.86,96.24,1348716
2013-10-31,96.21,96.32,95.43,95.44,1161727
2013-11-01,95.44,96.08,95.09,95.86,1321701
2013-11-04,96.08,96.57,95.96,96.48,1174836
2013-11-05,96.4,96.68,95.91,96.61,844985
2013-11-06,97.01,97.81,96.66,97.78,941959
2013-11-07,97.55,98.0,97.3,97.4,2037888
2013-11-08,97.52,98.34,97.19,98.28,1485669
2013-11-11,98.37,98.95,98.27,98.52,1146264
2013-11-12,98.21,98.36,95.86,96.41,2667465
2013-11-13,96.2,97.4,96.19,97.3,1597489
2013-11-14,97.58,98.37,97.25,98.3,843416
2013-11-15,98.3,98.72,98.08,98.7,1019780
2013-11-18,98.75,99.4,98.27,98.43,883971
2013-11-19,98.27,98.78,98.1,98.55,1033259
2013-11-20,98.96,99.02,97.58,97.85,922813
2013-11-21,98.29,101.88,98.16,101.53,2750130
2013-11-22,101.46,102.77,101.15,102.59,1684042
2013-11-25,102.91,102.92,102.26,102.46,863405
2013-11-26,102.27,103.22,102.02,102.62,1340034
2013-11-27,102.66,103.56,102.5,103.15,1121742
2013-11-29,103.32,104.07,102.61,102.78,616956
2013-12-02,102.59,102.82,101.63,101.79,1417852
2013-12-03,101.41,101.93,100.57,101.4,1424186
2013-12-04,101.22,102.28,100.17,101.05,1001630
2013-12-05,100.64,100.95,99.7,100.09,1080669
2013-12-06,101.08,102.15,101.01,101.95,1031104
2013-12-09,102.01,102.3,101.24,101.6,1062964
2013-12-10,101.25,101.71,101.12,101.25,921429
2013-12-11,101.08,101.35,99.69,99.9,1321919
2013-12-12,99.83,100.26,99.47,99.57,1461348
2013-12-13,99.7,100.01,99.18,99.26,1120987
2013-12-16,99.26,99.96,99.0,99.2,1156184
2013-12-17,99.61,99.66,98.76,98.8,1234232
2013-12-18,98.99,100.06,98.22,100.04,1757218
2013-12-19,99.85,100.42,99.63,100.36,1811209
2013-12-20,100.3,101.55,100.29,101.19,1362600
2013-12-23,101.83,101.91,101.14,101.75,908685
2013-12-24,101.6,102.07,101.34,102.07,492166
2013-12-26,102.16,102.85,101.95,102.69,586196
2013-12-27,102.88,102.88,102.32,102.62,527689
2013-12-30,102.64,103.21,102.61,102.92,518904
2013-12-31,103.16,103.76,103.06,103.53,686359
2014-01-02,102.78,103.39,101.33,101.7,1112627
2014-01-03,101.91,102.15,101.23,101.44,1120803
2014-01-06,102.42,102.52,100.74,101.09,1304119
2014-01-07,101.01,101.36,100.17,100.27,2214115
2014-01-08,100.11,100.36,98.53,99.03,2781675
2014-01-09,99.32,99.46,98.15,98.9,2096999
2014-01-10,99.19,99.27,97.85,98.67,2760927
2014-01-13,98.34,98.68,96.71,96.92,2459211
2014-01-14,96.87,98.05,96.73,97.7,1878323
2014-01-15,98.14,98.61,97.66,97.99,1583856
2014-01-16,97.79,98.16,97.15,97.3,1564859
2014-01-17,97.32,97.72,96.84,97.1,4253729
2014-01-21,97.28,97.56,96.01,96.37,2648993
2014-01-22,96.61,96.99,95.97,96.01,1615515
2014-01-23,96.24,96.24,94.01,94.18,2879508
2014-01-24,94.18,94.18,92.19,92.19,2533893
2014-01-27,92.02,93.8,92.0,93.05,3022482
2014-01-28,93.19,94.85,93.11,94.57,2606993
2014-01-29,93.89,94.53,92.89,94.03,3466743
2014-01-30,94.64,95.37,94.04,95.14,2339284
2014-01-31,93.74,94.45,93.52,93.81,2871441
2014-02-03,93.44,93.88,92.26,92.6,3813727
2014-02-04,93.21,93.63,92.59,92.84,2569013
2014-02-05,92.54,93.57,92.52,93.25,2561308
2014-02-06,93.39,94.19,93.03,93.49,2986496
2014-02-07,94.08,94.65,93.65,94.6,2136765
2014-02-10,94.19,95.03,93.93,95.03,1712534
2014-02-11,95.33,96.85,95.22,96.81,2353891
2014-02-12,96.2,96.56,95.62,95.71,1676836
2014-02-13,95.0,96.2,94.95,96.14,1339866
2014-02-14,96.14,96.99,96.0,96.97,1434935
2014-02-18,97.1,97.6,96.84,97.46,1450443
2014-02-19,97.27,97.87,96.64,96.67,1517312
2014-02-20,96.6,97.28,95.89,96.78,1579216
2014-02-21,97.08,97.85,96.67,97.19,1264117
2014-02-24,97.1,97.86,96.78,96.79,1409663
2014-02-25,96.73,96.91,96.34,96.53,1268450
2014-02-26,96.38,96.8,95.97,96.1,1126556
2014-02-27,96.02,96.98,95.96,96.76,1250189
2014-02-28,97.0,98.1,96.85,97.87,1780242
2014-03-03,96.72,97.01,95.85,96.42,1376233
2014-03-04,97.44,97.6,97.05,97.47,1918551
2014-03-05,97.53,97.93,97.16,97.66,1172352
2014-03-06,97.78,98.57,97.48,98.15,1331091
2014-03-07,98.44,98.76,97.55,97.77,1789805
2014-03-10,97.49,98.11,97.37,97.8,1744393
2014-03-11,98.1,98.32,97.17,97.34,814413
2014-03-12,97.06,97.61,96.61,97.51,1149118
2014-03-13,97.93,97.93,97.0,97.55,2275647
2014-03-14,97.37,98.02,97.22,97.78,1647925
2014-03-17,98.18,98.88,97.91,98.78,1269897
2014-03-18,98.93,99.23,98.62,99.2,1440249
2014-03-19,99.26,99.57,97.81,98.17,1273114
2014-03-20,97.92,98.58,97.42,98.41,1861784
2014-03-21,98.62,100.59,98.0,99.26,2472590
2014-03-24,99.55,99.75,98.63,99.07,1793188
2014-03-25,99.34,99.56,98.89,99.13,1273625
2014-03-26,95.0,99.1,95.0,97.69,1176184
2014-03-27,97.57,97.82,97.14,97.59,1575294
2014-03-28,98.07,98.21,97.57,97.89,935381
2014-03-31,98.66,99.11,98.51,99.06,1222440
2014-04-01,99.3,99.53,98.48,99.08,1361592
2014-04-02,98.99,99.33,98.56,98.82,1694908
2014-04-03,99.05,99.48,98.69,98.98,1419454
2014-04-04,99.31,99.62,98.36,98.39,1221435
2014-04-07,98.44,98.72,97.57,97.61,921976
2014-04-08,97.63,98.05,97.55,97.79,1052918
2014-04-09,98.09,99.15,97.6,99.12,955143
2014-04-10,99.2,99.72,98.59,98.59,1566780
2014-04-11,98.98,99.98,98.33,99.31,2127247
2014-04-14,99.83,100.3,98.82,99.51,1136463
2014-04-15,99.5,100.11,99.05,100.11,1675534
2014-04-16,100.99,101.38,100.46,101.37,1092114
2014-04-17,101.26,102.03,100.89,100.94,1008639
2014-04-21,101.0,101.2,100.56,100.81,966462
2014-04-22,100.92,101.35,100.63,101.04,1223654
2014-04-23,101.04,101.9,100.85,101.48,1090419
2014-04-24,101.82,102.15,101.41,102.12,1338766
2014-04-25,102.12,102.22,101.35,101.59,1383126
2014-04-28,102.09,102.58,101.09,101.44,1536488
2014-04-29,101.97,102.69,101.49,102.59,1143100
2014-04-30,102.65,102.66,100.86,102.32,1538624
2014-05-01,102.17,102.75,101.79,102.01,1533097
2014-05-02,101.77,102.79,101.76,102.06,1052961
2014-05-05,101.95,102.38,101.17,102.2,784740
2014-05-06,101.99,102.38,101.7,101.88,1276642
2014-05-07,102.27,103.39,101.85,103.17,1630420
2014-05-08,102.92,103.3,102.07,102.12,1407452
2014-05-09,101.98,102.74,101.85,102.66,1124452
2014-05-12,103.06,103.24,102.73,102.97,821670
2014-05-13,103.03,103.5,102.68,103.45,654072
2014-05-14,103.25,103.5,102.4,102.7,1047565
2014-05-15,102.33,102.65,101.78,102.29,1083911
2014-05-16,102.17,102.55,101.72,102.46,795064
2014-05-19,102.15,103.03,102.08,102.87,708048
2014-05-20,102.87,103.0,102.22,102.67,712673
2014-05-21,103.09,103.43,102.73,103.09,758432
2014-05-22,103.22,103.45,102.86,102.94,667557
2014-05-23,103.21,103.24,102.47,102.91,750525
2014-05-27,103.4,103.62,103.09,103.35,808364
2014-05-28,103.32,103.5,102.57,103.07,965031
2014-05-29,103.29,103.75,102.79,103.55,856303
2014-05-30,103.59,103.8,103.23,103.71,1198056
2014-06-02,103.82,104.05,103.44,103.54,720662
2014-06-03,103.42,103.56,102.66,102.85,890646
2014-06-04,102.89,104.29,102.75,104.16,1014080
2014-06-05,104.48,104.54,103.83,104.51,1080488
2014-06-06,104.58,105.01,104.53,104.92,1010558
2014-06-09,105.25,105.25,104.64,104.99,768275
2014-06-10,104.56,105.09,104.56,104.98,663985
2014-06-11,104.48,104.79,103.96,104.2,874610
2014-06-12,104.28,104.67,103.67,103.75,744984
2014-06-13,103.85,104.13,103.64,103.9,754679
2014-06-16,104.06,104.07,103.28,103.63,907880
2014-06-17,103.07,104.56,102.98,104.45,770981
2014-06-18,104.45,104.95,103.88,104.81,799935
2014-06-19,104.79,105.58,104.59,105.32,940868
2014-06-20,105.98,108.62,104.93,105.03,1301663
2014-06-23,105.19,105.45,104.72,105.03,605207
2014-06-24,104.69,105.47,104.37,104.46,711378
2014-06-25,104.2,104.5,103.85,104.21,923807
2014-06-26,104.28,104.28,103.23,103.4,805518
2014-06-27,103.29,103.83,103.04,103.39,1146231
2014-06-30,103.33,103.93,103.3,103.7,797654
2014-07-01,104.17,105.05,104.09,104.8,905700
2014-07-02,104.88,105.26,104.38,104.4,981782
2014-07-03,104.76,105.18,104.52,105.15,440728
2014-07-07,104.65,105.32,104.4,105.2,805725
2014-07-08,105.35,105.35,104.39,104.45,1321956
2014-07-09,104.78,104.88,104.2,104.67,1042519
2014-07-10,103.37,104.27,103.37,104.26,1150697
2014-07-11,104.22,104.67,103.74,104.6,1156744
2014-07-14,105.22,105.66,104.75,104.79,1144416
2014-07-15,105.07,105.32,104.81,105.11,1159250
2014-07-16,105.47,105.47,104.5,104.66,795860
2014-07-17,104.36,104.97,103.27,103.3,836536
2014-07-18,103.22,104.11,103.13,104.08,1044887
2014-07-21,103.51,103.74,102.98,103.61,1952298
2014-07-22,103.4,103.4,102.4,103.31,1357228
2014-07-23,103.79,105.32,103.76,104.44,1519903
2014-07-24,104.62,105.03,104.2,104.79,1221890
2014-07-25,104.35,104.58,103.4,103.49,985565
2014-07-28,103.21,103.48,102.54,103.31,1188818
2014-07-29,103.46,103.66,102.67,102.68,1432001
2014-07-30,102.7,102.88,101.52,101.84,1809822
2014-07-31,101.44,101.81,100.07,100.1,2102345
2014-08-01,99.78,100.73,99.7,100.21,1717170
2014-08-04,100.2,100.37,99.63,100.1,2639925
2014-08-05,99.84,100.38,99.6,99.95,2172865
2014-08-06,99.65,100.32,99.45,100.14,3316006
2014-08-07,100.54,100.54,99.69,99.98,2287637
2014-08-08,100.11,100.65,99.74,100.32,2436653
2014-08-11,100.35,100.77,99.94,100.43,1671899
2014-08-12,100.44,101.44,100.25,101.34,1480174
2014-08-13,101.82,102.27,101.34,102.21,1472380
2014-08-14,102.45,103.31,102.22,103.28,771044
2014-08-15,103.57,103.89,102.55,103.5,1338233
2014-08-18,103.86,104.3,103.8,104.21,912896
2014-08-19,104.53,104.62,104.17,104.23,911600
2014-08-20,104.0,104.52,103.71,104.38,1426510
2014-08-21,104.59,105.48,104.21,105.3,855195
2014-08-22,105.11,105.57,104.67,104.76,964565
2014-08-25,105.18,105.47,104.84,105.28,707697
2014-08-26,105.45,105.89,105.11,105.62,567302
2014-08-27,105.38,106.05,105.38,105.9,644277
2014-08-28,105.56,106.4,105.45,106.12,926254
2014-08-29,106.52,106.55,105.63,106.33,800206
2014-09-02,106.66,107.07,106.24,106.63,594552
2014-09-03,107.0,107.26,106.18,106.43,842279
2014-09-04,106.77,107.1,105.78,105.85,1138830
2014-09-05,105.82,106.16,105.37,106.13,875460
2014-09-08,106.2,106.63,105.85,106.14,561997
2014-09-09,105.93,106.09,105.2,105.51,722419
2014-09-10,105.51,105.95,105.32,105.72,757684
2014-09-11,105.26,105.85,105.16,105.44,776607
2014-09-12,105.18,105.46,104.58,104.89,1053279
2014-09-15,104.7,105.93,104.7,105.66,1250424
2014-09-16,105.35,106.52,105.35,105.9,1729613
2014-09-17,106.15,106.5,105.77,106.02,1155921
2014-09-18,106.47,107.6,106.23,107.39,1246805
2014-09-19,107.82,107.95,106.92,107.0,1511448
2014-09-22,106.51,107.1,106.51,106.62,792154
2014-09-23,106.65,106.65,105.41,105.42,1265073
2014-09-24,105.46,106.8,105.24,106.59,1016835
2014-09-25,105.88,106.28,105.26,105.5,1167565
2014-09-26,104.86,106.12,104.65,105.82,1136372
2014-09-29,104.97,105.26,104.41,104.84,1263174
2014-09-30,104.34,105.22,104.1,104.87,1583088
2014-10-01,105.06,105.09,103.77,103.82,1347416
2014-10-02,103.92,105.1,103.52,104.63,1208076
2014-10-03,105.39,106.6,104.76,106.44,1700683
2014-10-06,106.97,107.11,106.01,106.2,1059588
2014-10-07,106.24,106.24,105.13,105.13,1199601
2014-10-08,105.39,106.82,105.39,106.75,1533798
2014-10-09,106.55,107.11,104.89,104.92,1683915
2014-10-10,105.11,106.41,104.9,104.9,1126728
2014-10-13,104.59,105.66,103.1,103.21,2192552
2014-10-14,103.64,104.88,103.33,104.24,1341294
2014-10-15,103.13,103.45,101.24,103.11,2130506
2014-10-16,101.15,103.38,101.15,102.92,1823317
2014-10-17,103.55,105.01,103.55,104.61,1540017
2014-10-20,104.28,105.16,104.07,105.09,1339962
2014-10-21,105.35,106.7,105.28,106.7,1336870
2014-10-22,107.46,108.0,105.77,105.84,1950195
2014-10-23,106.85,106.88,105.1,105.4,2040263
2014-10-24,105.38,106.95,105.33,106.9,1184760
2014-10-27,106.52,108.29,106.52,108.17,1608459
2014-10-28,108.73,109.04,108.23,109.04,1314850
2014-10-29,108.87,109.22,107.75,108.37,1243723
2014-10-30,108.37,109.62,107.98,108.96,1053038
2014-10-31,109.83,110.13,109.12,109.3,1720536
2014-11-03,109.47,109.69,108.51,108.8,1281824
2014-11-04,108.92,110.38,108.9,109.73,2090759
2014-11-05,110.71,110.71,109.37,110.5,1327688
2014-11-06,110.5,110.8,110.04,110.73,781129
2014-11-07,110.55,111.1,110.44,110.81,1007070
2014-11-10,110.9,111.51,110.54,111.51,1028508
2014-11-11,111.46,111.74,110.95,111.02,734994
2014-11-12,110.57,110.87,110.39,110.77,985782
2014-11-13,111.17,111.33,110.29,110.65,1265571
2014-11-14,110.53,111.57,110.39,110.62,1670641
2014-11-17,110.45,111.23,110.34,111.14,1097710
2014-11-18,110.72,111.76,110.72,111.23,1026245
2014-11-19,110.98,112.33,110.84,112.32,1949564
2014-11-20,111.44,112.93,111.44,112.68,1379213
2014-11-21,113.46,113.71,112.25,112.56,1613952
2014-11-24,113.05,113.43,112.81,113.39,1172848
2014-11-25,113.59,113.78,112.89,113.55,1691262
