Date,Open,High,Low,Close,Volume
2013-01-02,27.22,27.29,26.9,27.28,1206780
2013-01-03,27.22,27.64,27.04,27.48,1731486
2013-01-04,27.48,27.72,27.38,27.67,1688642
2013-01-07,27.58,27.84,27.49,27.66,2404822
2013-01-08,27.6,28.0,27.6,27.96,1783120
2013-01-09,27.97,28.14,27.82,27.88,1492950
2013-01-10,28.0,28.12,27.76,27.88,1641338
2013-01-11,27.74,28.01,27.74,27.95,1443034
2013-01-14,28.0,28.17,27.93,28.08,1359154
2013-01-15,27.96,28.2,27.95,28.12,1296442
2013-01-16,28.1,28.16,27.94,28.04,1088280
2013-01-17,28.16,28.45,28.09,28.37,1269440
2013-01-18,28.34,28.5,28.14,28.5,868198
2013-01-22,28.46,28.46,28.16,28.4,1523124
2013-01-23,28.34,28.49,28.27,28.44,749454
2013-01-24,28.62,28.8,28.32,28.54,1404854
2013-01-25,28.73,28.8,28.18,28.58,1453740
2013-01-28,28.66,28.72,28.48,28.6,845168
2013-01-29,28.55,28.84,28.44,28.8,991892
2013-01-30,28.84,28.94,28.72,28.86,1331564
2013-01-31,28.7,29.12,28.7,28.9,2186308
2013-02-01,29.18,29.27,28.91,29.24,1379034
2013-02-04,29.2,29.34,29.0,29.2,1807256
2013-02-05,29.7,30.0,29.1,29.55,1908266
2013-02-06,29.7,29.87,29.43,29.87,1637410
2013-02-07,29.91,29.91,29.42,29.5,1641012
2013-02-08,29.54,30.21,29.51,30.06,2352884
2013-02-11,30.0,30.06,29.8,29.82,1053104
2013-02-12,29.82,30.02,29.72,29.99,1776896
2013-02-13,29.95,30.08,29.68,29.81,1546648
2013-02-14,29.79,29.92,29.64,29.64,1027096
2013-02-15,29.7,30.16,29.64,29.94,1748706
2013-02-19,30.0,30.24,29.82,30.22,1936318
2013-02-20,30.2,30.29,30.04,30.04,735756
2013-02-21,30.05,30.24,29.86,30.12,1311072
2013-02-22,30.29,30.94,30.22,30.72,1990154
2013-02-25,30.75,31.0,30.56,30.56,1713184
2013-02-26,30.7,30.93,30.63,30.76,1775970
2013-02-27,30.72,31.14,30.66,30.96,1049510
2013-02-28,30.98,31.18,30.92,30.98,1434652
2013-03-01,30.88,30.95,30.42,30.69,2567754
2013-03-04,30.56,30.78,30.56,30.74,1320846
2013-03-05,30.81,30.98,30.73,30.78,960332
2013-03-06,30.81,30.92,30.52,30.54,811350
2013-03-07,30.55,30.72,30.47,30.48,1106276
2013-03-08,30.64,30.73,30.43,30.48,1301672
2013-03-11,30.52,30.69,30.44,30.52,849680
2013-03-12,30.48,30.56,30.4,30.55,777970
2013-03-13,30.56,30.68,30.42,30.62,808244
2013-03-14,30.64,30.68,30.4,30.6,1065074
2013-03-15,30.51,30.61,30.4,30.58,1887450
2013-03-18,30.41,30.78,30.41,30.58,1016244
2013-03-19,30.62,30.91,30.58,30.82,806368
2013-03-20,30.89,31.52,30.88,31.33,1190346
2013-03-21,31.18,31.36,31.04,31.17,659636
2013-03-22,31.18,31.95,31.17,31.81,1425600
2013-03-25,31.85,31.92,31.4,31.48,1074230
2013-03-26,31.6,31.93,31.56,31.89,946618
2013-03-27,31.8,31.8,31.55,31.76,828556
2013-03-28,31.76,32.34,31.66,32.32,1488866
2013-04-01,32.2,32.24,31.97,32.24,1031282
2013-04-02,32.25,32.55,32.2,32.27,1178950
