Date,Open,High,Low,Close,Volume
2013-01-02,304.26,306.73,298.31,301.06,491525
2013-01-03,297.0,305.08,295.13,300.95,472985
2013-01-04,301.44,304.28,300.13,300.18,368266
2013-01-07,299.96,301.0,295.35,299.59,385804
2013-01-08,300.35,301.5,295.43,297.76,368845
2013-01-09,298.45,299.57,292.18,294.03,442336
2013-01-10,296.0,298.41,291.7,298.41,438031
2013-01-11,298.96,302.19,296.0,300.0,471214
2013-01-14,299.97,301.99,294.53,295.97,288542
2013-01-15,292.2,298.8,290.61,297.32,219205
2013-01-16,267.14,283.37,266.02,280.94,3029597
2013-01-17,281.68,293.82,281.68,290.33,1931251
2013-01-18,290.48,296.34,290.01,295.02,785922
2013-01-22,294.59,296.53,290.65,294.23,720073
2013-01-23,292.79,297.12,291.04,293.74,398381
2013-01-24,293.49,300.5,292.87,299.62,389729
2013-01-25,299.98,305.99,298.95,303.48,797866
2013-01-28,309.5,314.99,307.61,311.69,680369
2013-01-29,312.6,312.97,307.27,310.01,406029
2013-01-30,311.06,311.78,307.18,308.36,381468
2013-01-31,307.78,309.0,302.5,307.01,448280
2013-02-01,308.5,313.92,308.1,312.71,535921
2013-02-04,311.07,313.54,309.55,310.19,628478
2013-02-05,309.47,311.8,303.5,305.01,1283992
2013-02-06,305.0,324.72,304.0,322.46,1938889
2013-02-07,321.46,322.79,314.44,318.45,793386
2013-02-08,316.77,321.49,316.73,320.72,403264
2013-02-11,320.97,325.64,320.11,323.56,453220
2013-02-12,322.39,326.99,322.05,322.51,353599
2013-02-13,321.63,322.48,316.16,317.01,605608
2013-02-14,316.28,319.08,314.44,317.72,483832
2013-02-15,319.03,319.03,310.78,314.19,678216
2013-02-19,314.4,317.58,311.32,313.05,530537
2013-02-20,312.81,315.09,308.0,309.49,588188
2013-02-21,307.17,313.73,307.17,308.13,639141
2013-02-22,310.77,315.71,310.5,315.51,600207
2013-02-25,316.51,318.32,311.18,311.21,512884
2013-02-26,312.72,316.66,309.02,311.81,415228
2013-02-27,312.48,318.71,311.96,316.21,330537
2013-02-28,315.29,319.88,313.6,316.79,306386
2013-03-01,316.75,319.82,314.5,319.74,300757
2013-03-04,318.68,322.43,317.55,321.76,307211
2013-03-05,323.3,332.49,322.5,329.24,520527
2013-03-06,331.38,334.89,328.1,329.0,341441
2013-03-07,331.38,331.38,325.08,327.5,330641
2013-03-08,328.27,328.88,320.63,321.84,477790
2013-03-11,320.08,327.12,319.39,322.42,363793
2013-03-12,322.42,323.98,317.0,318.45,306360
2013-03-13,319.41,322.38,319.33,322.38,358434
2013-03-14,321.61,324.21,319.53,322.66,298613
2013-03-15,320.95,323.98,318.54,321.35,310927
2013-03-18,317.36,321.85,317.25,320.15,184722
2013-03-19,320.1,324.53,315.5,317.23,408241
2013-03-20,319.75,323.7,318.25,322.42,298839
2013-03-21,321.99,322.52,318.33,319.42,425498
2013-03-22,320.28,320.68,317.44,318.23,287064
2013-03-25,318.7,321.7,316.04,316.77,315454
2013-03-26,318.64,320.28,316.35,318.5,313704
2013-03-27,318.49,320.85,316.34,320.59,215130
2013-03-28,320.17,325.93,319.02,325.87,387865
2013-04-01,327.42,328.47,320.0,321.06,421993
2013-04-02,321.91,323.6,321.64,323.09,240714
2013-04-03,327.05,330.0,321.87,323.79,412947
2013-04-04,323.63,326.34,321.86,323.16,415428
2013-04-05,318.11,328.78,316.87,328.0,469919
2013-04-08,327.01,337.92,326.8,337.5,730124
2013-04-09,337.18,337.22,330.55,332.67,521355
2013-04-10,334.18,350.0,334.18,343.55,947646
2013-04-11,340.0,344.24,330.5,331.33,1458320
2013-04-12,329.77,342.0,327.28,341.91,782842
2013-04-15,349.0,349.88,337.03,337.17,892240
2013-04-16,341.03,343.88,337.67,342.17,447834
2013-04-17,339.59,343.78,337.44,339.94,340166
2013-04-18,341.5,341.5,328.36,328.36,1014321
2013-04-19,344.91,366.73,343.31,366.25,2748701
2013-04-22,367.0,372.99,362.66,362.83,989094
2013-04-23,363.63,365.75,358.14,361.27,713784
2013-04-24,358.71,365.65,358.71,362.79,419143
2013-04-25,363.3,365.86,361.14,362.85,302270
2013-04-26,362.01,364.22,359.46,361.73,339766
2013-04-29,362.18,367.0,359.52,363.59,276981
2013-04-30,365.49,365.51,360.71,363.19,373852
2013-05-01,360.95,364.83,358.5,362.18,278269
2013-05-02,361.68,369.32,361.62,365.2,363173
2013-05-03,368.25,369.5,365.65,367.35,234034
2013-05-06,367.45,376.27,367.45,373.98,497950
2013-05-07,372.57,374.15,359.0,361.09,1010341
2013-05-08,361.81,366.5,359.09,366.33,527737
2013-05-09,363.95,372.98,363.65,367.45,834223
2013-05-10,366.93,371.27,366.04,370.01,326412
2013-05-13,369.88,370.6,366.12,367.51,241815
2013-05-14,368.0,376.19,367.99,375.65,496343
2013-05-15,375.27,378.4,372.81,374.97,485204
2013-05-16,374.93,375.76,370.65,372.08,384406
2013-05-17,371.92,375.5,371.92,375.16,288345
2013-05-20,374.8,379.14,374.46,376.87,302087
2013-05-21,376.51,378.76,373.78,377.43,281816
2013-05-22,377.33,379.15,369.7,371.05,349276
2013-05-23,367.53,370.23,362.8,368.45,378234
2013-05-24,366.64,369.27,363.55,368.27,270845
2013-05-28,371.58,374.0,370.12,370.61,400587
2013-05-29,368.99,371.48,366.23,369.79,201888
2013-05-30,370.93,373.42,369.22,369.85,195480
2013-05-31,366.21,370.76,361.0,361.0,323187
2013-06-03,361.01,363.28,354.53,358.84,472438
2013-06-04,356.05,363.35,355.05,358.42,425949
2013-06-05,358.64,359.45,350.66,353.03,288081
2013-06-06,354.42,359.44,351.68,359.03,230353
2013-06-07,361.0,365.8,354.25,365.8,560453
2013-06-10,366.45,369.11,363.54,364.57,355421
2013-06-11,361.46,367.7,361.46,364.75,248759
2013-06-12,368.61,368.61,362.34,364.19,388398
2013-06-13,369.5,372.56,365.44,371.43,309640
2013-06-14,369.44,372.54,365.25,368.12,304430
2013-06-17,370.5,372.11,365.0,367.68,257156
2013-06-18,369.02,372.66,368.79,372.66,267035
2013-06-19,371.79,372.5,366.0,366.87,282459
2013-06-20,363.62,368.14,360.07,360.86,438224
2013-06-21,363.26,363.26,355.92,361.64,691265
2013-06-24,357.72,360.75,352.27,358.16,452487
2013-06-25,361.06,363.98,357.06,358.96,295051
2013-06-26,364.0,365.69,362.27,363.67,346312
2013-06-27,364.95,366.96,361.19,364.15,336673
2013-06-28,363.16,368.39,360.99,364.35,461100
2013-07-01,366.45,369.24,362.3,363.74,354946
2013-07-02,364.67,371.77,364.67,371.53,444377
2013-07-03,374.99,386.81,374.75,384.47,691945
2013-07-05,386.0,386.78,383.01,386.33,379403
2013-07-08,387.39,388.21,383.92,386.03,345376
2013-07-09,387.85,389.84,385.67,386.33,294919
2013-07-10,385.74,385.74,379.88,382.03,373970
2013-07-11,382.5,386.5,380.5,383.13,282273
2013-07-12,384.21,387.49,383.28,386.27,340313
2013-07-15,385.42,386.58,383.14,384.19,337765
2013-07-16,383.0,383.3,374.44,379.13,559913
2013-07-17,379.79,379.97,372.13,375.77,478018
2013-07-18,375.99,377.4,372.75,376.75,977198
2013-07-19,399.05,410.12,395.02,408.97,2270920
2013-07-22,405.32,407.99,400.8,401.8,577638
2013-07-23,401.34,404.84,396.49,397.41,392172
2013-07-24,396.75,402.89,396.75,400.12,452061
2013-07-25,400.41,404.72,395.87,404.25,533074
2013-07-26,402.83,407.69,402.83,405.87,339348
2013-07-29,404.46,408.35,402.05,404.44,193273
2013-07-30,406.29,409.74,405.27,407.38,257151
2013-07-31,407.89,414.9,406.7,412.27,483125
2013-08-01,414.9,418.23,412.63,413.81,279042
2013-08-02,414.6,414.74,411.01,412.09,246497
2013-08-05,411.49,413.02,410.44,412.3,199185
2013-08-06,411.61,412.89,405.26,405.89,320114
2013-08-07,404.65,407.89,403.78,404.49,208692
2013-08-08,404.92,411.28,404.92,407.9,196200
2013-08-09,405.79,409.25,405.47,405.74,231549
2013-08-12,403.5,407.57,401.74,402.97,192887
2013-08-13,401.94,406.97,400.17,406.34,170039
2013-08-14,405.24,406.19,402.0,404.64,101183
2013-08-15,401.94,404.67,397.01,401.48,269422
2013-08-16,401.33,404.95,400.34,401.94,171232
2013-08-19,401.6,407.26,400.37,403.6,172150
2013-08-20,407.37,412.2,405.66,407.55,273406
2013-08-21,406.46,407.61,402.34,403.0,195940
2013-08-22,405.7,408.85,402.56,407.05,259291
2013-08-23,403.95,406.17,401.88,402.79,235024
2013-08-26,405.0,405.0,401.05,402.09,208859
2013-08-27,398.53,403.94,398.0,400.08,271121
2013-08-28,401.5,408.17,401.5,403.05,271559
