Date,Open,High,Low,Close,Volume
2013-01-02,59.53,61.25,59.3,61.23,6661382
2013-01-03,60.89,61.32,60.36,60.55,5730430
2013-01-04,60.78,61.96,60.63,61.96,4273699
2013-01-07,61.8,62.92,61.6,62.88,6413474
2013-01-08,62.49,62.61,61.58,62.16,3831151
2013-01-09,62.37,62.67,62.18,62.31,2895060
2013-01-10,62.73,62.87,62.13,62.87,4569317
2013-01-11,62.49,62.79,61.84,61.99,3377600
2013-01-14,62.78,62.9,60.88,61.28,4908311
2013-01-15,61.09,61.85,61.09,61.7,2781198
2013-01-16,61.41,61.78,61.06,61.75,4058284
2013-01-17,61.88,62.14,61.24,61.59,6044967
2013-01-18,56.59,57.5,56.21,56.99,27137096
2013-01-22,56.86,56.9,56.08,56.16,8789442
2013-01-23,56.32,56.76,56.08,56.24,4815394
2013-01-24,56.24,56.93,56.2,56.86,5488990
2013-01-25,56.98,57.33,56.02,56.32,6656295
2013-01-28,56.58,56.59,55.9,56.0,5616386
2013-01-29,55.67,56.01,55.13,55.62,6770073
2013-01-30,55.46,56.72,55.45,56.56,5605374
2013-01-31,56.41,56.75,56.18,56.32,4628812
2013-02-01,56.78,57.05,56.32,56.5,6330082
2013-02-04,56.11,56.68,56.01,56.39,4016762
2013-02-05,56.74,57.37,56.47,57.13,4832720
2013-02-06,56.79,57.91,56.71,57.47,4668102
2013-02-07,57.75,57.84,56.79,57.19,5029917
2013-02-08,57.38,57.56,56.89,57.27,3733093
2013-02-11,57.02,57.08,56.33,56.55,3865901
2013-02-12,56.42,56.52,55.33,55.78,8459087
2013-02-13,55.8,56.1,55.05,55.07,7386722
2013-02-14,54.96,55.62,54.74,55.59,6629863
2013-02-15,56.09,56.09,53.68,54.03,9782559
2013-02-19,53.99,54.0,52.95,53.12,9927133
2013-02-20,52.25,52.99,51.9,52.27,12105838
2013-02-21,52.14,52.42,51.83,52.21,6306541
2013-02-22,52.61,52.66,51.92,52.28,5696397
2013-02-25,52.45,52.57,50.8,50.8,6377039
2013-02-26,51.28,51.61,50.69,51.47,6155322
2013-02-27,51.34,51.73,50.92,51.59,6581849
