Date,Open,High,Low,Close,Volume
2013-01-02,45.09,46.02,44.92,46.01,2632530
2013-01-03,45.96,46.56,45.88,46.34,2076720
2013-01-04,46.27,47.04,46.26,47.0,2747143
2013-01-07,46.82,46.88,46.11,46.15,2290486
2013-01-08,46.14,46.28,45.82,46.08,1856381
2013-01-09,46.11,46.11,45.73,45.82,1553453
2013-01-10,45.88,45.98,45.63,45.78,2191188
2013-01-11,46.05,46.36,45.76,45.8,2452978
2013-01-14,45.86,46.1,45.77,46.07,2643005
2013-01-15,46.04,46.41,45.86,46.4,1514681
2013-01-16,46.23,46.34,46.05,46.13,1563351
2013-01-17,46.26,46.54,46.21,46.3,1019675
2013-01-18,46.46,46.55,46.13,46.55,1590993
2013-01-22,46.39,46.97,46.32,46.85,1335491
2013-01-23,46.73,46.74,46.38,46.58,1494068
2013-01-24,46.64,47.08,46.64,46.69,981514
2013-01-25,46.9,47.04,46.36,47.03,1261325
2013-01-28,46.95,47.03,46.56,46.77,1067850
2013-01-29,46.79,47.29,46.65,47.21,1256338
2013-01-30,47.1,47.78,46.8,47.64,2222492
2013-01-31,47.73,48.24,47.48,48.19,2790377
2013-02-01,48.04,48.29,47.88,48.19,2879994
2013-02-04,48.07,48.11,47.54,47.62,2017022
2013-02-05,47.77,48.17,47.71,47.99,1415061
2013-02-06,47.88,48.0,47.41,47.99,1713165
2013-02-07,48.03,48.22,47.54,47.71,3734475
2013-02-08,47.74,47.86,47.42,47.84,1630255
2013-02-11,47.77,48.07,47.69,47.98,1387725
2013-02-12,47.83,48.04,47.69,48.0,1309902
2013-02-13,48.08,48.31,47.52,47.64,1728835
2013-02-14,46.85,47.04,45.17,46.18,10222872
2013-02-15,46.29,46.85,45.98,46.68,3778827
2013-02-19,46.76,47.18,46.69,47.04,2446948
2013-02-20,47.0,47.02,46.57,46.58,2964732
2013-02-21,46.63,46.79,46.08,46.41,3033566
2013-02-22,46.53,46.89,46.48,46.86,1081129
2013-02-25,47.02,47.27,45.87,45.95,2955605
2013-02-26,46.05,46.2,45.58,46.12,2427440
2013-02-27,48.24,48.3,46.64,47.24,3951535
2013-02-28,47.68,48.14,47.34,48.03,3891528
2013-03-01,47.85,48.6,47.64,48.48,2517930
2013-03-04,48.59,49.39,48.44,49.34,2619667
2013-03-05,49.48,50.1,49.43,49.99,4481281
2013-03-06,49.98,50.21,49.82,50.19,2121252
2013-03-07,50.06,50.32,49.93,50.17,2050087
2013-03-08,50.29,50.74,50.08,50.72,2822148
2013-03-11,50.57,50.87,50.48,50.68,2292469
2013-03-12,50.67,50.88,50.4,50.71,2460471
2013-03-13,50.72,51.21,50.63,51.0,2570166
2013-03-14,50.95,51.24,50.67,51.2,2754081
2013-03-15,50.91,51.16,50.67,50.94,2453099
2013-03-18,50.49,50.72,50.28,50.5,1577379
2013-03-19,50.69,50.98,50.41,50.74,2028370
2013-03-20,50.9,51.12,50.75,50.8,1866617
2013-03-21,50.64,50.91,50.38,50.38,2115277
2013-03-22,50.52,50.81,50.1,50.41,2563343
2013-03-25,50.55,51.1,50.49,50.73,2186540
2013-03-26,50.57,50.89,50.39,50.49,4186939
2013-03-27,50.36,50.52,50.06,50.39,1964953
2013-03-28,50.17,50.57,50.14,50.32,2350650
2013-04-01,50.36,50.5,50.2,50.48,2290108
2013-04-02,50.65,51.0,50.44,50.8,2902960
2013-04-03,51.05,51.06,50.04,50.24,3526965
2013-04-04,50.13,50.59,49.64,50.01,4135231
2013-04-05,49.77,50.95,49.75,50.88,3589330
2013-04-08,50.93,50.97,50.22,50.97,1925074
2013-04-09,51.03,51.08,50.51,50.58,1336047
2013-04-10,50.56,51.07,50.56,50.82,1408743
2013-04-11,50.9,51.48,50.89,51.37,1981906
2013-04-12,51.32,52.04,51.3,51.95,2386455
2013-04-15,51.79,52.02,51.5,51.5,3421304
2013-04-16,51.58,51.87,51.24,51.82,1908157
2013-04-17,51.64,51.76,51.27,51.61,1137245
2013-04-18,51.65,51.77,51.24,51.64,1794804
2013-04-19,51.85,52.48,51.66,52.47,2059376
2013-04-22,52.44,52.68,52.04,52.36,846807
2013-04-23,52.51,52.81,52.37,52.71,1486765
2013-04-24,52.78,53.25,52.51,53.15,1615823
2013-04-25,53.25,53.52,52.95,53.17,1260194
2013-04-26,53.08,53.55,53.06,53.35,1068905
2013-04-29,53.51,54.14,53.38,53.98,2290587
2013-04-30,54.02,54.19,53.78,53.8,2114243
2013-05-01,51.75,53.08,51.21,52.45,3717080
2013-05-02,52.43,52.63,52.07,52.53,2025332
2013-05-03,52.91,53.08,51.93,52.24,3526396
2013-05-06,52.19,52.31,51.53,51.53,1573365
2013-05-07,51.65,52.0,51.47,51.94,1815062
2013-05-08,51.88,52.05,50.99,51.15,2612685
2013-05-09,51.21,51.32,49.7,49.79,4043770
2013-05-10,50.01,50.2,49.44,50.01,4403151
2013-05-13,49.81,49.96,49.4,49.84,2460417
2013-05-14,49.75,49.78,49.27,49.39,4939481
2013-05-15,49.39,49.78,49.22,49.48,4718594
2013-05-16,49.43,49.43,48.59,48.7,3779902
2013-05-17,48.69,48.95,48.26,48.8,4596982
2013-05-20,48.84,48.91,48.39,48.47,4102542
2013-05-21,48.48,48.87,48.3,48.66,3321804
2013-05-22,48.6,49.48,48.4,48.62,4306451
2013-05-23,48.31,48.44,47.61,48.26,2275082
2013-05-24,48.1,48.17,47.64,47.71,1800927
2013-05-28,47.9,47.9,47.1,47.42,1636490
2013-05-29,47.46,47.46,45.99,46.21,2675299
2013-05-30,46.33,47.06,46.26,46.27,2074929
2013-05-31,46.1,46.81,45.94,45.94,1937116
2013-06-03,45.93,46.21,45.2,45.97,3383894
2013-06-04,45.95,46.36,45.79,46.27,3589867
2013-06-05,46.06,46.07,45.58,45.77,2504018
2013-06-06,45.75,46.36,45.74,46.36,3514212
2013-06-07,46.34,47.65,45.73,47.61,6358024
2013-06-10,47.47,47.51,46.95,47.06,4757460
2013-06-11,46.71,47.14,46.44,46.8,3223320
2013-06-12,47.1,47.18,46.26,46.32,2838960
2013-06-13,46.31,46.83,46.19,46.75,2867884
2013-06-14,47.03,47.59,46.95,47.15,2736122
2013-06-17,47.76,48.05,47.26,47.44,2944103
2013-06-18,47.56,48.0,47.22,47.71,1742956
2013-06-19,47.54,47.86,46.49,46.49,2860726
2013-06-20,46.11,46.17,44.9,45.0,3022727
2013-06-21,45.3,46.25,44.86,46.06,3422445
2013-06-24,45.64,46.59,45.39,46.18,3189761
2013-06-25,46.46,46.82,46.02,46.59,2583434
2013-06-26,46.67,47.33,46.41,47.27,1980740
2013-06-27,47.35,48.04,47.31,47.52,2654716
2013-06-28,47.41,48.4,47.22,48.16,2784794
2013-07-01,48.23,48.37,47.02,47.08,2715494
2013-07-02,47.07,47.33,46.45,46.8,1898060
2013-07-03,46.52,46.84,46.1,46.61,1143750
2013-07-05,46.69,46.69,45.62,46.06,1491925
2013-07-08,46.3,47.0,46.13,46.89,1773321
2013-07-09,47.0,47.19,46.81,47.13,2242709
