Date,Open,High,Low,Close,Volume
2013-01-02,60.35,61.02,59.9,61.01,3251250
2013-01-03,61.35,62.98,61.35,62.23,2956645
2013-01-04,62.3,62.98,62.03,62.69,1895583
2013-01-07,62.67,62.67,61.45,62.0,1887120
2013-01-08,61.75,62.75,61.62,62.74,1643617
2013-01-09,62.79,63.22,62.41,62.49,1349287
2013-01-10,62.87,63.82,62.5,63.8,2716756
2013-01-11,63.8,64.14,63.54,64.13,1807593
2013-01-14,64.04,64.43,63.9,64.23,2083066
2013-01-15,64.0,64.35,63.6,64.34,1150599
2013-01-16,64.18,64.33,63.9,63.97,1067446
2013-01-17,64.44,64.61,63.99,64.23,1497488
2013-01-18,63.91,63.92,62.4,62.85,3118735
2013-01-22,62.67,62.92,62.36,62.81,1725242
2013-01-23,62.6,62.92,62.33,62.4,1337375
2013-01-24,62.6,63.0,62.31,62.54,1815381
2013-01-25,62.95,63.34,62.7,63.25,1811568
2013-01-28,63.31,63.37,62.94,63.14,2077002
2013-01-29,63.3,63.88,63.08,63.72,1597744
2013-01-30,63.7,63.99,62.77,62.87,945437
2013-01-31,62.11,62.25,60.76,60.93,3921414
2013-02-01,61.2,62.97,61.2,62.72,4349693
2013-02-04,62.44,62.5,60.99,61.05,2523686
2013-02-05,64.3,66.07,62.55,64.71,6229518
2013-02-06,64.25,64.49,63.19,63.33,2025991
2013-02-07,63.22,63.37,62.09,63.14,2244964
2013-02-08,63.11,63.51,62.44,62.75,1399907
2013-02-11,62.4,62.4,61.48,61.78,2458549
2013-02-12,61.97,62.78,61.7,62.67,1725537
2013-02-13,62.68,63.44,62.65,63.3,1490072
2013-02-14,63.25,63.78,62.84,63.54,1208225
2013-02-15,63.43,64.1,62.99,63.11,2661426
2013-02-19,63.1,63.62,62.5,63.6,2074210
2013-02-20,63.67,64.29,63.65,63.71,1917819
2013-02-21,63.31,63.86,62.57,63.03,1660119
2013-02-22,63.26,63.62,62.66,63.31,1561570
2013-02-25,63.64,63.64,61.73,61.78,1410824
2013-02-26,61.71,62.47,61.3,62.33,1933467
2013-02-27,62.12,64.04,62.09,63.93,1763133
2013-02-28,63.66,64.6,63.61,64.1,1850973
2013-03-01,63.68,64.48,63.17,64.47,1319790
2013-03-04,64.44,64.89,64.09,64.89,1412239
2013-03-05,65.0,66.51,64.97,65.85,2300184
2013-03-06,65.89,66.17,65.68,65.92,1343514
2013-03-07,65.82,66.23,65.68,65.9,1861704
2013-03-08,66.0,66.0,64.9,65.7,1622196
2013-03-11,65.48,65.96,65.29,65.75,578516
2013-03-12,65.94,66.19,65.76,65.83,1538818
2013-03-13,65.81,65.89,64.58,65.02,1407009
2013-03-14,65.26,65.34,64.88,65.02,1031362
2013-03-15,64.74,64.76,63.28,63.34,2207444
2013-03-18,62.72,62.97,62.26,62.44,1908387
2013-03-19,62.82,63.0,61.87,62.25,2340740
2013-03-20,62.76,63.91,62.76,63.75,2400642
2013-03-21,63.43,63.64,63.02,63.04,1365131
2013-03-22,63.14,64.14,63.11,63.89,1195091
2013-03-25,64.01,64.42,63.08,63.28,852369
2013-03-26,63.67,64.01,63.31,63.99,870337
2013-03-27,63.61,63.64,63.12,63.54,968927
2013-03-28,63.79,64.11,63.12,64.03,1361753
2013-04-01,63.98,64.13,63.32,63.66,769742
2013-04-02,64.11,65.6,64.05,65.28,1337124
2013-04-03,65.32,65.41,64.49,64.88,1587314
2013-04-04,64.92,65.16,64.37,64.53,1593376
2013-04-05,63.64,63.8,62.29,63.17,2178329
2013-04-08,63.16,64.39,63.04,64.39,1189172
2013-04-09,64.53,64.6,63.69,64.48,1243683
2013-04-10,64.56,65.87,64.45,65.49,1254480
2013-04-11,65.57,67.78,65.4,67.56,2414767
2013-04-12,67.27,68.26,66.9,68.24,1835254
2013-04-15,67.89,68.08,67.04,67.4,2913863
2013-04-16,67.8,68.12,67.46,67.89,2062499
2013-04-17,67.54,67.68,66.3,66.71,1858319
2013-04-18,66.86,67.39,66.49,67.21,1772266
2013-04-19,67.63,69.78,66.94,69.67,3549569
2013-04-22,69.49,69.82,69.16,69.59,1864803
2013-04-23,70.0,70.8,69.56,70.38,2069953
2013-04-24,70.28,70.51,68.81,68.82,1270382
2013-04-25,69.12,69.85,68.51,68.93,1997319
2013-04-26,69.14,69.63,68.83,68.88,1745534
2013-04-29,69.24,69.65,68.72,68.92,1489468
2013-04-30,69.05,70.0,68.99,69.35,2089502
2013-05-01,69.38,70.9,68.69,68.79,2884849
2013-05-02,67.09,71.78,66.7,70.6,4388008
2013-05-03,71.03,71.53,70.29,71.23,2083695
2013-05-06,71.07,71.08,69.99,70.0,2332205
2013-05-07,69.88,70.5,69.72,70.31,1674175
2013-05-08,70.39,70.67,69.95,70.01,1822639
2013-05-09,69.98,70.1,69.13,69.27,1599155
2013-05-10,69.32,71.09,69.16,71.05,1722078
2013-05-13,70.71,71.13,70.34,71.02,1346383
2013-05-14,70.92,71.83,70.85,71.8,1255503
2013-05-15,71.7,72.08,71.41,71.63,1338602
2013-05-16,71.29,71.57,70.67,70.78,1447642
2013-05-17,71.19,71.76,70.38,70.85,2236244
2013-05-20,70.72,71.69,70.39,71.46,2160117
2013-05-21,71.41,71.72,70.49,71.12,1181083
2013-05-22,71.07,72.31,70.04,70.14,1444280
