Date,Open,High,Low,Close,Volume
2013-01-02,100.03,101.89,99.58,101.11,1278934
2013-01-03,100.43,101.03,96.92,97.25,1941706
2013-01-04,97.74,99.36,96.77,97.53,1643425
2013-01-07,97.77,97.9,95.6,96.24,1318920
2013-01-08,96.24,96.95,93.2,95.01,1339328
2013-01-09,95.14,95.98,94.47,95.66,777461
2013-01-10,96.33,97.13,94.89,95.71,1002013
2013-01-11,96.5,99.38,96.33,97.89,1797622
2013-01-14,97.73,98.92,96.93,97.19,1090976
2013-01-15,96.49,98.0,95.38,97.44,999885
2013-01-16,97.44,98.15,96.52,97.32,776685
2013-01-17,97.79,99.05,97.65,98.52,837208
2013-01-18,98.18,98.55,96.84,96.89,1389558
2013-01-22,95.01,96.99,94.02,96.69,2242199
2013-01-23,97.33,99.05,96.07,98.81,3729729
2013-01-24,103.0,107.37,102.05,103.22,4665006
2013-01-25,103.54,106.17,103.54,105.43,1804104
2013-01-28,105.69,106.87,105.01,105.66,1203780
2013-01-29,103.57,105.12,101.4,104.81,1680453
2013-01-30,104.85,105.7,103.98,104.95,1437828
2013-01-31,105.79,106.24,103.55,104.88,1460356
2013-02-01,106.35,107.1,104.34,105.96,1847688
2013-02-04,105.48,107.82,104.65,105.7,1710079
2013-02-05,106.2,107.17,106.15,106.25,752202
2013-02-06,105.75,107.74,105.68,107.66,1120846
2013-02-07,107.54,107.99,104.13,105.0,1764087
2013-02-08,105.16,106.66,104.54,105.25,1049612
2013-02-11,104.52,105.89,103.31,103.52,895973
2013-02-12,103.29,103.74,101.88,102.15,1136798
2013-02-13,102.26,103.6,100.38,102.28,1202020
2013-02-14,101.83,102.03,100.31,100.89,1422082
2013-02-15,100.81,101.76,100.37,101.72,1391331
2013-02-19,101.77,103.84,101.51,103.62,976783
2013-02-20,103.75,105.3,102.18,102.2,2167117
2013-02-21,102.12,102.47,99.28,100.73,1093460
2013-02-22,101.36,102.0,99.79,101.06,903166
2013-02-25,99.15,99.5,93.79,93.9,3770807
2013-02-26,94.16,96.65,93.66,94.64,1887749
2013-02-27,94.68,94.89,92.87,93.04,1807879
2013-02-28,92.69,95.13,92.01,94.43,1971428
2013-03-01,94.22,94.46,92.8,93.58,1261842
2013-03-04,93.07,93.56,92.18,92.65,1495423
2013-03-05,93.27,93.94,92.57,93.43,1597143
2013-03-06,94.02,94.4,92.71,93.11,869393
2013-03-07,94.03,95.67,93.08,94.23,1315416
2013-03-08,94.68,95.4,93.79,94.01,1713771
2013-03-11,93.9,94.87,93.4,94.74,1049258
2013-03-12,94.43,95.22,92.85,93.46,1145230
2013-03-13,93.55,95.0,92.12,92.79,1262527
2013-03-14,93.0,93.1,91.07,91.31,2154955
2013-03-15,91.14,92.54,90.65,90.91,1866966
2013-03-18,89.53,90.44,87.97,90.24,1709176
2013-03-19,90.34,90.36,88.1,89.7,1261214
2013-03-20,90.63,91.1,89.89,90.95,1056645
2013-03-21,90.0,91.2,88.66,89.03,1003286
2013-03-22,89.11,89.7,86.33,87.01,1805741
2013-03-25,87.44,88.15,86.97,87.48,1219520
2013-03-26,87.84,88.0,87.03,87.57,807193
2013-03-27,88.45,89.05,87.51,88.72,1427206
2013-03-28,88.43,89.81,87.83,89.08,1130206
2013-04-01,88.84,89.39,87.61,87.91,861880
2013-04-02,89.88,90.0,88.92,89.83,1542843
2013-04-03,90.75,92.57,89.88,90.52,1931253
2013-04-04,90.11,91.0,89.69,90.42,2179782
2013-04-05,73.33,75.79,71.95,73.21,12462890
2013-04-08,73.37,73.4,71.65,72.77,3425625
2013-04-09,72.75,73.43,72.07,72.45,2672441
2013-04-10,72.93,73.79,72.12,73.4,1959291
2013-04-11,73.38,76.76,72.96,75.9,2503924
2013-04-12,75.61,75.84,73.86,74.98,1418641
2013-04-15,74.57,75.13,72.8,73.0,1409331
2013-04-16,73.44,74.56,73.09,73.94,1263225
2013-04-17,73.45,74.64,72.98,73.49,1407947
2013-04-18,73.74,74.18,72.2,72.54,1068793
2013-04-19,72.47,72.48,71.14,71.38,1434729
2013-04-22,71.73,71.99,70.6,71.43,1311742
2013-04-23,71.71,72.98,71.71,72.33,1215857
2013-04-24,72.2,72.74,71.21,72.35,1748919
2013-04-25,76.68,81.3,74.31,74.89,5904966
2013-04-26,73.74,75.2,73.23,74.2,1626555
2013-04-29,74.27,77.03,73.65,75.96,1840323
2013-04-30,75.31,77.25,74.28,76.43,1675940
2013-05-01,76.1,76.32,73.77,74.12,1903080
2013-05-02,73.31,76.12,73.0,74.5,1938411
2013-05-03,75.65,76.04,75.04,75.37,1074261
2013-05-06,75.5,77.55,75.1,77.52,1364597
2013-05-07,78.22,79.0,76.71,76.96,1434318
2013-05-08,76.64,78.71,76.57,78.7,1647677
2013-05-09,78.78,79.87,78.22,79.17,1855522
2013-05-10,79.39,80.03,79.16,79.99,1279977
2013-05-13,80.24,80.41,78.22,78.34,1922149
2013-05-14,78.5,79.13,77.52,78.86,1192906
2013-05-15,78.6,80.08,77.6,79.91,1793983
2013-05-16,82.57,86.22,82.0,82.6,2719477
2013-05-17,82.55,83.18,81.72,82.63,1310118
2013-05-20,82.18,83.55,81.4,82.88,1081356
2013-05-21,83.21,83.48,82.5,82.66,1169290
2013-05-22,83.09,84.5,81.65,82.02,1540746
2013-05-23,81.19,81.59,80.13,81.22,964018
2013-05-24,80.72,81.78,80.08,81.56,802611
2013-05-28,82.51,83.72,82.5,83.67,1229420
