Date,Open,High,Low,Close,Volume
2013-01-02,60.14,61.02,59.89,61.0,2404423
2013-01-03,61.0,61.22,60.27,60.37,1387128
2013-01-04,60.61,60.82,60.33,60.53,845539
2013-01-07,60.16,60.56,59.32,60.31,988284
2013-01-08,60.28,60.56,59.75,59.98,968796
2013-01-09,60.3,61.11,60.23,60.73,874291
2013-01-10,61.43,62.77,61.13,62.63,2862329
2013-01-11,62.47,62.47,61.49,62.17,1366081
2013-01-14,62.2,62.31,61.37,62.07,936178
2013-01-15,61.66,62.67,61.34,62.59,968378
2013-01-16,62.31,62.76,62.16,62.75,1024456
2013-01-17,63.09,64.2,63.05,63.1,1177864
2013-01-18,63.36,63.45,62.45,63.31,937971
2013-01-22,63.18,64.24,62.93,64.01,815066
2013-01-23,64.13,64.36,63.46,63.69,1434138
2013-01-24,63.87,64.98,63.71,64.61,1012635
2013-01-25,64.98,66.06,64.52,66.06,1665763
2013-01-28,66.09,66.67,65.57,65.78,1123130
2013-01-29,65.77,66.05,65.4,65.98,981895
2013-01-30,66.01,66.01,64.82,65.01,1333686
2013-01-31,64.69,65.12,63.99,64.83,1731688
2013-02-01,65.67,66.23,65.43,65.83,1415249
2013-02-04,65.4,65.59,64.8,65.11,951573
2013-02-05,65.43,65.69,65.01,65.54,1333678
2013-02-06,64.93,65.39,64.62,65.25,1203608
2013-02-07,65.41,65.41,64.09,64.7,1045053
2013-02-08,64.7,64.7,63.24,63.71,1856494
2013-02-11,64.01,64.34,63.15,63.43,1434577
2013-02-12,63.6,63.7,63.19,63.57,1172858
2013-02-13,64.06,64.99,63.98,64.05,1434754
2013-02-14,63.85,64.89,63.7,64.57,1277750
2013-02-15,64.47,64.7,64.19,64.51,1082102
2013-02-19,64.47,66.28,64.28,66.28,2033090
2013-02-20,65.98,66.12,64.33,64.34,2010745
2013-02-21,63.74,64.04,61.89,63.53,3061390
2013-02-22,63.91,64.28,63.18,64.05,1418251
2013-02-25,64.48,64.56,61.45,61.45,2004364
2013-02-26,61.71,61.78,59.61,61.36,3035755
2013-02-27,61.32,62.92,61.17,62.53,1249643
2013-02-28,62.53,62.84,61.89,61.9,1609080
2013-03-01,61.29,61.3,59.49,60.51,3538675
2013-03-04,60.17,60.28,58.56,60.03,2849365
2013-03-05,60.61,61.79,60.53,61.63,1850498
2013-03-06,62.09,62.92,61.81,62.75,2008077
2013-03-07,62.92,63.62,62.72,63.41,2141427
2013-03-08,63.88,64.52,63.45,64.31,1093326
2013-03-11,64.27,64.27,63.75,63.96,1272863
2013-03-12,63.97,64.16,63.03,63.83,1033370
2013-03-13,63.8,63.99,63.37,63.78,1041404
2013-03-14,64.0,64.87,63.94,64.79,1005480
2013-03-15,64.47,65.15,64.2,64.48,1522365
2013-03-18,63.46,63.94,62.73,63.55,1506224
2013-03-19,63.84,63.98,62.76,63.5,1389954
2013-03-20,63.79,64.25,63.62,64.03,772513
2013-03-21,63.58,64.32,63.26,63.63,857823
2013-03-22,63.95,65.08,63.59,64.94,1344374
2013-03-25,65.11,65.5,63.8,64.3,1291422
2013-03-26,64.68,65.51,64.61,65.49,861500
2013-03-27,64.84,65.41,64.11,65.25,1036517
2013-03-28,65.42,66.46,65.06,66.33,1259388
