Date,Open,High,Low,Close,Volume
2013-01-02,59.66,59.99,59.02,59.42,831661
2013-01-03,59.48,59.82,58.69,58.91,570508
2013-01-04,58.92,59.26,58.82,59.13,494666
2013-01-07,59.04,59.98,58.8,59.95,600460
2013-01-08,60.08,60.47,59.13,60.41,870877
2013-01-09,60.64,61.83,60.5,61.6,967388
2013-01-10,61.89,61.93,60.85,61.86,693342
2013-01-11,61.93,61.93,61.07,61.4,756242
2013-01-14,61.32,61.76,61.16,61.31,462426
2013-01-15,61.12,61.62,60.98,61.16,551257
2013-01-16,60.84,60.99,60.11,60.83,730402
2013-01-17,61.01,61.15,60.55,60.83,586920
2013-01-18,60.55,60.96,60.0,60.61,1155113
2013-01-22,60.98,61.72,60.62,61.37,633141
2013-01-23,61.1,61.39,60.74,60.88,659415
2013-01-24,61.08,61.5,60.8,61.28,581910
2013-01-25,61.63,61.88,61.06,61.87,693087
2013-01-28,62.06,62.06,60.7,61.38,565353
2013-01-29,61.2,61.83,61.03,61.79,351551
2013-01-30,61.65,61.97,61.45,61.54,508248
2013-01-31,61.28,61.7,61.03,61.47,453579
2013-02-01,61.98,62.63,61.44,62.42,706882
2013-02-04,62.22,62.34,61.8,62.12,598297
2013-02-05,62.39,63.15,62.17,62.6,805268
2013-02-06,62.29,62.69,61.54,61.85,924988
2013-02-07,61.7,61.7,59.4,59.77,1647335
2013-02-08,59.71,60.09,59.06,59.82,1126347
2013-02-11,59.93,60.12,59.18,59.2,956964
2013-02-12,59.6,59.6,58.01,58.13,1594216
2013-02-13,58.25,59.0,58.25,58.81,1104986
2013-02-14,58.59,59.08,58.25,59.01,922822
2013-02-15,59.02,59.89,59.0,59.47,1188598
2013-02-19,59.73,60.22,59.32,59.32,1228487
2013-02-20,59.3,59.53,58.16,58.23,1418952
2013-02-21,57.92,57.92,57.0,57.46,1520104
2013-02-22,57.57,58.76,57.53,58.71,723163
2013-02-25,58.94,59.18,57.51,57.51,1202027
2013-02-26,57.79,58.72,57.66,58.52,905961
2013-02-27,58.57,59.98,58.47,59.65,613294
2013-02-28,59.68,60.66,59.62,60.26,1567281
2013-03-01,59.97,60.21,59.14,59.9,978054
2013-03-04,59.54,60.27,59.18,60.24,790501
2013-03-05,60.45,61.01,60.17,60.74,851659
2013-03-06,60.88,61.34,60.6,61.07,668782
2013-03-07,61.06,61.48,60.79,60.89,633604
2013-03-08,61.23,61.5,60.81,61.12,918341
2013-03-11,61.17,61.51,60.86,61.39,710017
2013-03-12,61.33,61.67,61.01,61.27,897190
2013-03-13,61.32,61.32,60.65,61.15,577562
2013-03-14,61.38,61.61,60.95,61.16,727380
2013-03-15,60.86,61.19,59.93,60.0,2603906
