Date,Open,High,Low,Close,Volume
2013-01-02,26.83,27.36,26.83,27.19,4794529
2013-01-03,27.03,27.22,26.79,26.88,2390214
2013-01-04,26.89,27.13,26.82,27.03,6002825
2013-01-07,26.83,26.99,26.67,26.82,1662387
2013-01-08,26.65,26.78,26.57,26.66,1740574
2013-01-09,26.79,27.02,26.67,27.0,3055716
2013-01-10,27.33,27.53,27.26,27.5,4257936
2013-01-11,27.59,27.62,27.3,27.43,2238086
2013-01-14,27.44,27.44,27.25,27.38,1086807
2013-01-15,27.18,27.52,27.1,27.5,3047070
2013-01-16,27.36,27.58,27.36,27.49,1619488
2013-01-17,27.51,28.04,27.51,27.96,5445263
2013-01-18,27.91,27.96,27.63,27.83,1353273
2013-01-22,27.72,27.81,27.54,27.73,1616169
2013-01-23,27.6,28.02,27.58,27.99,3696107
2013-01-24,28.0,28.18,27.7,27.72,3222686
2013-01-25,27.89,27.89,27.65,27.83,1328630
2013-01-28,28.04,28.48,27.97,28.11,3612710
2013-01-29,27.96,28.33,27.86,28.27,2665249
2013-01-30,28.11,28.66,28.11,28.35,4028269
2013-01-31,28.35,28.51,28.16,28.24,1788592
2013-02-01,28.37,28.89,28.37,28.61,2399513
2013-02-04,28.38,28.54,28.3,28.42,3814519
2013-02-05,28.47,28.76,28.41,28.62,4887958
2013-02-06,28.45,28.69,28.36,28.69,3860219
2013-02-07,27.85,28.42,27.62,27.9,4742557
2013-02-08,28.21,28.91,28.13,28.9,4669801
2013-02-11,28.91,29.02,28.65,28.73,2990306
2013-02-12,28.8,28.9,28.67,28.74,1769201
2013-02-13,28.83,28.96,28.6,28.69,3494678
2013-02-14,28.71,29.08,28.58,28.96,2495402
2013-02-15,29.05,29.39,28.96,29.34,3779112
2013-02-19,29.43,29.77,29.37,29.75,3383605
2013-02-20,29.71,29.91,29.16,29.21,2172736
2013-02-21,29.1,29.1,28.66,28.75,2803064
2013-02-22,28.92,29.03,28.74,29.03,1410609
2013-02-25,29.11,29.23,28.43,28.45,2132610
2013-02-26,28.45,28.77,28.41,28.69,2374434
2013-02-27,28.75,29.31,28.61,29.19,1918954
2013-02-28,29.16,29.39,29.1,29.27,2624701
2013-03-01,28.98,29.65,28.94,29.6,2578004
2013-03-04,29.08,29.89,29.01,29.85,4876738
2013-03-05,30.09,30.64,29.97,30.57,2642171
2013-03-06,30.68,30.84,30.32,30.34,1963659
2013-03-07,30.42,30.48,30.15,30.35,1378517
2013-03-08,30.26,31.15,30.26,31.01,2564206
2013-03-11,30.94,31.08,30.82,31.08,4018870
2013-03-12,31.0,31.05,30.55,30.82,3208214
2013-03-13,30.72,30.88,30.46,30.79,5387837
2013-03-14,30.81,31.0,30.7,30.98,2617555
2013-03-15,31.07,31.1,30.57,30.8,4345037
2013-03-18,30.5,30.81,30.21,30.58,1772703
2013-03-19,30.48,30.64,29.68,30.0,3098791
2013-03-20,30.14,30.5,30.14,30.38,1948108
2013-03-21,30.21,30.37,30.0,30.18,1906037
2013-03-22,30.21,30.64,30.21,30.57,1784637
2013-03-25,30.55,30.8,30.15,30.44,2473447
2013-03-26,30.48,30.67,30.4,30.59,2808322
2013-03-27,30.44,30.53,30.19,30.48,1374073
2013-03-28,30.51,30.91,30.45,30.76,2562503
2013-04-01,30.97,31.0,30.43,30.6,1859240
2013-04-02,30.79,31.36,30.72,31.3,2051767
2013-04-03,31.16,31.32,30.8,30.99,1867355
2013-04-04,30.85,30.95,30.61,30.68,1866135
2013-04-05,30.0,30.92,29.9,30.87,4484781
2013-04-08,30.83,31.61,30.78,31.57,3009792
2013-04-09,31.49,31.58,31.17,31.36,3331773
2013-04-10,31.27,31.58,31.11,31.4,3172708
2013-04-11,31.48,31.85,31.38,31.76,2003790
2013-04-12,31.49,31.72,31.33,31.68,2687535
2013-04-15,31.2,31.37,30.53,30.54,3558316
2013-04-16,30.78,31.61,30.66,31.47,3541754
2013-04-17,31.28,31.33,30.87,31.13,2535367
2013-04-18,31.11,31.22,30.45,30.55,3101082
2013-04-19,30.49,31.32,30.38,31.28,4418999
2013-04-22,31.3,31.81,31.09,31.71,2876532
2013-04-23,31.7,31.95,31.31,31.67,3439656
2013-04-24,31.46,31.76,31.07,31.13,2293375
2013-04-25,31.33,31.41,31.14,31.26,1694144
2013-04-26,31.2,31.39,31.06,31.2,2241510
2013-04-29,31.23,31.45,31.06,31.07,1265791
2013-04-30,31.31,31.32,30.97,31.12,2380363
2013-05-01,31.16,31.47,31.0,31.27,2189328
2013-05-02,31.41,32.25,31.25,31.96,3512318
2013-05-03,32.11,32.57,31.49,32.02,7001748
2013-05-06,31.98,32.19,31.88,32.08,6711471
2013-05-07,32.15,32.38,31.94,32.29,3197783
2013-05-08,32.26,32.26,31.56,31.98,3220983
2013-05-09,33.14,34.12,33.05,33.44,5701196
2013-05-10,33.25,33.65,33.19,33.4,2567283
2013-05-13,33.42,33.53,33.05,33.44,2400075
2013-05-14,33.62,33.84,33.53,33.65,3718593
2013-05-15,33.65,33.65,33.21,33.54,2141197
2013-05-16,33.12,33.49,32.94,32.99,1722930
2013-05-17,33.19,33.42,33.1,33.35,1837128
2013-05-20,33.08,33.32,33.08,33.17,1225919
2013-05-21,33.17,33.49,32.95,33.37,3130213
2013-05-22,33.29,34.06,33.2,33.32,5089174
2013-05-23,33.19,33.49,32.76,33.07,2962678
