Date,Open,High,Low,Close,Volume
2013-01-02,40.9,41.32,40.76,41.32,3998066
2013-01-03,41.44,41.49,41.16,41.34,4065152
2013-01-04,41.44,41.87,41.28,41.77,4054606
2013-01-07,41.6,41.75,41.42,41.6,4724279
2013-01-08,41.19,41.38,41.0,41.27,4950125
2013-01-09,41.27,41.37,41.04,41.23,2847455
2013-01-10,41.29,41.6,41.15,41.6,3764501
2013-01-11,40.99,41.15,40.44,40.62,7339079
2013-01-14,40.69,41.08,40.65,40.93,3475284
2013-01-15,40.87,40.91,40.7,40.82,3275167
2013-01-16,40.83,41.02,40.74,40.84,3312622
2013-01-17,40.93,41.31,40.9,41.15,3050945
2013-01-18,41.19,41.37,41.11,41.37,2956096
2013-01-22,41.39,41.6,41.32,41.49,2745251
2013-01-23,41.49,41.6,41.27,41.51,2192481
2013-01-24,41.44,41.83,41.44,41.7,2632120
2013-01-25,41.86,41.87,41.66,41.75,2596865
2013-01-28,41.7,41.82,41.54,41.74,2625446
2013-01-29,41.66,42.01,41.6,41.97,2555039
2013-01-30,41.96,42.18,41.85,42.04,3013929
2013-01-31,42.04,42.24,41.94,41.94,3717717
2013-02-01,42.31,42.45,42.03,42.13,2771394
2013-02-04,41.97,42.12,41.72,41.75,2818076
2013-02-05,41.94,42.33,41.91,42.13,3319694
2013-02-06,42.0,42.36,41.96,42.36,3521500
2013-02-07,42.31,42.61,42.27,42.47,2790466
2013-02-08,42.45,42.66,42.41,42.6,2092397
2013-02-11,42.59,42.67,42.5,42.67,2359723
2013-02-12,42.61,42.99,42.6,42.97,3852042
2013-02-13,42.98,43.09,42.85,42.98,3088723
2013-02-14,43.2,44.52,43.02,44.31,11824411
2013-02-15,44.59,44.62,44.14,44.59,6662944
2013-02-19,44.67,45.44,44.5,45.43,6384936
2013-02-20,45.39,45.73,45.14,45.47,5389168
2013-02-21,45.39,45.44,45.18,45.33,3934281
2013-02-22,45.33,45.67,45.26,45.67,3041566
2013-02-25,45.74,46.01,45.42,45.42,4307900
2013-02-26,45.57,46.03,45.47,46.01,5022708
2013-02-27,46.0,46.37,45.82,46.28,2608807
2013-02-28,46.28,46.47,46.1,46.25,3381361
2013-03-01,46.22,46.53,45.81,46.39,5480412
2013-03-04,46.36,46.5,46.24,46.45,4240718
2013-03-05,46.5,46.69,46.39,46.49,4313935
2013-03-06,46.55,46.72,46.38,46.43,3459122
2013-03-07,46.45,46.69,46.4,46.46,3281968
2013-03-08,46.52,46.62,46.3,46.33,3267765
2013-03-11,46.06,46.2,45.56,45.7,6330223
2013-03-12,45.56,46.35,45.51,46.27,4696195
2013-03-13,46.32,46.5,46.17,46.48,3630037
2013-03-14,46.49,46.53,46.2,46.42,3573881
2013-03-15,46.21,46.4,46.02,46.24,5184088
2013-03-18,45.98,46.46,45.93,46.33,3546996
2013-03-19,46.38,46.5,46.17,46.42,4182267
2013-03-20,46.57,48.02,46.41,47.61,9061245
2013-03-21,47.55,48.31,47.3,47.86,7079906
2013-03-22,47.94,48.29,47.9,48.15,3326547
2013-03-25,48.17,48.64,47.85,48.08,3382136
2013-03-26,48.19,48.63,48.09,48.63,3558421
2013-03-27,48.58,48.95,48.55,48.79,3860016
2013-03-28,48.97,49.37,48.82,49.31,4748985
2013-04-01,48.25,48.98,48.21,48.68,4340305
2013-04-02,48.81,49.14,48.68,48.81,3659564
2013-04-03,48.8,48.8,48.13,48.27,4437044
2013-04-04,48.35,49.05,48.35,49.02,5303330
2013-04-05,48.75,48.85,48.41,48.74,3628543
2013-04-08,48.47,48.7,48.2,48.7,3088607
2013-04-09,48.79,48.95,48.34,48.69,2939078
2013-04-10,48.81,49.17,48.69,49.03,3526369
2013-04-11,49.2,49.58,49.05,49.25,3174401
2013-04-12,49.16,49.41,48.95,49.35,2314709
2013-04-15,49.17,49.48,48.97,49.06,4136224
2013-04-16,49.26,49.88,49.06,49.86,3186076
2013-04-17,49.74,49.85,49.42,49.54,3421205
2013-04-18,49.6,49.91,49.52,49.86,3724534
2013-04-19,49.97,50.52,49.9,50.34,4231754
2013-04-22,50.33,50.53,50.14,50.45,1877125
2013-04-23,50.53,50.9,50.2,50.68,3336884
2013-04-24,50.68,50.78,49.32,49.34,5661834
2013-04-25,49.42,49.68,49.22,49.39,3900616
2013-04-26,49.42,49.82,49.39,49.68,2366446
2013-04-29,49.7,50.3,49.7,50.21,2821889
2013-04-30,50.1,50.42,49.88,50.42,2827898
2013-05-01,50.45,50.75,50.34,50.4,3348356
2013-05-02,50.35,50.59,50.17,50.45,2626838
2013-05-03,50.69,50.87,50.43,50.72,2736166
2013-05-06,50.55,50.61,49.52,49.59,4080326
2013-05-07,49.73,50.76,49.64,50.76,4117932
2013-05-08,50.73,50.84,49.74,49.94,4217254
2013-05-09,50.03,50.13,49.5,49.63,3073261
2013-05-10,49.68,49.98,49.58,49.91,2728346
2013-05-13,49.87,50.3,49.43,50.09,3009255
2013-05-14,50.14,50.71,50.11,50.63,3626774
2013-05-15,50.52,50.97,50.16,50.93,2849524
2013-05-16,50.87,50.97,50.45,50.47,2617062
2013-05-17,50.41,50.53,49.86,50.36,3261928
2013-05-20,50.42,50.64,49.09,49.13,5327484
2013-05-21,49.13,49.52,48.87,49.36,4614311
2013-05-22,49.3,49.79,48.89,49.03,4708463
2013-05-23,48.8,48.98,48.24,48.85,3963868
2013-05-24,48.75,48.98,48.37,48.98,2726142
