Date,Open,High,Low,Close,Volume
2013-01-02,131.3,131.66,129.62,131.66,4449409
2013-01-03,131.7,131.78,130.07,130.94,4584522
2013-01-04,130.93,134.64,130.32,134.51,5235939
2013-01-07,134.12,134.51,132.88,134.26,3557305
2013-01-08,133.71,133.95,132.7,133.05,2761093
2013-01-09,133.4,134.43,133.27,134.32,3666618
2013-01-10,135.07,138.15,134.13,137.37,5962241
2013-01-11,137.02,137.17,136.13,137.13,3215992
2013-01-14,137.19,137.32,135.66,136.13,2862478
2013-01-15,135.55,137.26,135.12,135.59,4325884
2013-01-16,138.94,141.58,137.9,141.09,10654652
2013-01-17,140.89,141.95,139.62,141.01,6596062
2013-01-18,141.35,144.81,141.24,144.45,7351019
2013-01-22,144.01,146.28,143.34,145.95,5158829
2013-01-23,145.78,145.94,144.81,145.56,3950679
2013-01-24,145.0,146.74,144.06,144.96,4638187
2013-01-25,144.18,145.27,143.3,144.46,4640453
2013-01-28,144.43,145.25,143.69,144.15,3045923
2013-01-29,144.1,147.5,143.84,147.1,4521925
2013-01-30,146.81,147.42,145.91,147.15,4084256
2013-01-31,146.26,148.0,146.26,147.86,3683006
2013-02-01,148.51,150.4,147.76,149.9,4564387
2013-02-04,148.25,148.95,146.62,147.52,4680197
2013-02-05,148.35,150.75,148.18,150.45,4219757
2013-02-06,149.75,151.14,149.17,151.12,3942629
2013-02-07,150.76,152.5,149.0,150.26,4891850
2013-02-08,150.78,151.97,150.35,151.6,3612713
2013-02-11,151.42,152.87,150.96,152.24,3752174
2013-02-12,152.48,154.32,151.79,154.11,4310451
2013-02-13,154.11,154.85,153.28,154.52,4369476
2013-02-14,153.84,156.72,153.62,155.93,5037537
2013-02-15,156.4,156.54,154.08,154.99,4254701
2013-02-19,155.69,159.0,155.25,158.65,5105361
2013-02-20,158.22,158.5,154.56,155.18,5032420
2013-02-21,153.72,153.95,149.8,150.88,8319596
2013-02-22,152.37,154.13,152.05,154.09,4773547
2013-02-25,155.19,155.69,147.6,147.65,6296432
2013-02-26,148.11,149.46,146.71,148.0,5687228
2013-02-27,147.87,152.05,147.76,151.65,4696452
2013-02-28,151.35,152.4,149.76,149.76,4957378
2013-03-01,148.12,151.7,147.22,150.53,4539232
2013-03-04,150.01,152.47,149.71,152.18,3209780
2013-03-05,153.45,154.96,152.8,152.96,4597671
2013-03-06,154.06,155.05,152.8,154.13,3593845
2013-03-07,154.7,157.19,154.5,156.62,3893304
2013-03-08,155.89,156.23,152.01,152.98,6615419
2013-03-11,152.45,154.32,152.36,153.3,3587737
2013-03-12,153.3,153.8,150.46,151.85,3432598
2013-03-13,152.03,152.87,150.58,151.91,3357622
2013-03-14,152.27,154.34,152.16,154.02,3886769
2013-03-15,151.35,155.63,151.3,154.84,7304060
2013-03-18,152.53,153.11,150.89,151.95,3788120
2013-03-19,152.61,153.09,147.82,148.84,4727645
