Date,Open,High,Low,Close,Volume
2013-01-02,35.48,35.73,35.07,35.71,10230896
2013-01-03,35.68,36.73,35.47,36.31,16641198
2013-01-04,36.39,36.79,36.27,36.65,8153248
2013-01-07,36.4,36.89,36.3,36.65,7678293
2013-01-08,36.29,36.57,35.71,36.19,12054452
2013-01-09,36.24,36.6,36.08,36.48,8379499
2013-01-10,36.66,36.96,36.42,36.9,9954306
2013-01-11,36.83,36.96,36.24,36.62,8338152
2013-01-14,36.6,36.91,35.71,35.91,10320740
2013-01-15,35.84,36.3,35.77,36.18,6753092
2013-01-16,36.07,36.43,36.03,36.26,5339070
2013-01-17,36.39,36.43,35.87,36.3,10938515
2013-01-18,36.56,37.56,36.46,37.5,17314331
2013-01-22,37.54,38.2,37.46,37.93,13819618
2013-01-23,37.68,38.14,37.29,37.79,9261575
2013-01-24,37.79,38.33,37.45,37.81,11015986
2013-01-25,39.55,40.28,39.32,39.72,32628621
2013-01-28,40.15,40.65,39.88,40.28,13923510
2013-01-29,40.29,41.06,40.19,40.88,14980333
2013-01-30,40.8,40.9,40.02,40.2,15532349
2013-01-31,40.03,40.93,39.88,40.68,14939614
2013-02-01,40.99,41.24,40.49,41.08,10024559
2013-02-04,40.7,41.04,40.55,40.86,11734663
2013-02-05,41.08,41.25,40.67,40.91,10153796
2013-02-06,40.6,40.9,39.55,40.31,14910908
2013-02-07,40.42,40.83,40.15,40.83,9551182
2013-02-08,40.87,41.35,40.81,41.26,8003177
2013-02-11,41.24,41.44,40.73,40.87,8821128
2013-02-12,40.99,41.15,40.64,40.71,5599618
2013-02-13,40.83,41.1,40.63,40.84,6009575
2013-02-14,40.72,43.96,40.72,43.32,26176126
2013-02-15,43.0,43.2,42.24,42.7,19394089
2013-02-19,43.54,43.96,42.59,42.81,15348601
2013-02-20,42.86,42.95,41.55,41.62,15695675
2013-02-21,41.36,41.43,40.26,40.77,18735797
2013-02-22,40.91,41.19,40.32,41.11,9085281
2013-02-25,41.4,41.75,39.75,39.85,9782871
2013-02-26,40.02,40.68,39.48,40.49,9852377
2013-02-27,40.1,41.4,40.06,41.27,9178724
2013-02-28,41.23,41.98,40.92,41.51,9745317
2013-03-01,41.17,41.36,40.46,40.63,9560392
2013-03-04,40.19,40.5,39.52,39.96,9178598
2013-03-05,40.15,41.02,40.0,41.0,9076038
2013-03-06,41.46,41.46,40.35,40.8,6610530
2013-03-07,41.06,41.43,40.47,41.41,9666081
2013-03-08,41.78,42.22,41.48,42.08,11000400
2013-03-11,41.9,42.27,41.6,42.0,9047012
2013-03-12,42.05,42.55,41.71,41.96,7073090
2013-03-13,41.99,42.38,41.64,41.84,8237954
2013-03-14,41.96,42.64,41.64,42.54,8683320
2013-03-15,42.35,42.64,41.88,41.9,14430122
2013-03-18,41.16,41.8,40.48,40.73,13678569
2013-03-19,40.77,40.93,38.83,39.62,27773352
2013-03-20,40.0,40.12,38.87,39.44,13612118
2013-03-21,39.5,40.07,39.36,39.47,10908993
2013-03-22,39.53,39.9,39.0,39.16,14746625
2013-03-25,39.6,39.85,39.18,39.65,9896599
2013-03-26,39.81,40.18,39.71,40.13,11004033
2013-03-27,39.97,40.89,39.63,40.66,8292448
2013-03-28,40.58,40.71,40.12,40.41,7128371
2013-04-01,40.35,40.44,39.46,39.93,6885831
2013-04-02,39.93,40.39,39.58,39.89,6905871
2013-04-03,39.94,40.06,38.45,38.75,12988350
2013-04-04,38.75,38.84,38.19,38.54,10370249
2013-04-05,37.98,38.73,37.8,38.6,14112923
2013-04-08,38.54,38.66,38.14,38.41,10549450
2013-04-09,38.47,39.27,38.18,39.11,8501184
2013-04-10,39.15,40.68,39.14,40.39,10963464
2013-04-11,40.52,41.24,40.11,41.17,10107920
2013-04-12,40.79,40.93,40.08,40.86,9618439
2013-04-15,40.09,40.21,38.55,38.66,13492446
2013-04-16,39.1,39.77,38.56,39.69,9736628
2013-04-17,39.22,39.24,37.45,37.69,17464957
2013-04-18,37.77,38.36,37.07,37.71,15818614
2013-04-19,38.07,38.49,36.77,37.21,20006111
2013-04-22,38.96,39.41,38.05,39.29,26107547
2013-04-23,39.45,39.98,38.99,39.69,14170028
2013-04-24,40.32,41.8,40.27,40.92,16267607
2013-04-25,41.04,41.6,40.66,40.75,10034469
2013-04-26,40.54,40.85,40.16,40.57,6921221
2013-04-29,40.87,41.98,40.46,41.57,11177889
2013-04-30,41.6,42.82,41.56,42.77,21272186
2013-05-01,42.0,42.33,41.69,42.08,12828996
2013-05-02,42.21,42.6,41.84,42.4,12119361
2013-05-03,42.79,43.24,42.45,42.55,11371996
2013-05-06,42.46,43.31,42.45,43.06,7955939
2013-05-07,43.25,43.79,42.88,43.42,8226783
2013-05-08,43.4,43.79,43.06,43.7,6786395
2013-05-09,43.63,43.75,43.26,43.56,6691913
2013-05-10,43.2,43.4,42.76,43.39,8941826
2013-05-13,43.13,43.63,43.13,43.56,8863841
2013-05-14,43.56,44.57,43.39,44.2,11698585
2013-05-15,43.96,44.26,43.16,44.13,9650094
2013-05-16,44.11,44.44,43.73,43.85,8220080
2013-05-17,44.63,45.25,44.41,45.25,13358425
2013-05-20,45.02,45.63,44.9,45.55,8296068
2013-05-21,45.58,45.75,43.9,44.83,17703147
2013-05-22,44.8,45.06,43.72,44.02,13223616
2013-05-23,42.45,43.64,41.91,43.52,11128302
2013-05-24,43.36,43.36,42.58,43.02,8454448
2013-05-28,43.8,43.95,43.26,43.37,9244219
2013-05-29,42.99,43.76,42.96,43.57,6382411
2013-05-30,42.68,43.06,42.03,42.63,15691449
2013-05-31,42.41,42.68,41.85,41.85,9363237
2013-06-03,41.93,42.43,41.55,42.39,8137758
2013-06-04,42.29,42.87,41.77,41.99,10579789
2013-06-05,41.9,42.12,41.68,41.76,9560406
2013-06-06,41.83,42.38,41.38,42.35,7739955
2013-06-07,42.57,43.25,42.25,43.16,7279234
2013-06-10,43.32,43.34,42.59,42.82,6137297
2013-06-11,42.22,42.62,41.83,42.04,6617523
2013-06-12,42.37,42.59,41.6,41.61,6973080
2013-06-13,41.66,43.2,41.66,43.08,7249557
2013-06-14,43.38,43.5,42.68,42.93,7487491
2013-06-17,43.36,43.94,43.24,43.62,6744630
2013-06-18,43.63,44.47,43.63,44.07,9805712
2013-06-19,43.99,44.35,43.05,43.05,9389408
2013-06-20,42.46,42.59,41.62,41.8,11032978
2013-06-21,42.1,42.25,41.19,41.79,10240454
2013-06-24,41.21,41.43,40.12,40.95,11161485
2013-06-25,41.45,41.75,40.96,41.15,10536968
2013-06-26,41.49,41.8,41.2,41.47,8239900
2013-06-27,41.67,42.1,41.61,41.84,6787024
2013-06-28,41.7,42.18,41.5,41.72,9600479
2013-07-01,42.03,42.62,41.86,42.45,8624155
2013-07-02,42.44,43.34,42.41,42.79,9190731
2013-07-03,42.77,43.3,42.56,42.65,3772123
2013-07-05,43.01,43.83,42.66,43.71,6014193
2013-07-08,44.0,44.2,43.65,43.92,7505370
2013-07-09,44.31,44.57,44.05,44.31,8333635
2013-07-10,44.23,44.78,43.89,44.13,7701986
2013-07-11,44.75,44.87,43.66,44.18,7295611
2013-07-12,44.07,44.67,43.97,44.64,5138512
2013-07-15,44.67,44.69,43.8,44.11,7297397
2013-07-16,44.19,44.32,43.43,43.63,5608569
2013-07-17,43.64,44.23,43.64,44.14,8307187
2013-07-18,44.22,44.93,44.16,44.74,9196682
2013-07-19,45.1,45.99,44.93,45.83,15154163
2013-07-22,46.09,46.66,44.81,45.08,17306557
2013-07-23,45.62,46.24,45.52,45.58,10817144
2013-07-24,45.64,45.78,44.62,44.82,8235418
2013-07-25,44.64,45.14,43.78,44.34,12329841
2013-07-26,46.45,46.5,45.54,45.98,23512796
2013-07-29,45.73,45.85,45.33,45.53,11513201
2013-07-30,45.59,45.59,44.94,45.23,8185985
2013-07-31,45.19,45.62,44.96,45.19,8360982
2013-08-01,45.72,46.48,45.67,46.41,9103887
2013-08-02,46.28,46.48,46.05,46.3,5335071
2013-08-05,46.16,46.25,45.76,46.05,4540304
2013-08-06,45.88,46.09,45.54,45.85,6140511
