Date,Open,High,Low,Close,Volume
2013-01-02,43.72,44.07,43.39,44.06,260807
2013-01-03,44.11,44.2,43.69,43.85,245078
2013-01-04,43.82,44.08,43.49,44.04,237379
2013-01-07,43.81,44.15,43.53,43.68,256651
2013-01-08,43.55,43.72,43.1,43.3,270618
2013-01-09,43.52,43.72,43.13,43.2,252522
2013-01-10,43.45,43.55,43.19,43.46,179940
2013-01-11,43.54,43.54,43.15,43.28,152855
2013-01-14,43.24,43.63,43.03,43.37,161945
2013-01-15,43.2,44.12,43.2,43.76,237869
2013-01-16,43.58,43.78,43.11,43.17,178577
2013-01-17,43.45,44.41,43.43,44.26,191866
2013-01-18,44.37,44.75,44.06,44.62,119747
2013-01-22,44.7,45.16,44.5,45.0,112547
2013-01-23,45.05,45.77,44.85,45.61,137078
2013-01-24,45.71,45.95,45.39,45.57,103914
2013-01-25,45.61,45.69,45.23,45.47,261402
2013-01-28,45.34,45.38,44.72,44.89,540954
2013-01-29,44.84,44.98,44.63,44.75,711000
2013-01-30,44.65,44.71,44.14,44.38,592211
2013-01-31,44.26,44.7,44.01,44.3,755089
2013-02-01,44.76,44.76,44.38,44.53,628706
2013-02-04,44.4,44.87,44.12,44.21,385809
2013-02-05,44.28,44.59,43.96,44.17,347208
2013-02-06,43.99,44.63,43.99,44.39,316327
2013-02-07,44.39,45.0,44.38,44.88,272649
2013-02-08,44.81,45.4,44.61,45.39,387929
2013-02-11,45.23,45.4,45.0,45.23,176571
2013-02-12,45.27,45.4,45.15,45.25,176363
2013-02-13,45.33,45.82,45.13,45.55,242203
2013-02-14,45.39,45.48,45.04,45.2,251431
2013-02-15,45.1,45.59,45.03,45.35,121880
2013-02-19,45.35,45.55,45.23,45.54,295441
2013-02-20,45.45,45.95,45.38,45.44,480001
2013-02-21,45.35,45.44,44.6,44.63,225792
2013-02-22,44.85,45.19,44.8,44.95,263967
2013-02-25,45.1,45.59,44.27,44.29,290073
2013-02-26,44.35,45.74,44.35,45.47,279332
2013-02-27,45.47,47.14,44.77,47.12,365594
2013-02-28,46.77,48.52,46.76,48.04,385872
2013-03-01,47.78,48.57,47.29,47.91,415491
2013-03-04,47.73,47.79,47.18,47.25,314805
2013-03-05,47.47,48.1,47.26,48.07,187127
2013-03-06,48.37,49.18,48.35,49.17,224718
2013-03-07,49.16,49.2,48.8,49.05,319591
2013-03-08,49.35,50.76,49.35,50.56,294669
2013-03-11,50.25,50.98,50.01,50.9,217166
2013-03-12,50.7,51.42,50.66,51.34,234085
2013-03-13,51.38,53.11,51.38,52.85,320253
2013-03-14,52.89,54.12,52.59,54.08,283378
2013-03-15,54.21,54.22,53.61,54.02,530082
2013-03-18,53.53,53.9,53.25,53.64,190758
2013-03-19,52.91,53.33,52.27,52.5,364085
2013-03-20,52.59,52.98,52.48,52.82,199325
2013-03-21,52.64,52.96,51.83,52.05,221166
2013-03-22,52.44,53.06,52.19,52.41,185087
2013-03-25,52.63,53.19,52.11,52.36,181150
2013-03-26,52.4,53.34,52.4,53.2,190432
2013-03-27,52.89,53.08,52.63,52.96,121414
2013-03-28,53.08,53.47,52.94,53.33,122777
2013-04-01,53.52,54.16,53.19,53.78,218437
2013-04-02,53.94,53.96,52.29,52.48,228373
2013-04-03,52.56,53.31,51.89,51.95,440087
2013-04-04,52.19,52.67,51.79,51.91,163335
2013-04-05,51.19,51.78,50.88,51.58,134340
2013-04-08,51.92,51.92,50.91,51.3,188395
2013-04-09,51.26,51.44,50.41,51.08,213909
2013-04-10,50.98,51.86,50.96,51.86,240673
2013-04-11,51.86,52.3,51.8,52.13,109898
2013-04-12,52.17,53.68,52.17,53.65,543391
2013-04-15,53.28,53.58,51.5,51.87,321763
2013-04-16,52.42,52.63,50.66,51.5,177088
2013-04-17,51.12,51.32,50.03,50.63,137975
2013-04-18,50.87,50.87,49.84,50.11,214935
2013-04-19,50.23,50.62,49.9,50.27,149812
2013-04-22,50.23,50.31,49.73,50.12,126359
2013-04-23,50.28,51.01,50.28,50.98,142907
2013-04-24,51.0,51.39,50.89,51.28,140020
2013-04-25,51.51,52.51,51.36,52.48,201246
2013-04-26,52.52,52.75,51.71,51.88,194380
2013-04-29,52.08,52.99,52.08,52.91,190653
2013-04-30,52.91,53.11,52.64,52.9,195621
2013-05-01,52.73,53.06,51.88,51.93,132256
2013-05-02,52.05,53.02,51.43,52.95,169609
2013-05-03,53.26,53.66,53.12,53.34,116444
2013-05-06,53.23,53.75,52.84,53.44,137404
2013-05-07,53.57,54.1,53.38,54.0,250170
2013-05-08,54.0,54.45,52.55,53.52,179252
2013-05-09,53.74,53.92,52.86,53.66,189638
2013-05-10,53.7,54.05,53.49,53.81,145078
2013-05-13,53.64,53.8,53.39,53.51,203631
2013-05-14,53.56,54.24,53.5,54.15,227742
2013-05-15,54.0,54.7,53.85,54.58,156987
2013-05-16,54.67,55.39,54.49,55.17,209443
2013-05-17,55.54,56.0,55.3,55.82,224339
2013-05-20,55.82,55.82,55.15,55.26,331135
2013-05-21,55.27,56.11,55.12,56.0,194275
2013-05-22,56.15,56.54,55.35,55.57,204359
2013-05-23,55.18,56.04,54.84,56.0,188633
2013-05-24,55.84,56.0,55.1,55.34,126714
2013-05-28,55.93,56.72,55.5,55.73,119250
2013-05-29,55.31,55.49,54.5,54.83,162547
2013-05-30,54.7,55.81,54.7,55.29,178785
2013-05-31,55.23,56.22,54.8,55.22,183845
2013-06-03,55.33,55.56,54.17,54.46,298601
2013-06-04,54.43,55.14,53.87,54.87,268182
2013-06-05,54.66,55.05,53.98,54.44,187692
2013-06-06,54.27,55.21,54.03,55.2,142054
2013-06-07,55.19,56.14,52.41,56.02,135056
2013-06-10,56.21,56.67,55.68,56.66,171362
2013-06-11,56.04,56.47,55.34,56.03,114853
2013-06-12,56.48,56.79,55.07,55.27,100995
2013-06-13,55.09,56.08,55.02,55.99,187072
2013-06-14,55.94,56.59,55.52,56.09,95428
2013-06-17,56.49,56.7,55.62,56.31,224731
2013-06-18,56.24,57.7,56.09,57.64,134099
2013-06-19,57.64,57.64,56.57,56.65,109794
2013-06-20,56.0,56.64,55.72,55.93,210055
2013-06-21,55.95,56.13,54.85,55.05,451736
2013-06-24,54.66,55.5,54.32,55.04,214443
2013-06-25,55.39,55.5,54.62,54.68,277591
2013-06-26,55.01,55.57,54.79,55.33,159405
2013-06-27,55.7,56.82,55.7,56.59,173704
2013-06-28,56.46,56.95,56.02,56.48,812416
2013-07-01,56.82,57.52,56.37,56.92,244667
2013-07-02,56.94,57.34,56.14,56.6,252304
2013-07-03,56.5,57.34,56.5,57.3,354459
2013-07-05,57.36,58.14,57.36,58.05,183218
2013-07-08,58.31,58.84,57.66,57.78,315126
2013-07-09,58.16,58.81,57.84,58.27,137570
2013-07-10,58.26,59.32,58.26,59.16,122386
2013-07-11,59.85,60.76,59.74,60.59,228576
2013-07-12,60.64,60.87,59.27,60.19,155455
2013-07-15,60.39,60.96,60.11,60.87,141081
2013-07-16,60.82,61.23,59.97,60.02,162975
2013-07-17,60.18,60.67,60.06,60.5,144619
2013-07-18,60.67,62.06,60.67,61.99,242944
2013-07-19,61.76,62.9,61.76,62.79,267450
2013-07-22,62.93,63.19,62.49,62.93,256998
2013-07-23,63.07,63.4,62.86,63.26,177226
2013-07-24,63.36,63.79,63.23,63.34,172616
2013-07-25,63.31,63.31,62.41,63.09,145167
2013-07-26,62.74,63.18,62.31,62.51,96254
2013-07-29,62.27,62.6,62.03,62.09,103712
2013-07-30,62.45,62.92,61.74,61.93,148131
2013-07-31,62.15,62.51,61.85,62.18,307398
2013-08-01,62.96,63.99,62.72,63.2,450290
2013-08-02,62.98,63.5,62.94,63.35,181605
2013-08-05,63.12,63.63,62.58,63.55,109744
2013-08-06,63.32,63.62,62.77,63.19,120494
2013-08-07,62.86,63.6,62.13,63.33,281944
2013-08-08,63.7,63.99,63.19,63.53,416752
2013-08-09,63.26,64.14,62.9,64.11,297431
2013-08-12,63.97,64.68,63.77,64.4,297204
2013-08-13,64.55,65.16,63.76,64.8,330264
2013-08-14,64.85,64.88,63.84,63.92,140493
2013-08-15,63.48,63.64,62.96,63.24,315796
2013-08-16,63.24,63.9,63.24,63.47,123944
2013-08-19,63.36,63.71,63.25,63.5,127749
2013-08-20,63.5,64.46,63.45,63.96,131699
2013-08-21,63.7,64.55,63.7,63.93,176037
2013-08-22,64.13,65.7,64.03,65.21,113417
2013-08-23,65.57,65.69,65.11,65.35,109808
2013-08-26,65.27,66.41,65.01,65.62,168695
2013-08-27,65.12,65.61,63.92,63.92,195272
2013-08-28,63.95,64.75,63.76,64.22,95951
2013-08-29,64.05,65.01,64.05,64.61,122167
2013-08-30,64.58,64.71,63.22,63.32,220269
2013-09-03,64.27,64.65,63.29,63.59,355338
2013-09-04,63.45,64.3,63.37,64.24,324652
2013-09-05,64.09,64.34,63.9,64.13,128841
2013-09-06,64.28,64.98,63.46,64.77,181451
2013-09-09,64.63,65.93,64.63,65.92,131947
2013-09-10,66.14,66.88,65.83,66.83,212948
2013-09-11,66.68,67.56,66.56,67.56,136503
2013-09-12,67.67,68.28,67.22,68.0,854725
2013-09-13,68.0,68.18,66.78,67.85,302839
2013-09-16,68.81,68.86,68.05,68.7,165199
2013-09-17,68.73,69.4,68.32,69.32,256837
2013-09-18,69.15,69.81,68.5,69.49,406110
2013-09-19,69.52,69.73,68.78,69.09,158063
2013-09-20,69.24,69.56,67.76,67.79,418573
2013-09-23,67.91,68.19,67.44,67.62,384067
2013-09-24,67.6,68.12,67.13,67.47,368764
2013-09-25,67.51,67.78,67.09,67.38,407608
2013-09-26,67.5,67.8,67.12,67.41,245642
2013-09-27,66.93,67.5,66.57,67.42,274219
