Date,Open,High,Low,Close,Volume
2013-01-02,40.8,41.27,40.8,41.21,947676
2013-01-03,41.08,41.36,40.92,41.22,698666
2013-01-04,41.36,41.36,41.15,41.18,1016574
2013-01-07,41.12,41.59,41.08,41.54,594622
2013-01-08,41.36,41.77,41.28,41.32,883870
2013-01-09,41.55,41.76,41.06,41.54,800936
2013-01-10,41.78,41.84,41.48,41.68,649742
2013-01-11,41.79,41.93,41.44,41.54,703720
2013-01-14,41.58,42.02,41.52,42.02,719876
2013-01-15,41.89,42.04,41.57,42.01,787036
2013-01-16,41.84,42.08,41.68,41.98,461596
2013-01-17,42.16,42.53,41.92,42.3,567754
2013-01-18,42.16,42.52,42.16,42.48,650712
2013-01-22,42.32,42.7,42.32,42.69,597964
2013-01-23,42.62,43.0,42.52,42.88,788812
2013-01-24,42.98,43.6,42.92,43.53,1361320
2013-01-25,43.76,43.95,43.53,43.9,873632
2013-01-28,43.83,43.95,43.54,43.58,461586
2013-01-29,43.62,43.74,43.42,43.5,1180312
2013-01-30,43.4,43.71,43.24,43.36,634784
2013-01-31,43.2,43.43,43.04,43.17,622388
2013-02-01,43.44,43.8,42.94,43.78,1113692
2013-02-04,43.46,44.03,43.24,43.57,862228
2013-02-05,43.76,43.99,43.57,43.9,676342
2013-02-06,43.68,44.34,43.68,44.32,767342
2013-02-07,44.32,44.61,43.9,44.32,830018
2013-02-08,44.52,44.66,44.4,44.56,683914
2013-02-11,44.62,44.84,44.46,44.72,940218
2013-02-12,44.76,45.49,44.72,45.18,1725354
2013-02-13,45.18,45.56,44.5,44.62,1793014
2013-02-14,44.25,44.68,44.03,44.2,1752068
2013-02-15,44.32,44.68,44.16,44.34,881804
2013-02-19,44.3,44.97,44.26,44.65,1121320
2013-02-20,44.61,44.76,44.21,44.21,659912
2013-02-21,44.14,44.34,43.5,43.68,1018084
2013-02-22,43.86,44.0,43.7,43.89,693826
2013-02-25,44.14,44.39,43.67,43.68,1528484
2013-02-26,43.87,43.96,43.4,43.65,820934
2013-02-27,43.83,44.44,43.34,44.23,585520
2013-02-28,44.19,44.78,44.15,44.61,919694
2013-03-01,44.35,44.62,43.95,44.42,1170326
2013-03-04,44.47,44.47,44.12,44.38,806324
2013-03-05,44.59,45.2,44.52,44.95,725774
2013-03-06,44.96,45.1,44.85,44.87,622330
2013-03-07,44.83,45.03,44.57,44.65,758842
2013-03-08,44.8,45.23,44.76,45.16,658742
2013-03-11,44.72,45.26,44.39,44.96,905856
2013-03-12,44.8,45.12,44.74,45.02,677926
2013-03-13,45.14,45.2,44.98,45.13,610770
2013-03-14,45.18,45.32,45.01,45.32,609398
2013-03-15,45.21,45.3,44.86,44.94,1133686
2013-03-18,45.85,45.85,44.68,44.86,527262
2013-03-19,44.84,45.34,44.84,45.02,1206646
2013-03-20,45.26,45.6,45.26,45.45,759994
2013-03-21,45.18,45.36,44.98,45.3,653296
2013-03-22,45.45,45.58,45.2,45.29,425858
2013-03-25,45.49,45.74,44.98,45.15,572590
2013-03-26,45.38,45.7,45.28,45.57,424378
2013-03-27,45.3,45.64,45.09,45.6,358582
2013-03-28,45.46,46.33,45.34,46.28,919340
2013-04-01,46.06,46.32,45.7,45.96,605018
2013-04-02,46.2,46.45,45.85,46.04,586612
2013-04-03,46.0,46.06,45.4,45.52,555084
2013-04-04,45.53,46.0,45.48,45.7,450674
2013-04-05,45.2,45.28,44.91,45.22,733472
2013-04-08,45.14,45.7,45.14,45.69,516998
2013-04-09,45.72,45.74,44.96,45.4,618114
2013-04-10,45.4,46.06,45.32,45.9,537574
2013-04-11,46.04,46.3,45.87,46.17,478274
2013-04-12,46.37,46.4,45.73,45.96,433816
2013-04-15,45.92,46.12,44.86,45.0,529408
