Date,Open,High,Low,Close,Volume
2013-01-02,40.13,40.64,39.94,40.49,4462087
2013-01-03,40.36,40.59,39.95,40.37,3938970
2013-01-04,40.36,40.89,40.15,40.85,3272544
2013-01-07,40.57,40.93,40.47,40.79,2485192
2013-01-08,40.61,40.7,40.16,40.41,3782418
2013-01-09,40.45,40.77,40.13,40.33,3561917
2013-01-10,40.5,40.53,39.53,40.01,3891447
2013-01-11,40.14,40.14,39.65,40.11,1802335
2013-01-14,40.12,40.83,40.12,40.83,3450744
2013-01-15,40.53,40.92,40.01,40.8,3262372
2013-01-16,40.55,40.77,40.41,40.59,1884972
2013-01-17,40.84,42.2,40.73,41.64,4881137
2013-01-18,41.66,41.91,41.52,41.91,3027378
2013-01-22,41.65,42.11,41.62,42.06,3578432
2013-01-23,41.98,42.47,41.9,42.25,3352632
2013-01-24,42.29,42.74,42.2,42.39,2685469
2013-01-25,42.6,42.6,42.2,42.51,3053420
2013-01-28,42.43,42.43,41.69,42.12,3633766
2013-01-29,40.98,42.3,40.98,41.9,5522028
2013-01-30,41.59,42.06,41.5,41.77,4176669
2013-01-31,41.63,41.98,41.42,41.42,2893467
2013-02-01,41.85,42.44,41.84,42.35,3494705
2013-02-04,41.99,42.19,41.85,42.12,3037942
2013-02-05,42.38,42.9,42.38,42.79,3374036
2013-02-06,42.59,42.8,42.33,42.45,2722437
2013-02-07,42.63,42.65,41.63,42.15,2185875
2013-02-08,42.29,42.63,42.17,42.6,1877856
2013-02-11,42.47,42.49,42.03,42.17,2601103
2013-02-12,42.12,42.35,41.99,42.01,2453671
2013-02-13,41.9,41.97,41.58,41.75,3826890
2013-02-14,41.59,42.0,41.55,41.8,3190324
2013-02-15,41.93,42.58,41.9,42.17,3008672
2013-02-19,42.1,42.5,41.82,41.91,2865606
2013-02-20,41.84,41.94,39.92,40.07,6310204
2013-02-21,39.87,41.75,39.47,41.31,10173076
2013-02-22,41.55,43.0,41.55,43.0,7915360
2013-02-25,43.33,43.49,41.78,41.79,6957074
2013-02-26,42.15,42.9,41.97,42.75,5003339
2013-02-27,42.96,44.25,42.95,44.05,5434109
2013-02-28,44.0,44.74,43.8,44.01,4564254
2013-03-01,43.74,44.75,43.51,44.28,4251737
2013-03-04,44.08,44.55,43.94,44.54,3438978
2013-03-05,44.81,45.4,44.75,45.26,4336529
2013-03-06,45.58,46.15,45.55,46.05,4476528
2013-03-07,46.12,46.28,45.96,46.24,2839060
2013-03-08,46.42,46.89,46.34,46.78,3372297
2013-03-11,46.59,47.25,46.35,47.0,4448773
2013-03-12,46.95,47.2,46.22,46.23,4305350
2013-03-13,46.24,46.3,45.65,45.74,4565811
2013-03-14,45.78,46.05,45.68,45.9,2862429
2013-03-15,45.84,45.95,45.55,45.66,4887662
2013-03-18,44.93,45.57,44.78,45.39,3198410
2013-03-19,45.14,45.57,44.76,44.95,3334114
2013-03-20,45.35,45.78,45.26,45.59,4701746
2013-03-21,45.3,45.54,44.79,44.86,2862160
2013-03-22,45.0,45.48,44.99,45.1,2790537
2013-03-25,45.15,45.46,44.56,45.09,3041778
2013-03-26,45.45,45.82,45.11,45.77,4297618
2013-03-27,45.32,45.68,45.06,45.57,3552184
2013-03-28,45.6,46.73,45.52,46.58,5167276
2013-04-01,46.52,46.67,46.15,46.31,3496978
2013-04-02,46.67,48.58,46.55,48.06,8192754
2013-04-03,48.07,48.09,46.2,46.3,7470352
2013-04-04,46.46,46.96,46.41,46.71,3272919
2013-04-05,45.75,46.27,45.4,46.15,3758513
2013-04-08,46.17,47.2,46.1,47.15,3408036
2013-04-09,47.39,47.54,47.1,47.32,2891981
2013-04-10,47.35,47.86,47.29,47.73,3246222
2013-04-11,48.0,49.1,47.95,48.23,4976101
2013-04-12,48.01,48.83,47.55,48.2,3030237
2013-04-15,47.77,47.81,45.16,45.34,6304651
2013-04-16,46.63,47.73,46.46,47.47,4420523
