Date,Open,High,Low,Close,Volume
2013-01-02,49.49,49.9,48.94,49.47,3285770
2013-01-03,49.28,49.53,48.76,48.96,2100826
2013-01-04,49.06,49.85,48.97,49.77,2088322
2013-01-07,48.99,49.12,48.06,48.99,1627879
2013-01-08,48.78,49.24,48.57,49.23,1602511
2013-01-09,49.4,49.57,48.91,49.21,1381619
2013-01-10,49.5,49.7,48.96,49.62,1682081
2013-01-11,49.66,49.68,49.29,49.6,810718
2013-01-14,49.58,49.75,49.11,49.75,997714
2013-01-15,49.41,49.9,49.41,49.79,1047919
2013-01-16,49.52,49.65,49.28,49.47,834134
2013-01-17,49.66,51.03,49.47,50.95,1971282
2013-01-18,51.17,51.24,50.13,50.63,2238023
2013-01-22,50.53,50.76,50.34,50.69,1316840
2013-01-23,50.69,51.0,50.62,50.84,1459969
2013-01-24,50.88,51.52,50.88,51.09,2246399
2013-01-25,51.17,51.48,50.99,51.47,1599825
2013-01-28,51.66,51.69,50.86,51.15,1045940
2013-01-29,51.21,51.52,50.92,51.47,1480658
2013-01-30,51.48,51.73,51.1,51.62,1673255
2013-01-31,51.49,51.75,51.14,51.39,1777289
2013-02-01,51.99,52.7,50.92,52.36,3208875
2013-02-04,52.19,53.24,51.74,51.8,2400124
2013-02-05,52.09,53.36,51.78,53.15,2390802
2013-02-06,52.86,52.95,52.19,52.77,1988534
2013-02-07,52.76,52.77,51.73,52.01,2407769
2013-02-08,52.13,53.45,52.07,53.43,2275786
2013-02-11,53.21,53.37,52.87,52.95,1793823
2013-02-12,53.08,53.27,52.77,53.05,1702591
2013-02-13,53.14,53.5,52.98,53.19,1539069
2013-02-14,53.23,53.57,53.02,53.03,2312482
2013-02-15,53.22,53.42,52.87,53.03,2120419
2013-02-19,53.05,53.65,52.84,53.64,2416868
2013-02-20,53.75,53.9,52.8,52.88,2420535
2013-02-21,52.58,52.75,52.06,52.25,2759844
2013-02-22,52.62,52.94,52.26,52.61,2152711
2013-02-25,52.86,53.16,50.9,50.93,2373500
2013-02-26,51.14,51.74,50.91,51.3,1999556
2013-02-27,51.47,52.57,51.26,52.36,1219431
2013-02-28,52.26,52.92,52.1,52.65,1552604
2013-03-01,52.21,52.53,51.54,51.93,1378197
2013-03-04,51.72,52.22,51.61,52.09,1638693
2013-03-05,52.45,53.3,52.31,53.24,1503951
2013-03-06,53.5,53.75,53.04,53.44,1100163
2013-03-07,53.44,54.15,53.26,53.72,2236672
2013-03-08,53.89,54.37,53.65,54.31,1400279
2013-03-11,54.12,54.88,54.09,54.83,1373588
2013-03-12,54.63,55.12,54.6,55.03,2554592
2013-03-13,55.02,55.17,54.67,55.15,1335748
2013-03-14,55.25,55.85,55.08,55.79,1611479
2013-03-15,55.57,55.75,55.18,55.39,1998973
2013-03-18,54.78,55.41,54.68,55.04,910874
2013-03-19,55.09,55.41,54.46,55.12,1417542
2013-03-20,55.38,56.77,55.38,56.47,2653698
2013-03-21,56.06,56.14,55.3,55.6,1722992
2013-03-22,55.75,55.8,55.22,55.51,1703321
2013-03-25,55.86,56.1,54.71,55.08,1755393
2013-03-26,55.49,55.7,54.95,55.38,1865593
2013-03-27,54.56,54.95,53.99,54.36,2207603
2013-03-28,54.47,55.04,54.15,55.01,2654193
2013-04-01,55.02,55.35,54.31,54.4,2381727
2013-04-02,54.67,55.08,54.13,54.25,1976411
2013-04-03,54.19,54.86,53.81,53.92,2612315
2013-04-04,54.13,54.79,53.96,54.49,2334389
2013-04-05,53.52,54.25,53.34,54.01,2665326
2013-04-08,54.1,55.0,54.05,54.9,2080623
2013-04-09,55.03,55.68,54.94,55.61,3055260
2013-04-10,55.69,56.3,55.58,56.15,2397588
2013-04-11,56.15,57.14,56.01,56.68,2349974
2013-04-12,56.37,56.64,55.9,56.16,1546176
2013-04-15,55.74,56.03,53.76,53.76,2197717
2013-04-16,54.16,55.04,54.16,54.96,2079348
2013-04-17,54.43,54.56,53.31,53.89,1925663
2013-04-18,53.9,54.21,53.26,53.54,1436497
2013-04-19,53.85,53.97,53.36,53.9,2135762
2013-04-22,53.95,54.05,52.72,54.0,2104624
2013-04-23,53.49,54.53,52.34,53.45,4579234
2013-04-24,53.59,54.38,53.56,54.18,2212706
2013-04-25,54.29,55.2,54.12,54.79,2816506
2013-04-26,54.8,54.9,53.54,53.98,2385589
2013-04-29,54.17,54.53,53.85,54.24,1433829
2013-04-30,54.14,54.22,53.15,53.8,1790877
2013-05-01,53.49,53.77,52.02,52.23,2976422
2013-05-02,52.34,52.75,52.15,52.47,2755203
2013-05-03,53.05,54.76,52.92,54.11,2591100
2013-05-06,54.07,54.76,53.61,54.55,1516021
2013-05-07,54.67,55.49,54.6,55.35,1640622
2013-05-08,55.26,55.68,55.16,55.52,1223517
2013-05-09,55.19,56.04,55.18,55.87,2454833
2013-05-10,55.9,56.46,55.78,56.39,1880212
2013-05-13,56.09,56.23,55.57,56.03,1569866
2013-05-14,56.13,57.57,56.12,57.23,2399574
2013-05-15,57.0,57.25,56.58,56.9,1855793
2013-05-16,56.64,57.33,56.5,56.85,1632793
2013-05-17,57.2,58.28,57.03,58.04,2200383
2013-05-20,57.74,58.58,57.74,57.99,2036440
2013-05-21,58.01,58.59,57.88,58.14,1001951
2013-05-22,58.13,58.92,56.84,57.16,1779440
2013-05-23,56.62,57.71,56.41,57.17,1257563
2013-05-24,56.84,57.42,56.25,57.15,1167955
2013-05-28,57.6,58.55,57.25,57.71,1317779
2013-05-29,57.12,57.59,56.76,57.23,1097860
2013-05-30,57.32,58.36,57.13,57.82,1429583
2013-05-31,57.53,58.54,57.48,57.53,1543077
2013-06-03,57.7,58.55,57.18,58.52,2109974
2013-06-04,58.35,58.89,56.8,57.06,2236027
2013-06-05,56.75,57.29,55.75,55.83,2427428
2013-06-06,55.9,56.78,55.78,56.64,3294081
2013-06-07,57.21,58.07,57.07,58.04,3557768
2013-06-10,58.3,58.41,57.61,57.68,1938145
2013-06-11,57.04,57.31,56.6,56.65,1466570
2013-06-12,57.16,57.22,55.8,55.9,1845328
2013-06-13,55.84,56.36,55.7,56.25,2256669
2013-06-14,56.2,56.99,56.03,56.43,1868225
2013-06-17,57.06,57.12,56.24,56.6,1803602
2013-06-18,56.68,57.93,56.5,57.61,2376036
2013-06-19,57.69,57.84,56.57,56.57,1809537
2013-06-20,56.29,56.34,54.93,55.07,2253958
2013-06-21,55.45,55.93,54.73,55.04,2312934
2013-06-24,54.53,54.64,53.39,53.46,2637975
2013-06-25,54.09,54.85,53.95,54.11,1933529
2013-06-26,54.67,55.05,54.37,54.63,2309636
2013-06-27,55.13,55.7,55.0,55.49,2110687
2013-06-28,55.42,55.71,55.01,55.52,2745283
2013-07-01,55.89,56.7,55.65,56.23,2404041
2013-07-02,56.12,56.33,55.51,55.69,2275113
2013-07-03,55.32,56.21,55.32,55.97,636195
2013-07-05,56.74,57.93,56.62,57.75,1969415
2013-07-08,57.94,58.06,57.18,57.23,1751147
2013-07-09,57.67,58.37,57.34,58.03,992363
2013-07-10,57.98,58.41,57.71,57.99,985307
2013-07-11,58.94,59.49,58.85,59.02,1874044
2013-07-12,59.06,59.41,58.89,59.09,1282147
2013-07-15,59.44,59.58,58.91,59.33,1313206
2013-07-16,59.22,59.33,57.99,58.17,2043019
2013-07-17,58.41,59.0,58.41,58.76,1352770
2013-07-18,58.97,60.16,58.88,59.92,1832579
