Date,Open,High,Low,Close,Volume
2013-01-02,20.13,20.68,20.01,20.55,6104996
2013-01-03,20.48,20.7,20.11,20.17,6328018
2013-01-04,20.15,20.43,20.08,20.38,7089558
2013-01-07,20.3,20.33,19.98,20.15,5314385
2013-01-08,20.0,20.0,19.54,19.72,8340924
2013-01-09,19.71,20.04,19.6,19.95,5493819
2013-01-10,20.05,20.37,20.0,20.3,6546274
2013-01-11,20.3,20.7,20.28,20.66,6058783
2013-01-14,20.57,20.87,20.5,20.82,6702925
2013-01-15,20.67,21.03,20.44,21.01,6103292
2013-01-16,20.89,21.17,20.84,20.98,4728740
2013-01-17,21.47,21.85,21.02,21.28,6333893
2013-01-18,21.24,21.49,21.08,21.49,6021421
2013-01-22,21.42,21.99,21.38,21.5,6658551
2013-01-23,21.5,21.7,21.23,21.28,6856414
2013-01-24,21.18,21.69,21.12,21.5,9513414
2013-01-25,21.76,22.64,21.5,22.57,15487463
2013-01-28,22.58,22.85,22.19,22.2,10212311
2013-01-29,22.07,22.2,21.56,21.58,7833670
2013-01-30,21.52,21.84,21.52,21.58,5986426
2013-01-31,21.68,22.41,21.56,22.38,9495259
2013-02-01,22.32,22.53,22.2,22.32,7185186
2013-02-04,22.41,22.98,22.22,22.24,7786044
2013-02-05,22.36,22.66,22.27,22.39,4707534
2013-02-06,22.24,22.48,22.1,22.38,5360587
2013-02-07,22.34,22.42,22.1,22.37,4898625
2013-02-08,22.33,22.34,21.74,21.84,6261670
2013-02-11,21.87,22.02,21.67,21.71,3831112
2013-02-12,21.76,21.83,21.52,21.61,3770538
2013-02-13,21.59,21.74,21.28,21.67,5598535
2013-02-14,21.52,21.76,21.09,21.68,4892595
2013-02-15,21.73,21.88,21.45,21.86,5636127
2013-02-19,21.6,22.25,21.33,22.25,5465171
2013-02-20,22.18,22.29,21.69,21.71,3851334
2013-02-21,21.63,21.63,21.12,21.33,4742520
2013-02-22,21.54,21.64,21.26,21.45,2551451
2013-02-25,21.67,21.68,20.72,20.72,5504070
2013-02-26,20.83,20.96,20.12,20.46,11591217
2013-02-27,20.49,20.85,20.34,20.72,4956260
2013-02-28,20.67,20.99,20.52,20.68,5062092
2013-03-01,20.59,20.68,20.39,20.49,4359951
2013-03-04,20.5,20.51,20.05,20.13,5087591
2013-03-05,20.2,20.5,19.89,19.98,9396780
2013-03-06,20.12,20.36,20.02,20.12,6014314
2013-03-07,20.67,21.2,20.67,21.12,7525807
2013-03-08,21.22,21.27,20.61,20.69,5743612
2013-03-11,20.62,20.94,20.52,20.89,3540242
2013-03-12,20.79,20.99,20.7,20.77,2790475
2013-03-13,20.75,20.79,20.36,20.54,3596944
2013-03-14,20.75,21.04,20.43,20.51,3430201
2013-03-15,20.39,20.49,20.12,20.17,5613340
2013-03-18,19.08,20.3,19.01,20.21,12561215
2013-03-19,19.06,19.57,18.65,19.14,16885529
2013-03-20,18.84,19.37,18.83,19.31,6641089
2013-03-21,18.64,18.93,18.55,18.89,13211300
2013-03-22,18.99,19.14,18.64,18.72,7185781
2013-03-25,18.75,19.1,18.69,18.96,7459657
2013-03-26,19.06,19.06,18.51,18.65,8993843
2013-03-27,18.57,18.79,18.51,18.67,9203768
2013-03-28,18.66,18.78,18.47,18.54,7870536
2013-04-01,18.59,18.72,18.45,18.54,4723676
2013-04-02,18.61,18.73,18.25,18.27,5177730
2013-04-03,18.31,18.62,18.19,18.27,4539259
2013-04-04,18.33,18.33,17.93,18.12,5465905
2013-04-05,16.99,17.65,16.75,17.55,13043741
