Date,Open,High,Low,Close,Volume
2013-01-02,39.55,39.55,38.05,38.31,8234926
2013-01-03,38.19,38.84,37.3,37.47,12904264
2013-01-04,37.53,38.33,37.5,37.94,8317822
2013-01-07,37.93,38.07,37.36,37.65,4605506
2013-01-08,37.61,37.85,37.05,37.05,5174367
2013-01-09,36.68,37.22,36.61,36.69,6006056
2013-01-10,36.82,37.26,36.35,37.25,5433330
2013-01-11,37.38,37.38,36.75,36.89,5890819
2013-01-14,36.87,37.19,36.75,37.08,3076548
2013-01-15,36.95,38.04,36.89,37.91,5792078
2013-01-16,37.72,38.66,37.67,38.43,5061168
2013-01-17,38.61,38.88,38.05,38.07,4471253
2013-01-18,38.17,38.42,37.74,38.42,3245564
2013-01-22,38.36,38.38,37.8,38.18,4133640
2013-01-23,38.15,38.5,38.01,38.23,4760096
2013-01-24,38.31,39.06,38.31,39.0,5291237
2013-01-25,39.13,39.38,38.62,38.74,5191878
2013-01-28,39.13,39.55,38.68,39.39,4873475
2013-01-29,39.23,40.0,39.0,39.95,4039436
2013-01-30,39.95,39.95,39.42,39.54,5348905
2013-01-31,39.68,39.68,39.06,39.51,4725576
2013-02-01,39.96,39.96,39.4,39.51,4277377
2013-02-04,39.24,39.41,38.63,38.72,3550713
2013-02-05,39.45,40.27,39.15,39.85,7065988
2013-02-06,39.67,39.91,39.02,39.48,7777162
2013-02-07,40.51,41.15,39.58,40.27,7051759
2013-02-08,40.39,40.39,39.67,39.92,4123007
2013-02-11,39.63,40.37,39.48,40.24,3761048
2013-02-12,40.37,40.42,40.02,40.11,2498105
2013-02-13,40.29,40.49,39.8,39.96,2696600
2013-02-14,39.73,39.83,39.35,39.54,3923842
2013-02-15,39.53,39.79,38.73,39.12,8499646
2013-02-19,39.35,40.47,39.03,40.43,5813356
2013-02-20,40.33,40.41,39.45,39.51,4458083
2013-02-21,39.53,39.76,39.11,39.33,3749377
2013-02-22,39.32,39.67,38.88,39.08,3569927
2013-02-25,39.17,39.34,38.52,38.52,5917525
2013-02-26,40.15,40.3,38.83,39.59,10565115
2013-02-27,39.75,40.9,39.62,40.58,6176193
2013-02-28,40.48,41.57,40.27,41.1,6187373
2013-03-01,40.74,41.05,40.36,40.68,6094561
2013-03-04,40.71,41.82,40.71,41.54,5735468
2013-03-05,41.74,42.18,41.63,41.72,5802638
2013-03-06,41.36,41.66,41.06,41.08,6828105
2013-03-07,41.12,41.54,40.96,41.23,4119182
2013-03-08,41.36,41.75,41.12,41.67,2882203
2013-03-11,41.43,41.93,41.31,41.71,3091726
2013-03-12,41.5,42.22,41.5,41.97,4044196
2013-03-13,41.96,42.47,41.81,42.11,6586699
2013-03-14,42.28,42.34,41.72,42.15,4636184
2013-03-15,41.89,42.1,41.38,41.78,6108943
2013-03-18,41.27,41.77,41.26,41.58,3276022
2013-03-19,41.56,41.71,40.89,41.67,5775345
2013-03-20,41.7,42.78,41.7,42.55,6413613
2013-03-21,42.22,42.89,42.09,42.17,5904537
2013-03-22,42.34,42.74,42.32,42.66,3956449
2013-03-25,42.4,42.74,42.17,42.36,4181914
2013-03-26,42.4,42.45,41.44,41.99,4981245
2013-03-27,41.78,42.03,41.53,41.73,3145761
2013-03-28,41.68,41.94,41.33,41.84,5143242
2013-04-01,41.78,42.2,41.51,41.63,2696899
2013-04-02,41.89,42.17,41.77,42.03,2721911
2013-04-03,42.03,42.62,41.74,42.39,5805852
2013-04-04,42.38,43.88,42.32,43.56,6727731
2013-04-05,42.92,43.54,42.83,43.39,5080529
2013-04-08,43.35,44.24,43.33,43.99,5087878
2013-04-09,43.88,44.11,43.49,43.67,3460289
2013-04-10,43.94,44.95,43.85,44.36,4473266
2013-04-11,44.19,45.26,44.19,44.31,5699215
2013-04-12,44.2,45.39,44.19,44.43,6256829
2013-04-15,44.1,44.41,43.35,43.42,3497904
2013-04-16,43.91,44.02,43.64,43.93,2931960
2013-04-17,43.6,43.71,43.15,43.61,4381480
2013-04-18,43.59,43.59,42.85,42.94,3046541
2013-04-19,43.14,43.71,43.04,43.54,2643179
2013-04-22,43.59,43.82,43.11,43.54,2385690
2013-04-23,43.65,44.18,43.47,43.95,3290659
2013-04-24,44.05,44.42,43.66,43.89,2540393
2013-04-25,44.03,45.18,43.99,44.78,3948830
2013-04-26,44.71,44.92,44.4,44.63,2584539
2013-04-29,44.78,45.4,44.76,45.07,2574825
2013-04-30,44.92,45.09,44.27,44.6,3654613
2013-05-01,44.54,44.96,44.33,44.7,2781608
2013-05-02,44.65,44.96,44.49,44.78,2517663
2013-05-03,45.25,46.45,45.18,46.23,4076754
2013-05-06,46.01,46.28,45.8,46.0,2573770
2013-05-07,46.07,46.74,45.78,46.5,3191611
2013-05-08,46.54,47.12,46.26,46.64,3440524
2013-05-09,46.59,46.8,46.26,46.45,2677069
2013-05-10,46.62,47.23,46.58,47.23,2999538
2013-05-13,47.02,47.12,46.54,46.88,2687695
2013-05-14,47.0,47.67,46.92,47.39,4495344
2013-05-15,48.25,48.93,47.3,48.57,9460953
2013-05-16,48.41,48.67,47.59,47.88,4558117
2013-05-17,48.03,48.67,47.55,48.67,5840725
2013-05-20,48.38,49.08,48.26,48.85,4031224
2013-05-21,48.81,49.61,48.81,49.43,4512092
2013-05-22,49.43,49.93,48.72,49.0,4383408
2013-05-23,48.6,49.28,48.46,48.98,3016995
2013-05-24,48.59,49.34,48.36,49.21,2732587
2013-05-28,49.72,50.0,49.07,49.42,2592885
2013-05-29,49.06,49.15,48.38,48.85,2622164
2013-05-30,48.91,49.7,48.85,49.19,3751051
2013-05-31,48.73,49.32,48.34,48.34,3332860
2013-06-03,48.59,48.81,47.95,48.75,4051823
2013-06-04,48.62,48.77,47.85,48.39,4006853
2013-06-05,48.15,48.38,47.28,47.36,3731022
2013-06-06,47.51,48.39,47.4,48.39,3690926
2013-06-07,48.63,49.01,48.48,48.61,2961454
2013-06-10,48.8,49.18,48.66,48.93,3482949
2013-06-11,48.46,49.15,48.26,48.56,2930050
2013-06-12,48.68,48.93,47.97,48.06,3096941
2013-06-13,48.17,48.92,47.92,48.76,3378442
2013-06-14,48.51,49.26,48.35,48.48,2188656
2013-06-17,48.91,49.42,48.52,48.81,2853515
2013-06-18,48.7,49.48,48.64,49.32,2530524
2013-06-19,49.37,49.46,48.27,48.33,3360097
2013-06-20,47.98,48.26,46.67,46.82,4196519
2013-06-21,47.2,47.39,46.13,46.86,5256311
2013-06-24,46.37,46.53,45.72,46.14,3017634
2013-06-25,46.45,46.83,46.28,46.58,2247981
2013-06-26,47.0,47.8,46.96,47.73,2913987
2013-06-27,48.16,48.68,48.03,48.15,4041627
2013-06-28,48.24,48.5,47.93,48.0,5580802
2013-07-01,48.25,48.9,48.2,48.26,3648097
2013-07-02,48.25,48.68,48.01,48.4,3605398
2013-07-03,48.04,48.55,47.79,48.48,2003322
2013-07-05,49.0,49.24,48.47,49.18,2022513
2013-07-08,49.36,50.47,49.34,50.27,3735762
2013-07-09,50.5,50.77,50.25,50.37,2919525
2013-07-10,50.25,50.49,48.96,49.47,4715846
2013-07-11,50.0,50.04,49.18,49.69,3675369
2013-07-12,49.69,50.05,49.24,49.43,3546426
2013-07-15,49.71,50.5,49.59,50.22,3858441
2013-07-16,50.26,50.5,49.52,49.75,5493883
2013-07-17,49.84,49.92,49.47,49.53,1751122
2013-07-18,49.59,49.62,48.82,49.21,3187186
2013-07-19,49.25,49.25,48.23,49.03,5933190
2013-07-22,49.05,49.54,48.91,48.91,2953337
2013-07-23,48.98,49.36,48.6,48.79,2824430
2013-07-24,48.86,49.13,48.15,48.3,4017473
2013-07-25,48.21,48.32,47.65,48.0,4021048
2013-07-26,47.79,48.22,47.48,48.17,2569066
2013-07-29,48.08,48.52,47.97,48.27,1993962
2013-07-30,48.53,48.7,47.9,48.16,4140002
2013-07-31,48.29,48.96,48.11,48.34,4701014
2013-08-01,48.92,49.54,48.63,49.27,4130042
2013-08-02,49.15,49.49,48.95,49.46,2150595
2013-08-05,49.28,49.72,49.22,49.67,2100294
2013-08-06,49.34,49.52,47.91,48.44,4809515
2013-08-07,48.13,48.19,47.46,47.83,4852875
2013-08-08,48.04,48.37,47.32,48.23,6248327
2013-08-09,48.18,48.6,47.66,48.52,4733585
2013-08-12,48.25,48.48,47.93,48.11,4973774
2013-08-13,48.0,48.65,47.9,48.5,6384439
2013-08-14,46.69,46.95,46.06,46.33,17051242
2013-08-15,45.85,46.41,45.26,46.3,9929215
2013-08-16,46.13,46.13,44.98,44.99,7749676
2013-08-19,45.07,45.37,44.8,44.95,4554457
2013-08-20,45.1,45.75,44.99,45.61,8227147
2013-08-21,45.41,45.64,44.56,44.93,6897503
2013-08-22,45.0,45.36,44.8,44.95,2913492
2013-08-23,44.92,45.08,44.44,44.79,3713771
2013-08-26,44.76,44.9,44.13,44.16,5269423
2013-08-27,43.8,43.94,43.38,43.47,5329312
2013-08-28,43.52,44.58,43.36,44.32,7104523
2013-08-29,44.21,45.19,44.11,44.61,5705619
2013-08-30,44.68,44.86,44.25,44.43,3341296
2013-09-03,44.76,45.0,44.09,44.28,5274122
2013-09-04,44.15,45.0,44.12,44.8,4903362
2013-09-05,44.83,46.03,44.8,46.02,6995138
2013-09-06,46.1,46.18,44.95,45.08,6742446
2013-09-09,45.18,45.65,45.18,45.4,3125608
2013-09-10,45.65,45.69,44.46,44.58,6148424
2013-09-11,44.4,44.46,43.88,44.14,6769350
2013-09-12,44.09,44.37,43.48,43.53,6442744
2013-09-13,43.82,44.71,43.5,44.7,5980632
2013-09-16,45.07,45.24,44.83,44.97,3413853
2013-09-17,44.99,45.31,44.98,45.05,3020058
2013-09-18,45.17,45.78,44.5,45.58,4266163
2013-09-19,45.66,45.98,45.34,45.45,3435700
2013-09-20,45.39,45.57,44.58,44.62,5410871
2013-09-23,44.62,44.78,44.18,44.69,4426172
2013-09-24,44.49,44.62,43.4,43.58,7738418
2013-09-25,43.61,43.74,42.7,42.8,6925637
2013-09-26,42.89,43.35,42.68,43.32,5070822
2013-09-27,43.29,43.8,43.22,43.52,5432068
2013-09-30,43.08,43.37,42.92,43.27,3835262
2013-10-01,43.23,43.8,43.2,43.44,4646009
2013-10-02,43.18,43.98,43.02,43.97,5560082
2013-10-03,43.96,44.48,43.58,44.21,5835269
2013-10-04,44.28,44.28,43.73,44.07,4433027
2013-10-07,43.62,43.64,42.99,42.99,4641631
2013-10-08,43.12,43.2,42.39,42.45,5168891
2013-10-09,42.57,42.75,42.18,42.36,5081913
2013-10-10,43.02,43.32,42.86,43.21,3452940
2013-10-11,43.02,43.04,42.22,42.64,5182840
2013-10-14,42.45,42.72,42.23,42.58,4611874
2013-10-15,42.68,43.07,42.27,42.48,5411918
2013-10-16,42.66,43.86,42.6,43.79,8337964
2013-10-17,43.62,44.56,43.51,44.46,5708273
2013-10-18,44.51,44.65,43.7,44.39,5299274
2013-10-21,44.47,44.55,43.89,44.24,2858564
2013-10-22,44.22,44.71,44.02,44.6,4379815
2013-10-23,44.55,44.78,44.08,44.54,2840648
2013-10-24,44.57,45.2,44.13,45.1,3894213
2013-10-25,45.24,45.24,44.68,44.89,3588961
2013-10-28,44.4,45.65,44.17,45.44,5151103
2013-10-29,45.65,46.26,45.65,46.13,5080174
2013-10-30,46.2,46.73,45.93,46.4,3703339
2013-10-31,46.5,46.59,45.88,46.11,3724458
2013-11-01,46.18,46.3,45.56,45.96,3165069
