Date,Open,High,Low,Close,Volume
2013-01-02,17.04,17.6,16.98,17.07,7094804
2013-01-03,17.11,17.49,16.91,17.3,3327426
2013-01-04,17.35,17.56,17.3,17.47,3538086
2013-01-07,17.3,17.46,17.12,17.25,2945300
2013-01-08,17.19,17.38,17.12,17.23,3066229
2013-01-09,17.29,17.76,17.28,17.43,2971223
2013-01-10,17.58,17.59,17.28,17.47,3197331
2013-01-11,18.1,18.14,17.64,17.69,4445362
2013-01-14,17.67,17.71,17.43,17.5,2879736
2013-01-15,17.42,17.62,17.38,17.46,3618524
2013-01-16,17.38,17.5,17.2,17.37,4136387
2013-01-17,17.48,17.59,17.41,17.5,4870901
2013-01-18,17.72,17.9,17.59,17.78,4485055
2013-01-22,17.75,17.84,17.5,17.61,3837733
2013-01-23,17.55,17.68,17.43,17.61,3920298
2013-01-24,17.61,17.85,17.59,17.73,3458533
2013-01-25,17.81,18.41,17.75,18.36,6701963
2013-01-28,18.39,18.49,18.0,18.13,4372872
2013-01-29,18.12,18.34,18.08,18.28,2818554
2013-01-30,18.32,18.64,18.16,18.22,3931905
2013-01-31,18.11,18.42,17.91,18.39,4322387
2013-02-01,18.63,18.82,18.45,18.55,4426306
2013-02-04,18.36,18.55,18.16,18.27,4084780
2013-02-05,18.42,18.43,18.2,18.37,2942453
2013-02-06,18.24,18.38,18.16,18.28,3336731
2013-02-07,18.26,18.27,17.78,17.86,4050463
2013-02-08,17.88,17.94,17.66,17.79,2785929
2013-02-11,17.79,17.95,17.66,17.79,4483874
2013-02-12,19.3,20.44,19.04,20.01,23556999
2013-02-13,20.1,20.7,20.08,20.36,8811253
2013-02-14,20.45,20.45,20.08,20.11,5631345
2013-02-15,20.22,20.25,19.94,20.0,4604123
2013-02-19,20.04,20.13,19.75,19.98,6407870
2013-02-20,19.88,19.89,18.64,18.73,8110255
2013-02-21,18.63,18.76,18.41,18.64,7450878
2013-02-22,18.76,19.03,18.75,18.92,3710747
2013-02-25,19.03,19.18,17.98,18.01,5853690
2013-02-26,18.19,18.81,17.98,18.72,6841548
2013-02-27,18.74,19.32,18.73,19.2,4056253
2013-02-28,19.2,19.49,19.1,19.26,2950198
2013-03-01,19.12,19.37,18.82,19.22,4112099
2013-03-04,19.1,19.51,19.04,19.51,3258272
2013-03-05,19.66,20.18,19.61,20.02,4859659
2013-03-06,20.14,20.24,19.7,19.89,3776204
2013-03-07,19.97,20.24,19.74,19.96,4745079
2013-03-08,20.16,20.28,19.88,19.94,4084416
2013-03-11,20.21,20.26,19.82,19.85,5071144
2013-03-12,19.85,19.89,19.39,19.56,3898872
2013-03-13,19.6,20.23,19.51,20.19,4993074
2013-03-14,20.24,20.55,20.22,20.27,4599021
2013-03-15,20.24,20.39,19.93,19.96,5621030
2013-03-18,19.71,20.44,19.62,20.22,4653350
2013-03-19,20.36,20.62,20.11,20.41,4061054
2013-03-20,20.54,21.06,20.54,20.94,4623464
2013-03-21,20.78,20.85,20.09,20.54,6763769
2013-03-22,20.59,20.69,20.39,20.6,2845562
2013-03-25,20.68,20.94,20.36,20.55,3292672
2013-03-26,20.63,20.82,20.34,20.64,3701530
2013-03-27,20.46,20.54,20.16,20.5,2483043
2013-03-28,20.52,20.55,20.13,20.25,3620457
2013-04-01,20.27,20.29,19.76,19.89,2669554
2013-04-02,19.95,20.09,19.51,19.64,2714002
2013-04-03,19.57,19.74,18.96,19.2,4538437
2013-04-04,19.23,19.59,19.01,19.23,5569648
2013-04-05,18.91,19.35,18.46,19.28,4466813
2013-04-08,19.25,19.64,19.11,19.6,4412186
2013-04-09,19.66,19.77,19.43,19.59,3810925
2013-04-10,19.61,19.85,19.49,19.83,3370076
2013-04-11,19.85,20.24,19.81,20.16,4157795
2013-04-12,20.1,20.29,19.84,20.11,3230895
2013-04-15,19.94,19.96,18.57,18.65,7203860
2013-04-16,18.96,19.39,18.8,19.33,5055629
2013-04-17,19.1,19.1,18.51,19.0,4946585
2013-04-18,19.09,19.12,18.6,18.79,4147785
2013-04-19,18.87,19.4,18.79,19.27,3258659
