Date,Open,High,Low,Close,Volume
2013-01-02,69.99,70.57,69.81,70.52,2238775
2013-01-03,70.6,70.83,70.33,70.53,1227233
2013-01-04,70.64,70.95,70.45,70.88,934847
2013-01-07,70.85,70.94,70.38,70.55,1394546
2013-01-08,70.58,71.3,70.38,71.3,1993267
2013-01-09,71.31,71.31,70.52,70.8,1307899
2013-01-10,71.06,71.51,70.76,71.49,1469011
2013-01-11,71.81,71.88,71.42,71.78,1545117
2013-01-14,71.58,71.95,71.5,71.69,1401217
2013-01-15,71.54,71.93,71.42,71.88,989393
2013-01-16,71.64,71.85,71.23,71.31,1413521
2013-01-17,70.96,71.39,70.62,71.08,1473392
2013-01-18,71.3,71.63,71.16,71.55,1764483
2013-01-22,71.48,72.04,71.47,71.98,2217622
2013-01-23,71.6,71.84,71.35,71.79,1940645
2013-01-24,71.84,72.35,71.72,72.1,1112005
2013-01-25,72.43,72.52,71.67,72.5,1238553
2013-01-28,72.85,72.85,71.9,72.4,1514366
2013-01-29,72.53,72.87,72.14,72.61,1939408
2013-01-30,72.54,72.56,72.0,72.0,2159020
2013-01-31,72.0,72.22,71.72,72.05,2017410
2013-02-01,72.45,72.71,72.26,72.28,1595276
2013-02-04,72.17,72.39,71.92,71.99,1386212
2013-02-05,72.3,72.46,72.06,72.16,1459443
2013-02-06,72.0,72.01,71.63,72.01,2383426
2013-02-07,72.23,72.63,71.83,72.25,2339916
2013-02-08,72.26,72.29,71.92,72.1,1056902
2013-02-11,72.01,72.22,71.98,72.18,1097030
2013-02-12,72.13,72.56,72.03,72.49,1779632
2013-02-13,72.58,72.92,72.42,72.55,1501352
2013-02-14,72.34,72.64,71.84,72.2,1779659
2013-02-15,72.38,72.6,72.23,72.5,2470268
2013-02-19,72.69,73.04,72.55,72.9,2608108
2013-02-20,72.9,73.41,72.84,72.94,5857276
2013-02-21,73.04,73.08,72.52,72.53,1324890
2013-02-22,72.6,73.04,72.6,72.75,5997410
2013-02-25,72.85,73.5,72.19,72.19,6872406
2013-02-26,72.41,72.8,71.93,72.27,6048293
2013-02-27,71.44,71.97,71.42,71.94,2216917
2013-02-28,71.88,72.35,71.77,71.87,2104843
2013-03-01,71.85,72.37,71.51,72.36,2051146
