Date,Open,High,Low,Close,Volume
2013-01-02,50.5,51.46,50.45,51.46,2209825
2013-01-03,51.49,52.25,51.33,51.63,1743318
2013-01-04,51.81,51.89,51.39,51.47,1210309
2013-01-07,51.22,51.53,51.1,51.21,1096711
2013-01-08,50.97,51.41,50.4,51.41,2203058
2013-01-09,51.53,51.57,50.94,51.45,1527714
2013-01-10,51.74,52.05,51.62,52.05,1298494
2013-01-11,52.09,52.42,51.87,52.28,1453808
2013-01-14,52.22,52.72,51.15,52.69,1360291
2013-01-15,52.23,53.11,52.19,52.91,1401787
2013-01-16,52.55,52.97,52.44,52.73,1166631
2013-01-17,53.08,53.4,52.96,53.18,1459281
2013-01-18,53.28,53.38,52.94,53.23,1190681
2013-01-22,53.15,53.64,53.12,53.64,1315865
2013-01-23,53.54,54.04,53.33,53.94,1565990
2013-01-24,54.03,54.31,53.68,53.81,1285861
2013-01-25,53.97,54.43,53.84,54.19,1120014
2013-01-28,54.26,54.26,53.81,53.95,1031964
2013-01-29,53.84,54.45,53.83,54.39,1169735
2013-01-30,54.42,54.48,54.14,54.31,1809057
2013-01-31,54.2,54.57,54.07,54.28,1500520
2013-02-01,54.68,54.91,54.45,54.53,1233961
2013-02-04,54.15,54.3,53.51,53.53,1663790
2013-02-05,53.84,54.2,53.79,54.06,1311786
2013-02-06,54.0,54.61,53.87,54.35,1000044
2013-02-07,54.22,54.28,53.76,54.25,1090674
2013-02-08,54.39,55.27,54.33,55.22,1669489
2013-02-11,55.02,55.84,54.82,55.36,2862378
2013-02-12,56.16,56.77,55.77,56.02,2560872
2013-02-13,56.2,57.1,56.2,56.7,2853858
2013-02-14,56.58,57.37,56.38,57.35,1881168
2013-02-15,57.31,58.16,57.18,57.71,2983223
2013-02-19,57.84,58.0,57.04,57.29,2867608
2013-02-20,57.02,57.65,56.98,57.02,1792827
2013-02-21,56.69,57.05,55.59,56.44,2329898
2013-02-22,56.59,57.2,56.41,57.2,1710800
2013-02-25,57.49,57.78,56.4,56.4,2230883
2013-02-26,56.52,57.2,56.13,57.09,2605505
2013-02-27,57.12,57.57,56.49,57.46,1925496
2013-02-28,57.51,57.85,57.28,57.53,1310184
2013-03-01,56.84,57.33,56.69,57.24,1285050
2013-03-04,57.04,57.93,56.96,57.88,1778332
2013-03-05,58.12,58.29,57.74,57.84,2036219
2013-03-06,57.96,58.11,57.48,57.77,924634
2013-03-07,57.91,58.06,57.76,57.96,792694
2013-03-08,58.13,58.92,58.13,58.83,1024780
2013-03-11,58.78,59.43,58.67,59.29,1167298
2013-03-12,59.17,59.28,58.91,59.13,1272337
2013-03-13,59.28,59.64,58.87,59.36,1362071
2013-03-14,59.51,59.66,59.31,59.57,1338660
2013-03-15,59.45,60.05,59.2,60.05,2307140
2013-03-18,59.37,59.79,58.86,58.95,1591055
2013-03-19,59.17,59.29,57.93,58.53,1735507
2013-03-20,58.81,59.15,58.4,58.85,1180194
2013-03-21,58.55,58.74,58.02,58.32,927247
2013-03-22,58.75,58.84,58.2,58.83,1084311
2013-03-25,59.11,59.11,58.09,58.41,855214
2013-03-26,58.75,58.94,58.22,58.89,1147309
2013-03-27,58.45,58.81,58.21,58.64,1124767
2013-03-28,58.73,59.15,58.36,58.9,3109818
2013-04-01,58.78,59.1,58.37,58.88,1006431
2013-04-02,59.14,59.77,58.98,59.27,1034384
2013-04-03,59.21,59.34,58.65,59.0,1741007
2013-04-04,59.18,59.35,58.84,59.19,808900
2013-04-05,58.5,58.87,58.35,58.81,1179231
2013-04-08,59.0,59.46,58.76,59.46,751576
2013-04-09,59.29,59.42,58.31,58.72,2371911
2013-04-10,58.93,59.99,58.87,59.56,1446526
2013-04-11,59.64,60.18,59.42,60.04,912314
2013-04-12,59.86,60.23,59.64,60.15,914295
2013-04-15,60.0,60.0,58.77,58.77,2818298
2013-04-16,59.23,59.91,59.19,59.6,1573721
2013-04-17,59.29,59.65,58.89,59.26,2025403
2013-04-18,59.13,59.54,57.73,58.01,2428800
2013-04-19,58.42,58.42,57.83,58.03,2672667
2013-04-22,58.23,58.91,57.91,58.55,1941783
2013-04-23,58.72,59.84,58.47,59.43,2184158
2013-04-24,59.58,60.28,59.58,59.88,1432954
2013-04-25,59.95,60.79,59.73,60.34,1742543
2013-04-26,60.38,60.49,59.7,60.02,1877092
2013-04-29,60.25,60.36,59.61,59.67,2154945
2013-04-30,59.75,59.77,59.03,59.77,2502398
2013-05-01,59.78,59.97,59.3,59.3,1191122
2013-05-02,59.41,59.87,59.36,59.76,1524291
2013-05-03,60.05,60.87,59.57,60.8,1729496
2013-05-06,60.85,61.22,60.4,61.09,1287442
2013-05-07,61.37,61.9,61.08,61.85,1402550
2013-05-08,61.75,62.09,61.54,62.04,1332939
2013-05-09,62.13,62.61,62.11,62.45,1954837
2013-05-10,62.51,63.33,62.48,63.32,1307394
2013-05-13,63.21,63.26,62.56,62.88,1181534
2013-05-14,62.75,63.41,62.59,63.36,1467136
2013-05-15,63.28,63.78,63.05,63.7,1161615
2013-05-16,63.46,63.78,62.89,62.99,950618
2013-05-17,62.98,63.38,62.65,63.31,2639435
2013-05-20,63.31,63.78,63.28,63.36,1417818
2013-05-21,63.55,63.78,62.64,63.0,2611557
2013-05-22,63.08,63.45,61.82,62.1,2099802
2013-05-23,61.51,62.16,61.08,61.52,2787276
2013-05-24,61.29,63.75,60.99,63.58,4782616
2013-05-28,64.14,64.29,63.24,63.79,2218678
2013-05-29,63.38,63.43,62.37,62.62,1593087
2013-05-30,62.8,63.2,62.61,63.03,1771575
2013-05-31,62.82,63.45,62.13,62.13,1685209
2013-06-03,62.15,62.23,61.39,62.04,1529534
2013-06-04,62.14,62.66,61.41,61.93,2166193
2013-06-05,61.83,61.83,60.11,60.51,2866903
2013-06-06,60.53,61.0,60.12,61.0,1448423
2013-06-07,62.56,63.95,61.1,63.93,5027887
2013-06-10,64.06,64.21,62.81,63.11,1969677
2013-06-11,62.31,63.12,62.16,62.2,1536374
2013-06-12,62.51,62.51,61.28,61.43,1216464
2013-06-13,61.48,63.1,61.35,62.94,1471167
2013-06-14,62.95,63.19,62.5,62.76,915697
2013-06-17,63.18,63.61,62.95,63.29,896922
2013-06-18,63.42,63.99,63.25,63.82,849082
2013-06-19,63.94,64.25,62.91,62.92,900513
2013-06-20,62.26,62.58,61.32,61.66,1347276
2013-06-21,62.27,62.33,61.26,62.03,2399933
2013-06-24,61.55,61.71,60.67,61.23,1561219
2013-06-25,61.78,62.23,61.32,61.6,1469181
2013-06-26,62.2,62.73,61.76,62.45,1016560
2013-06-27,62.87,63.42,62.7,63.18,1069728
2013-06-28,63.06,63.6,62.78,62.87,1838176
2013-07-01,62.89,63.37,62.65,62.72,1532631
2013-07-02,62.55,63.37,61.99,62.69,1864162
2013-07-03,62.25,63.08,61.76,62.48,1436852
2013-07-05,63.19,63.56,62.74,63.5,1221872
2013-07-08,63.93,64.16,63.63,64.15,1432725
2013-07-09,64.5,64.88,64.13,64.74,1305239
2013-07-10,64.75,65.19,64.53,64.99,1282564
2013-07-11,65.82,66.26,65.56,66.14,1568788
2013-07-12,66.0,66.6,66.0,66.34,1799102
2013-07-15,66.02,66.75,65.88,66.4,1443383
2013-07-16,66.56,67.04,66.23,66.42,1342939
2013-07-17,66.49,67.16,66.49,66.77,2171932
2013-07-18,66.36,67.43,64.49,65.83,2571155
2013-07-19,66.06,66.12,64.15,65.4,2864516
2013-07-22,65.4,65.48,64.67,64.97,1462918
2013-07-23,65.17,65.31,64.46,64.51,1141092
2013-07-24,64.73,64.92,64.32,64.62,1265405
2013-07-25,64.84,64.89,63.81,64.3,1569340
2013-07-26,64.08,65.16,63.79,65.11,1640915
2013-07-29,70.04,70.5,64.5,64.75,17632890
2013-07-30,64.42,64.47,63.03,63.63,5499501
2013-07-31,64.93,65.83,64.14,64.27,5641479
2013-08-01,64.88,65.3,64.51,64.8,3762659
2013-08-02,63.33,64.15,63.33,63.49,2763130
2013-08-05,63.17,63.56,62.97,63.5,3161725
2013-08-06,63.96,64.28,63.46,63.48,3094324
2013-08-07,63.35,63.66,63.25,63.4,2372831
2013-08-08,63.8,63.8,63.39,63.48,929367
2013-08-09,63.36,63.74,62.63,62.68,1748171
2013-08-12,62.38,63.0,62.23,62.68,1450475
2013-08-13,62.63,62.69,62.2,62.26,1387367
2013-08-14,62.76,62.94,62.16,62.18,1915241
2013-08-15,61.79,61.88,60.23,60.69,3215787
2013-08-16,60.7,61.68,60.7,61.48,2415032
2013-08-19,62.01,62.2,61.77,62.06,1642097
2013-08-20,61.8,62.5,61.47,62.37,1743112
2013-08-21,62.39,62.65,61.4,61.46,1687691
2013-08-22,61.74,62.1,61.43,62.0,1011365
2013-08-23,61.9,62.1,61.57,61.76,882889
2013-08-26,61.93,62.0,61.31,61.38,696081
2013-08-27,60.77,60.95,60.31,60.42,986087
2013-08-28,59.94,60.43,59.7,60.22,1427234
2013-08-29,60.59,61.14,60.49,60.9,947574
2013-08-30,60.89,61.0,60.34,60.65,1103106
2013-09-03,61.61,61.69,60.14,60.66,1772172
2013-09-04,61.48,61.73,61.33,61.7,1890529
2013-09-05,62.39,62.75,62.16,62.52,1485391
2013-09-06,62.81,63.14,62.31,62.6,751781
2013-09-09,62.75,63.5,62.63,63.49,773757
2013-09-10,63.85,64.07,63.64,63.88,681676
2013-09-11,64.61,64.74,64.34,64.59,1149504
2013-09-12,64.15,64.79,64.07,64.59,1098128
2013-09-13,65.05,65.33,64.84,65.01,1617173
2013-09-16,65.82,65.95,65.25,65.66,1451301
2013-09-17,65.6,66.36,65.52,66.34,730805
2013-09-18,66.15,66.35,64.9,66.04,1357362
2013-09-19,66.05,66.3,65.47,65.6,1486506
2013-09-20,65.85,65.99,65.14,65.19,1630878
2013-09-23,65.38,65.44,64.54,64.65,1045898
2013-09-24,65.0,65.29,64.62,64.69,1267978
2013-09-25,65.15,65.2,64.36,64.58,1314214
2013-09-26,64.54,64.8,64.21,64.4,746116
2013-09-27,64.85,64.88,64.09,64.32,1166944
2013-09-30,63.79,63.94,63.33,63.44,1540371
2013-10-01,64.17,64.18,63.32,63.56,1851132
2013-10-02,63.27,63.62,62.94,63.17,1374067
2013-10-03,63.35,63.44,62.98,63.1,1537193
2013-10-04,63.18,63.26,63.0,63.13,1659998
2013-10-07,62.84,63.27,62.53,62.7,767589
2013-10-08,62.76,63.05,61.96,61.99,1019922
2013-10-09,61.91,62.09,61.35,61.76,1078805
2013-10-10,62.17,63.41,62.04,63.4,1301523
2013-10-11,63.71,63.84,63.33,63.7,1269373
2013-10-14,63.33,64.21,63.15,63.95,1270599
2013-10-15,64.76,65.69,64.36,64.96,1586188
2013-10-16,63.5,65.01,63.41,64.61,2168326
2013-10-17,64.57,65.25,64.45,65.16,1388086
2013-10-18,65.53,66.3,65.53,65.66,1912881
2013-10-21,66.01,66.22,65.56,66.16,810927
2013-10-22,66.6,68.06,66.58,67.84,1641230
2013-10-23,67.35,67.82,65.87,66.0,1695687
2013-10-24,66.8,67.14,66.48,66.49,2180852
2013-10-25,67.15,67.91,67.15,67.46,1535464
2013-10-28,67.44,68.79,67.41,68.37,1598913
2013-10-29,68.01,68.88,68.01,68.88,1346534
2013-10-30,68.96,68.96,67.88,67.99,1233453
2013-10-31,68.0,68.78,67.72,68.11,1409951
2013-11-01,68.19,69.11,68.14,68.98,1546009
2013-11-04,69.28,70.11,68.75,69.91,1126026
2013-11-05,69.88,70.53,69.65,70.28,1053690
2013-11-06,71.42,71.83,70.25,70.51,1785042
2013-11-07,70.84,71.0,70.22,70.38,1065989
2013-11-08,70.14,70.62,69.85,70.4,1000560
2013-11-11,70.55,70.95,70.42,70.56,692410
2013-11-12,70.11,70.69,69.77,69.99,664358
2013-11-13,68.99,70.05,68.61,69.77,1449005
2013-11-14,69.57,69.7,69.07,69.08,1071237
2013-11-15,70.29,70.73,69.81,69.95,2230166
2013-11-18,70.2,70.74,69.6,69.93,1321545
2013-11-19,69.68,70.31,69.5,70.16,815136
2013-11-20,70.16,70.59,69.95,70.35,949700
2013-11-21,70.93,71.16,70.7,70.74,1674831
2013-11-22,71.62,72.16,71.53,71.74,992210
2013-11-25,71.41,71.51,70.8,70.91,726755
2013-11-26,71.5,72.39,71.08,71.76,1081346
2013-11-27,71.81,71.98,71.28,71.52,551576
2013-11-29,72.21,72.49,71.08,71.45,705986
2013-12-02,71.37,72.29,71.16,71.98,1297014
2013-12-03,70.7,71.11,70.35,70.68,2126226
2013-12-04,70.28,70.7,69.32,69.43,1937695
2013-12-05,70.93,71.16,70.05,70.42,1777714
2013-12-06,70.79,71.56,70.71,71.3,1149733
2013-12-09,71.3,71.78,70.95,71.11,824752
2013-12-10,70.94,71.36,70.63,70.65,751643
2013-12-11,71.27,71.55,69.53,69.81,1504007
2013-12-12,69.46,69.8,68.8,68.9,1384265
2013-12-13,69.17,69.67,68.79,68.82,875216
2013-12-16,69.0,69.82,69.0,69.63,1053949
2013-12-17,69.5,70.44,69.5,69.84,1656754
2013-12-18,69.86,70.55,68.79,70.55,1182448
2013-12-19,72.0,73.19,71.8,72.6,2240859
2013-12-20,72.49,72.5,71.38,71.48,2410973
2013-12-23,72.0,72.04,71.09,71.21,1443882
2013-12-24,71.35,72.11,71.35,71.83,373604
2013-12-26,71.83,72.76,71.65,72.74,481387
2013-12-27,73.41,73.79,73.1,73.42,757928
2013-12-30,73.19,74.04,72.82,73.99,880745
2013-12-31,74.0,74.5,73.96,74.37,890661
2014-01-02,74.52,74.78,73.83,74.0,1078995
2014-01-03,73.78,74.2,73.28,73.78,1079400
2014-01-06,72.6,72.9,71.76,72.0,1646250
2014-01-07,72.49,72.97,72.21,72.75,1705773
2014-01-08,72.04,72.2,71.47,71.51,1212169
2014-01-09,72.64,73.28,72.2,72.24,1635705
2014-01-10,73.93,74.22,73.14,73.22,2736511
2014-01-13,72.55,72.89,71.32,71.51,1471379
2014-01-14,72.71,74.09,72.55,73.91,1561921
2014-01-15,74.97,75.36,74.3,74.5,2001130
2014-01-16,74.58,74.73,74.05,74.35,1036536
2014-01-17,74.53,74.84,74.17,74.2,1132232
2014-01-21,74.77,75.17,73.73,74.06,1096668
2014-01-22,74.04,74.14,73.47,73.63,910366
2014-01-23,73.13,73.82,72.92,73.31,1582989
2014-01-24,72.69,73.12,72.22,72.51,1595267
2014-01-27,72.26,72.55,71.61,71.96,1568443
2014-01-28,73.32,73.75,72.67,73.18,1367555
2014-01-29,72.9,73.26,71.99,72.46,1274920
2014-01-30,72.79,74.17,72.79,73.98,925458
2014-01-31,72.41,73.34,71.84,72.58,2284681
2014-02-03,72.71,72.78,70.59,70.74,1847276
2014-02-04,70.94,72.44,70.8,72.16,1262192
2014-02-05,71.71,73.15,71.71,72.09,1833735
2014-02-06,73.27,73.88,73.18,73.37,1621737
2014-02-07,74.0,74.47,73.69,74.2,2132367
2014-02-10,73.99,74.4,73.69,74.17,1578973
2014-02-11,76.06,76.06,72.92,73.0,5707050
2014-02-12,72.81,72.99,71.81,72.87,3509487
2014-02-13,73.39,74.44,73.08,74.39,1829962
2014-02-14,74.66,76.3,74.21,75.94,1562244
2014-02-18,76.1,76.36,75.69,76.16,967497
2014-02-19,75.99,76.69,75.4,75.45,812938
2014-02-20,75.5,75.61,74.89,74.92,1401858
2014-02-21,75.0,75.52,74.54,74.56,1319500
2014-02-24,75.33,76.79,75.29,75.85,1219806
2014-02-25,76.53,76.87,76.25,76.4,1244789
2014-02-26,76.23,76.26,75.27,75.32,992366
2014-02-27,74.86,75.55,74.77,75.28,1123452
2014-02-28,75.87,76.69,75.54,75.68,1787447
2014-03-03,74.85,75.06,73.86,74.47,904471
2014-03-04,75.04,75.41,74.74,75.23,976918
2014-03-05,75.02,75.22,74.26,74.76,951568
2014-03-06,75.37,75.81,75.23,75.56,910467
2014-03-07,75.77,76.18,75.43,75.5,1533668
2014-03-10,75.38,75.38,73.52,73.57,1328817
2014-03-11,73.46,73.62,72.74,73.24,2068318
2014-03-12,72.2,73.23,71.95,73.19,2040711
2014-03-13,73.37,73.41,72.3,72.3,926424
2014-03-14,71.82,72.36,71.53,72.25,1009808
2014-03-17,72.47,73.31,72.07,72.8,1263948
2014-03-18,72.79,73.61,72.64,73.0,1236781
2014-03-19,72.9,72.9,71.45,71.73,2134638
2014-03-20,70.88,72.48,70.72,72.44,1538794
2014-03-21,72.63,73.83,71.79,72.06,1528679
2014-03-24,72.1,72.24,71.29,71.99,1257056
2014-03-25,72.06,72.34,71.54,72.0,758506
2014-03-26,72.73,73.5,72.41,72.6,1801438
2014-03-27,72.78,73.04,72.12,72.17,1281608
2014-03-28,72.54,73.04,71.98,72.31,1170117
2014-03-31,72.67,73.02,72.4,72.6,1204421
2014-04-01,72.8,72.84,70.66,72.36,1718168
2014-04-02,71.98,72.39,71.4,71.91,1302581
2014-04-03,72.26,72.81,72.06,72.35,720779
2014-04-04,72.58,72.65,71.85,72.07,1195548
2014-04-07,71.32,71.33,69.65,69.81,2059708
2014-04-08,69.72,70.08,69.04,69.89,2808458
2014-04-09,70.6,70.94,69.92,70.52,1904670
