Date,Open,High,Low,Close,Volume
2013-01-02,34.08,34.74,33.93,34.69,33759100
2013-01-03,34.63,34.75,34.14,34.31,21819654
2013-01-04,34.45,34.75,34.4,34.61,21687218
2013-01-07,34.44,34.52,34.21,34.43,14008212
2013-01-08,34.15,34.51,34.06,34.44,17409069
2013-01-09,34.5,34.8,34.38,34.46,18933133
2013-01-10,34.56,34.92,34.41,34.91,17843884
2013-01-11,34.96,35.0,34.78,34.86,15105158
2013-01-14,34.83,35.0,34.6,34.96,14589360
2013-01-15,34.57,34.88,34.52,34.7,16263598
2013-01-16,34.63,34.87,34.56,34.64,17608114
2013-01-17,34.76,34.81,34.6,34.62,17828043
2013-01-18,34.59,35.13,34.41,35.11,30088905
2013-01-22,34.95,34.98,34.53,34.93,19309967
2013-01-23,34.96,35.2,34.69,34.69,17236538
2013-01-24,34.88,35.4,34.82,34.94,18662261
2013-01-25,35.0,35.4,34.88,35.38,18061243
2013-01-28,35.41,35.79,35.38,35.54,20121478
2013-01-29,35.36,35.87,35.07,35.78,18284784
2013-01-30,35.76,35.88,35.28,35.38,14249927
2013-01-31,35.27,35.69,35.25,35.51,19077604
2013-02-01,35.87,36.31,35.81,36.2,27726059
2013-02-04,35.81,36.0,35.03,35.13,23595748
2013-02-05,35.21,35.72,35.14,35.48,16663693
2013-02-06,35.31,35.42,35.01,35.1,15603768
2013-02-07,35.14,35.19,34.45,34.56,26869281
2013-02-08,34.76,34.98,34.5,34.9,19255621
2013-02-11,34.98,35.04,34.55,34.96,12648714
2013-02-12,34.89,35.25,34.85,35.11,14666223
2013-02-13,35.21,35.26,34.88,34.99,13176762
2013-02-14,34.87,35.07,34.69,34.9,15887050
2013-02-15,34.8,34.99,34.65,34.81,18406472
2013-02-19,34.93,35.41,34.82,35.4,16445970
2013-02-20,35.5,35.59,35.0,35.0,16263873
2013-02-21,34.95,34.95,34.17,34.28,20923524
2013-02-22,34.51,34.78,34.13,34.75,13755357
2013-02-25,35.07,35.43,34.27,34.28,19992897
2013-02-26,34.28,34.57,34.08,34.32,15839569
2013-02-27,34.25,34.96,34.06,34.68,15671306
2013-02-28,34.7,34.86,34.22,34.24,23816996
2013-03-01,34.12,34.83,34.0,34.63,20376118
2013-03-04,34.53,35.08,34.4,35.05,14750500
2013-03-05,35.22,35.68,35.21,35.46,15410278
2013-03-06,35.5,35.93,35.48,35.86,21341095
2013-03-07,35.94,36.13,35.76,35.94,15104557
2013-03-08,35.94,36.09,35.67,35.71,14984979
2013-03-11,35.7,35.98,35.64,35.88,14111695
2013-03-12,35.85,35.85,35.16,35.43,18412219
2013-03-13,35.82,35.85,35.35,35.58,21228779
2013-03-14,35.8,36.32,35.62,36.3,21042107
2013-03-15,36.11,36.43,36.1,36.34,56178015
2013-03-18,36.1,36.42,36.0,36.04,20656923
2013-03-19,36.18,36.23,35.41,35.69,20552008
2013-03-20,35.98,36.07,35.4,35.76,41088010
2013-03-21,32.78,32.94,32.18,32.3,132669406
2013-03-22,32.4,32.5,31.64,31.98,64333403
2013-03-25,32.05,32.2,31.16,31.25,39699446
2013-03-26,31.41,31.79,31.41,31.54,29422896
2013-03-27,31.41,32.1,31.29,31.95,35029181
2013-03-28,31.89,32.39,31.79,32.33,23679815
2013-04-01,32.36,32.46,32.04,32.41,18677550
2013-04-02,32.65,32.94,32.53,32.74,22620399
2013-04-03,32.93,32.94,32.2,32.4,25545512
2013-04-04,32.36,32.51,32.23,32.36,18169869
2013-04-05,31.77,32.12,31.67,32.03,24416357
2013-04-08,32.07,32.36,31.9,32.36,14134418
2013-04-09,32.5,33.08,32.46,33.04,30090758
2013-04-10,33.15,33.95,33.15,33.73,35941514
2013-04-11,33.62,33.92,33.56,33.62,23080618
