Date,Open,High,Low,Close,Volume
2013-01-02,78.33,78.5,77.28,78.16,3854153
2013-01-03,78.02,79.32,77.85,78.47,3237806
2013-01-04,78.51,79.88,78.47,79.84,3775612
2013-01-07,79.56,80.17,79.26,79.88,3595887
2013-01-08,80.28,82.0,79.92,81.72,8393194
2013-01-09,81.61,82.45,81.6,82.11,5419484
2013-01-10,82.98,83.17,82.23,83.01,5150169
2013-01-11,82.93,83.17,82.59,83.08,3470774
2013-01-14,83.1,83.5,82.21,82.67,3077658
2013-01-15,82.33,82.82,82.2,82.49,2594145
2013-01-16,82.39,82.56,82.07,82.29,3071804
2013-01-17,82.73,82.99,82.38,82.39,3392356
2013-01-18,82.44,82.58,81.61,82.58,4784611
2013-01-22,82.39,83.66,82.17,83.6,5006287
2013-01-23,83.6,83.72,82.7,82.92,4144449
2013-01-24,83.05,83.83,83.05,83.4,3312088
2013-01-25,83.61,84.14,83.23,84.06,3375201
2013-01-28,84.53,84.58,83.02,83.84,3355616
2013-01-29,84.03,85.25,83.81,85.11,4201427
2013-01-30,85.16,86.34,85.04,85.32,6013389
2013-01-31,86.05,88.59,85.65,88.27,13895642
2013-02-01,88.51,88.51,87.16,87.68,7259047
2013-02-04,87.73,88.52,87.5,87.99,6808887
2013-02-05,88.52,88.74,87.81,88.41,4771861
2013-02-06,87.85,88.72,87.51,88.68,4098827
2013-02-07,88.62,88.74,87.75,88.17,4147449
2013-02-08,88.16,88.6,88.1,88.36,3173198
2013-02-11,88.24,88.25,87.09,87.21,3413712
2013-02-12,87.31,87.5,86.49,86.93,3520557
2013-02-13,87.1,87.38,86.57,86.94,2388110
2013-02-14,86.74,87.31,86.45,86.91,4147690
2013-02-15,87.2,87.25,84.62,84.71,9407944
2013-02-19,85.1,86.3,85.1,85.8,5789752
2013-02-20,85.76,86.16,84.42,84.51,5809938
2013-02-21,84.0,84.28,83.09,83.43,4189457
2013-02-22,84.0,84.0,83.36,83.61,3755383
2013-02-25,85.03,85.55,82.11,82.13,6383468
2013-02-26,82.51,82.82,81.11,81.78,5509017
2013-02-27,81.65,82.63,81.47,82.23,5079391
2013-02-28,82.24,82.55,81.92,82.33,4914333
2013-03-01,81.86,82.86,81.21,82.65,3568721
2013-03-04,82.39,82.48,80.93,81.64,3796381
2013-03-05,82.17,82.83,81.93,82.45,3681956
2013-03-06,82.61,82.61,81.37,81.89,3737423
2013-03-07,82.03,82.21,81.61,81.69,4046206
2013-03-08,82.06,82.54,81.84,82.4,4000227
2013-03-11,82.24,83.33,81.94,82.88,2985823
2013-03-12,83.11,84.24,83.02,83.59,3808938
