Date,Open,High,Low,Close,Volume
2013-01-02,46.22,47.16,46.16,46.54,2772857
2013-01-03,45.96,46.85,45.96,46.33,2403148
2013-01-04,46.58,46.96,46.37,46.8,1854810
2013-01-07,46.49,46.65,46.18,46.29,1292529
2013-01-08,46.14,46.16,45.49,45.89,1598398
2013-01-09,45.57,45.79,45.42,45.63,2105947
2013-01-10,45.92,46.04,45.48,46.01,1961661
2013-01-11,46.06,46.41,45.62,46.03,1394401
2013-01-14,46.03,46.22,45.71,46.19,1394309
2013-01-15,45.78,46.17,45.6,46.1,1277396
2013-01-16,45.9,45.98,45.52,45.74,1293199
2013-01-17,45.73,46.59,45.73,46.45,1309681
2013-01-18,46.35,46.49,45.88,46.37,1550030
2013-01-22,46.16,46.5,46.13,46.47,1279030
2013-01-23,46.56,46.7,46.0,46.19,1326772
2013-01-24,46.46,48.5,46.23,47.77,4306384
2013-01-25,47.86,48.29,47.73,48.23,2081328
2013-01-28,48.41,48.64,48.1,48.17,2037828
2013-01-29,48.28,48.64,47.78,48.55,1970270
2013-01-30,48.18,48.57,47.95,48.15,2529452
2013-01-31,47.79,48.75,46.94,47.06,3739713
2013-02-01,47.52,47.91,47.31,47.55,3137066
2013-02-04,47.36,47.94,46.86,46.97,2476618
2013-02-05,47.41,47.82,47.09,47.6,2003910
2013-02-06,47.38,48.32,47.37,47.81,1869800
2013-02-07,47.03,47.59,46.51,47.16,2282441
2013-02-08,47.41,47.76,47.11,47.5,1166418
2013-02-11,47.63,47.81,47.27,47.79,1041758
2013-02-12,47.98,48.07,47.72,47.93,1118146
2013-02-13,48.01,48.15,47.53,48.04,1194479
2013-02-14,47.81,48.19,47.44,48.17,1141865
2013-02-15,48.06,48.32,47.88,48.09,1920372
2013-02-19,48.26,48.7,48.1,48.46,1413291
2013-02-20,48.42,48.42,47.2,47.32,2272199
2013-02-21,47.14,47.2,46.27,46.69,1962912
2013-02-22,46.89,47.16,46.67,46.86,1232979
2013-02-25,47.18,47.34,46.18,46.2,1772644
2013-02-26,46.39,46.74,45.81,46.58,1767058
2013-02-27,46.54,47.69,46.51,47.44,1332328
2013-02-28,47.46,48.02,47.39,47.45,1543304
2013-03-01,47.23,47.34,46.65,46.97,2035974
2013-03-04,46.9,46.91,45.87,46.84,2720512
2013-03-05,47.28,48.64,47.28,48.36,2768564
2013-03-06,48.5,49.14,48.31,48.48,1871811
2013-03-07,48.74,49.74,48.68,49.4,2839743
2013-03-08,49.71,50.46,49.5,50.46,2787422
2013-03-11,50.28,50.94,50.28,50.87,1646012
2013-03-12,50.71,50.94,49.84,50.2,1781532
2013-03-13,50.48,50.8,49.92,50.71,1594003
2013-03-14,50.75,51.14,50.6,51.08,1400683
2013-03-15,50.82,51.38,50.73,50.96,2340591
2013-03-18,50.29,50.72,49.28,50.32,1633085
2013-03-19,50.32,50.67,49.75,49.95,2231328
2013-03-20,50.49,50.53,49.79,50.0,1378544
2013-03-21,49.61,49.8,48.96,49.61,3012852
2013-03-22,49.86,50.06,49.76,50.04,1773004
2013-03-25,50.2,50.2,49.18,49.45,2019172
2013-03-26,49.72,50.22,49.54,50.15,1505521
2013-03-27,49.76,50.2,49.54,50.13,1048515
2013-03-28,50.05,50.65,50.02,50.56,1535954
2013-04-01,50.56,50.79,49.64,49.91,1048235
2013-04-02,50.13,50.53,49.91,50.23,3990378
2013-04-03,50.15,50.23,48.32,48.62,2874711
2013-04-04,48.63,48.95,48.08,48.39,2539129
2013-04-05,47.56,48.28,47.28,48.19,2802757
2013-04-08,48.15,48.32,47.7,48.21,3474855
2013-04-09,48.37,49.19,48.25,49.0,1754026
2013-04-10,49.14,50.21,49.07,50.15,1863993
2013-04-11,50.33,50.86,50.12,50.55,1431851
2013-04-12,50.56,50.56,49.6,50.23,1891548
2013-04-15,49.89,50.03,47.94,48.01,2468558
2013-04-16,48.38,48.92,48.11,48.65,1326148
2013-04-17,48.08,48.24,47.12,47.57,2378705
2013-04-18,47.62,47.92,47.16,47.38,1431603
2013-04-19,47.29,48.42,47.24,48.2,2329005
2013-04-22,48.56,49.19,47.96,49.04,2747406
2013-04-23,48.8,49.05,47.79,48.76,3666416
2013-04-24,48.67,49.47,48.67,48.99,1595248
2013-04-25,49.34,50.16,49.11,49.82,2047813
2013-04-26,49.83,50.06,49.3,49.52,1299879
2013-04-29,49.59,50.03,49.53,49.83,1131182
2013-04-30,49.28,49.78,48.97,49.78,1957586
2013-05-01,49.53,49.72,49.36,49.53,2452400
2013-05-02,49.67,51.2,49.58,50.89,2363175
2013-05-03,51.63,53.12,51.57,52.54,2942058
2013-05-06,51.2,52.34,50.01,51.97,2109877
2013-05-07,52.0,52.47,51.93,52.47,1308297
2013-05-08,52.3,53.37,52.19,53.19,2238192
2013-05-09,52.93,53.41,52.51,52.69,1664195
2013-05-10,52.73,52.91,52.46,52.61,1287240
2013-05-13,52.27,52.7,52.19,52.43,1350530
2013-05-14,52.41,53.1,52.31,52.91,1686395
2013-05-15,52.39,53.32,51.81,53.2,1629238
2013-05-16,52.92,53.44,52.62,52.77,1735693
2013-05-17,53.24,54.69,53.1,54.54,2906879
2013-05-20,54.2,54.79,54.18,54.56,1570893
2013-05-21,54.55,54.86,54.26,54.63,1582183
2013-05-22,54.78,55.05,53.76,54.12,1536551
2013-05-23,53.67,54.24,53.61,53.96,1281671
2013-05-24,53.33,53.53,52.83,53.35,1287588
2013-05-28,54.01,54.56,53.66,53.97,940534
2013-05-29,53.56,54.27,53.38,53.97,1116653
2013-05-30,53.95,54.66,53.93,54.17,746514
2013-05-31,53.99,54.55,53.48,53.6,1871249
2013-06-03,53.89,54.02,52.18,53.72,2520178
2013-06-04,53.69,53.99,52.76,53.83,2161872
2013-06-05,53.82,53.91,52.72,52.78,1746074
2013-06-06,52.96,53.35,52.45,53.34,1026110
2013-06-07,53.72,54.43,53.42,54.35,1244364
2013-06-10,54.55,54.64,53.77,54.09,1035572
2013-06-11,53.34,54.01,53.11,53.34,873167
2013-06-12,53.76,53.86,52.58,52.65,742693
2013-06-13,52.44,54.13,52.33,53.9,1065669
2013-06-14,53.68,54.06,53.22,53.22,914049
2013-06-17,53.53,54.22,53.43,53.86,963127
2013-06-18,53.93,54.65,53.79,54.51,688429
2013-06-19,54.41,54.59,53.82,53.82,846781
2013-06-20,53.14,53.26,52.02,52.21,1671944
2013-06-21,52.65,52.68,51.7,52.33,2860013
2013-06-24,51.93,51.97,51.13,51.14,2675530
2013-06-25,51.69,52.05,51.39,51.88,1548053
2013-06-26,52.48,52.84,52.15,52.63,948576
2013-06-27,52.96,53.72,52.86,53.63,1513892
2013-06-28,53.28,53.95,53.23,53.66,2146151
2013-07-01,53.66,54.32,53.65,54.25,1430378
2013-07-02,54.26,54.54,53.51,53.93,1283562
2013-07-03,52.85,53.61,52.59,53.47,1206868
2013-07-05,53.92,54.38,53.32,54.37,973096
