Date,Open,High,Low,Close,Volume
2013-01-02,69.18,69.48,68.64,69.33,8056616
2013-01-03,69.28,69.48,69.05,69.36,5200296
2013-01-04,69.29,69.63,69.1,69.46,4512301
2013-01-07,69.53,69.69,69.16,69.45,5658376
2013-01-08,69.25,69.7,69.25,69.66,5072511
2013-01-09,69.95,70.04,69.57,70.01,6280826
2013-01-10,70.19,70.92,70.16,70.81,6924849
2013-01-11,70.72,70.89,70.56,70.88,4669020
2013-01-14,70.89,71.42,70.77,71.29,5631961
2013-01-15,71.17,71.74,70.87,71.6,5546249
2013-01-16,71.33,71.8,71.26,71.48,5000995
2013-01-17,71.64,72.47,71.3,72.43,7501626
2013-01-18,72.22,72.54,72.13,72.48,7743257
2013-01-22,72.39,72.45,72.02,72.2,7042115
2013-01-23,72.08,72.29,71.74,71.81,4811936
2013-01-24,71.91,72.38,71.91,72.23,5136392
2013-01-25,72.4,72.55,72.23,72.49,4155670
2013-01-28,72.41,72.67,72.3,72.61,3740937
2013-01-29,72.46,72.95,72.46,72.94,6655293
2013-01-30,72.87,73.46,72.84,73.21,5179558
2013-01-31,73.36,73.37,72.68,72.85,5678358
2013-02-01,73.08,73.11,72.56,72.67,5966750
2013-02-04,72.48,72.67,72.4,72.45,5449585
2013-02-05,72.63,73.16,72.63,73.15,5558625
2013-02-06,72.91,73.12,72.74,72.77,4782736
2013-02-07,72.82,73.03,72.46,72.81,4146348
2013-02-08,72.76,72.87,72.47,72.6,3721381
2013-02-11,72.5,72.64,72.2,72.36,3743992
2013-02-12,72.42,72.45,72.06,72.17,6397975
2013-02-13,72.24,72.37,70.98,71.5,12033954
2013-02-14,72.12,73.2,71.5,72.28,8160764
2013-02-15,72.49,73.72,72.47,73.68,9350090
2013-02-19,73.75,75.59,73.48,75.5,10825980
2013-02-20,75.29,75.86,75.29,75.42,7638098
2013-02-21,75.27,75.44,74.72,75.36,5646344
2013-02-22,75.42,75.58,75.14,75.57,4971364
2013-02-25,75.68,76.33,75.09,75.19,7603874
2013-02-26,75.4,75.77,75.0,75.62,6176829
2013-02-27,75.1,75.59,74.53,75.48,4655943
2013-02-28,75.44,75.95,75.44,75.77,6009425
2013-03-01,75.55,75.95,75.37,75.93,4286138
2013-03-04,75.78,76.62,75.54,76.6,5562460
2013-03-05,76.84,77.07,76.49,76.9,7424747
2013-03-06,77.0,77.09,76.62,76.8,3940873
