Date,Open,High,Low,Close,Volume
2013-01-02,87.45,88.58,86.51,87.66,1962721
2013-01-03,87.6,88.73,87.45,88.34,1336064
2013-01-04,88.65,88.92,88.3,88.82,775606
2013-01-07,88.08,88.35,87.26,88.25,1447476
2013-01-08,88.67,88.98,87.51,88.32,1242585
2013-01-09,88.62,90.25,88.59,90.17,1482443
2013-01-10,90.64,90.73,88.64,89.6,1636490
2013-01-11,89.52,89.52,88.35,89.04,902905
2013-01-14,88.99,89.49,88.48,89.32,957747
2013-01-15,88.57,90.0,88.54,89.64,833436
2013-01-16,89.12,89.95,88.73,89.84,933379
2013-01-17,90.0,91.93,89.7,91.36,2331523
2013-01-18,92.5,93.7,90.0,93.7,4265978
2013-01-22,93.26,93.57,91.91,93.28,1933924
2013-01-23,93.24,93.65,92.67,93.05,1378371
2013-01-24,92.99,94.69,92.83,93.97,1225650
2013-01-25,94.38,94.57,93.69,94.37,723835
2013-01-28,94.75,94.81,93.58,93.82,1262505
2013-01-29,93.58,94.3,93.28,94.15,952591
2013-01-30,94.1,94.77,93.09,93.28,1052735
2013-01-31,93.41,94.14,92.8,92.97,1199609
2013-02-01,93.92,94.11,93.34,93.85,1509733
2013-02-04,93.05,93.64,92.45,92.51,1031926
2013-02-05,93.54,94.36,93.05,93.95,1708930
2013-02-06,92.88,93.83,92.13,93.45,1010083
2013-02-07,93.68,94.64,93.06,93.8,1048198
2013-02-08,93.83,94.48,93.69,94.32,566484
2013-02-11,94.1,94.57,93.43,94.39,639923
2013-02-12,94.28,95.59,93.95,95.18,1152695
2013-02-13,95.6,96.56,95.37,96.33,1549844
2013-02-14,95.77,97.03,95.53,96.31,1044842
2013-02-15,96.27,97.29,95.71,96.04,1215204
2013-02-19,96.31,97.5,96.28,97.46,1113562
2013-02-20,97.43,97.43,94.75,95.02,1364306
2013-02-21,94.58,94.58,92.62,93.26,1335463
2013-02-22,93.89,94.64,93.62,94.54,898877
2013-02-25,95.09,95.25,90.83,90.9,1650938
2013-02-26,91.63,92.27,91.04,91.65,1576556
2013-02-27,91.5,93.77,91.45,93.56,1144828
2013-02-28,93.65,95.26,93.06,94.48,1037048
2013-03-01,93.82,94.9,92.75,94.45,924194
2013-03-04,94.15,94.17,92.52,93.65,960767
2013-03-05,94.54,96.72,94.54,96.45,1281358
2013-03-06,96.98,97.21,95.93,96.42,741922
2013-03-07,96.63,97.75,96.42,97.24,1067415
2013-03-08,97.67,98.15,97.04,97.95,972089
2013-03-11,97.6,98.06,97.32,97.93,602550
