Date,Open,High,Low,Close,Volume
2013-01-02,146.58,146.58,144.8,146.09,636264
2013-01-03,145.99,146.96,145.3,145.55,568611
2013-01-04,145.41,146.41,145.17,146.22,444086
2013-01-07,145.85,146.63,145.68,145.95,442257
2013-01-08,145.88,146.02,144.35,144.96,446446
2013-01-09,145.35,145.52,144.69,145.49,411500
2013-01-10,145.82,146.29,145.04,146.28,561180
2013-01-11,146.75,147.06,145.77,147.05,515975
2013-01-14,147.06,147.47,146.05,146.31,731830
2013-01-15,146.7,147.87,145.79,147.67,572261
2013-01-16,147.23,148.1,146.68,147.96,585789
2013-01-17,148.42,148.72,147.78,148.09,597405
2013-01-18,149.09,150.41,148.39,150.26,899638
2013-01-22,149.88,150.96,149.8,150.92,725217
2013-01-23,150.46,151.17,150.23,150.82,579270
2013-01-24,151.0,151.87,150.64,151.73,631247
2013-01-25,152.0,152.91,151.4,152.7,703450
2013-01-28,153.0,153.92,152.18,153.44,651158
2013-01-29,153.05,154.38,152.69,154.22,608321
2013-01-30,153.71,154.42,152.92,153.82,703163
2013-01-31,153.8,154.2,152.87,153.93,927328
2013-02-01,154.2,155.87,153.93,155.5,864409
2013-02-04,154.85,156.99,154.82,156.39,1088742
2013-02-05,157.17,157.41,156.23,156.94,764455
2013-02-06,156.35,157.69,155.98,157.02,1115155
2013-02-07,157.26,157.65,155.58,156.04,638186
2013-02-08,155.5,157.59,155.5,157.4,379613
2013-02-11,157.46,157.95,156.7,156.85,421306
2013-02-12,157.04,157.68,156.38,157.13,794460
2013-02-13,157.22,157.33,155.54,156.08,739185
2013-02-14,155.66,155.89,154.1,154.2,889790
2013-02-15,152.83,152.83,150.0,151.26,1676446
2013-02-19,150.86,152.75,150.86,152.72,694123
2013-02-20,152.39,154.36,152.39,152.46,634976
2013-02-21,152.56,152.74,151.21,152.01,642595
2013-02-22,152.57,153.85,152.02,152.41,530961
2013-02-25,152.89,153.12,149.98,149.98,461872
2013-02-26,150.76,151.4,149.79,151.14,562934
2013-02-27,150.91,153.04,150.61,151.84,513926
2013-02-28,152.18,152.74,150.99,151.21,1259453
2013-03-01,150.94,152.31,150.43,151.95,428716
2013-03-04,151.7,153.39,151.7,152.75,579396
2013-03-05,153.15,154.18,152.65,153.98,495407
2013-03-06,154.32,154.62,152.17,152.59,434333
2013-03-07,152.5,152.77,150.25,150.46,900738
2013-03-08,150.56,150.72,148.77,150.47,749892
2013-03-11,149.13,149.68,148.75,148.91,603244
2013-03-12,148.89,149.2,146.93,147.0,975179
2013-03-13,147.03,147.21,146.12,146.68,767965
2013-03-14,146.83,147.59,146.79,147.25,776879
2013-03-15,147.11,148.32,146.45,148.25,1715471
