Date,Open,High,Low,Close,Volume
2013-01-02,86.48,89.67,86.48,89.66,815823
2013-01-03,89.65,89.65,88.89,89.18,488896
2013-01-04,89.23,90.24,89.23,90.2,512274
2013-01-07,89.83,90.12,89.26,89.89,517456
2013-01-08,90.23,90.23,88.97,89.09,670125
2013-01-09,89.69,90.04,89.25,89.59,758524
2013-01-10,89.9,90.0,89.57,89.84,742094
2013-01-11,89.17,89.47,87.97,88.22,736665
2013-01-14,88.22,88.83,88.05,88.3,714731
2013-01-15,88.31,88.85,88.21,88.36,579596
2013-01-16,88.34,88.66,88.28,88.59,470940
2013-01-17,88.82,89.81,88.72,89.59,275428
2013-01-18,89.75,89.9,88.95,89.56,392212
2013-01-22,89.53,89.88,88.91,89.88,433053
2013-01-23,89.91,90.19,89.46,89.76,360542
2013-01-24,89.81,90.31,89.71,90.14,644312
2013-01-25,90.18,90.3,89.08,89.26,611624
2013-01-28,89.58,90.11,88.21,88.8,543575
2013-01-29,88.64,88.96,88.28,88.65,616142
2013-01-30,88.65,89.17,88.6,88.88,603591
2013-01-31,88.87,89.01,88.63,88.63,744895
2013-02-01,89.19,90.4,89.08,89.79,496236
2013-02-04,89.9,89.98,88.73,88.86,372568
2013-02-05,89.35,89.74,89.11,89.48,277375
2013-02-06,89.12,89.41,88.61,89.09,724958
2013-02-07,88.95,89.66,88.38,88.9,597582
2013-02-08,89.04,89.48,88.91,89.16,554948
2013-02-11,89.09,89.48,88.45,88.75,839275
2013-02-12,89.92,91.0,89.4,90.92,1241432
2013-02-13,90.83,90.83,89.84,90.33,726523
2013-02-14,90.81,92.66,90.57,92.16,1623649
2013-02-15,92.22,94.99,91.86,92.4,1560319
2013-02-19,92.53,93.4,91.47,91.75,1163224
2013-02-20,91.77,92.41,91.62,91.7,1513665
2013-02-21,91.49,92.02,91.41,91.9,823993
2013-02-22,92.05,93.1,92.0,92.99,753407
2013-02-25,93.09,93.5,91.5,91.51,656969
2013-02-26,91.92,93.18,91.92,93.15,644782
2013-02-27,93.1,95.35,93.0,95.12,722959
2013-02-28,95.23,95.86,95.04,95.3,682138
2013-03-01,95.25,96.28,94.68,96.27,536618
2013-03-04,96.23,96.64,95.5,96.64,391094
2013-03-05,97.04,97.52,96.54,97.1,499447
2013-03-06,97.36,97.53,96.59,96.72,683185
2013-03-07,96.79,97.26,96.43,97.09,603787
2013-03-08,97.38,97.75,96.88,97.24,329279
2013-03-11,97.12,97.67,96.96,97.39,681861
2013-03-12,97.4,97.72,97.25,97.47,462119
2013-03-13,97.5,97.67,97.25,97.58,482336
2013-03-14,97.7,97.84,97.45,97.84,345752
2013-03-15,97.42,97.94,97.26,97.4,816130
2013-03-18,96.38,96.98,96.05,96.38,722742
2013-03-19,96.34,96.5,95.03,96.4,1114200
2013-03-20,96.82,97.14,96.03,96.76,762138
2013-03-21,96.53,96.61,95.99,96.0,409539
2013-03-22,96.13,96.55,96.09,96.44,500655
2013-03-25,96.89,97.33,96.16,96.38,387522
2013-03-26,96.4,97.78,96.33,97.41,436982
2013-03-27,97.01,97.36,96.15,97.31,402725
2013-03-28,97.3,99.29,97.22,99.16,651433
2013-04-01,99.32,99.35,98.27,98.95,446484
2013-04-02,99.13,100.14,98.68,99.17,394122
2013-04-03,99.03,99.11,97.64,97.85,472724
2013-04-04,97.89,98.99,97.81,98.98,412540
2013-04-05,98.44,98.44,97.68,98.12,488643
2013-04-08,97.95,98.33,97.58,98.3,507556
2013-04-09,98.42,98.67,97.82,98.2,409808
2013-04-10,98.28,99.02,98.01,99.0,581496
2013-04-11,99.26,100.0,99.07,99.8,490604
2013-04-12,99.66,101.11,99.29,101.1,502770
2013-04-15,101.04,101.58,99.51,99.52,435329
2013-04-16,100.12,102.3,99.92,102.25,520433
2013-04-17,101.68,102.41,100.95,101.76,763540
2013-04-18,101.94,102.28,101.33,101.53,421058
2013-04-19,101.65,103.91,101.52,103.1,461213
2013-04-22,103.24,103.31,102.06,103.06,342418
2013-04-23,103.54,105.03,103.09,105.0,557252
2013-04-24,104.98,105.18,102.46,102.51,468003
2013-04-25,103.0,103.12,102.04,102.23,503808
2013-04-26,102.13,102.71,101.65,101.92,229043
2013-04-29,102.28,102.43,101.45,102.24,310531
2013-04-30,102.16,103.65,101.92,103.23,519045
2013-05-01,102.94,103.39,101.43,102.11,346499
2013-05-02,102.06,103.54,101.58,102.89,481707
2013-05-03,103.74,103.84,102.98,103.56,490993
2013-05-06,103.27,103.27,102.25,102.55,287336
2013-05-07,102.79,103.87,102.6,103.87,332799
2013-05-08,103.72,103.99,103.07,103.84,297082
2013-05-09,103.72,103.88,102.07,102.23,353668
2013-05-10,102.39,103.78,102.14,103.63,439025
2013-05-13,103.37,104.24,103.11,104.12,261728
2013-05-14,104.3,104.66,104.18,104.53,408091
2013-05-15,104.15,105.0,103.48,104.01,587204
2013-05-16,103.73,104.08,103.21,103.32,345244
2013-05-17,103.19,103.66,101.97,102.58,850885
2013-05-20,102.71,102.71,101.87,101.93,373306
2013-05-21,102.08,102.63,101.4,102.11,440447
2013-05-22,102.26,104.0,102.05,102.51,651376
2013-05-23,101.41,102.77,101.2,102.47,465960
2013-05-24,102.11,103.4,101.49,103.22,408127
2013-05-28,104.01,105.17,103.53,104.52,448614
2013-05-29,104.52,104.73,102.68,103.02,492087
2013-05-30,103.06,103.29,102.39,102.65,330767
2013-05-31,102.45,102.79,100.95,100.96,853732
2013-06-03,101.23,102.25,100.26,102.18,804623
2013-06-04,102.14,103.18,101.9,102.64,669947
2013-06-05,102.25,102.98,102.14,102.37,859935
2013-06-06,103.88,103.88,96.75,98.38,1910977
2013-06-07,98.98,102.11,98.97,101.39,1106883
2013-06-10,101.49,101.49,99.71,100.24,922130
2013-06-11,99.65,100.69,99.37,100.51,861911
2013-06-12,101.32,101.43,100.41,100.83,673838
2013-06-13,100.96,102.44,100.59,102.17,616708
2013-06-14,101.46,103.29,101.46,103.01,635032
2013-06-17,103.12,103.82,102.76,103.24,393065
2013-06-18,103.07,104.18,102.87,103.66,326259
2013-06-19,103.5,103.76,102.31,102.38,744289
2013-06-20,101.78,102.28,99.88,99.98,801691
2013-06-21,100.47,101.12,99.85,100.71,722538
2013-06-24,100.01,100.95,99.76,99.81,549991
2013-06-25,100.7,101.26,99.86,100.9,745526
2013-06-26,101.5,102.63,101.3,101.64,726385
2013-06-27,102.22,102.98,101.87,102.85,541971
2013-06-28,102.5,104.06,102.44,103.15,945124
2013-07-01,103.42,104.31,103.33,104.08,597046
2013-07-02,103.8,104.17,102.67,103.15,986882
2013-07-03,103.17,103.43,102.34,102.59,494247
2013-07-05,102.92,103.14,101.44,103.12,393437
2013-07-08,103.58,104.88,103.27,104.37,571551
2013-07-09,104.86,105.18,104.29,104.62,459782
2013-07-10,104.62,104.9,104.03,104.53,459319
2013-07-11,105.6,106.0,105.02,105.93,652381
2013-07-12,105.73,106.19,105.12,106.01,482701
2013-07-15,105.85,106.87,105.66,106.66,421074
2013-07-16,107.02,107.45,105.83,107.16,519934
2013-07-17,107.5,107.54,106.2,106.58,310026
2013-07-18,106.66,107.55,106.56,107.39,364304
2013-07-19,107.43,108.28,106.68,108.16,330365
2013-07-22,108.2,108.82,107.51,108.79,633617
2013-07-23,108.71,109.94,108.5,109.68,588868
2013-07-24,109.72,109.92,108.6,109.51,573589
2013-07-25,109.14,110.85,108.65,110.72,640738
2013-07-26,110.36,111.6,109.89,111.54,487782
2013-07-29,111.59,112.45,111.36,112.05,395125
2013-07-30,112.77,113.12,112.26,112.39,361848
2013-07-31,112.73,113.18,112.0,112.52,542237
2013-08-01,113.39,114.07,113.09,113.67,508067
2013-08-02,113.62,114.11,112.48,113.97,417387
2013-08-05,113.97,114.49,113.21,114.36,289125
2013-08-06,114.36,114.72,113.63,114.23,390808
2013-08-07,113.59,114.24,113.37,113.57,486047
2013-08-08,114.32,114.32,112.94,113.06,506339
2013-08-09,112.98,113.9,112.82,113.3,365489
2013-08-12,113.25,113.59,112.66,113.51,365562
2013-08-13,113.51,114.39,113.37,113.91,250128
2013-08-14,113.32,113.7,112.53,112.57,362033
2013-08-15,111.91,112.04,110.43,110.43,437137
2013-08-16,110.19,110.9,110.08,110.32,410233
2013-08-19,110.18,110.54,108.89,109.06,729187
2013-08-20,108.98,109.51,107.82,109.1,830341
2013-08-21,109.2,110.39,107.4,107.79,848359
2013-08-22,107.7,108.21,106.65,107.49,535361
2013-08-23,107.41,108.73,107.22,108.46,521898
2013-08-26,108.84,109.12,107.31,107.5,414439
2013-08-27,106.58,107.68,106.52,106.57,442249
2013-08-28,106.35,106.84,105.18,105.32,656373
2013-08-29,105.0,106.28,104.5,105.8,414457
2013-08-30,106.1,106.23,105.09,106.14,332315
2013-09-03,106.47,107.15,105.04,105.39,417636
2013-09-04,105.18,106.33,104.88,106.25,381126
2013-09-05,106.22,107.53,105.91,106.78,642981
2013-09-06,107.01,107.17,105.08,105.99,314480
2013-09-09,106.39,108.14,105.98,108.14,437677
2013-09-10,108.66,109.64,108.03,108.91,904862
2013-09-11,108.83,108.83,106.66,107.78,571707
2013-09-12,107.28,108.54,106.96,107.27,622262
2013-09-13,107.63,108.04,107.19,107.87,449613
2013-09-16,108.66,108.98,107.78,107.92,413693
2013-09-17,108.31,108.76,107.88,108.3,505529
2013-09-18,108.4,108.72,106.66,108.48,520219
2013-09-19,108.57,108.73,107.11,107.68,413066
2013-09-20,107.27,107.7,106.83,107.14,913015
2013-09-23,107.2,107.24,106.01,106.56,352816
2013-09-24,106.17,107.12,106.05,106.39,405536
2013-09-25,106.57,106.86,105.81,105.86,372186
2013-09-26,105.87,106.49,105.13,105.69,379481
2013-09-27,105.05,105.17,104.37,104.79,462529
2013-09-30,104.65,105.39,104.44,105.04,845253
2013-10-01,105.1,105.66,104.6,105.41,517338
2013-10-02,105.16,105.16,103.8,104.95,587313
2013-10-03,104.64,105.36,103.9,104.97,400224
2013-10-04,104.68,106.39,104.48,105.93,397194
2013-10-07,105.7,106.07,104.94,105.78,490863
2013-10-08,105.57,106.4,105.54,105.58,609468
2013-10-09,105.53,105.86,104.18,104.38,459773
2013-10-10,105.35,106.57,105.3,106.51,455168
2013-10-11,106.05,106.69,105.82,106.6,366785
2013-10-14,106.4,106.82,105.94,106.73,378391
2013-10-15,106.45,106.56,105.73,105.97,595005
2013-10-16,106.46,107.52,106.23,107.5,558922
2013-10-17,107.46,108.52,107.03,108.44,425567
2013-10-18,108.87,108.87,107.62,107.88,338045
2013-10-21,107.72,107.72,106.67,106.86,465067
2013-10-22,106.99,108.95,106.86,108.73,631457
2013-10-23,108.28,109.08,108.04,108.85,316936
2013-10-24,108.82,109.63,108.32,109.6,335170
2013-10-25,109.45,110.43,109.1,110.36,315380
2013-10-28,110.21,112.53,110.21,112.2,455061
2013-10-29,112.15,112.95,111.93,112.9,304123
2013-10-30,112.83,112.86,111.01,111.5,333606
2013-10-31,111.27,111.61,110.63,111.21,460405
2013-11-01,111.09,111.59,110.41,111.01,310122
2013-11-04,111.39,111.59,110.07,110.62,236612
2013-11-05,110.15,110.93,109.78,110.69,434598
2013-11-06,111.36,111.87,110.94,111.87,327322
2013-11-07,111.82,112.05,107.25,107.61,726982
2013-11-08,107.46,108.61,106.38,108.61,520549
2013-11-11,108.68,109.12,107.28,107.64,427808
2013-11-12,107.5,107.51,106.48,107.41,395081
2013-11-13,105.46,108.94,105.46,107.93,337536
2013-11-14,108.17,109.4,108.01,108.93,320324
2013-11-15,109.03,109.73,107.84,109.35,482966
2013-11-18,109.73,109.73,108.49,108.91,327816
2013-11-19,108.37,108.84,107.72,108.59,313890
2013-11-20,101.97,104.44,99.47,101.49,2903443
2013-11-21,100.04,103.96,100.02,103.02,1393143
2013-11-22,102.91,104.14,102.91,103.95,680708
2013-11-25,104.19,104.81,103.44,104.31,533307
2013-11-26,104.31,105.96,104.31,105.62,773271
2013-11-27,105.62,106.06,105.21,105.61,451190
2013-11-29,105.77,106.03,104.19,104.24,316243
2013-12-02,104.5,105.16,103.62,104.45,688932
2013-12-03,104.62,105.18,104.02,104.98,1002860
2013-12-04,104.2,105.15,103.76,104.75,1125093
2013-12-05,103.93,104.12,102.16,102.29,1257636
2013-12-06,103.13,104.42,102.82,104.32,856476
2013-12-09,104.86,106.2,104.56,104.88,697905
2013-12-10,104.5,105.04,102.9,103.2,821744
2013-12-11,103.93,104.69,103.19,103.99,889096
2013-12-12,103.65,103.82,101.29,101.38,726020
2013-12-13,101.51,101.79,100.18,100.41,879609
2013-12-16,100.54,102.2,100.54,101.6,533743
2013-12-17,101.43,101.85,100.31,101.1,610224
2013-12-18,101.02,102.06,100.4,101.86,885920
2013-12-19,101.5,102.2,100.66,101.95,567825
2013-12-20,102.31,103.0,101.65,102.12,766452
2013-12-23,102.5,102.75,101.39,101.64,702944
2013-12-24,101.89,103.18,101.59,102.36,244890
2013-12-26,102.5,103.1,102.2,102.99,382273
2013-12-27,102.94,103.97,102.94,103.18,323448
2013-12-30,103.0,104.06,103.0,103.65,328001
2013-12-31,103.78,104.31,103.32,103.62,436772
2014-01-02,103.64,103.65,101.83,102.03,878923
2014-01-03,102.05,102.32,101.37,101.51,620874
2014-01-06,101.97,101.99,100.61,100.9,776228
2014-01-07,102.12,102.47,101.26,101.52,817810
2014-01-08,101.29,101.29,97.89,98.17,1424205
2014-01-09,98.15,98.3,97.67,97.98,1168315
2014-01-10,98.0,98.72,97.7,98.42,908134
2014-01-13,98.33,98.99,97.12,97.39,1055344
2014-01-14,97.52,99.52,97.42,99.34,972475
2014-01-15,99.34,99.88,98.39,98.69,907041
2014-01-16,98.69,98.99,98.11,98.55,623853
2014-01-17,98.59,98.6,97.07,97.2,668072
2014-01-21,97.8,97.93,96.37,97.2,875040
2014-01-22,97.61,98.86,97.42,98.45,832073
2014-01-23,98.03,98.42,97.6,98.08,717096
2014-01-24,97.86,98.78,97.19,97.97,1076731
2014-01-27,98.05,99.33,97.81,98.63,997765
2014-01-28,98.51,99.68,98.43,99.31,931171
2014-01-29,98.14,98.42,96.6,97.11,1081606
2014-01-30,97.66,98.17,97.3,97.86,566602
2014-01-31,96.62,97.76,96.3,96.39,932629
2014-02-03,96.39,96.5,93.78,93.93,1119759
2014-02-04,94.24,94.59,93.36,93.71,746440
2014-02-05,93.11,93.29,91.94,92.82,1105939
2014-02-06,93.39,93.8,93.17,93.59,598844
2014-02-07,93.77,94.3,93.02,93.37,875356
2014-02-10,93.21,94.33,93.08,93.7,901888
2014-02-11,93.91,94.51,93.14,94.03,1648894
2014-02-12,93.37,93.9,92.63,93.71,1199664
2014-02-13,93.37,95.24,93.21,95.14,1261187
2014-02-14,91.2,92.24,87.1,91.81,4272235
2014-02-18,92.76,96.07,92.61,95.31,1869457
2014-02-19,95.31,96.35,94.87,95.55,1500111
2014-02-20,96.31,98.58,95.9,98.28,2207066
2014-02-21,98.29,98.61,97.67,97.94,1618138
2014-02-24,98.27,99.38,98.12,98.7,1136633
2014-02-25,98.55,99.99,98.51,99.01,1109438
2014-02-26,98.94,99.64,98.56,98.61,1153599
2014-02-27,98.51,99.78,98.47,99.64,1071450
2014-02-28,99.56,100.89,99.44,100.01,1185414
2014-03-03,99.09,99.9,98.64,99.05,1244908
2014-03-04,99.99,100.61,99.02,99.27,1155195
2014-03-05,99.16,99.34,98.25,98.43,723816
2014-03-06,98.37,98.66,97.56,97.63,794801
2014-03-07,98.09,98.09,96.85,97.54,613729
2014-03-10,97.33,97.68,96.8,97.21,462651
2014-03-11,97.16,97.37,96.29,96.55,848499
2014-03-12,96.11,98.02,96.08,97.98,763313
2014-03-13,98.43,98.43,96.74,96.99,599544
2014-03-14,96.26,96.86,96.08,96.18,1052783
2014-03-17,96.55,96.83,95.98,96.12,531824
2014-03-18,96.11,97.97,96.02,97.72,808008
2014-03-19,97.56,97.56,95.45,96.14,672584
2014-03-20,95.69,96.78,95.38,96.7,624689
2014-03-21,97.61,97.76,95.87,96.02,1213522
2014-03-24,96.46,97.15,95.88,96.21,664533
2014-03-25,95.97,96.92,95.71,95.94,496420
2014-03-26,96.12,96.61,95.48,95.93,456596
2014-03-27,96.12,96.48,95.6,96.07,503225
2014-03-28,96.6,96.83,96.22,96.48,344413
2014-03-31,96.87,97.25,96.17,97.24,791397
