Date,Open,High,Low,Close,Volume
2013-01-02,75.23,75.96,74.47,75.44,1523405
2013-01-03,75.46,75.46,73.88,74.05,1853518
2013-01-04,74.3,75.3,73.98,74.76,1216547
2013-01-07,74.17,75.41,74.17,75.09,1630780
2013-01-08,74.57,75.42,74.53,75.42,1449258
2013-01-09,75.71,75.71,74.51,75.11,1150259
2013-01-10,75.39,75.83,74.96,75.83,1134976
2013-01-11,75.75,75.8,74.86,75.21,1562389
2013-01-14,75.22,75.55,74.98,75.29,954737
2013-01-15,76.38,76.89,75.41,76.14,1111118
2013-01-16,75.75,76.21,75.56,76.05,869743
2013-01-17,76.38,77.75,76.32,77.28,1727212
2013-01-18,77.5,77.69,76.53,76.95,1348705
2013-01-22,76.87,77.96,76.51,77.89,2148637
2013-01-23,77.7,78.39,76.72,77.96,2373800
2013-01-24,77.93,78.08,75.6,77.22,3066495
2013-01-25,77.3,77.4,75.95,76.87,2074318
2013-01-28,76.82,76.87,76.03,76.58,2029238
2013-01-29,75.93,77.11,75.83,76.86,1789590
2013-01-30,76.91,77.99,76.85,77.05,1783244
2013-01-31,76.81,77.59,76.67,76.83,1401083
2013-02-01,77.48,77.84,77.04,77.37,1059237
2013-02-04,76.56,76.87,76.09,76.24,1163461
2013-02-05,76.65,77.76,76.61,77.47,1329658
2013-02-06,77.12,77.66,77.08,77.31,1709522
2013-02-07,77.5,77.5,76.18,76.3,1128065
2013-02-08,76.36,76.74,76.13,76.24,861724
2013-02-11,76.13,76.24,75.8,75.93,979015
2013-02-12,76.13,77.87,75.96,77.49,1825631
2013-02-13,77.56,77.64,77.05,77.48,1083623
2013-02-14,77.17,78.23,76.94,77.81,1460324
2013-02-15,77.91,79.06,77.65,78.46,1336027
2013-02-19,78.64,79.5,78.64,79.17,1791268
2013-02-20,79.05,79.12,77.55,77.63,1477391
2013-02-21,76.92,77.46,75.73,76.08,1624287
2013-02-22,76.46,77.67,76.34,77.44,1085434
2013-02-25,77.93,77.93,75.14,75.14,1387491
2013-02-26,75.81,76.49,75.08,76.26,2016422
2013-02-27,76.18,78.34,76.18,77.92,1429418
2013-02-28,78.03,79.04,77.8,78.7,1485566
2013-03-01,78.19,78.23,77.2,77.59,1548382
2013-03-04,77.51,77.51,76.12,77.39,1171527
2013-03-05,77.85,78.75,77.6,78.34,1190719
2013-03-06,78.5,79.33,78.15,78.52,2683824
2013-03-07,78.19,78.83,77.96,78.12,804908
2013-03-08,78.71,79.52,78.08,78.96,1302912
2013-03-11,78.83,79.95,78.65,79.7,1044971
2013-03-12,79.75,79.9,79.33,79.78,1032240
2013-03-13,79.88,80.63,79.47,80.17,1443970
2013-03-14,80.38,81.22,80.36,81.09,1260328
2013-03-15,80.62,81.2,80.05,81.17,1773355
2013-03-18,80.23,81.23,79.66,80.55,3004653
2013-03-19,80.9,81.42,80.55,81.29,1469521
2013-03-20,81.76,81.98,81.22,81.61,1289129
2013-03-21,81.1,81.82,80.93,81.18,895848
2013-03-22,81.36,81.75,80.85,81.57,746652
2013-03-25,81.87,82.43,80.88,81.48,1376889
2013-03-26,81.83,82.11,81.16,81.19,826926
2013-03-27,80.7,80.7,79.71,79.74,1842341
2013-03-28,79.76,81.05,79.3,80.97,5139994
2013-04-01,80.77,81.16,79.74,79.83,1489446
2013-04-02,80.32,80.82,79.33,79.58,1062027
2013-04-03,79.44,79.86,78.66,79.1,1531031
2013-04-04,79.1,79.51,78.07,78.39,1853850
2013-04-05,77.38,77.78,76.23,77.56,1857481
2013-04-08,77.61,77.94,76.74,77.9,1820034
2013-04-09,78.08,78.64,77.37,77.8,1839832
2013-04-10,78.0,79.27,77.96,79.18,1559187
2013-04-11,79.17,80.14,78.96,79.75,1126985
2013-04-12,79.44,79.87,78.78,79.24,704341
2013-04-15,78.71,78.78,76.26,76.26,1425731
2013-04-16,77.2,77.27,76.32,77.09,1372806
2013-04-17,76.5,76.63,75.61,76.42,972711
2013-04-18,76.42,76.98,75.64,75.91,1226918
2013-04-19,76.12,76.54,75.9,76.4,1765565
2013-04-22,76.5,76.84,75.84,76.61,1184476
2013-04-23,77.03,77.57,76.2,77.0,1764725
2013-04-24,77.22,78.65,77.2,78.08,1996465
2013-04-25,76.71,77.12,75.01,75.93,3958353
2013-04-26,75.9,75.97,74.04,74.4,2000116
2013-04-29,74.54,74.76,74.09,74.48,977111
2013-04-30,74.23,74.83,73.88,74.81,1335504
2013-05-01,74.61,75.47,74.23,74.36,1427425
2013-05-02,74.72,75.26,74.54,75.19,891287
2013-05-03,76.12,77.61,76.12,76.65,864207
2013-05-06,76.65,77.16,76.17,77.01,1130472
2013-05-07,77.2,79.09,77.17,78.68,1393409
2013-05-08,78.68,79.9,78.5,79.79,1999150
2013-05-09,79.87,80.18,79.07,79.25,1080371
2013-05-10,79.49,79.81,79.02,79.73,824723
2013-05-13,79.66,79.88,79.16,79.52,665487
2013-05-14,79.62,81.0,79.62,80.99,795258
2013-05-15,80.39,81.14,80.1,80.95,705941
2013-05-16,80.59,81.3,80.34,80.47,1341606
2013-05-17,80.62,81.82,80.62,80.94,1284285
2013-05-20,80.87,82.05,80.77,81.33,619749
2013-05-21,81.4,82.3,81.1,81.84,1344899
2013-05-22,82.07,83.26,81.0,81.23,1534529
2013-05-23,80.42,80.57,78.88,79.66,1712579
2013-05-24,79.19,79.29,78.42,78.74,776325
2013-05-28,79.44,80.07,79.16,79.87,1609081
2013-05-29,79.41,81.3,78.92,80.85,1614230
2013-05-30,80.3,81.02,79.74,80.24,962633
2013-05-31,80.02,80.5,79.15,79.22,1336656
2013-06-03,79.15,79.41,78.06,79.35,1396105
2013-06-04,79.35,79.8,78.21,78.64,990457
2013-06-05,78.51,78.58,77.01,77.26,1124292
2013-06-06,77.45,78.6,77.03,78.43,867978
2013-06-07,78.87,79.87,78.85,79.69,627809
2013-06-10,79.84,80.01,79.09,79.81,682555
2013-06-11,78.89,80.38,78.43,79.54,972851
2013-06-12,80.32,80.36,78.52,78.68,687750
2013-06-13,78.59,79.68,78.03,79.45,1021856
2013-06-14,79.35,80.04,79.09,79.42,499415
2013-06-17,80.06,80.57,79.55,80.04,766018
2013-06-18,80.21,81.38,79.8,80.98,941365
2013-06-19,80.99,81.04,79.38,79.38,1102842
2013-06-20,78.76,78.76,76.94,77.16,1034714
2013-06-21,77.52,77.74,75.55,76.0,1736853
2013-06-24,75.27,75.9,73.77,75.05,1664865
2013-06-25,76.0,76.67,75.9,76.46,832454
2013-06-26,77.11,77.4,76.62,76.83,672497
2013-06-27,77.53,78.4,77.44,78.12,972965
2013-06-28,77.96,78.07,77.09,77.3,1107805
2013-07-01,77.91,78.8,77.77,78.35,677771
2013-07-02,78.23,78.89,77.51,77.78,916741
2013-07-03,77.5,78.18,77.01,77.91,335044
2013-07-05,78.72,79.15,78.18,79.07,475622
2013-07-08,79.66,79.81,79.14,79.31,666226
2013-07-09,79.87,81.06,79.87,80.58,781318
2013-07-10,80.49,80.95,79.53,79.96,984007
2013-07-11,81.23,81.75,80.91,81.53,885424
2013-07-12,81.34,82.35,81.12,82.3,888386
2013-07-15,82.4,82.62,81.97,82.2,893617
2013-07-16,82.12,82.44,81.12,81.51,542290
2013-07-17,81.85,81.97,80.83,80.98,713634
2013-07-18,81.01,82.14,81.01,81.79,825319
