Date,Open,High,Low,Close,Volume
2013-01-02,73.09,73.09,72.5,72.86,2886474
2013-01-03,72.8,73.6,72.52,73.42,2124778
2013-01-04,73.5,74.19,73.36,74.06,2013518
2013-01-07,73.67,73.89,72.6,73.06,2208081
2013-01-08,72.98,73.39,72.85,73.19,1439790
2013-01-09,73.42,74.12,73.32,73.94,1617056
2013-01-10,74.31,74.47,74.0,74.45,2361102
2013-01-11,74.39,74.87,74.29,74.85,1271035
2013-01-14,74.87,75.14,74.58,74.95,859217
2013-01-15,74.69,75.71,74.51,75.56,1803020
2013-01-16,75.48,75.92,75.11,75.55,1238251
2013-01-17,75.62,76.12,75.29,75.9,1524251
2013-01-18,76.09,76.66,75.95,76.31,2672024
2013-01-22,79.5,80.0,77.76,77.95,4918033
2013-01-23,78.06,78.1,77.15,77.64,2495935
2013-01-24,77.78,78.49,77.62,78.09,1546622
2013-01-25,78.25,78.55,77.82,78.35,1530979
2013-01-28,78.2,78.44,77.33,77.35,1704037
2013-01-29,77.4,78.0,77.28,77.81,1457469
2013-01-30,77.63,77.87,77.09,77.58,1728171
2013-01-31,77.59,78.59,77.49,78.46,3044999
2013-02-01,79.0,80.44,78.96,79.89,3137035
2013-02-04,78.57,78.83,77.79,78.0,3546991
2013-02-05,78.2,79.03,78.0,78.65,2663142
2013-02-06,78.15,78.98,78.03,78.96,2224140
2013-02-07,79.14,79.16,78.05,79.12,2285855
2013-02-08,79.12,79.12,78.43,78.86,2421965
2013-02-11,78.75,79.32,78.53,79.21,1648772
2013-02-12,79.1,80.18,79.1,79.9,1747449
2013-02-13,79.9,80.3,79.81,79.99,1457551
2013-02-14,79.64,80.47,79.53,80.34,1810517
2013-02-15,80.76,80.85,79.95,80.39,2257660
2013-02-19,80.5,81.07,80.27,80.6,2199761
2013-02-20,80.66,80.96,80.07,80.11,2046878
2013-02-21,80.08,80.4,79.92,80.38,2422688
2013-02-22,80.68,81.15,80.58,81.01,1773791
2013-02-25,80.99,81.0,79.25,79.25,2492120
2013-02-26,79.42,80.1,79.28,80.04,2062214
2013-02-27,80.11,80.84,79.87,80.78,1386530
2013-02-28,80.61,81.25,80.33,80.42,2161238
2013-03-01,80.16,80.72,79.35,80.69,1843944
2013-03-04,80.65,80.65,79.99,80.52,1501554
2013-03-05,80.79,82.0,80.56,81.46,2080589
2013-03-06,81.61,81.88,80.9,81.07,1278280
2013-03-07,81.11,81.44,80.9,81.2,1143057
2013-03-08,81.68,82.05,81.24,81.65,1398161
2013-03-11,81.58,81.8,81.18,81.75,1311963
2013-03-12,81.56,81.94,81.47,81.74,1237228
2013-03-13,81.77,82.27,81.72,82.12,1424505
2013-03-14,82.24,82.89,81.98,82.36,2086895
2013-03-15,82.64,83.15,81.96,82.28,4756605
2013-03-18,81.86,83.11,81.86,82.53,1996170
2013-03-19,82.74,83.41,82.66,83.19,2018477
2013-03-20,83.6,84.1,83.37,83.84,1941631
2013-03-21,83.53,84.09,83.4,83.75,1846901
2013-03-22,84.37,84.37,83.42,83.69,2379897
2013-03-25,84.03,84.11,82.94,83.37,2229699
2013-03-26,83.64,84.06,83.19,83.36,2034840
2013-03-27,83.1,83.59,82.57,83.37,2005754
2013-03-28,83.43,84.28,83.43,84.19,1312819
2013-04-01,84.37,84.72,83.75,83.95,1306830
2013-04-02,84.1,84.62,84.1,84.41,1200860
2013-04-03,84.64,84.72,83.67,83.72,1674872
2013-04-04,83.92,84.61,83.85,84.34,1366872
2013-04-05,83.78,84.48,83.34,84.41,1912433
2013-04-08,84.3,84.79,83.98,84.73,1121065
2013-04-09,84.97,85.6,84.65,85.27,1401650
2013-04-10,85.29,85.61,84.64,84.81,1626322
2013-04-11,84.99,86.13,84.99,86.06,2246677
2013-04-12,85.91,86.41,85.61,86.26,1181349
2013-04-15,86.2,86.61,84.71,84.71,2309900
2013-04-16,85.08,86.6,84.75,86.55,2238075
2013-04-17,86.06,86.15,84.8,85.07,2145979
2013-04-18,85.43,85.7,83.73,84.1,1913704
2013-04-19,84.33,84.94,84.24,84.81,2164641
2013-04-22,84.8,85.03,83.95,84.58,2777014
2013-04-23,87.41,89.0,85.76,86.35,3451629
2013-04-24,86.36,86.64,85.57,85.86,2033592
2013-04-25,85.95,86.0,85.06,85.27,2138556
2013-04-26,85.22,85.85,85.13,85.15,1652112
2013-04-29,85.2,85.6,84.75,85.48,2125043
2013-04-30,85.26,85.64,85.04,85.41,1675021
2013-05-01,85.46,85.49,83.98,84.1,1821603
2013-05-02,84.11,84.51,84.0,84.42,1348226
