Date,Open,High,Low,Close,Volume
2013-01-02,34.98,35.54,34.56,35.48,9205773
2013-01-03,35.4,35.57,34.54,34.72,8809842
2013-01-04,34.92,35.66,34.29,35.31,10915556
2013-01-07,34.97,34.97,34.06,34.35,11833834
2013-01-08,34.32,34.85,34.2,34.67,13217549
2013-01-09,34.76,34.9,34.05,34.37,10304405
2013-01-10,34.67,35.29,34.44,34.9,9434015
2013-01-11,34.79,34.94,34.56,34.7,4732805
2013-01-14,34.7,35.41,34.61,35.33,5712440
2013-01-15,35.03,36.04,35.01,35.8,7050761
2013-01-16,35.75,37.01,35.69,36.79,11090139
2013-01-17,37.26,37.47,36.75,36.82,12485193
2013-01-18,37.01,37.61,36.21,36.76,11358909
2013-01-22,37.14,37.51,36.66,37.16,6026120
2013-01-23,37.34,38.35,37.0,37.97,10006168
2013-01-24,37.8,38.38,37.76,37.96,7979270
2013-01-25,37.95,38.23,37.69,38.1,9130868
2013-01-28,38.41,39.04,38.12,38.81,11398592
2013-01-29,42.19,43.83,41.85,43.77,25782834
2013-01-30,44.25,44.4,42.6,43.75,19754056
2013-01-31,43.09,44.23,42.97,43.73,10212175
2013-02-01,44.19,44.96,43.84,44.85,8939450
2013-02-04,44.45,45.53,44.25,44.9,11543511
2013-02-05,45.14,46.09,44.98,45.7,10496610
2013-02-06,45.55,46.06,45.16,45.44,8980044
2013-02-07,45.62,45.78,44.94,45.32,9591330
2013-02-08,45.58,46.32,45.57,46.13,8045037
2013-02-11,46.04,46.84,46.04,46.14,7104312
2013-02-12,46.13,46.45,45.34,45.65,7845429
2013-02-13,45.79,46.36,45.5,46.24,6391650
2013-02-14,46.3,47.5,46.24,47.23,9129168
2013-02-15,47.36,47.66,46.77,47.29,8704170
2013-02-19,47.55,47.84,46.85,47.73,8094024
2013-02-20,47.72,47.85,44.71,44.93,14370151
2013-02-21,44.74,45.86,43.51,45.53,12589950
2013-02-22,45.95,46.3,44.98,46.07,7596555
2013-02-25,46.18,46.5,44.22,44.25,8403890
2013-02-26,44.18,45.08,43.69,44.93,8713372
2013-02-27,44.94,46.14,44.62,45.99,8415884
2013-02-28,46.01,46.55,45.51,45.59,9206151
2013-03-01,45.31,46.9,44.7,46.63,9876775
2013-03-04,46.41,48.56,46.41,48.51,11128877
2013-03-05,48.93,48.97,47.58,48.24,9113477
2013-03-06,48.55,48.79,47.51,47.62,8657866
2013-03-07,47.57,47.71,46.16,46.51,10951628
2013-03-08,46.87,47.09,45.39,45.5,11335257
2013-03-11,45.06,45.1,43.11,43.72,22838199
2013-03-12,43.56,45.78,43.56,45.55,14816286
2013-03-13,43.5,44.55,43.2,43.42,20708338
2013-03-14,43.73,44.0,42.51,43.84,16253404
2013-03-15,43.9,44.97,43.85,44.18,12984214
2013-03-18,43.55,45.05,43.39,44.39,7517818
2013-03-19,44.45,44.68,43.5,44.22,8676613
2013-03-20,44.46,44.95,43.95,44.67,10116586
2013-03-21,44.29,44.88,44.02,44.02,9091789
2013-03-22,44.21,44.61,44.01,44.24,7203785
2013-03-25,44.44,44.93,44.1,44.28,9183339
2013-03-26,44.86,45.28,44.56,44.95,9583312
2013-03-27,44.77,45.44,44.71,44.95,7531434
2013-03-28,45.3,45.8,44.98,45.49,8101408
2013-04-01,45.3,45.53,44.54,44.97,8388993
2013-04-02,45.2,45.27,41.9,42.41,18996919
2013-04-03,42.57,42.73,39.92,40.6,20652026
2013-04-04,40.32,41.48,39.8,41.44,9959992
2013-04-05,40.93,42.07,40.07,41.98,11761479
2013-04-08,41.86,42.2,40.76,42.12,8096940
2013-04-09,42.26,42.79,41.6,42.66,8560590
2013-04-10,42.7,43.3,42.32,42.97,10006074
2013-04-11,42.94,43.0,40.87,41.26,15214729
2013-04-12,40.83,41.47,39.76,40.91,12763404
2013-04-15,40.27,40.35,38.62,38.8,12661905
2013-04-16,39.41,39.89,38.96,39.64,9134139
2013-04-17,39.0,39.05,37.67,38.24,8380733
2013-04-18,38.3,39.16,37.83,38.69,8962826
2013-04-19,38.88,39.47,38.14,39.24,7106175
2013-04-22,39.45,40.3,38.64,39.79,9533618
2013-04-23,39.94,41.04,39.52,40.65,10261852
2013-04-24,40.83,42.34,40.83,41.97,11326290
2013-04-25,42.34,42.5,41.02,41.24,9546681
2013-04-26,41.09,41.09,39.98,40.72,7227625
2013-04-29,40.61,41.6,40.61,41.2,7584974
2013-04-30,42.82,42.95,39.96,40.32,16409177
2013-05-01,39.97,39.99,38.64,38.78,9822262
2013-05-02,36.9,37.38,35.81,36.98,10785270
2013-05-03,36.66,38.07,36.27,37.59,10447141
2013-05-06,37.94,38.63,37.62,38.38,6789094
2013-05-07,38.9,39.38,38.34,39.11,10579179
2013-05-08,39.2,39.84,37.65,38.26,10582829
2013-05-09,38.31,38.55,37.96,38.23,8213144
2013-05-10,38.1,38.84,37.55,38.8,8362275
2013-05-13,38.52,38.74,37.99,38.12,5997374
2013-05-14,38.08,39.15,38.08,39.01,7303204
2013-05-15,39.03,40.25,38.98,39.81,8297524
2013-05-16,39.82,40.25,39.29,39.61,7770226
2013-05-17,39.65,41.3,39.59,41.2,10113715
2013-05-20,41.19,42.7,40.73,42.09,9167970
2013-05-21,42.12,42.5,41.21,41.21,7103965
2013-05-22,41.24,42.0,40.16,40.53,9113567
2013-05-23,39.71,40.82,39.3,40.24,6249827
2013-05-24,39.86,40.07,39.35,40.06,4514905
2013-05-28,40.67,41.15,40.3,40.73,4997079
2013-05-29,40.58,40.97,40.0,40.48,6402261
2013-05-30,40.24,40.95,40.04,40.66,5721809
2013-05-31,40.55,41.51,40.51,40.63,6633900
2013-06-03,40.68,40.86,39.23,40.25,6648411
2013-06-04,40.02,40.26,38.36,38.96,9466981
2013-06-05,38.93,39.46,38.4,38.62,6116616
2013-06-06,38.59,39.45,38.31,39.27,5155016
2013-06-07,39.44,40.0,39.22,39.57,4513726
2013-06-10,39.73,39.81,38.88,38.97,4507714
2013-06-11,38.69,38.96,38.29,38.48,6602425
2013-06-12,38.98,39.12,37.93,37.96,5484460
2013-06-13,37.85,38.9,37.85,38.66,5730671
2013-06-14,38.71,38.85,37.92,38.01,5981657
2013-06-17,38.23,38.58,37.75,37.95,7352286
2013-06-18,37.93,38.24,37.7,38.07,5447182
2013-06-19,38.03,38.61,37.52,37.58,7481831
2013-06-20,37.08,37.09,35.7,35.73,12004579
2013-06-21,36.02,36.07,34.63,35.39,14237538
2013-06-24,34.79,34.87,33.27,33.76,12792507
2013-06-25,34.4,35.12,34.29,34.98,10674094
2013-06-26,35.31,35.74,35.08,35.4,6577913
2013-06-27,35.58,35.75,34.88,34.99,5603533
2013-06-28,34.83,35.04,34.53,34.77,9971773
2013-07-01,34.58,35.3,34.12,34.25,7722126
2013-07-02,34.25,34.28,33.34,33.54,8696587
2013-07-03,33.55,33.73,33.0,33.69,8158644
2013-07-05,33.87,34.03,33.03,33.85,6230623
2013-07-08,34.06,34.73,34.0,34.53,7293015
2013-07-09,34.77,34.93,33.98,34.28,9690950
2013-07-10,34.11,34.21,33.4,33.55,9081136
2013-07-11,34.12,34.63,33.62,34.54,9539518
2013-07-12,33.72,36.18,33.6,35.86,16945985
2013-07-15,35.94,36.05,35.24,35.38,5544069
2013-07-16,35.31,35.34,34.45,34.78,7413547
2013-07-17,35.2,35.33,34.69,35.1,6911681
2013-07-18,35.19,35.51,34.17,34.22,9618726
2013-07-19,34.41,34.85,34.11,34.71,7587894
2013-07-22,35.0,35.4,34.57,35.27,6839699
2013-07-23,34.88,35.75,34.34,35.33,9883278
2013-07-24,35.44,35.47,34.4,34.6,6885295
2013-07-25,34.46,35.97,34.4,35.67,10288478
2013-07-26,35.54,36.33,35.54,36.04,6025666
2013-07-29,36.01,36.23,35.56,35.79,4596343
2013-07-30,35.86,36.01,35.25,35.53,5852842
2013-07-31,35.52,36.13,35.2,35.77,7463807
2013-08-01,36.15,36.52,35.92,36.06,5599667
2013-08-02,35.93,35.93,34.99,35.09,7365656
2013-08-05,35.07,35.2,34.7,35.13,4357922
2013-08-06,35.27,36.84,35.26,36.53,18606458
2013-08-07,36.69,37.5,36.4,36.55,10366003
2013-08-08,36.68,37.15,36.26,37.03,7532512
2013-08-09,37.08,37.32,36.82,37.13,6392116
2013-08-12,36.74,37.07,36.6,36.85,4981540
2013-08-13,36.93,36.99,36.43,36.86,3918816
2013-08-14,36.83,37.05,36.48,36.74,3840584
2013-08-15,36.45,36.64,35.92,35.93,5463282
2013-08-16,35.89,35.89,35.21,35.41,5710937
2013-08-19,35.26,35.39,34.34,34.47,7026966
2013-08-20,34.42,35.58,34.11,35.24,6376462
2013-08-21,35.22,35.77,34.92,35.4,5638181
2013-08-22,35.54,36.21,35.35,35.98,3459456
2013-08-23,36.21,36.78,36.1,36.4,4629639
2013-08-26,36.41,36.58,35.98,36.02,3853495
2013-08-27,35.67,35.74,35.23,35.26,5412626
2013-08-28,35.32,35.87,35.22,35.77,4249572
2013-08-29,35.7,36.17,35.4,35.8,3535292
2013-08-30,35.95,36.14,35.4,35.53,3873522
2013-09-03,36.12,36.83,36.06,36.3,6199560
2013-09-04,36.22,36.94,36.15,36.88,5482059
2013-09-05,36.83,37.28,36.56,36.75,6581259
2013-09-06,37.06,37.06,36.14,36.76,7059148
2013-09-09,36.89,37.18,36.55,36.59,6091976
2013-09-10,36.76,36.76,35.97,36.15,5799666
2013-09-11,36.14,36.25,35.54,36.07,4968568
2013-09-12,35.86,35.87,34.67,34.7,9919520
2013-09-13,34.89,35.37,34.84,35.05,8660037
2013-09-16,35.43,35.52,34.52,34.56,6440667
2013-09-17,34.64,34.81,34.36,34.6,4398386
2013-09-18,34.71,35.16,34.39,35.1,4890853
2013-09-19,35.26,35.49,34.66,34.73,5191887
2013-09-20,35.32,35.4,34.43,34.44,8950461
2013-09-23,34.11,34.4,33.8,34.11,5611289
2013-09-24,34.27,34.74,33.89,34.31,5206015
2013-09-25,34.32,35.1,34.29,34.88,5471415
2013-09-26,34.96,35.04,34.14,34.31,5573550
2013-09-27,34.17,34.51,34.15,34.3,4954973
2013-09-30,33.78,34.25,33.7,34.15,6997591
2013-10-01,34.15,34.39,33.76,33.84,4985140
2013-10-02,34.18,34.67,34.02,34.38,8942197
2013-10-03,34.2,34.46,33.88,34.1,5669977
2013-10-04,33.73,34.49,33.35,34.44,7838733
2013-10-07,34.07,34.39,33.82,34.05,4429648
2013-10-08,34.09,34.22,33.69,33.73,5830195
2013-10-09,33.76,34.23,33.2,33.97,6821806
2013-10-10,34.48,35.9,34.48,35.57,11291016
2013-10-11,35.75,37.19,35.65,36.54,14926293
2013-10-14,36.15,36.64,35.85,36.57,5639221
2013-10-15,36.78,37.26,36.25,36.49,6695312
2013-10-16,36.76,37.26,36.76,37.25,8238202
2013-10-17,37.19,38.78,37.11,38.39,9538466
2013-10-18,38.73,39.1,38.1,39.1,8752081
2013-10-21,39.26,39.84,39.06,39.75,7205196
2013-10-22,39.94,40.7,39.94,40.45,11676930
2013-10-23,40.08,41.2,39.92,40.13,12188583
2013-10-24,39.95,40.0,39.33,39.42,11800917
2013-10-25,39.48,39.8,39.1,39.44,7308587
2013-10-28,39.63,40.21,39.37,39.45,7714796
2013-10-29,39.84,41.12,39.71,40.21,10679338
2013-10-30,40.0,41.46,39.83,41.41,11220086
2013-10-31,41.3,42.15,41.15,41.17,9745969
2013-11-01,41.34,41.4,40.69,41.0,7286775
2013-11-04,41.15,41.68,40.79,41.55,4885393
2013-11-05,41.37,41.55,41.12,41.44,4553378
2013-11-06,41.49,41.53,40.12,40.24,8901794
2013-11-07,39.88,40.46,39.28,39.28,11937671
2013-11-08,39.34,40.32,39.01,40.32,9555830
2013-11-11,40.24,40.41,39.87,40.31,5097099
2013-11-12,40.32,41.74,40.32,41.02,7213691
2013-11-13,40.99,41.28,40.58,41.24,6768304
2013-11-14,41.58,43.35,41.42,42.84,10173473
2013-11-15,42.7,43.78,42.4,43.0,13692841
2013-11-18,43.33,43.47,42.76,42.92,7538009
2013-11-19,42.82,43.59,42.28,42.34,9577486
2013-11-20,42.35,42.82,41.91,42.11,5853999
2013-11-21,42.07,42.74,42.07,42.54,5555530
2013-11-22,42.94,44.48,42.64,44.11,10980947
2013-11-25,43.88,44.73,43.44,44.58,7438076
2013-11-26,44.56,44.68,44.0,44.35,7845813
2013-11-27,44.28,46.37,44.28,45.97,8510417
2013-11-29,45.87,46.29,45.52,45.72,4340823
2013-12-02,45.92,47.24,45.66,46.83,11724053
2013-12-03,46.62,47.26,45.52,46.77,13773396
2013-12-04,45.39,46.28,44.53,45.02,18724730
2013-12-05,46.15,46.32,45.3,45.35,15091182
2013-12-06,45.77,47.2,45.7,46.58,12278781
2013-12-09,47.07,47.98,46.06,46.14,13662805
2013-12-10,45.76,46.76,45.09,46.48,12324844
2013-12-11,46.62,46.62,45.48,46.04,9264110
2013-12-12,45.96,46.49,45.82,45.88,6697060
2013-12-13,45.97,46.26,45.16,46.13,6351065
2013-12-16,46.58,47.36,46.55,46.75,7283103
2013-12-17,46.64,47.28,46.44,46.99,7031655
2013-12-18,47.22,48.15,46.46,48.1,8354158
2013-12-19,47.94,48.2,46.56,46.66,9663193
2013-12-20,46.96,47.6,46.57,47.49,9199401
2013-12-23,47.86,48.38,47.57,48.36,5458148
2013-12-24,48.35,48.69,48.05,48.63,2588606
2013-12-26,48.56,48.96,48.51,48.76,3840468
2013-12-27,48.87,48.87,47.88,48.67,3703707
2013-12-30,48.75,48.85,48.19,48.64,4040020
2013-12-31,48.86,50.54,48.84,50.4,6407968
2014-01-02,50.14,50.5,49.57,49.87,4582849
2014-01-03,49.95,49.98,48.98,49.35,4340909
2014-01-06,49.56,50.45,49.48,49.83,6317331
2014-01-07,50.12,52.03,49.03,51.42,13198337
2014-01-08,51.17,51.91,50.69,51.86,11679303
2014-01-09,52.05,53.03,51.95,52.9,10732239
2014-01-10,52.85,53.45,52.26,53.24,10084066
2014-01-13,53.13,53.64,51.16,51.49,8229045
2014-01-14,51.99,52.58,51.8,52.38,7616085
2014-01-15,52.18,52.28,50.76,51.64,12484334
2014-01-16,51.31,51.48,50.01,50.88,10525789
2014-01-17,50.82,52.01,50.31,51.42,6720995
2014-01-21,52.24,52.84,51.62,51.89,5776225
2014-01-22,51.51,51.97,50.52,50.95,6845199
2014-01-23,51.19,52.0,50.34,51.25,10802348
2014-01-24,50.81,50.81,48.65,49.04,10795606
2014-01-27,49.36,50.11,48.66,49.57,7479398
2014-01-28,49.63,50.31,48.71,50.2,6956136
2014-01-29,48.82,52.44,48.6,51.4,11734109
2014-01-30,52.09,52.8,51.31,51.41,6473056
2014-01-31,51.01,52.23,51.01,51.1,6419370
2014-02-03,51.09,51.49,48.71,48.85,9526516
2014-02-04,49.23,49.28,46.64,48.24,15607883
2014-02-05,47.74,47.74,46.27,46.37,16105923
2014-02-06,46.36,47.4,45.9,47.18,8944202
2014-02-07,47.64,48.92,47.41,48.82,9815638
2014-02-10,48.62,48.62,47.01,47.36,7970110
2014-02-11,47.6,48.44,47.53,47.82,6581110
2014-02-12,47.97,48.35,47.3,47.64,5882492
2014-02-13,47.37,49.04,47.34,49.01,6816801
2014-02-14,48.74,50.16,48.37,49.86,7064569
2014-02-18,50.15,50.82,49.93,50.74,7283152
2014-02-19,50.57,51.1,50.39,50.5,8077274
2014-02-20,50.5,50.56,48.99,49.59,11277016
2014-02-21,49.88,50.65,49.7,50.23,6853864
2014-02-24,50.31,51.87,50.2,50.92,6672678
2014-02-25,50.98,52.16,50.77,52.09,6467655
2014-02-26,52.24,52.64,50.54,50.72,7301567
2014-02-27,50.59,50.73,48.12,48.51,15346357
2014-02-28,48.6,48.79,47.68,47.98,9533403
2014-03-03,48.03,49.08,47.84,48.35,7244475
2014-03-04,48.8,49.3,48.0,49.22,10644132
2014-03-05,49.17,50.36,48.88,50.28,7902341
2014-03-06,50.46,52.89,50.45,52.88,13447614
2014-03-07,53.07,53.42,52.25,52.99,7758416
2014-03-10,52.99,53.92,52.74,53.47,8101805
2014-03-11,53.47,53.85,52.67,53.67,7848649
2014-03-12,53.45,55.32,53.4,55.29,13044793
2014-03-13,55.29,55.36,53.42,54.04,8917533
2014-03-14,54.09,54.8,53.8,54.23,8602203
2014-03-17,54.48,55.17,54.06,54.32,6887979
2014-03-18,54.19,55.38,54.07,55.08,5723857
2014-03-19,54.79,55.37,54.0,54.34,5009429
2014-03-20,54.26,55.6,53.66,55.19,6930003
2014-03-21,55.4,55.96,53.79,53.79,9185812
2014-03-24,54.28,54.91,53.61,54.13,6728794
2014-03-25,54.22,54.74,53.91,54.37,5810232
2014-03-26,54.57,55.02,53.76,53.94,6181460
2014-03-27,53.64,53.8,51.98,52.17,7698846
2014-03-28,52.69,53.44,52.3,52.86,5656147
2014-03-31,53.69,53.84,52.64,53.1,5721134
2014-04-01,53.59,55.76,53.48,55.51,8715395
2014-04-02,54.85,55.22,54.14,54.85,6669045
