Date,Open,High,Low,Close,Volume
2013-01-02,88.96,88.96,87.79,88.71,577098
2013-01-03,86.78,86.81,85.5,86.22,876737
2013-01-04,85.01,87.05,85.01,86.82,747272
2013-01-07,86.7,87.74,86.03,87.09,650459
2013-01-08,86.86,88.77,86.86,88.74,594249
2013-01-09,89.08,91.42,88.6,91.02,908747
2013-01-10,91.46,91.73,90.5,91.26,393555
2013-01-11,91.55,91.55,90.28,90.61,329117
2013-01-14,90.48,90.8,90.21,90.3,300619
2013-01-15,89.87,90.93,89.75,90.9,406001
2013-01-16,90.78,90.78,90.0,90.56,351459
2013-01-17,90.05,90.98,89.51,90.57,511954
2013-01-18,90.73,92.29,90.73,91.89,673810
2013-01-22,91.34,92.59,89.93,91.27,1222291
2013-01-23,91.07,92.06,90.61,90.87,637348
2013-01-24,90.93,91.94,90.44,90.95,370887
2013-01-25,91.37,92.61,90.96,92.61,404440
2013-01-28,93.5,93.75,92.22,92.75,482352
2013-01-29,92.61,92.98,92.02,92.64,365940
2013-01-30,92.73,93.36,91.96,92.14,397044
2013-01-31,91.58,92.29,91.11,91.57,437012
2013-02-01,92.5,93.42,92.17,93.09,567047
2013-02-04,92.08,92.34,90.49,90.82,446891
2013-02-05,91.33,92.2,91.33,91.59,304056
2013-02-06,91.41,92.27,91.16,92.21,379045
2013-02-07,92.05,92.06,90.95,91.4,372949
2013-02-08,91.44,92.68,91.44,92.53,332104
2013-02-11,92.52,92.55,92.0,92.47,224669
2013-02-12,92.44,92.61,91.79,91.99,260583
2013-02-13,92.36,93.33,92.1,93.22,430119
2013-02-14,92.92,93.53,92.28,93.47,431272
2013-02-15,93.47,93.67,92.17,92.61,448649
2013-02-19,92.48,93.41,92.35,93.36,319698
2013-02-20,93.14,93.41,91.96,92.33,532540
2013-02-21,92.24,92.9,91.46,91.79,443778
2013-02-22,92.09,92.65,92.01,92.65,264954
2013-02-25,93.0,93.04,90.41,90.42,483809
2013-02-26,90.87,91.71,89.74,91.49,541440
2013-02-27,91.37,93.25,91.19,92.98,438263
2013-02-28,93.0,93.63,92.21,92.72,455777
2013-03-01,92.32,93.82,91.56,93.77,405335
2013-03-04,93.34,93.77,92.73,93.74,248774
2013-03-05,94.08,95.41,94.08,94.96,412221
2013-03-06,95.13,95.38,94.46,94.62,182336
2013-03-07,94.73,94.98,94.17,94.26,202045
2013-03-08,94.68,94.78,93.95,94.48,325134
2013-03-11,94.27,94.78,93.94,94.71,262215
2013-03-12,94.78,94.92,93.76,94.24,301248
2013-03-13,94.23,94.6,93.62,94.24,295682
2013-03-14,94.37,94.67,93.98,94.66,269235
2013-03-15,94.29,94.96,94.1,94.82,448335
2013-03-18,94.03,94.68,93.63,93.97,326682
2013-03-19,94.21,94.51,93.47,93.99,298989
2013-03-20,94.46,94.93,94.11,94.78,286150
2013-03-21,94.34,94.34,93.02,93.11,302618
2013-03-22,93.56,93.59,92.37,93.26,307028
2013-03-25,93.4,93.5,91.59,92.55,364678
2013-03-26,92.98,93.93,92.94,93.26,403940
2013-03-27,92.58,93.59,92.37,93.16,378882
2013-03-28,93.31,94.0,92.83,93.91,616983
2013-04-01,93.85,93.86,92.99,93.7,347448
2013-04-02,94.02,95.5,93.93,95.5,519696
2013-04-03,95.5,95.51,93.98,94.29,373560
2013-04-04,94.37,94.9,93.85,94.57,275288
2013-04-05,93.21,93.21,92.26,92.39,397550
2013-04-08,92.31,93.03,92.09,93.03,287639
2013-04-09,93.44,93.83,92.98,93.15,239745
2013-04-10,93.6,95.33,93.48,95.12,442266
2013-04-11,95.29,96.25,95.29,95.46,232209
2013-04-12,94.65,95.25,93.46,94.33,584410
2013-04-15,93.97,94.25,91.28,91.31,584723
2013-04-16,91.97,92.46,91.3,91.69,499176
2013-04-17,91.11,91.35,89.26,89.85,756527
2013-04-18,89.53,89.57,87.9,88.24,806181
2013-04-19,88.44,88.89,87.85,88.45,588900
2013-04-22,88.68,89.26,87.95,89.23,604808
2013-04-23,89.45,95.52,89.23,92.1,1857494
2013-04-24,92.1,92.96,91.5,92.48,501413
2013-04-25,92.77,93.48,92.64,92.88,370283
2013-04-26,92.43,92.62,91.45,92.3,332733
2013-04-29,92.42,92.58,91.67,92.45,408095
2013-04-30,92.15,92.73,91.24,92.4,824127
2013-05-01,92.29,93.12,92.04,92.38,486075
2013-05-02,92.8,93.52,92.59,92.63,452065
2013-05-03,93.63,94.04,92.96,93.0,301611
2013-05-06,92.9,93.77,92.77,93.53,460876
2013-05-07,93.52,94.87,93.15,94.47,616909
2013-05-08,94.35,95.82,94.26,95.8,679138
2013-05-09,95.59,97.12,95.59,96.42,653422
2013-05-10,96.5,97.34,96.5,96.91,619879
2013-05-13,96.52,97.19,96.06,96.5,370984
2013-05-14,96.5,97.77,96.37,97.75,935622
2013-05-15,97.53,98.99,97.2,98.49,528859
2013-05-16,98.09,98.35,96.93,97.07,361475
2013-05-17,97.5,98.38,97.09,98.0,344608
2013-05-20,97.71,98.49,97.35,97.53,226719
2013-05-21,97.75,98.87,97.7,98.08,243813
2013-05-22,98.16,99.19,96.12,96.7,560357
2013-05-23,95.89,97.28,95.52,97.17,528814
2013-05-24,97.08,97.99,96.04,97.79,463174
2013-05-28,98.66,99.66,98.66,99.27,617840
2013-05-29,98.56,98.59,97.24,97.57,501380
2013-05-30,97.8,98.56,97.17,97.72,681756
2013-05-31,97.23,98.16,96.67,96.71,625644
2013-06-03,97.09,97.28,95.88,97.01,665659
2013-06-04,97.0,97.5,96.06,96.59,505918
2013-06-05,96.36,96.94,95.45,96.22,526273
2013-06-06,96.19,97.33,95.92,97.33,349539
2013-06-07,97.97,98.44,97.36,98.38,559452
2013-06-10,98.59,98.66,97.48,98.33,497362
2013-06-11,96.98,98.05,96.84,97.18,314226
2013-06-12,97.91,98.19,97.17,97.18,453013
2013-06-13,97.24,99.24,96.76,99.02,319069
2013-06-14,98.97,99.57,98.4,98.6,210061
2013-06-17,99.53,100.56,99.26,100.21,295353
2013-06-18,100.25,102.69,100.21,101.9,733537
2013-06-19,102.01,102.38,100.2,100.22,373642
2013-06-20,99.26,99.26,97.04,97.36,392934
2013-06-21,98.11,99.75,97.89,99.26,688862
2013-06-24,98.26,99.09,97.57,97.63,801956
2013-06-25,99.62,101.65,98.89,99.73,603868
2013-06-26,100.72,100.72,99.0,99.42,349722
2013-06-27,99.85,100.51,99.41,100.38,312951
2013-06-28,100.03,100.8,99.16,100.05,554565
2013-07-01,100.55,104.24,100.55,102.37,1055136
2013-07-02,102.27,103.52,99.92,100.36,561384
2013-07-03,99.31,100.75,99.31,100.47,138882
2013-07-05,101.21,102.02,100.82,102.01,288868
2013-07-08,102.2,102.77,101.54,101.7,377303
2013-07-09,102.16,102.72,101.6,102.19,523902
2013-07-10,101.96,104.31,101.96,104.28,524140
2013-07-11,105.11,105.23,103.62,104.49,319464
2013-07-12,104.22,104.88,104.22,104.53,257771
2013-07-15,104.76,105.51,104.49,104.64,240337
2013-07-16,104.64,105.28,102.89,103.5,607704
2013-07-17,104.0,104.07,103.14,103.25,401177
2013-07-18,103.43,104.9,102.93,104.63,506108
2013-07-19,105.34,105.34,104.22,104.74,403257
2013-07-22,105.18,106.0,105.0,105.41,807635
2013-07-23,98.29,101.4,97.84,99.17,2027676
2013-07-24,99.0,100.65,98.67,100.31,611456
2013-07-25,100.38,100.95,99.71,100.77,410397
2013-07-26,99.94,100.52,99.44,100.16,488357
2013-07-29,99.59,100.5,98.91,99.63,310743
2013-07-30,100.38,101.09,100.24,100.51,396647
2013-07-31,100.95,101.84,100.59,100.94,327442
2013-08-01,101.93,102.98,101.79,102.93,554530
2013-08-02,102.98,103.34,101.87,102.09,546939
2013-08-05,102.01,102.83,101.28,102.64,151074
2013-08-06,102.59,102.8,101.86,102.22,221346
2013-08-07,101.84,102.38,101.51,101.89,211382
2013-08-08,102.39,103.23,102.16,102.97,393212
2013-08-09,102.77,103.95,101.92,103.41,393386
2013-08-12,102.77,103.51,102.75,103.47,251853
2013-08-13,103.5,103.79,102.78,103.53,211045
2013-08-14,103.67,103.81,102.86,102.89,282956
2013-08-15,101.9,102.29,99.56,99.76,627336
2013-08-16,99.48,99.81,98.47,98.47,752189
2013-08-19,98.79,99.15,98.1,98.16,517966
2013-08-20,98.41,99.23,97.79,98.97,337008
2013-08-21,98.66,99.31,98.0,98.59,465666
2013-08-22,98.98,100.69,98.44,100.19,250961
2013-08-23,100.29,100.58,99.2,99.63,184105
2013-08-26,99.27,100.21,99.06,99.44,224542
2013-08-27,98.2,98.97,97.53,98.45,437639
2013-08-28,98.56,98.61,97.53,98.53,433034
2013-08-29,98.32,99.52,98.13,98.93,209497
2013-08-30,98.97,99.48,98.5,98.85,398375
2013-09-03,100.21,100.82,99.41,99.98,383471
2013-09-04,99.89,101.45,99.67,101.16,342086
2013-09-05,100.98,101.71,100.79,101.7,162198
2013-09-06,101.91,102.29,100.83,101.62,259817
2013-09-09,101.72,103.18,101.72,103.09,327135
2013-09-10,103.68,104.25,103.42,103.89,348989
2013-09-11,103.86,105.24,103.34,104.93,593148
2013-09-12,104.67,105.29,104.3,104.41,475193
2013-09-13,104.41,104.8,104.02,104.19,256726
2013-09-16,105.42,105.85,104.66,105.75,304496
2013-09-17,106.03,106.49,105.53,105.98,186163
2013-09-18,106.14,106.74,104.83,106.61,275074
2013-09-19,107.1,107.55,106.13,106.44,363369
2013-09-20,106.5,107.39,106.09,106.54,637198
2013-09-23,106.2,106.4,105.38,105.96,204754
2013-09-24,105.91,106.86,105.09,106.66,341027
2013-09-25,106.54,107.29,106.43,106.72,567171
2013-09-26,106.6,107.82,106.6,107.73,772132
2013-09-27,107.86,108.89,106.86,107.28,419396
2013-09-30,106.51,106.82,105.91,106.21,386636
2013-10-01,106.58,107.13,105.45,105.7,898960
