Date,Open,High,Low,Close,Volume
2013-01-02,35.03,35.07,34.74,35.05,30443604
2013-01-03,34.98,35.04,34.61,34.76,25375268
2013-01-04,34.59,35.04,34.45,34.94,31427157
2013-01-07,34.91,34.97,34.47,34.77,28137748
2013-01-08,34.68,34.79,34.43,34.71,20146153
2013-01-09,34.85,35.15,34.66,34.71,24592528
2013-01-10,35.03,35.4,34.89,35.4,37523048
2013-01-11,34.93,35.18,34.53,35.1,44149111
2013-01-14,34.99,35.06,34.52,34.77,23146570
2013-01-15,34.63,35.2,34.6,35.11,24838053
2013-01-16,34.97,35.29,34.91,35.09,16802737
2013-01-17,35.19,35.22,34.93,35.03,22916408
2013-01-18,34.99,35.08,34.5,34.93,31402308
2013-01-22,34.8,35.05,34.71,35.04,20931020
2013-01-23,35.03,35.12,34.87,34.95,18188013
2013-01-24,35.06,35.46,34.88,35.16,22092086
2013-01-25,35.28,35.31,34.95,35.14,19438333
2013-01-28,35.2,35.25,34.85,35.11,22068495
2013-01-29,35.1,35.33,35.05,35.27,16847778
2013-01-30,34.99,35.04,34.73,34.97,27812091
2013-01-31,34.86,34.99,34.79,34.83,16758786
2013-02-01,35.06,35.25,34.95,35.13,21012577
2013-02-04,34.93,35.0,34.62,34.76,22245187
2013-02-05,34.96,35.1,34.85,34.85,17534084
2013-02-06,34.83,34.98,34.71,34.97,24087100
2013-02-07,34.94,34.95,34.55,34.66,27095582
2013-02-08,34.69,34.92,34.68,34.88,18427088
2013-02-11,34.95,35.39,34.92,35.26,24200300
2013-02-12,35.33,35.55,35.22,35.51,19560460
2013-02-13,35.45,35.52,34.95,35.13,21345589
2013-02-14,35.02,35.27,34.91,35.21,22297443
2013-02-15,35.24,35.36,35.02,35.16,21107702
2013-02-19,35.17,35.27,35.08,35.14,25415187
2013-02-20,35.09,35.32,35.06,35.1,27543032
2013-02-21,35.05,35.68,35.02,35.46,38042611
2013-02-22,35.57,35.83,35.39,35.82,20521584
2013-02-25,35.84,35.95,34.77,34.79,27040728
2013-02-26,35.08,35.1,34.52,34.75,29606663
2013-02-27,34.82,35.22,34.6,35.13,32176140
2013-02-28,35.07,35.37,35.02,35.08,22105405
2013-03-01,34.94,35.56,34.85,35.39,20627242
2013-03-04,35.37,35.88,35.33,35.85,16881499
2013-03-05,35.99,36.29,35.81,35.88,23312247
2013-03-06,36.09,36.14,35.82,36.05,18492281
2013-03-07,36.13,36.48,36.08,36.42,21510373
2013-03-08,36.45,36.62,36.23,36.5,24044308
2013-03-11,36.58,37.14,36.53,37.13,18991801
2013-03-12,37.09,37.18,36.63,36.66,22690128
2013-03-13,36.74,36.86,36.53,36.77,15820006
2013-03-14,36.95,37.03,36.8,36.97,21877544
2013-03-15,37.36,38.2,37.3,38.2,56062632
2013-03-18,37.7,37.9,37.62,37.76,29755803
2013-03-19,37.92,37.93,37.33,37.49,23724871
2013-03-20,37.65,37.84,37.35,37.44,19052600
2013-03-21,37.16,37.38,37.1,37.14,24009793
2013-03-22,37.27,37.38,37.1,37.2,15646644
2013-03-25,37.35,37.4,36.94,37.21,20304469
2013-03-26,37.43,37.45,37.07,37.3,18637413
2013-03-27,37.09,37.16,36.8,36.98,14841998
2013-03-28,37.03,37.04,36.83,36.99,16976890
2013-04-01,37.02,37.09,36.75,36.93,10911480
2013-04-02,37.03,37.1,36.77,36.88,17094769
2013-04-03,36.87,36.95,36.55,36.67,26277775
2013-04-04,36.77,37.48,36.75,37.42,24103296
2013-04-05,36.81,37.2,36.62,37.15,24524059
2013-04-08,37.09,37.11,36.62,37.02,20088868
2013-04-09,37.15,37.65,36.98,37.45,21250764
2013-04-10,37.55,37.85,37.2,37.57,23568065
