Date,Open,High,Low,Close,Volume
2013-01-02,68.93,69.24,68.45,69.24,10392526
2013-01-03,69.25,69.35,68.38,68.8,8910586
2013-01-04,68.73,69.18,68.34,69.06,6438374
2013-01-07,68.83,68.92,68.12,68.4,6201396
2013-01-08,68.28,68.89,68.21,68.59,5868477
2013-01-09,68.66,68.71,68.22,68.57,5056117
2013-01-10,68.66,69.03,67.72,68.36,11454308
2013-01-11,68.6,68.79,68.21,68.63,6224467
2013-01-14,68.49,68.67,68.11,68.3,5491978
2013-01-15,68.19,69.24,68.1,68.98,6140818
2013-01-16,68.94,69.37,68.89,69.21,4917813
2013-01-17,69.3,69.32,68.71,68.85,7233549
2013-01-18,68.85,69.2,68.85,69.2,7814762
2013-01-22,69.05,69.65,68.96,69.58,5747934
2013-01-23,69.39,69.64,69.15,69.49,6365566
2013-01-24,69.65,69.99,69.35,69.79,9139502
2013-01-25,69.91,70.0,68.93,69.0,7969234
2013-01-28,69.08,69.5,68.8,69.35,7054721
2013-01-29,69.21,70.2,69.2,69.89,9560861
2013-01-30,70.12,70.12,69.5,69.75,7022025
2013-01-31,69.69,70.44,69.69,69.95,7019560
2013-02-01,70.11,70.54,69.95,70.49,6450100
2013-02-04,69.44,69.9,69.13,69.63,10759453
2013-02-05,69.87,71.08,69.76,70.77,10526699
2013-02-06,70.48,71.32,70.3,71.31,9757882
2013-02-07,71.44,71.64,70.9,71.23,8306834
2013-02-08,71.2,71.64,71.07,71.48,5906823
2013-02-11,71.25,71.51,70.53,71.4,6202534
2013-02-12,71.49,71.66,71.1,71.4,4762281
2013-02-13,71.29,71.7,71.21,71.39,3969807
2013-02-14,71.1,71.23,70.76,70.82,6820952
2013-02-15,69.54,70.0,68.13,69.3,25689976
2013-02-19,69.19,69.45,68.54,68.76,14683422
2013-02-20,68.72,69.85,68.3,69.21,11975845
2013-02-21,70.0,71.47,69.72,70.26,20426183
2013-02-22,70.22,70.54,69.89,70.4,9169560
2013-02-25,70.5,71.34,70.44,70.44,11819690
2013-02-26,70.69,71.39,70.61,71.11,10558487
2013-02-27,70.92,71.96,70.58,71.66,8820357
2013-02-28,71.59,71.88,70.78,70.78,18888667
2013-03-01,70.78,71.9,70.78,71.74,8902516
2013-03-04,71.52,73.26,71.51,73.26,10567654
2013-03-05,73.47,74.04,72.99,73.72,9142337
2013-03-06,73.75,74.13,73.25,73.38,7152681
2013-03-07,73.49,73.61,73.2,73.32,6689131
2013-03-08,73.3,73.39,72.84,73.03,5744563
2013-03-11,73.09,73.24,72.81,72.98,5149550
2013-03-12,72.95,73.9,72.84,73.6,8156386
2013-03-13,73.89,74.2,73.54,73.65,5329215
2013-03-14,73.87,74.0,73.13,73.22,6353699
2013-03-15,73.01,73.5,72.44,72.5,17206784
2013-03-18,72.29,72.73,72.01,72.25,5771090
2013-03-19,72.42,72.87,72.19,72.45,5753133
2013-03-20,72.81,73.38,72.74,72.99,6320278
