Date,Open,High,Low,Close,Volume
2013-01-02,42.17,42.17,41.15,41.88,6290038
2013-01-03,41.94,42.14,41.58,42.03,4114289
2013-01-04,42.14,42.95,41.86,42.86,4601506
2013-01-07,42.6,42.8,42.38,42.55,2567557
2013-01-08,42.47,42.78,42.1,42.21,2787813
2013-01-09,43.0,43.45,42.69,43.35,4104380
2013-01-10,43.64,44.12,43.33,43.67,3949070
2013-01-11,43.66,43.99,43.36,43.43,2320954
2013-01-14,43.43,43.54,42.89,43.54,2309765
2013-01-15,43.15,43.38,42.83,43.24,3411157
2013-01-16,43.15,43.24,42.87,43.05,2159820
2013-01-17,43.64,44.43,43.52,43.87,4749545
2013-01-18,44.05,44.16,43.59,44.15,2385516
2013-01-22,43.96,44.65,43.85,44.64,2263400
2013-01-23,44.54,44.62,44.12,44.3,2675980
2013-01-24,44.56,45.2,44.43,44.66,3111905
2013-01-25,44.73,45.55,44.67,45.29,3177774
2013-01-28,45.19,45.42,44.92,45.18,2371265
2013-01-29,44.96,44.98,44.5,44.64,2951235
2013-01-30,44.58,44.89,44.17,44.4,2943121
2013-01-31,44.35,44.87,44.31,44.78,3384082
2013-02-01,45.08,45.66,44.54,45.29,2827834
2013-02-04,44.8,44.97,43.88,44.26,3470949
2013-02-05,44.56,45.06,44.35,45.0,2162212
2013-02-06,44.72,45.13,44.51,45.09,2756374
2013-02-07,44.9,45.06,44.43,45.01,3142595
2013-02-08,45.07,45.35,45.0,45.08,1824755
2013-02-11,45.17,45.18,44.45,44.6,2915405
2013-02-12,44.81,44.95,44.5,44.62,2373731
2013-02-13,44.81,45.24,44.68,44.75,2052338
2013-02-14,44.72,44.78,44.36,44.58,3845682
2013-02-15,43.48,44.24,42.21,42.25,14657415
2013-02-19,42.21,43.12,42.21,43.01,4116141
2013-02-20,42.84,42.85,42.22,42.24,3873183
2013-02-21,42.14,42.14,41.47,41.63,3415149
2013-02-22,41.83,42.07,41.58,41.8,3354862
2013-02-25,42.09,42.22,41.29,41.29,3623060
2013-02-26,40.62,41.29,40.19,40.97,6185811
2013-02-27,40.99,41.9,40.83,41.73,3564385
2013-02-28,41.78,42.06,41.45,41.48,3464502
2013-03-01,41.18,41.98,40.73,41.93,3089323
2013-03-04,41.75,42.18,41.52,42.03,2435306
2013-03-05,42.35,43.19,42.34,42.66,3289188
2013-03-06,43.0,43.52,42.9,43.24,2996908
2013-03-07,43.3,43.48,42.81,43.25,2415405
2013-03-08,43.5,43.52,43.02,43.03,3256301
2013-03-11,42.99,43.01,41.73,42.81,5472837
2013-03-12,42.8,43.0,42.59,42.62,3767613
2013-03-13,42.56,43.05,42.4,43.0,2241086
2013-03-14,43.03,43.38,43.0,43.32,2840603
2013-03-15,43.1,43.22,42.88,43.01,2579690
2013-03-18,42.46,42.7,42.18,42.55,1847766
2013-03-19,42.68,42.82,41.59,42.0,6246443
2013-03-20,42.25,42.78,42.22,42.7,3240314
2013-03-21,42.45,42.76,41.63,41.65,4409084
2013-03-22,41.79,41.79,40.91,41.25,5447427
2013-03-25,41.49,41.65,40.79,41.13,2797510
2013-03-26,41.4,41.82,41.32,41.82,2513554
2013-03-27,41.4,42.19,41.21,42.09,3369968
2013-03-28,42.08,42.08,41.5,41.97,2147900
2013-04-01,41.83,41.98,40.79,40.93,2541331
2013-04-02,41.12,41.36,40.59,40.66,2354390
2013-04-03,40.63,40.99,40.32,40.52,5278950
2013-04-04,40.54,41.47,40.54,41.41,3918841
2013-04-05,40.73,41.85,40.67,41.54,4959134
2013-04-08,41.49,41.74,41.17,41.66,2395400
2013-04-09,41.73,42.13,41.53,41.65,1659420
2013-04-10,41.73,42.37,41.66,42.26,2169261
2013-04-11,42.35,43.93,42.33,43.86,5626492
2013-04-12,43.54,44.78,43.43,44.75,6083564
2013-04-15,44.5,44.54,42.94,43.04,7750724
2013-04-16,43.46,43.75,42.84,43.39,4505630
2013-04-17,43.08,43.11,41.93,42.19,4492937
2013-04-18,41.77,42.25,41.48,41.83,3977304
2013-04-19,41.89,42.22,41.65,42.0,3075803
2013-04-22,42.03,42.25,41.34,41.85,2340457
2013-04-23,42.21,42.84,42.13,42.61,3522519
2013-04-24,42.72,43.04,42.37,42.85,3021192
2013-04-25,43.05,43.25,42.66,42.73,2119838
2013-04-26,42.44,42.57,40.69,41.3,5283798
2013-04-29,41.64,41.68,41.05,41.46,2541961
2013-04-30,41.2,41.66,40.95,41.44,3451449
2013-05-01,41.42,41.74,41.26,41.31,2726213
2013-05-02,41.49,41.72,41.24,41.48,3437642
2013-05-03,41.93,42.55,41.54,41.55,4741565
2013-05-06,41.44,42.12,41.39,42.0,2819360
2013-05-07,42.18,42.41,41.9,42.4,3524322
2013-05-08,42.4,42.95,42.3,42.94,2119765
2013-05-09,42.97,43.2,42.63,43.16,3159293
2013-05-10,43.12,43.85,43.04,43.63,4662252
2013-05-13,43.43,43.56,42.72,43.04,4261135
2013-05-14,42.98,44.06,42.88,43.97,6089682
2013-05-15,44.9,46.49,44.89,45.68,10289400
