Date,Open,High,Low,Close,Volume
2013-01-02,58.06,58.55,57.75,58.39,2824866
2013-01-03,58.61,58.83,57.75,58.62,2251483
2013-01-04,58.82,59.29,58.56,59.14,1855365
2013-01-07,58.82,59.09,58.43,58.91,1503773
2013-01-08,58.79,59.32,58.6,59.25,1689444
2013-01-09,59.4,59.42,58.87,59.11,1940626
2013-01-10,59.48,59.49,58.97,59.32,1818680
2013-01-11,59.93,60.0,59.18,59.42,1335924
2013-01-14,59.42,59.55,59.17,59.41,1770466
2013-01-15,59.3,59.31,58.91,59.14,1846864
2013-01-16,59.28,59.36,58.8,58.83,1660860
2013-01-17,59.16,59.35,58.91,59.17,1215028
2013-01-18,59.18,59.73,59.08,59.72,2515632
2013-01-22,59.65,59.97,59.27,59.96,2175473
2013-01-23,59.97,59.97,59.41,59.56,1772693
2013-01-24,59.79,59.97,59.44,59.71,1814225
2013-01-25,59.98,60.0,59.54,59.89,1451941
2013-01-28,60.0,60.0,59.62,59.64,1385632
2013-01-29,59.52,60.34,59.32,60.27,2338151
2013-01-30,60.16,60.25,59.34,59.47,1911910
2013-01-31,59.33,59.77,59.26,59.29,2600253
2013-02-01,59.88,60.72,59.78,60.65,2512004
2013-02-04,60.5,60.75,59.48,59.55,2815425
2013-02-05,59.84,61.25,59.56,61.23,3086141
2013-02-06,60.97,61.2,60.19,60.77,1957186
2013-02-07,60.63,60.74,59.83,60.5,2097846
2013-02-08,60.71,61.0,60.51,60.92,1813162
2013-02-11,60.79,60.98,60.28,60.34,1366376
2013-02-12,60.24,60.57,60.0,60.36,1342315
2013-02-13,60.56,60.79,60.05,60.45,1806080
2013-02-14,60.25,60.78,60.03,60.74,1704835
2013-02-15,61.26,61.26,60.75,61.22,2192741
2013-02-19,61.22,61.49,61.09,61.46,1661840
2013-02-20,61.43,61.76,61.13,61.21,2000710
2013-02-21,61.16,61.16,60.07,60.27,2305166
2013-02-22,60.71,61.02,60.34,61.01,1570009
2013-02-25,61.48,61.74,60.76,60.77,2578118
2013-02-26,61.12,61.37,60.72,61.08,1954782
2013-02-27,60.86,61.83,60.66,61.59,1659768
2013-02-28,61.7,61.72,61.36,61.36,1941943
2013-03-01,61.29,61.75,60.69,61.65,1703353
2013-03-04,61.32,61.89,61.1,61.84,1763774
2013-03-05,62.0,62.7,61.92,62.66,1809912
2013-03-06,62.54,62.56,62.03,62.3,1552234
2013-03-07,62.48,63.57,62.3,63.34,3539409
2013-03-08,63.26,63.71,63.16,63.35,2093716
2013-03-11,63.38,63.89,63.34,63.87,1798946
2013-03-12,63.9,63.98,63.75,63.97,1956495
2013-03-13,64.0,64.21,63.85,64.18,1425390
2013-03-14,64.2,65.03,64.2,65.02,2501726
2013-03-15,64.67,65.05,64.37,64.48,3560880
2013-03-18,63.87,64.47,63.8,64.22,1639710
