Date,Open,High,Low,Close,Volume
2013-01-02,36.05,36.95,36.05,36.94,2998752
2013-01-03,36.75,36.92,36.26,36.37,1744032
2013-01-04,36.53,36.67,36.28,36.36,1340348
2013-01-07,36.0,36.14,35.84,36.09,1933499
2013-01-08,36.15,36.42,35.96,36.3,1519971
2013-01-09,36.35,37.04,36.23,36.67,1640510
2013-01-10,36.89,36.94,36.03,36.52,1415957
2013-01-11,36.6,36.97,36.52,36.8,1336442
2013-01-14,36.64,36.98,36.63,36.83,1418415
2013-01-15,36.53,36.82,36.39,36.71,1617485
2013-01-16,36.76,37.51,36.43,36.73,1213845
2013-01-17,36.77,37.68,36.73,37.33,1959737
2013-01-18,37.25,37.53,37.14,37.5,1599654
2013-01-22,37.4,37.58,36.19,36.55,2703517
2013-01-23,36.71,37.05,36.61,36.86,1653158
2013-01-24,37.39,38.0,37.11,37.6,3326276
2013-01-25,39.5,40.0,38.9,38.99,8054799
2013-01-28,39.11,39.21,38.75,38.86,2798531
2013-01-29,38.65,39.11,38.02,38.86,2633597
2013-01-30,39.5,39.5,38.6,38.73,4317362
2013-01-31,38.77,39.3,38.62,38.88,2723346
2013-02-01,39.39,39.39,38.88,38.94,2842981
2013-02-04,38.75,39.18,38.4,38.53,1929105
2013-02-05,38.77,39.25,38.62,39.06,1881800
2013-02-06,38.86,39.03,38.51,38.71,2299719
2013-02-07,38.61,38.76,38.1,38.65,2514202
2013-02-08,38.79,39.0,38.69,38.89,1534449
2013-02-11,39.07,39.21,38.63,38.89,1368345
2013-02-12,38.91,39.24,38.8,38.91,1907926
2013-02-13,38.91,39.17,38.53,38.66,1708966
2013-02-14,38.54,38.77,38.22,38.67,2525640
2013-02-15,38.65,39.51,38.59,39.0,2910931
2013-02-19,39.1,39.12,38.84,38.98,1737923
2013-02-20,39.17,39.67,38.7,38.73,6135854
2013-02-21,38.58,38.62,37.91,37.97,2851527
2013-02-22,38.1,38.36,37.82,37.91,2684958
2013-02-25,38.23,38.25,36.52,36.62,7232683
2013-02-26,35.92,38.08,35.77,36.79,7572430
2013-02-27,36.62,36.98,35.99,36.2,9941394
2013-02-28,36.31,36.95,36.22,36.72,4037788
2013-03-01,37.25,37.56,36.55,37.36,11398326
2013-03-04,37.34,38.69,37.14,38.65,4082246
2013-03-05,38.76,39.55,38.75,39.34,3946539
2013-03-06,39.51,39.95,39.44,39.94,3070300
2013-03-07,39.87,40.08,39.54,40.01,2433831
2013-03-08,40.0,40.3,39.78,40.17,2046024
2013-03-11,40.0,40.38,39.98,40.36,1281717
2013-03-12,40.37,40.44,39.72,40.3,2069821
2013-03-13,40.28,40.56,39.95,40.46,1803819
2013-03-14,40.67,40.81,40.46,40.69,1851042
2013-03-15,40.51,40.64,40.14,40.14,2128756
2013-03-18,39.76,40.31,39.34,40.03,1787165
2013-03-19,40.05,40.38,39.32,39.67,3069635
2013-03-20,40.53,41.42,40.26,41.16,3845321
2013-03-21,40.6,41.26,40.25,41.03,2049129
2013-03-22,41.04,41.4,40.78,41.39,1741490
2013-03-25,41.0,41.21,40.26,40.38,2239187
2013-03-26,40.61,40.99,40.42,40.6,1553797
2013-03-27,40.46,40.96,40.29,40.92,1348496
2013-03-28,40.62,41.3,40.43,41.25,1784727
2013-04-01,40.09,40.68,39.76,39.93,4038013
2013-04-02,39.97,40.65,39.36,39.57,2568753
2013-04-03,39.55,39.76,38.44,38.54,2713511
2013-04-04,38.53,38.68,38.04,38.48,2636361
2013-04-05,37.87,38.4,37.27,38.35,2559522
2013-04-08,38.44,38.44,37.92,38.35,1808259
2013-04-09,38.37,38.63,38.03,38.46,1421275
2013-04-10,38.47,39.87,38.46,39.64,1988711
2013-04-11,39.49,39.52,38.92,39.01,2320860
2013-04-12,38.95,38.95,38.01,38.36,2174564
2013-04-15,38.11,38.21,36.56,36.71,4335798
2013-04-16,37.14,37.8,37.01,37.69,2136575
2013-04-17,37.33,37.43,36.38,36.82,2699802
2013-04-18,36.9,37.02,35.92,35.93,2129509
2013-04-19,35.91,36.45,35.51,36.12,1835314
2013-04-22,36.16,36.41,35.62,36.24,1681552
2013-04-23,36.49,37.26,36.39,37.26,2626182
2013-04-24,37.11,37.72,36.82,37.56,2132710
2013-04-25,37.5,38.14,37.31,37.87,2025263
2013-04-26,37.93,38.11,37.3,37.31,1862567
2013-04-29,37.36,38.24,37.25,38.21,1669508
2013-04-30,38.24,39.38,38.14,39.38,5426160
2013-05-01,39.23,39.69,38.04,38.19,2902358
2013-05-02,38.17,38.76,37.92,38.53,1323927
2013-05-03,39.0,39.53,38.78,39.52,2016189
2013-05-06,39.39,39.68,39.19,39.6,1909516
2013-05-07,39.66,40.02,39.16,39.54,1471904
2013-05-08,39.34,40.03,39.28,39.98,1722613
2013-05-09,39.95,40.22,39.56,39.75,2664393
2013-05-10,39.81,39.94,39.41,39.75,2608847
2013-05-13,39.64,39.64,38.68,38.9,2895194
2013-05-14,39.03,39.63,38.85,39.42,2169354
2013-05-15,39.32,39.78,39.18,39.43,2463076
2013-05-16,39.39,40.26,39.35,39.78,4498387
2013-05-17,36.75,37.33,34.4,37.11,16959640
2013-05-20,37.14,37.87,36.74,36.99,3450165
2013-05-21,37.05,37.63,36.87,37.48,3278892
2013-05-22,37.41,37.94,36.46,36.57,3428660
2013-05-23,36.36,36.96,36.22,36.46,3392330
2013-05-24,36.34,36.47,35.74,36.08,2767960
2013-05-28,36.51,37.08,36.33,37.07,3168379
2013-05-29,36.85,37.31,36.66,37.1,1745649
2013-05-30,37.14,37.99,37.08,37.9,2327701
2013-05-31,37.53,38.36,37.4,37.73,3034466
2013-06-03,37.9,38.07,36.92,37.38,2239163
2013-06-04,37.32,37.71,36.57,36.7,2060573
2013-06-05,36.68,37.0,36.07,36.12,1650027
2013-06-06,36.03,36.13,35.6,35.97,3224128
2013-06-07,36.32,36.92,36.12,36.65,2315083
2013-06-10,36.65,36.79,35.93,35.97,2931891
2013-06-11,35.61,35.89,35.27,35.33,2897560
2013-06-12,35.6,35.63,34.5,34.93,3441593
2013-06-13,34.8,36.02,34.6,35.88,4112750
2013-06-14,35.97,35.97,35.02,35.09,2339369
2013-06-17,34.9,35.57,34.88,35.43,1972677
2013-06-18,35.33,35.52,35.12,35.13,1887289
2013-06-19,35.48,36.4,35.3,35.5,3367162
2013-06-20,35.24,35.43,34.49,34.56,2847218
2013-06-21,34.5,34.68,33.59,34.21,4650861
2013-06-24,33.97,34.03,33.0,33.48,2969230
2013-06-25,33.85,34.16,33.5,34.04,2785986
2013-06-26,34.33,34.75,34.24,34.64,2577988
2013-06-27,34.71,35.26,34.62,34.92,1680581
2013-06-28,34.61,34.62,33.87,33.94,4020203
2013-07-01,34.01,34.32,33.73,33.8,2972602
2013-07-02,33.81,33.99,33.22,33.49,2272521
2013-07-03,33.31,33.68,33.23,33.49,1789678
2013-07-05,33.94,34.26,33.64,34.16,2322788
2013-07-08,34.3,34.47,34.18,34.38,2907319
2013-07-09,34.5,34.81,34.29,34.39,1990156
2013-07-10,34.36,34.59,33.98,34.31,2555723
2013-07-11,34.83,35.46,34.5,35.4,2247873
2013-07-12,35.49,36.4,35.42,36.01,2746171
2013-07-15,36.22,36.22,35.7,36.13,1027308
2013-07-16,36.11,36.39,35.82,36.16,1990550
2013-07-17,36.15,36.6,36.02,36.4,1617712
2013-07-18,36.37,36.91,36.37,36.87,2397626
2013-07-19,36.87,36.87,36.34,36.5,2558871
2013-07-22,36.4,36.71,36.07,36.47,1959504
2013-07-23,36.68,36.71,36.37,36.48,1845406
2013-07-24,36.8,37.22,36.8,36.86,1828684
2013-07-25,36.9,37.05,36.45,36.73,1036410
2013-07-26,36.37,36.72,35.95,36.51,1296812
2013-07-29,36.4,36.64,36.05,36.16,1363902
2013-07-30,36.27,36.72,36.06,36.58,1604619
2013-07-31,36.51,36.68,34.73,35.39,4517576
2013-08-01,34.79,35.14,34.22,34.27,6847333
2013-08-02,34.42,35.14,34.16,35.03,5530075
2013-08-05,34.95,35.51,34.9,35.26,3241641
2013-08-06,35.25,35.3,34.76,34.9,2054468
2013-08-07,34.9,34.98,34.31,34.89,1848439
2013-08-08,35.1,35.72,35.08,35.6,1856607
2013-08-09,35.63,36.0,35.48,35.85,1845630
2013-08-12,35.68,36.11,35.58,35.95,1550044
2013-08-13,36.06,36.81,35.92,36.68,2446497
2013-08-14,36.6,36.81,36.17,36.74,2123275
2013-08-15,36.46,36.46,35.86,36.04,2470541
2013-08-16,36.0,36.13,35.53,35.94,2803738
2013-08-19,35.96,36.36,35.4,35.41,1759819
2013-08-20,35.45,35.99,35.05,35.69,1893306
2013-08-21,35.69,36.04,35.57,35.62,2227252
2013-08-22,35.71,36.22,35.7,36.13,2767736
2013-08-23,38.9,41.72,38.75,38.91,16680725
2013-08-26,38.59,39.24,37.74,37.89,6674862
2013-08-27,37.38,37.6,36.95,36.99,4629560
2013-08-28,36.95,37.21,36.68,36.9,3196172
2013-08-29,36.75,37.29,36.72,37.02,2335636
2013-08-30,37.04,37.12,36.56,36.75,1852903
2013-09-03,37.11,37.71,36.83,37.13,1981258
2013-09-04,37.05,37.41,36.9,37.12,3630987
2013-09-05,37.1,37.29,36.95,37.04,1969161
2013-09-06,37.25,37.33,36.68,37.14,3792082
2013-09-09,37.18,37.83,37.14,37.7,1867572
2013-09-10,37.89,38.15,37.87,38.08,2078764
2013-09-11,38.03,38.34,37.78,38.31,3101883
2013-09-12,38.26,38.44,37.84,37.88,2062990
2013-09-13,38.06,38.33,38.0,38.18,1970907
2013-09-16,38.55,39.11,38.55,39.07,4700342
2013-09-17,39.09,39.38,38.89,39.31,2514372
2013-09-18,39.5,40.68,39.4,40.62,4679631
2013-09-19,40.61,41.19,40.42,40.94,4134654
2013-09-20,40.96,41.13,40.68,41.0,3326094
2013-09-23,40.57,41.14,40.35,40.76,3129750
2013-09-24,40.74,41.02,40.23,40.82,2855244
2013-09-25,40.64,41.1,40.24,40.67,2698873
2013-09-26,40.8,42.41,40.75,41.94,7341082
2013-09-27,41.59,42.11,41.45,41.79,3170404
2013-09-30,41.21,41.44,40.55,41.17,4475077
2013-10-01,40.36,40.87,40.17,40.49,8343288
2013-10-02,41.29,42.82,41.03,42.55,13162788
2013-10-03,41.54,42.25,41.21,42.15,7238204
2013-10-04,41.96,42.79,41.68,42.49,3926518
2013-10-07,41.93,42.18,41.62,41.69,2723462
2013-10-08,41.65,41.94,40.24,40.39,3882108
2013-10-09,40.47,40.62,39.36,39.96,5027963
2013-10-10,40.13,40.76,40.09,40.61,2643387
2013-10-11,40.57,41.13,40.39,41.05,2203002
2013-10-14,40.6,41.32,40.11,41.0,3443596
2013-10-15,41.04,41.16,40.7,40.89,3259173
2013-10-16,41.0,41.14,40.66,40.78,2082839
2013-10-17,40.52,40.68,39.85,40.41,3446536
2013-10-18,40.39,40.72,40.12,40.28,2712298
2013-10-21,40.36,40.62,39.83,40.02,1995565
2013-10-22,40.27,40.41,39.9,40.0,1644820
2013-10-23,39.76,39.99,39.24,39.49,1898241
2013-10-24,39.59,40.36,39.54,40.2,2350624
2013-10-25,40.52,40.52,39.7,39.87,1341752
2013-10-28,39.8,40.04,39.46,39.67,1189730
2013-10-29,39.86,40.3,39.51,40.3,2255665
2013-10-30,40.3,40.72,39.93,40.04,2625706
2013-10-31,40.1,40.34,39.86,39.9,2224741
2013-11-01,40.11,41.94,40.09,41.89,5897250
2013-11-04,41.85,42.0,41.5,41.8,2733983
2013-11-05,41.65,42.0,41.06,41.71,3311154
2013-11-06,41.96,42.15,41.54,42.02,2777206
2013-11-07,42.25,43.17,41.41,41.76,3885679
2013-11-08,41.89,42.77,41.73,42.76,2151409
2013-11-11,42.71,43.74,42.44,43.48,3664975
2013-11-12,43.29,43.74,43.25,43.61,2003290
2013-11-13,43.54,43.7,43.15,43.54,2652943
2013-11-14,42.97,44.21,42.9,44.13,2635432
2013-11-15,44.2,45.03,43.88,44.11,2898389
2013-11-18,44.14,44.4,43.24,43.3,2327215
2013-11-19,43.18,43.35,42.16,42.28,3621957
2013-11-20,42.5,43.04,42.21,42.34,2803354
2013-11-21,42.58,43.6,42.21,43.53,4253980
2013-11-22,43.64,45.95,43.55,45.86,7219012
2013-11-25,45.55,45.73,44.93,45.39,3759016
2013-11-26,45.39,45.52,45.0,45.28,2557113
2013-11-27,45.4,45.74,45.05,45.44,2152028
2013-11-29,45.28,45.4,44.97,45.25,1174008
2013-12-02,45.27,45.55,44.95,45.42,1871666
2013-12-03,45.4,45.98,45.2,45.76,2491270
2013-12-04,45.81,46.47,45.58,46.29,2598727
2013-12-05,46.18,46.56,45.81,45.94,2270101
2013-12-06,46.56,46.57,46.16,46.42,2032721
2013-12-09,46.02,46.85,45.75,46.78,2023825
2013-12-10,46.29,46.98,46.26,46.79,2518735
2013-12-11,46.94,47.05,45.64,45.75,3146301
2013-12-12,45.85,46.17,45.25,45.51,3244287
2013-12-13,46.0,48.38,45.8,47.74,5599538
2013-12-16,47.7,48.0,47.17,47.18,2471770
2013-12-17,47.19,47.71,47.0,47.5,2174977
2013-12-18,47.34,48.3,46.6,48.27,2920996
2013-12-19,48.13,48.45,47.89,48.04,1617223
2013-12-20,48.0,49.22,47.84,49.19,5075652
2013-12-23,49.31,49.53,49.07,49.46,1854727
2013-12-24,49.35,49.73,49.18,49.7,852485
2013-12-26,49.63,49.85,49.36,49.39,1499246
2013-12-27,49.61,49.9,49.39,49.54,1206137
2013-12-30,49.6,49.79,49.07,49.58,909899
2013-12-31,49.79,50.5,49.61,50.32,2002280
2014-01-02,49.33,49.74,48.88,49.25,2488043
2014-01-03,49.11,49.5,48.78,48.9,1934150
2014-01-06,48.98,49.29,48.29,48.55,1856499
2014-01-07,48.89,50.1,48.63,49.68,2002471
2014-01-08,49.5,50.55,49.05,50.24,2047387
2014-01-09,50.82,51.68,50.74,51.08,3716379
2014-01-10,51.14,51.48,50.64,51.47,2182743
2014-01-13,52.0,52.7,51.31,51.57,4561673
2014-01-14,51.65,52.74,51.29,52.64,2876407
2014-01-15,52.83,53.62,52.8,53.29,3241210
2014-01-16,53.22,53.73,52.98,53.6,2403308
2014-01-17,53.63,53.73,53.04,53.24,2123219
2014-01-21,53.42,54.18,53.03,53.3,2153261
2014-01-22,53.18,53.5,52.31,52.37,3108450
2014-01-23,52.68,52.68,51.71,51.86,3593210
2014-01-24,51.65,51.65,50.25,50.44,4254062
2014-01-27,50.63,50.95,49.33,50.59,3640930
2014-01-28,50.48,51.28,50.46,51.24,1818844
2014-01-29,50.76,51.0,49.61,49.65,2728953
2014-01-30,51.55,51.9,50.71,51.52,4046089
2014-01-31,50.77,51.62,50.7,51.25,2155298
2014-02-03,51.01,51.49,48.93,49.33,4320396
2014-02-04,49.79,50.38,49.63,50.12,2032323
2014-02-05,49.87,50.11,49.37,49.96,1699151
2014-02-06,49.89,51.11,49.7,50.96,1827250
2014-02-07,51.05,52.18,50.82,51.99,2650430
2014-02-10,51.84,52.49,51.75,52.28,2340651
2014-02-11,52.55,53.09,52.3,52.92,1961023
2014-02-12,52.93,53.88,52.76,53.77,3001462
2014-02-13,53.51,54.49,53.39,54.13,3033103
2014-02-14,53.94,54.97,53.94,54.17,3346484
2014-02-18,54.17,54.86,53.8,54.52,2750807
2014-02-19,54.52,55.17,54.37,54.47,2310664
2014-02-20,54.37,54.98,53.6,54.9,1847406
2014-02-21,55.1,55.55,54.62,55.4,2534750
2014-02-24,55.4,55.98,54.45,54.47,4212883
2014-02-25,54.45,54.77,54.03,54.66,2484556
2014-02-26,54.82,55.03,53.89,54.72,3838457
2014-02-27,57.2,58.68,53.72,54.28,11610022
2014-02-28,54.1,54.16,51.89,52.48,6954041
2014-03-03,51.32,51.72,50.59,51.67,6328777
2014-03-04,52.32,53.53,52.05,53.5,3841406
2014-03-05,53.15,53.7,52.99,53.44,2133827
2014-03-06,53.6,53.94,53.42,53.74,2273916
2014-03-07,53.68,53.92,53.25,53.61,1477894
2014-03-10,53.61,53.65,52.57,52.59,1839293
2014-03-11,52.66,53.26,52.52,52.81,2126520
2014-03-12,52.59,52.61,51.63,52.34,1982479
2014-03-13,52.62,52.73,50.13,50.47,4004655
2014-03-14,50.52,51.03,50.32,50.47,2811716
2014-03-17,50.88,51.74,50.69,51.28,1957440
2014-03-18,51.38,52.46,51.3,52.43,1683209
2014-03-19,52.66,52.9,50.86,51.05,3825323
2014-03-20,50.91,51.79,50.78,51.61,2717365
2014-03-21,52.07,52.07,50.04,50.04,3862729
2014-03-24,50.11,50.49,49.14,49.74,2705461
2014-03-25,49.87,50.75,49.46,49.78,2555776
2014-03-26,49.85,50.37,48.63,48.68,2973654
2014-03-27,48.6,48.6,47.91,48.28,4610761
2014-03-28,48.44,48.96,47.92,48.34,2210582
2014-03-31,48.78,49.7,48.69,49.18,2895775
2014-04-01,48.86,50.12,48.48,50.07,2833768
2014-04-02,50.1,50.29,49.43,49.58,2068969
2014-04-03,49.71,49.9,48.18,48.31,2877822
2014-04-04,48.85,49.14,46.54,47.32,5314457
2014-04-07,47.08,47.5,46.19,46.59,2269682
2014-04-08,46.68,47.44,46.27,47.15,3128200
2014-04-09,47.48,48.59,47.22,48.49,3074663
2014-04-10,48.44,48.44,45.89,45.97,4297797
2014-04-11,45.34,45.85,44.76,45.19,8206720
2014-04-14,45.74,46.34,45.27,45.83,2463303
2014-04-15,46.09,46.88,45.22,46.82,3221762
2014-04-16,47.26,47.64,46.63,47.55,2050687
2014-04-17,47.39,48.89,47.13,48.49,3302876
2014-04-21,48.64,48.87,48.06,48.4,3048501
2014-04-22,48.4,49.38,48.23,49.01,1742650
2014-04-23,48.65,48.95,47.93,48.23,1624583
2014-04-24,48.73,48.9,47.22,47.72,2241537
