Date,Open,High,Low,Close,Volume
2013-01-02,31.14,31.32,31.01,31.32,2096906
2013-01-03,31.25,31.49,31.13,31.19,2194990
2013-01-04,31.24,31.45,31.06,31.19,2649493
2013-01-07,31.02,31.03,30.71,30.8,2626963
2013-01-08,30.7,31.1,30.64,30.94,1577201
2013-01-09,30.94,31.09,30.76,31.08,1677150
2013-01-10,31.12,31.48,31.1,31.48,2123599
2013-01-11,31.62,31.65,31.36,31.46,1642775
2013-01-14,31.48,31.65,31.38,31.47,1695731
2013-01-15,31.44,31.7,31.29,31.69,1890591
2013-01-16,31.55,31.65,31.3,31.37,1337794
2013-01-17,31.52,31.64,31.37,31.37,2005735
2013-01-18,31.44,31.72,31.35,31.7,1816409
2013-01-22,31.76,32.1,31.67,32.06,1812159
2013-01-23,32.04,32.06,31.7,31.85,2294356
2013-01-24,31.95,32.12,31.89,31.97,1999344
2013-01-25,32.06,32.21,31.86,32.17,1862580
2013-01-28,32.1,32.15,31.81,31.99,1656135
2013-01-29,31.94,32.45,31.9,32.42,1629538
2013-01-30,32.44,32.6,32.36,32.43,1536275
2013-01-31,32.43,32.53,32.27,32.44,1885236
2013-02-01,32.58,32.72,32.52,32.68,1828862
2013-02-04,32.58,32.66,32.5,32.52,1416492
2013-02-05,32.59,32.82,32.53,32.62,1495213
2013-02-06,32.55,32.83,32.37,32.78,1423215
2013-02-07,32.84,32.98,32.59,32.74,1972828
2013-02-08,32.79,32.79,32.49,32.61,1834481
2013-02-11,32.65,32.88,32.65,32.84,1287610
2013-02-12,32.83,33.16,32.72,33.15,1875404
2013-02-13,33.2,33.39,33.12,33.28,1677370
2013-02-14,33.2,33.24,32.94,33.14,1489040
2013-02-15,33.18,33.25,33.08,33.13,2361329
2013-02-19,33.12,33.54,33.05,33.24,2745027
2013-02-20,33.23,34.04,33.21,33.46,2236183
2013-02-21,33.38,33.46,33.16,33.18,1529190
2013-02-22,33.29,33.67,33.26,33.58,1037085
2013-02-25,33.69,33.92,33.12,33.12,1903974
2013-02-26,33.11,33.57,33.11,33.35,1321925
2013-02-27,33.43,33.57,33.35,33.47,1446469
2013-02-28,33.49,33.97,33.49,33.79,1809643
2013-03-01,33.71,33.97,33.49,33.89,1457844
2013-03-04,33.73,34.18,33.73,34.09,2146326
2013-03-05,34.25,34.4,34.14,34.29,2018978
2013-03-06,34.3,34.43,33.94,34.06,2080329
2013-03-07,34.07,34.24,34.03,34.05,2285448
2013-03-08,34.11,34.15,33.77,33.89,2257265
2013-03-11,33.5,34.0,33.45,33.93,2328608
2013-03-12,33.91,33.94,33.7,33.82,1971296
2013-03-13,33.82,34.01,33.71,34.0,1441272
2013-03-14,34.51,34.69,34.1,34.22,3790849
2013-03-15,34.09,34.39,33.95,34.39,2836254
2013-03-18,34.06,34.4,34.05,34.15,1301760
2013-03-19,34.31,34.4,34.06,34.3,1865315
2013-03-20,34.42,34.66,34.35,34.52,1543008
2013-03-21,34.39,34.45,34.12,34.21,2127124
2013-03-22,34.33,34.38,34.18,34.27,1259286
2013-03-25,34.4,34.58,34.14,34.24,1226095
2013-03-26,34.36,34.65,34.35,34.6,1690860
2013-03-27,34.47,34.8,34.37,34.61,1395198
2013-03-28,34.67,35.12,34.65,35.02,2210551
2013-04-01,34.94,35.09,34.86,34.93,1023363
2013-04-02,34.95,35.18,34.95,35.16,1100990
2013-04-03,35.13,35.36,34.68,34.81,2020987
2013-04-04,34.78,34.99,34.71,34.83,1454320
2013-04-05,34.52,34.83,34.35,34.79,2481169
2013-04-08,34.81,35.08,34.62,35.08,1625653
2013-04-09,35.03,35.13,34.84,34.93,1080883
2013-04-10,35.0,35.19,34.95,35.15,1104447
2013-04-11,35.21,35.35,35.12,35.34,1282761
2013-04-12,35.31,35.49,35.3,35.49,882020
2013-04-15,35.28,35.38,34.56,34.56,1814296
2013-04-16,34.6,35.18,34.26,35.07,2101161
2013-04-17,34.94,34.98,34.38,34.74,1370527
2013-04-18,34.87,35.09,34.69,35.05,1422496
2013-04-19,35.19,35.85,35.11,35.82,1919705
2013-04-22,35.78,35.78,35.37,35.64,1434306
2013-04-23,35.73,35.91,35.51,35.91,1688316
2013-04-24,35.96,36.32,35.77,36.13,1273397
2013-04-25,36.25,36.35,35.96,36.1,1049619
2013-04-26,36.1,36.29,35.99,36.0,933890
2013-04-29,36.11,36.36,36.02,36.15,766786
2013-04-30,36.16,36.25,36.02,36.25,1414557
2013-05-01,36.24,36.25,35.72,35.91,1281470
2013-05-02,35.67,36.09,35.47,35.97,2088571
2013-05-03,36.2,36.74,36.02,36.55,1867677
2013-05-06,36.5,36.55,35.96,36.05,1171029
2013-05-07,36.12,36.28,35.86,36.1,2492404
2013-05-08,36.04,36.21,35.71,35.77,1737223
2013-05-09,35.77,35.9,35.3,35.42,2016036
2013-05-10,35.39,35.52,35.03,35.52,964056
2013-05-13,35.51,35.78,35.3,35.64,1756634
2013-05-14,35.73,36.09,35.6,35.87,1989227
2013-05-15,35.85,36.55,35.75,36.21,1568466
2013-05-16,36.08,36.15,35.91,35.92,1165602
2013-05-17,35.95,36.36,35.93,36.28,1549242
2013-05-20,36.28,36.33,36.11,36.19,898254
2013-05-21,36.15,36.4,35.88,36.15,1325096
2013-05-22,36.08,36.48,35.24,35.39,1281221
2013-05-23,35.13,35.18,34.51,34.91,1995364
2013-05-24,34.75,34.89,34.45,34.53,857862
2013-05-28,34.67,34.93,34.13,34.38,1702560
2013-05-29,34.16,34.2,33.41,33.73,1899223
2013-05-30,33.84,34.57,33.84,34.23,3121260
2013-05-31,34.12,34.53,34.03,34.04,2322472
2013-06-03,34.11,34.14,33.53,33.88,1911977
2013-06-04,33.86,34.08,33.68,34.02,2672022
2013-06-05,33.89,34.16,33.8,34.05,4272486
2013-06-06,34.01,34.3,33.76,34.2,4886394
2013-06-07,34.3,34.98,34.26,34.91,3485004
2013-06-10,34.54,34.62,34.11,34.26,2533214
2013-06-11,34.0,34.18,33.81,33.83,1386773
2013-06-12,33.96,34.12,33.18,33.18,1480259
2013-06-13,33.15,33.91,33.13,33.89,1284208
2013-06-14,33.67,34.28,33.67,34.1,1296282
2013-06-17,34.28,34.52,34.03,34.19,1517362
2013-06-18,34.26,34.63,34.12,34.56,1700679
2013-06-19,34.54,34.63,33.73,33.73,1205060
2013-06-20,33.45,33.52,32.58,32.68,2032642
2013-06-21,32.88,33.33,32.34,33.17,2146152
2013-06-24,32.87,33.11,32.46,32.79,1609603
2013-06-25,33.04,33.58,32.78,33.41,1498999
2013-06-26,33.63,33.9,33.39,33.84,1173328
2013-06-27,33.95,34.43,33.95,34.38,2294007
2013-06-28,34.23,34.67,34.13,34.44,1876054
2013-07-01,34.44,34.52,33.94,33.95,1653288
2013-07-02,33.88,34.19,33.87,34.07,1622251
2013-07-03,33.94,34.09,33.82,33.89,607148
2013-07-05,33.94,34.0,33.15,33.66,956868
2013-07-08,33.88,34.4,33.88,34.3,1293401
2013-07-09,34.5,34.64,34.26,34.36,1187512
2013-07-10,34.33,34.91,34.27,34.8,1799122
2013-07-11,35.15,35.31,34.92,35.3,1056482
2013-07-12,35.33,35.54,34.96,35.49,1699048
2013-07-15,35.43,36.06,35.32,36.06,1454793
2013-07-16,36.12,36.17,35.77,35.99,1364754
2013-07-17,36.18,36.19,35.86,35.95,1384246
2013-07-18,36.02,36.32,35.98,36.31,1160128
2013-07-19,36.45,36.45,35.97,36.1,1272277
2013-07-22,36.08,36.25,35.94,35.97,1470653
2013-07-23,36.05,36.11,35.72,35.81,1382745
2013-07-24,35.85,35.9,35.43,35.58,1019672
2013-07-25,35.48,35.74,35.43,35.72,1268740
2013-07-26,35.6,35.97,35.45,35.95,1383417
2013-07-29,35.87,36.27,35.74,36.11,1194662
2013-07-30,36.25,36.47,36.07,36.11,1183984
2013-07-31,36.01,36.14,35.62,35.81,1453898
2013-08-01,35.72,36.35,35.6,36.3,1347727
2013-08-02,36.3,36.7,36.12,36.67,1198120
2013-08-05,36.51,36.61,36.34,36.42,1389779
2013-08-06,36.36,36.45,35.83,35.93,1552268
2013-08-07,35.99,35.99,35.38,35.55,2412461
2013-08-08,35.65,35.9,35.48,35.84,916590
2013-08-09,35.84,35.96,35.37,35.41,1468838
2013-08-12,35.27,35.38,35.14,35.19,1385458
2013-08-13,35.29,35.29,34.94,35.05,990112
2013-08-14,35.01,35.1,34.48,34.67,863654
2013-08-15,34.47,34.52,34.04,34.07,1124629
2013-08-16,34.01,34.1,33.47,33.63,1129236
2013-08-19,33.6,33.78,33.29,33.34,908106
2013-08-20,33.29,33.99,33.29,33.75,1167286
2013-08-21,33.68,34.0,33.24,33.43,1347859
2013-08-22,33.41,33.67,33.3,33.61,1010229
2013-08-23,33.65,34.02,33.46,33.86,1132398
2013-08-26,33.82,33.91,33.6,33.63,1243703
2013-08-27,33.38,33.77,33.36,33.53,1136732
2013-08-28,33.53,33.71,33.36,33.56,1246546
2013-08-29,33.46,33.71,33.38,33.61,2510027
2013-08-30,33.74,34.0,33.62,33.81,2953420
2013-09-03,34.05,34.27,33.22,33.23,2710670
2013-09-04,33.24,33.26,32.82,33.03,1519183
2013-09-05,32.97,33.1,32.75,32.84,1067788
2013-09-06,32.97,33.36,32.96,33.15,1785760
2013-09-09,32.86,33.22,32.65,33.08,1537346
2013-09-10,33.19,33.39,32.99,33.27,1059793
2013-09-11,33.2,33.2,32.61,32.92,1519434
2013-09-12,32.96,33.16,32.65,32.74,996307
2013-09-13,32.82,32.96,32.69,32.86,932622
2013-09-16,33.36,33.72,33.16,33.4,2281671
2013-09-17,33.38,33.79,33.38,33.62,1643910
2013-09-18,33.6,35.0,33.5,34.84,2520963
2013-09-19,34.89,35.14,34.72,34.77,2465741
2013-09-20,34.97,35.43,34.56,34.6,3838788
2013-09-23,34.53,35.18,34.43,35.03,1367889
2013-09-24,35.07,35.58,35.03,35.39,2912377
2013-09-25,35.4,35.97,35.37,35.44,4381307
2013-09-26,35.44,35.59,34.98,35.16,1677290
2013-09-27,35.03,35.29,34.82,35.01,1937399
2013-09-30,34.87,35.13,34.73,34.84,1633926
