Date,Open,High,Low,Close,Volume
2013-01-02,35.28,35.48,34.94,35.48,537152
2013-01-03,35.46,35.49,35.15,35.39,778296
2013-01-04,35.49,35.97,35.41,35.93,555100
2013-01-07,35.8,35.89,34.88,35.17,687507
2013-01-08,35.1,35.31,34.82,35.24,489352
2013-01-09,35.24,35.56,35.13,35.44,497366
2013-01-10,35.65,36.09,35.65,36.09,616536
2013-01-11,36.21,36.34,35.75,36.19,1017358
2013-01-14,36.22,36.92,36.2,36.92,1036936
2013-01-15,36.78,36.96,36.27,36.78,1074860
2013-01-16,36.69,36.76,36.27,36.3,1144919
2013-01-17,36.6,37.98,36.6,37.18,1395091
2013-01-18,37.28,37.37,36.98,37.29,786285
2013-01-22,37.31,38.57,37.28,38.53,980205
2013-01-23,38.35,38.52,37.69,37.95,893840
2013-01-24,38.09,38.43,37.96,38.2,881947
2013-01-25,38.34,38.62,38.13,38.62,617330
2013-01-28,38.59,38.94,38.43,38.84,742524
2013-01-29,38.78,38.98,38.42,38.83,996976
2013-01-30,38.76,38.78,38.15,38.47,761996
2013-01-31,38.26,38.41,37.87,38.24,802277
2013-02-01,38.51,39.25,38.31,39.0,1069539
2013-02-04,38.86,38.86,37.94,38.16,1062996
2013-02-05,38.36,38.72,38.0,38.58,1024480
2013-02-06,38.28,38.91,38.2,38.81,945880
2013-02-07,39.82,40.33,38.14,38.39,2148751
2013-02-08,38.55,38.74,38.09,38.56,651874
2013-02-11,38.5,38.79,38.36,38.48,452892
2013-02-12,39.15,41.35,39.05,41.05,2462236
2013-02-13,41.06,41.39,40.83,41.39,1101830
2013-02-14,41.15,42.18,41.06,42.01,1435436
2013-02-15,41.92,42.13,41.57,41.84,1198038
2013-02-19,41.81,42.38,41.67,42.21,1372301
2013-02-20,42.03,42.05,41.26,41.29,1058179
2013-02-21,41.19,41.19,40.72,41.01,1011224
2013-02-22,41.17,41.79,41.17,41.64,844821
2013-02-25,41.83,41.83,40.47,40.47,851874
2013-02-26,40.68,41.01,40.17,40.65,897490
2013-02-27,40.63,41.13,40.24,41.04,867138
2013-02-28,40.97,42.27,40.78,41.99,1367919
2013-03-01,41.74,41.9,41.32,41.82,893629
2013-03-04,41.63,41.93,41.29,41.92,759899
2013-03-05,42.13,42.76,42.0,42.6,986023
2013-03-06,42.85,43.11,42.12,42.34,1126853
2013-03-07,42.37,42.62,42.16,42.58,602633
2013-03-08,42.78,42.94,42.6,42.84,437020
2013-03-11,42.71,43.65,42.71,43.57,558941
2013-03-12,43.62,43.9,43.41,43.82,652740
2013-03-13,43.83,44.04,43.68,43.72,837634
2013-03-14,43.79,44.47,43.72,44.21,440947
2013-03-15,44.08,44.45,43.94,44.04,1121987
2013-03-18,43.55,44.33,43.55,43.97,597307
2013-03-19,44.07,44.52,43.92,44.38,608853
2013-03-20,44.66,44.79,44.34,44.54,498474
2013-03-21,44.37,44.68,43.07,43.85,1575660
2013-03-22,44.09,44.2,43.58,44.02,1372375
2013-03-25,44.3,44.4,43.95,44.0,1121221
2013-03-26,42.9,44.52,42.9,44.06,2193614
2013-03-27,43.86,44.54,43.72,44.4,1013384
2013-03-28,44.37,45.05,44.23,45.01,803071
2013-04-01,45.01,45.11,44.79,44.98,506175
2013-04-02,45.24,45.46,45.02,45.3,662329
2013-04-03,45.39,45.57,45.0,45.01,875163
2013-04-04,45.14,45.46,45.01,45.37,973946
2013-04-05,44.8,45.09,44.74,45.01,675798
2013-04-08,45.09,45.78,45.01,45.77,584853
2013-04-09,45.77,45.94,45.44,45.64,741704
2013-04-10,46.59,47.23,46.49,47.16,1188380
2013-04-11,47.34,47.86,47.06,47.5,1080687
2013-04-12,47.31,47.6,47.31,47.49,369077
2013-04-15,47.24,47.57,46.53,46.53,694291
2013-04-16,46.87,47.56,46.81,47.51,660514
2013-04-17,47.16,47.41,46.67,46.72,904554
2013-04-18,46.86,46.96,45.96,46.11,1092930
2013-04-19,46.47,46.73,46.27,46.66,857085
2013-04-22,46.61,46.98,45.93,46.81,512252
2013-04-23,47.03,47.52,46.91,47.28,645620
2013-04-24,47.43,47.75,47.3,47.69,938299
2013-04-25,45.03,46.71,45.03,46.6,985373
2013-04-26,46.49,46.85,46.44,46.52,539169
2013-04-29,46.73,47.25,46.72,47.15,841733
2013-04-30,47.13,47.58,47.13,47.54,644588
2013-05-01,47.69,47.91,47.34,47.34,574833
2013-05-02,47.58,47.88,47.23,47.81,542064
2013-05-03,48.23,48.5,47.34,47.45,908516
2013-05-06,47.54,48.1,47.54,47.92,676969
2013-05-07,48.05,48.16,47.86,48.06,1012441
2013-05-08,48.12,48.3,47.84,47.87,1113708
2013-05-09,47.93,48.05,47.38,47.52,688308
2013-05-10,47.62,47.71,47.29,47.38,625964
2013-05-13,47.39,48.03,47.39,47.95,792166
2013-05-14,48.06,48.69,47.94,48.64,415009
2013-05-15,48.58,49.59,48.52,49.57,664166
2013-05-16,49.48,49.7,49.21,49.3,407615
2013-05-17,49.39,49.94,49.39,49.84,412690
2013-05-20,49.44,50.31,49.44,50.29,578689
2013-05-21,50.21,50.8,50.11,50.6,614997
2013-05-22,50.61,51.19,49.86,49.94,714063
2013-05-23,49.25,50.25,49.13,50.05,578268
2013-05-24,49.72,49.88,49.48,49.71,569761
2013-05-28,50.33,51.03,49.93,49.97,720576
2013-05-29,49.63,49.98,49.41,49.64,868709
2013-05-30,49.75,50.8,49.73,50.58,410245
2013-05-31,50.26,50.78,49.74,49.74,679839
2013-06-03,49.84,50.26,49.02,49.58,538598
2013-06-04,49.54,49.67,48.56,48.98,617587
2013-06-05,48.85,49.06,48.44,48.62,494650
2013-06-06,48.69,49.42,48.41,49.42,558030
2013-06-07,49.74,50.04,49.35,49.97,481249
2013-06-10,50.03,50.79,50.03,50.7,446955
2013-06-11,50.21,50.59,49.94,50.05,298207
2013-06-12,50.39,50.7,50.02,50.08,357002
2013-06-13,50.08,51.05,49.92,50.86,436185
2013-06-14,50.86,51.1,50.38,50.56,521189
2013-06-17,50.82,51.49,50.71,51.35,326042
2013-06-18,51.42,51.91,51.19,51.82,421133
2013-06-19,51.87,51.92,51.02,51.03,376059
2013-06-20,50.61,51.12,50.08,50.22,525423
2013-06-21,50.68,50.96,49.64,50.24,903146
2013-06-24,49.76,49.92,49.03,49.4,600287
2013-06-25,49.88,50.12,49.44,49.82,477162
2013-06-26,50.2,50.6,50.03,50.26,612531
2013-06-27,50.56,51.09,50.51,50.91,521205
2013-06-28,50.85,51.42,50.49,50.91,746682
2013-07-01,51.17,51.6,50.96,51.51,832053
2013-07-02,51.47,51.65,51.2,51.31,453506
2013-07-03,50.28,50.86,50.2,50.43,309894
2013-07-05,50.88,51.16,50.71,50.95,473184
2013-07-08,51.29,51.97,51.29,51.78,596862
2013-07-09,52.21,52.75,52.18,52.41,460588
2013-07-10,52.24,52.51,51.95,52.3,456919
2013-07-11,52.99,52.99,52.24,52.51,511392
2013-07-12,52.51,53.09,52.26,53.09,303272
2013-07-15,53.28,53.4,52.53,53.19,460435
2013-07-16,53.16,53.57,52.98,53.27,348786
2013-07-17,53.52,53.72,53.16,53.4,334049
2013-07-18,53.48,53.71,53.29,53.52,379163
2013-07-19,53.34,53.48,52.84,53.18,438797
2013-07-22,53.17,53.6,52.84,53.52,389219
2013-07-23,53.69,53.69,53.1,53.12,299642
2013-07-24,53.24,53.42,52.46,52.94,601422
2013-07-25,52.58,53.03,51.5,52.7,588076
2013-07-26,52.43,53.1,52.12,53.09,324154
2013-07-29,53.12,53.44,52.68,53.34,476950
2013-07-30,53.56,53.87,52.71,53.19,408794
2013-07-31,53.24,54.43,52.67,54.16,691480
2013-08-01,54.55,55.19,54.5,54.66,499091
2013-08-02,54.7,55.0,54.48,54.83,436233
2013-08-05,54.73,55.08,54.38,54.51,980319
2013-08-06,54.51,54.73,53.94,54.5,398440
2013-08-07,54.4,55.02,53.9,54.83,818653
2013-08-08,54.95,55.43,54.5,54.82,1599350
2013-08-09,54.83,55.29,54.64,55.2,534680
2013-08-12,55.03,55.91,54.68,55.69,749908
2013-08-13,55.75,55.98,55.28,55.76,804099
2013-08-14,55.7,56.12,55.43,55.58,409577
2013-08-15,55.15,55.35,54.7,54.73,514850
2013-08-16,54.68,55.45,54.55,55.23,347961
2013-08-19,55.16,55.28,54.43,54.43,319275
2013-08-20,54.6,55.27,54.2,55.09,521069
2013-08-21,55.04,55.44,54.76,54.85,369617
2013-08-22,54.78,55.82,54.78,55.58,345039
2013-08-23,55.66,56.07,55.3,56.03,492191
2013-08-26,56.03,56.12,55.36,55.55,407619
2013-08-27,54.87,55.16,53.77,53.82,531811
2013-08-28,53.78,53.91,53.37,53.42,740840
2013-08-29,53.37,53.87,53.25,53.6,445180
2013-08-30,53.73,53.82,52.94,53.04,470850
2013-09-03,53.73,54.26,53.42,53.86,434931
2013-09-04,53.78,54.77,53.78,54.46,374037
2013-09-05,54.37,54.5,53.99,54.1,375908
2013-09-06,54.15,54.34,53.05,53.72,336309
2013-09-09,53.4,54.55,53.4,54.48,441059
2013-09-10,54.87,55.81,54.76,55.8,606204
2013-09-11,55.8,55.83,55.16,55.83,504203
2013-09-12,55.87,55.87,55.0,55.1,348951
2013-09-13,55.3,55.52,54.86,55.21,395168
2013-09-16,55.94,56.21,55.6,56.01,358607
2013-09-17,56.02,56.42,56.02,56.15,845025
