Date,Open,High,Low,Close,Volume
2013-01-02,16.1,16.43,16.04,16.15,2003596
2013-01-03,15.84,16.01,15.5,15.9,2563184
2013-01-04,15.98,16.09,15.79,16.07,1258468
2013-01-07,15.98,16.2,15.8,15.9,1925424
2013-01-08,15.92,16.23,15.87,16.2,1871308
2013-01-09,16.2,16.25,16.01,16.09,1536424
2013-01-10,16.23,16.28,16.04,16.22,1456464
2013-01-11,16.22,16.22,16.04,16.14,1018960
2013-01-14,16.2,16.53,16.16,16.51,2575448
2013-01-15,16.44,16.48,16.29,16.46,1184816
2013-01-16,16.44,16.47,16.16,16.22,1175384
2013-01-17,16.32,16.81,16.31,16.76,2063520
2013-01-18,16.8,16.95,16.62,16.89,8390772
2013-01-22,16.9,17.18,16.73,17.01,2449068
2013-01-23,17.01,17.2,16.74,16.87,2510328
2013-01-24,17.25,17.74,16.76,17.32,3655884
2013-01-25,17.38,17.56,17.26,17.5,2105740
2013-01-28,17.52,17.65,17.35,17.56,1383084
2013-01-29,17.55,17.61,17.44,17.6,1358180
2013-01-30,17.63,17.63,17.28,17.34,1818428
2013-01-31,17.34,17.4,17.24,17.32,1325912
2013-02-01,17.45,17.62,17.42,17.49,1606364
2013-02-04,17.42,17.5,17.2,17.28,1363284
2013-02-05,17.38,17.53,17.23,17.48,1033788
2013-02-06,17.4,17.51,17.36,17.5,1041592
2013-02-07,17.5,17.5,17.22,17.39,1036296
2013-02-08,17.38,17.57,17.34,17.49,1138412
2013-02-11,17.49,17.56,17.36,17.48,698492
2013-02-12,17.5,17.79,17.5,17.63,918396
2013-02-13,17.67,17.76,17.61,17.76,994668
2013-02-14,17.67,17.92,17.65,17.85,639712
2013-02-15,17.94,18.02,17.83,17.99,1508576
2013-02-19,18.02,18.14,17.99,18.1,1331456
2013-02-20,18.1,18.18,17.57,17.59,1668456
2013-02-21,17.57,17.58,17.11,17.36,1553956
2013-02-22,17.38,17.7,17.38,17.66,812260
2013-02-25,17.7,17.72,17.1,17.1,1416904
2013-02-26,17.22,17.61,17.13,17.53,1020756
2013-02-27,17.54,17.96,17.51,17.84,792076
2013-02-28,17.87,17.98,17.75,17.88,1340128
2013-03-01,17.77,17.98,17.5,17.92,1274044
2013-03-04,17.88,18.12,17.8,18.1,2000780
2013-03-05,18.19,18.43,18.12,18.29,1890040
2013-03-06,18.39,18.42,18.24,18.32,876372
2013-03-07,18.34,18.38,18.22,18.28,825532
2013-03-08,18.29,18.52,18.2,18.27,1625256
2013-03-11,18.27,18.34,18.06,18.24,1210604
2013-03-12,18.23,18.26,18.04,18.2,917732
2013-03-13,18.22,18.25,18.09,18.22,869432
2013-03-14,18.31,18.49,18.27,18.49,748204
2013-03-15,18.51,18.57,18.4,18.41,1572988
2013-03-18,18.22,18.44,18.16,18.28,756924
2013-03-19,18.36,18.52,18.18,18.36,656284
2013-03-20,18.5,18.72,18.42,18.67,1325396
2013-03-21,18.57,18.6,18.16,18.28,1579156
2013-03-22,18.35,18.54,18.33,18.4,799512
2013-03-25,18.44,18.52,18.12,18.27,679424
2013-03-26,18.35,18.41,18.2,18.32,735148
2013-03-27,18.19,18.44,18.05,18.39,691400
2013-03-28,18.44,18.47,18.33,18.39,1084848
2013-04-01,18.42,18.52,17.74,17.84,1654184
2013-04-02,17.9,17.98,17.57,17.68,1750024
2013-04-03,17.71,17.75,16.8,16.88,3547156
2013-04-04,16.85,17.29,16.77,17.26,2519436
2013-04-05,16.86,17.26,16.67,17.25,1349912
2013-04-08,17.26,17.34,17.16,17.25,1068592
2013-04-09,17.22,17.27,17.02,17.08,1882060
2013-04-10,17.08,17.25,17.03,17.23,2137920
2013-04-11,17.16,17.43,17.16,17.38,1588300
2013-04-12,17.3,17.52,17.24,17.46,1945416
2013-04-15,17.38,17.44,16.75,16.76,1830520
2013-04-16,17.2,17.46,16.96,17.24,2531524
2013-04-17,17.14,17.54,17.02,17.38,3834696
2013-04-18,17.41,17.51,17.08,17.17,1974728
2013-04-19,17.2,17.47,17.13,17.26,1728872
2013-04-22,17.31,17.61,17.1,17.47,1419520
2013-04-23,18.37,18.8,18.1,18.34,3088648
2013-04-24,18.65,18.8,18.49,18.66,2978800
2013-04-25,18.71,18.92,18.68,18.79,2059884
2013-04-26,18.79,19.02,18.74,18.96,1925068
2013-04-29,19.08,19.1,18.76,18.78,1765496
2013-04-30,18.78,18.9,18.61,18.86,1522232
2013-05-01,18.84,18.86,18.33,18.34,2038864
2013-05-02,18.42,18.88,18.36,18.88,2225024
2013-05-03,19.02,19.4,19.02,19.13,1661620
2013-05-06,19.18,19.39,19.07,19.31,1136076
2013-05-07,19.37,19.42,19.17,19.35,1388464
2013-05-08,19.33,19.42,19.16,19.32,1325368
2013-05-09,19.32,19.53,19.32,19.4,1386096
2013-05-10,19.4,19.51,19.35,19.49,1224864
2013-05-13,19.49,19.58,19.4,19.51,721796
2013-05-14,19.51,19.96,19.51,19.93,1748628
2013-05-15,19.84,20.03,19.78,19.98,1126548
2013-05-16,19.78,20.18,19.76,19.81,1489374
2013-05-17,19.98,20.0,19.55,19.86,2086948
2013-05-20,19.87,20.14,19.86,19.93,1081484
2013-05-21,19.96,20.1,19.79,19.82,994230
2013-05-22,19.9,20.12,19.3,19.4,1229506
2013-05-23,19.16,19.56,19.0,19.46,1282272
2013-05-24,19.4,19.46,19.12,19.44,561284
2013-05-28,19.69,19.91,19.42,19.52,935900
2013-05-29,19.42,19.48,19.04,19.36,984212
2013-05-30,19.42,19.62,19.38,19.55,854902
2013-05-31,19.4,19.86,19.37,19.6,1279756
2013-06-03,19.62,19.74,19.2,19.52,1698724
2013-06-04,19.53,19.68,19.08,19.12,1591894
2013-06-05,19.07,19.53,19.02,19.08,1580386
2013-06-06,19.07,19.34,19.0,19.28,1465896
2013-06-07,19.41,19.52,19.16,19.39,1181188
2013-06-10,19.46,19.47,19.19,19.42,739260
2013-06-11,19.22,19.38,19.02,19.16,826576
2013-06-12,19.32,19.35,19.0,19.12,710880
2013-06-13,19.07,19.44,18.94,19.33,893988
2013-06-14,19.28,19.43,19.17,19.28,560686
2013-06-17,19.4,19.63,19.34,19.53,1031526
2013-06-18,19.54,19.7,19.37,19.64,782916
