Date,Open,High,Low,Close,Volume
2013-01-02,75.75,76.08,74.73,76.06,4314603
2013-01-03,75.9,77.35,75.16,76.33,3098703
2013-01-04,76.59,78.48,76.46,78.27,3842372
2013-01-07,77.73,78.93,77.35,78.25,2744404
2013-01-08,77.83,78.86,77.25,78.35,3231032
2013-01-09,78.29,78.62,77.08,78.0,2480347
2013-01-10,78.51,78.51,77.46,77.66,3350251
2013-01-11,77.71,77.9,77.12,77.84,2595232
2013-01-14,77.89,78.1,77.16,77.87,1995914
2013-01-15,77.45,78.19,76.85,78.1,2586217
2013-01-16,78.0,78.09,76.65,77.01,3095198
2013-01-17,77.36,77.96,76.91,77.08,3311907
2013-01-18,77.15,77.72,76.7,77.55,3198488
2013-01-22,77.53,79.68,77.51,79.49,4790247
2013-01-23,79.26,79.38,78.5,78.79,2449292
2013-01-24,79.11,80.7,79.11,80.02,4036923
2013-01-25,80.12,81.55,80.1,81.0,3104708
2013-01-28,81.74,81.88,79.18,79.41,3933506
2013-01-29,79.38,80.84,79.38,80.56,3537000
2013-01-30,80.99,81.35,79.93,80.24,4367272
2013-01-31,79.76,80.66,79.22,80.02,2961144
2013-02-01,80.8,81.83,80.0,81.18,3185942
2013-02-04,80.69,81.2,80.1,80.5,3198315
2013-02-05,81.37,83.15,81.37,82.6,4432756
2013-02-06,82.26,83.78,82.26,83.7,3732692
2013-02-07,83.54,84.5,83.02,84.1,3398103
2013-02-08,84.13,84.83,84.13,84.45,1937086
2013-02-11,83.98,83.98,83.01,83.47,1962625
2013-02-12,83.91,83.97,82.78,83.45,1880572
2013-02-13,83.46,84.13,83.3,84.13,2597192
2013-02-14,83.63,84.43,83.11,84.0,2166797
2013-02-15,83.69,83.83,81.69,82.08,4173627
2013-02-19,82.42,84.13,82.4,84.13,3278862
2013-02-20,83.75,83.75,80.29,80.37,4711642
2013-02-21,80.02,80.54,79.29,80.21,4692105
2013-02-22,80.77,81.75,80.54,81.75,2393930
2013-02-25,82.28,82.5,78.57,78.57,3865033
2013-02-26,79.05,79.27,77.01,78.58,4558655
2013-02-27,78.21,80.99,78.09,80.04,3698447
2013-02-28,80.18,80.32,79.35,79.58,3607739
2013-03-01,78.87,80.23,78.29,79.82,3071019
2013-03-04,80.09,81.26,79.24,80.34,3423121
2013-03-05,81.38,83.74,81.36,82.73,6382447
2013-03-06,83.26,83.41,81.28,81.74,3456737
2013-03-07,81.87,83.25,80.9,82.81,2366710
2013-03-08,83.3,83.43,82.39,83.09,2120301
2013-03-11,83.21,83.8,82.37,83.58,2354461
2013-03-12,83.56,84.46,83.29,84.26,3285139
2013-03-13,83.64,84.42,83.53,83.94,2270826
2013-03-14,84.16,85.58,83.95,85.19,3913770
2013-03-15,84.85,85.64,84.57,85.35,4188454
2013-03-18,84.44,85.7,84.1,84.62,2847149
2013-03-19,84.94,85.13,82.55,83.28,2616818
2013-03-20,87.26,87.5,85.59,86.4,5663185
2013-03-21,85.59,86.82,85.42,85.49,3079693
2013-03-22,85.88,87.17,85.88,86.58,3133652
2013-03-25,86.85,88.8,86.85,87.29,3127460
2013-03-26,88.28,88.98,87.89,88.88,3321048
2013-03-27,88.41,89.16,88.0,88.76,2733895
2013-03-28,89.0,89.2,87.15,87.45,4238883
2013-04-01,87.16,87.95,86.01,86.36,2936710
2013-04-02,86.27,86.63,85.22,85.64,3002354
2013-04-03,85.51,85.58,83.22,84.02,3119068
2013-04-04,83.9,84.33,82.97,84.27,2568214
2013-04-05,82.96,85.27,82.5,85.03,3243727
2013-04-08,84.91,86.57,84.72,86.55,2612072
2013-04-09,86.49,86.98,85.77,86.81,2650380
2013-04-10,87.15,87.2,85.96,86.38,3100981
2013-04-11,86.78,87.4,86.02,87.35,2696875
2013-04-12,86.92,87.03,85.05,85.29,3639411
2013-04-15,83.79,83.88,79.46,79.47,7224907
2013-04-16,80.6,82.64,80.56,82.16,4262917
2013-04-17,81.27,81.27,78.85,79.45,4396535
2013-04-18,79.79,81.08,78.3,80.64,4307298
2013-04-19,81.11,81.34,79.17,79.99,3128274
2013-04-22,80.27,81.52,79.25,81.05,2553261
2013-04-23,81.33,81.68,80.3,81.57,3201649
2013-04-24,81.87,83.69,81.71,83.32,3218206
2013-04-25,83.74,85.5,83.21,84.12,5019138
2013-04-26,84.1,84.28,82.53,83.84,3003894
2013-04-29,84.43,85.12,84.12,84.51,1804254
2013-04-30,84.62,84.95,83.75,84.76,3277777
2013-05-01,84.17,84.17,82.52,83.23,2630769
2013-05-02,83.68,85.08,82.92,84.79,2330969
2013-05-03,85.75,86.79,85.67,86.6,2337055
2013-05-06,87.0,88.36,86.51,87.62,3348268
2013-05-07,89.5,89.72,86.58,86.74,5968519
2013-05-08,86.57,87.92,86.5,87.67,3887409
2013-05-09,87.55,87.96,86.5,86.99,2685673
2013-05-10,86.82,86.82,85.53,86.45,2413326
2013-05-13,86.0,87.12,85.95,86.81,1768279
2013-05-14,86.96,88.9,86.89,88.77,3446869
2013-05-15,88.22,88.54,86.38,88.17,3577320
2013-05-16,88.03,89.04,87.53,87.81,2899037
2013-05-17,90.03,90.46,90.25,90.03,4564201
2013-05-20,89.89,92.18,89.89,91.23,3481270
2013-05-21,91.1,91.95,90.23,91.37,2748215
2013-05-22,91.26,91.92,88.57,89.21,3914857
2013-05-23,87.7,89.71,86.96,89.64,3495582
2013-05-24,88.77,89.45,87.96,89.34,2885189
2013-05-28,90.74,91.96,90.52,91.46,4330133
2013-05-29,90.68,91.54,90.32,90.5,3299628
2013-05-30,90.24,90.76,89.45,90.11,2408750
2013-05-31,89.4,89.8,87.41,87.47,3745304
2013-06-03,87.85,89.08,87.39,88.55,3049615
2013-06-04,88.08,88.62,86.78,87.52,2557839
2013-06-05,87.1,87.57,86.19,86.26,2162735
2013-06-06,86.22,87.29,85.34,86.9,2966030
2013-06-07,87.66,88.78,87.42,87.98,2307870
2013-06-10,88.12,88.53,87.43,88.08,1886003
2013-06-11,86.45,87.27,85.82,86.2,2584749
2013-06-12,87.46,87.46,85.44,85.88,2315400
2013-06-13,85.99,87.65,85.81,87.45,2410818
2013-06-14,87.74,87.77,85.69,86.11,2002889
2013-06-17,87.0,87.7,86.35,87.05,1999974
2013-06-18,87.38,87.85,86.66,87.0,2848866
2013-06-19,86.92,87.78,86.25,86.26,2658704
2013-06-20,84.86,85.24,82.68,83.11,3743593
2013-06-21,83.63,83.9,82.1,83.44,4077184
2013-06-24,82.27,84.16,80.44,82.97,4247495
2013-06-25,83.99,85.41,83.78,85.08,4296205
2013-06-26,85.85,86.8,84.79,86.34,4002325
2013-06-27,87.05,87.49,85.98,86.03,2145950
2013-06-28,85.45,86.75,85.17,85.93,2454769
2013-07-01,86.33,87.85,86.21,86.79,2780267
2013-07-02,86.86,87.91,86.44,86.77,2410198
2013-07-03,86.69,87.06,86.08,86.93,1460841
2013-07-05,87.48,88.53,87.0,88.38,1584191
2013-07-08,88.72,89.2,88.09,88.3,2411184
2013-07-09,88.77,89.36,88.28,88.36,2475406
2013-07-10,88.54,89.62,88.13,88.62,2575684
2013-07-11,89.94,90.8,89.29,90.61,2763042
2013-07-12,90.3,90.85,89.43,90.7,3134093
2013-07-15,90.67,90.68,89.08,89.11,3317463
2013-07-16,89.22,89.37,87.84,88.24,3577371
2013-07-17,88.43,89.49,88.36,88.88,1841376
2013-07-18,89.31,90.32,89.31,90.26,3717323
2013-07-19,90.57,92.86,90.27,92.85,3410942
2013-07-22,92.45,92.9,91.05,91.05,3233632
2013-07-23,91.11,91.51,90.7,91.15,2615871
2013-07-24,91.37,91.37,89.3,89.53,3314611
2013-07-25,89.6,90.22,88.75,89.49,2599785
2013-07-26,88.7,89.19,88.11,88.51,2688331
2013-07-29,88.56,88.94,87.75,88.65,3251828
2013-07-30,88.6,89.25,86.57,88.8,6026960
2013-07-31,89.14,89.61,88.35,88.52,3544454
2013-08-01,89.47,90.59,89.47,90.4,4014042
2013-08-02,90.15,90.71,89.64,90.46,2857749
2013-08-05,90.17,91.15,90.12,90.85,2207587
2013-08-06,90.42,90.67,88.6,89.12,2859099
2013-08-07,88.95,89.41,88.24,89.23,2745988
2013-08-08,89.63,90.63,88.64,90.48,3026140
2013-08-09,90.42,90.65,89.14,89.8,2035157
2013-08-12,88.93,89.77,88.51,89.14,2204446
2013-08-13,89.16,89.32,88.1,89.11,2342737
2013-08-14,88.93,89.31,88.3,88.98,2257348
