Date,Open,High,Low,Close,Volume
2013-01-02,131.78,136.16,131.54,136.16,636492
2013-01-03,135.0,135.76,133.86,134.42,472044
2013-01-04,134.44,134.78,133.56,133.88,269818
2013-01-07,133.74,134.18,132.22,134.06,304659
2013-01-08,133.78,134.24,132.58,133.38,216590
2013-01-09,133.68,135.16,133.61,135.02,258025
2013-01-10,135.72,136.0,134.46,135.7,224996
2013-01-11,135.88,136.96,135.12,136.74,313774
2013-01-14,136.9,138.46,135.68,136.36,235908
2013-01-15,135.38,136.74,134.94,136.7,395796
2013-01-16,136.7,137.25,135.92,136.52,573846
2013-01-17,136.1,137.86,133.78,135.66,539049
2013-01-18,136.28,136.9,134.5,135.14,477838
2013-01-22,135.0,135.62,134.45,135.62,755132
2013-01-23,135.52,135.62,134.56,135.32,421503
2013-01-24,135.78,137.06,134.92,135.5,302408
2013-01-25,135.66,135.96,134.88,135.4,268334
2013-01-28,135.4,135.4,134.26,134.64,248932
2013-01-29,134.58,135.72,134.24,135.56,427828
2013-01-30,135.54,135.86,135.38,135.58,304203
2013-01-31,135.72,136.16,134.52,135.14,300392
2013-02-01,136.24,137.46,135.56,136.94,330143
2013-02-04,136.1,136.58,134.66,135.0,459578
2013-02-05,135.68,137.9,134.92,137.78,309198
2013-02-06,136.98,139.34,136.52,139.1,286845
2013-02-07,138.92,139.28,137.18,138.98,346670
2013-02-08,139.04,141.68,139.04,140.88,374413
2013-02-11,140.94,141.9,140.32,140.82,250488
2013-02-12,140.98,141.94,140.34,140.8,588593
2013-02-13,141.22,141.83,139.62,140.22,293846
2013-02-14,139.78,141.1,139.44,140.2,451650
2013-02-15,140.6,141.34,139.96,140.84,630662
2013-02-19,141.1,141.86,140.72,141.78,343394
2013-02-20,141.88,142.62,138.94,138.98,320064
2013-02-21,138.42,139.56,137.72,138.56,399773
2013-02-22,139.44,141.62,139.2,141.6,314954
2013-02-25,142.36,142.52,138.34,138.34,282398
2013-02-26,139.08,140.68,138.68,140.18,307333
2013-02-27,139.78,142.22,139.36,141.36,292538
2013-02-28,141.46,142.54,140.92,141.72,305744
2013-03-01,141.16,143.52,140.36,143.42,331447
2013-03-04,142.84,144.18,142.3,143.94,341882
2013-03-05,144.5,145.76,144.14,145.16,354586
2013-03-06,145.76,146.3,144.92,145.58,237918
2013-03-07,145.66,145.78,144.68,145.04,326866
2013-03-08,145.72,146.77,145.08,146.48,265398
2013-03-11,146.26,146.72,145.66,146.26,287768
2013-03-12,146.04,146.28,144.46,145.32,256258
2013-03-13,145.38,146.4,145.34,145.8,204546
2013-03-14,146.4,147.52,146.08,146.5,289574
2013-03-15,145.82,146.02,144.16,144.78,370182
2013-03-18,143.56,145.24,143.38,144.94,279172
2013-03-19,145.6,145.98,143.76,144.7,337130
2013-03-20,145.88,146.78,145.2,146.32,241468
2013-03-21,144.64,146.64,142.74,145.5,295345
2013-03-22,143.12,146.44,142.5,146.44,221930
2013-03-25,146.98,147.0,144.84,145.2,227881
2013-03-26,145.5,146.44,145.32,146.38,154730
2013-03-27,145.32,146.36,144.84,146.3,182954
2013-03-28,146.18,149.42,145.88,149.3,428349
2013-04-01,149.54,149.54,146.68,147.04,277180
2013-04-02,147.22,148.36,146.96,147.42,200962
2013-04-03,147.76,148.18,146.42,146.64,243104
2013-04-04,146.52,147.76,146.22,146.46,181162
2013-04-05,144.1,145.06,142.9,144.1,412590
2013-04-08,144.48,146.08,144.04,146.08,149266
2013-04-09,146.38,146.58,144.4,146.0,245656
2013-04-10,146.3,148.82,145.88,148.72,247398
2013-04-11,148.64,149.84,147.98,149.54,214198
2013-04-12,148.06,148.8,146.28,146.98,234029
2013-04-15,146.44,146.44,143.0,143.0,479129
2013-04-16,144.04,147.04,144.0,147.02,277036
2013-04-17,145.86,145.94,142.32,144.52,511175
2013-04-18,144.52,146.98,140.18,144.46,607980
2013-04-19,144.38,145.6,142.48,145.56,356964
2013-04-22,145.84,148.38,145.58,147.6,311914
2013-04-23,148.1,148.49,146.02,147.96,261242
2013-04-24,148.18,149.17,147.82,148.74,335160
2013-04-25,149.02,151.72,147.54,150.58,283960
2013-04-26,150.32,150.32,148.5,148.6,183238
2013-04-29,148.1,150.39,148.1,149.8,239152
2013-04-30,149.78,151.08,149.26,151.04,336106
2013-05-01,151.0,152.0,150.32,151.06,424459
2013-05-02,154.4,154.4,151.24,151.58,472478
2013-05-03,153.06,154.5,152.82,154.32,419797
2013-05-06,154.0,155.02,153.36,154.32,349846
2013-05-07,154.3,155.98,154.22,155.78,221692
2013-05-08,155.56,156.02,154.94,155.96,223974
2013-05-09,155.82,157.38,155.8,156.5,201891
2013-05-10,157.24,160.58,156.88,160.58,383729
2013-05-13,160.24,160.3,158.9,159.68,270702
2013-05-14,159.68,161.64,159.68,161.64,195972
2013-05-15,161.38,162.78,160.46,162.72,241021
2013-05-16,162.58,163.66,162.32,162.84,240432
2013-05-17,163.52,166.74,163.3,166.58,284105
2013-05-20,166.06,166.46,163.48,163.86,446042
2013-05-21,163.8,164.22,161.46,162.0,336298
2013-05-22,159.76,161.42,154.22,155.28,731945
