Date,Open,High,Low,Close,Volume
2013-01-02,26.64,26.97,26.5,26.97,7015875
2013-01-03,26.91,27.45,26.85,27.21,7436028
2013-01-04,27.33,27.84,27.3,27.78,6115091
2013-01-07,27.84,27.87,27.3,27.3,7261637
2013-01-08,27.48,27.57,27.22,27.3,11360688
2013-01-09,27.99,27.99,27.18,27.24,13929766
2013-01-10,27.36,27.36,26.76,26.91,9653482
2013-01-11,27.06,27.06,26.67,26.82,6579565
2013-01-14,26.94,27.06,26.67,26.76,6239992
2013-01-15,26.61,26.85,26.58,26.76,4397587
2013-01-16,26.64,26.76,26.52,26.64,4382911
2013-01-17,26.76,26.97,26.7,26.82,5952786
2013-01-18,26.91,27.06,26.73,27.0,7408363
2013-01-22,27.09,27.66,26.88,27.6,7676626
2013-01-23,27.66,27.72,27.3,27.45,3968044
2013-01-24,27.45,27.6,27.03,27.12,4487902
2013-01-25,27.21,27.24,27.0,27.09,4346795
2013-01-28,27.21,27.27,26.61,26.7,5407473
2013-01-29,26.82,26.91,26.64,26.64,3716447
2013-01-30,26.73,26.88,26.34,26.4,5571062
2013-01-31,26.34,26.64,26.31,26.52,4344400
2013-02-01,26.67,27.0,26.58,27.0,6080694
2013-02-04,26.76,26.85,26.52,26.58,5028460
2013-02-05,26.64,26.91,26.52,26.82,5423828
2013-02-06,26.61,26.94,26.61,26.88,5587570
2013-02-07,26.82,26.91,26.61,26.7,4762836
2013-02-08,26.76,26.91,26.7,26.82,3334151
2013-02-11,26.7,26.79,26.58,26.61,2794027
2013-02-12,26.61,27.12,26.55,27.09,5420887
2013-02-13,27.15,27.3,27.09,27.3,6274298
2013-02-14,27.21,28.11,27.12,27.87,10373062
2013-02-15,28.02,28.08,27.6,27.96,9927935
2013-02-19,27.93,27.96,27.15,27.18,8066270
2013-02-20,27.21,27.24,26.25,26.28,9818148
2013-02-21,26.25,26.44,25.8,25.98,8898358
2013-02-22,26.16,26.19,25.83,25.92,6081171
2013-02-25,26.1,26.16,25.23,25.26,8046214
2013-02-26,25.42,25.5,25.05,25.23,7305955
2013-02-27,25.26,25.71,25.2,25.62,5943526
2013-02-28,25.59,25.8,25.41,25.56,7523850
2013-03-01,25.35,25.5,25.14,25.32,7015210
2013-03-04,25.17,25.26,24.9,25.05,6796824
