Date,Open,High,Low,Close,Volume
2013-01-02,137.28,137.86,135.12,136.03,893610
2013-01-03,136.37,137.44,135.92,136.78,461579
2013-01-04,136.78,137.12,136.23,136.37,496530
2013-01-07,135.94,136.76,135.46,136.51,559857
2013-01-08,136.36,137.08,135.56,136.09,519270
2013-01-09,136.36,136.82,135.65,136.64,522240
2013-01-10,137.11,137.28,136.26,137.09,590100
2013-01-11,137.11,137.76,136.0,136.16,607987
2013-01-14,136.34,137.0,136.16,136.81,497512
2013-01-15,136.31,138.5,136.31,138.37,480105
2013-01-16,137.89,138.38,137.47,137.93,517640
2013-01-17,138.42,138.75,137.9,138.58,589515
2013-01-18,138.35,138.67,137.5,138.56,546454
2013-01-22,138.23,139.16,138.23,139.15,546670
2013-01-23,138.72,139.22,138.7,138.96,629519
2013-01-24,139.45,139.51,137.73,138.34,707880
2013-01-25,138.83,139.38,138.13,138.42,721373
2013-01-28,138.93,139.05,137.6,137.64,746022
2013-01-29,137.49,138.6,137.16,137.92,1092809
2013-01-30,137.19,137.85,135.5,135.64,1113303
2013-01-31,133.96,135.25,126.69,129.79,3403946
2013-02-01,130.85,130.85,125.82,126.11,4489944
2013-02-04,126.0,126.36,124.3,125.93,3556375
2013-02-05,126.07,126.84,124.11,126.37,1805646
2013-02-06,126.31,130.48,126.13,128.49,2100147
2013-02-07,128.38,128.38,126.16,126.99,1070189
2013-02-08,127.51,129.08,127.51,128.84,956469
2013-02-11,128.84,130.37,128.84,129.78,1257369
2013-02-12,129.63,130.9,129.3,130.83,685652
2013-02-13,131.1,131.23,129.88,130.23,590502
2013-02-14,129.41,130.82,129.41,130.05,621740
2013-02-15,129.98,130.26,129.3,130.26,1187672
2013-02-19,130.59,130.99,129.64,130.42,555922
2013-02-20,130.32,131.06,129.65,129.69,988892
2013-02-21,129.61,129.86,127.69,127.7,1221825
2013-02-22,128.21,128.9,128.09,128.83,1064969
2013-02-25,129.25,129.32,126.33,126.33,811035
2013-02-26,126.92,127.35,125.52,126.53,998641
2013-02-27,126.38,127.04,125.91,125.94,761970
2013-02-28,125.92,126.49,124.75,124.83,1673491
2013-03-01,124.56,126.25,124.0,126.21,1117016
2013-03-04,125.82,126.79,125.43,126.65,1766096
2013-03-05,127.12,127.74,126.19,126.74,730868
2013-03-06,126.85,127.2,125.76,126.23,714890
2013-03-07,126.25,127.01,124.47,124.75,1177412
2013-03-08,124.92,125.03,123.16,124.08,1183824
2013-03-11,124.03,124.29,123.04,124.02,787224
2013-03-12,123.87,125.91,123.55,125.73,1870967
2013-03-13,125.42,126.99,124.85,126.78,1013298
2013-03-14,126.6,129.4,126.42,129.21,1558531
2013-03-15,128.71,128.96,127.59,128.37,1174998
2013-03-18,127.96,128.79,126.61,126.75,818748
2013-03-19,127.14,127.68,125.28,126.19,652081
2013-03-20,126.61,127.13,125.86,126.53,567548
2013-03-21,125.84,126.94,125.4,125.45,603215
2013-03-22,125.56,127.52,125.47,126.83,849490
2013-03-25,127.23,127.55,126.35,126.52,795554
2013-03-26,126.0,127.58,126.0,127.09,789979
2013-03-27,126.49,127.02,125.98,126.64,655540
2013-03-28,126.86,127.09,126.12,126.67,990812
2013-04-01,127.18,128.12,126.67,128.09,580902
2013-04-02,128.88,129.2,127.9,128.14,598944
2013-04-03,128.23,128.5,127.51,128.0,717277
2013-04-04,128.3,132.23,128.19,132.22,1111656
2013-04-05,131.15,133.54,130.96,133.44,996782
2013-04-08,133.38,133.68,132.56,133.03,726598
2013-04-09,132.91,133.99,131.63,133.5,695944
2013-04-10,134.24,134.24,133.03,133.48,530144
2013-04-11,133.63,135.37,133.51,134.7,735106
2013-04-12,134.55,135.6,134.36,135.57,680723
2013-04-15,134.72,135.36,132.46,132.47,724564
2013-04-16,133.37,134.31,132.35,133.9,669876
2013-04-17,133.59,133.59,131.12,131.19,1265684
2013-04-18,131.59,132.34,130.46,132.01,519745
2013-04-19,132.5,133.42,131.85,133.07,590811
2013-04-22,133.16,133.16,131.54,132.06,691133
2013-04-23,132.39,132.39,131.1,131.89,713512
2013-04-24,132.13,133.02,131.81,132.08,673046
2013-04-25,131.96,132.01,130.55,131.13,574322
2013-04-26,131.23,131.55,129.72,130.22,509596
2013-04-29,130.58,131.26,129.84,131.05,440825
2013-04-30,131.03,133.04,130.77,133.04,735661
2013-05-01,133.5,135.73,131.8,132.24,1024310
2013-05-02,132.5,133.26,130.11,130.7,874472
2013-05-03,131.52,131.85,129.24,129.79,968899
2013-05-06,130.21,130.99,129.54,130.76,681249
2013-05-07,130.78,133.2,130.54,133.0,594692
2013-05-08,132.73,133.37,131.92,132.77,567298
2013-05-09,132.46,133.09,132.09,132.57,576728
2013-05-10,132.84,133.54,132.02,133.29,531088
2013-05-13,133.2,135.0,132.81,134.79,643348
2013-05-14,134.57,136.65,134.57,136.64,1020166
2013-05-15,136.76,137.22,135.7,137.18,1063549
2013-05-16,136.61,139.31,136.61,138.02,1082788
2013-05-17,138.1,139.01,138.01,138.69,892170
2013-05-20,138.65,141.04,138.57,140.64,923559
2013-05-21,141.0,141.95,140.49,141.46,509723
2013-05-22,141.67,141.83,138.04,138.56,1483798
2013-05-23,137.0,138.99,136.09,138.99,5081251
2013-05-24,138.37,138.79,137.29,138.58,808227
2013-05-28,139.55,140.29,135.87,136.58,1198078
2013-05-29,135.65,136.92,132.3,136.66,2019989
2013-05-30,136.66,137.0,133.14,133.36,824397
2013-05-31,132.88,134.8,132.54,132.66,1733481
2013-06-03,132.67,136.08,131.6,135.24,1204038
2013-06-04,135.6,137.0,134.87,136.05,1219946
2013-06-05,135.79,136.42,133.96,134.26,709255
2013-06-06,134.14,135.29,132.91,134.5,697399
2013-06-07,134.28,134.77,132.24,134.48,571872
2013-06-10,134.49,134.94,132.93,133.45,501356
2013-06-11,132.91,132.91,131.03,131.08,932907
2013-06-12,131.55,131.55,129.0,129.3,710526
2013-06-13,129.71,135.04,129.6,134.56,822116
2013-06-14,134.46,135.82,133.45,134.59,536425
2013-06-17,135.31,136.03,133.49,134.26,855305
2013-06-18,134.36,135.8,133.89,134.9,455940
2013-06-19,134.81,135.22,130.15,130.77,554000
2013-06-20,129.98,130.11,126.91,127.97,904956
2013-06-21,128.64,132.79,128.64,131.69,1298958
2013-06-24,130.43,136.88,128.67,133.54,1358120
2013-06-25,134.91,136.44,133.55,135.44,1075902
2013-06-26,135.85,137.55,134.94,135.2,1182428
2013-06-27,136.36,137.38,135.8,136.47,1147266
