Date,Open,High,Low,Close,Volume
2013-01-02,25.49,25.6,25.29,25.57,1934440
2013-01-03,25.44,25.58,24.93,25.0,1368045
2013-01-04,25.0,25.13,24.92,25.09,1939402
2013-01-07,24.96,25.14,24.58,24.68,1905530
2013-01-08,24.55,25.2,24.36,25.16,2549412
2013-01-09,25.2,25.31,24.83,24.93,1436500
2013-01-10,25.08,25.22,24.93,25.14,1178382
2013-01-11,25.14,25.33,24.91,25.18,1513550
2013-01-14,25.18,25.48,25.1,25.44,1390228
2013-01-15,25.38,25.53,25.2,25.52,1428340
2013-01-16,25.42,25.5,25.34,25.44,823838
2013-01-17,25.54,25.84,25.44,25.67,967792
2013-01-18,25.73,25.89,25.64,25.85,1871375
2013-01-22,25.8,25.83,25.61,25.75,778172
2013-01-23,25.77,25.85,25.52,25.63,697412
2013-01-24,25.62,25.9,25.62,25.79,563995
2013-01-25,25.82,26.06,25.64,26.04,1209552
2013-01-28,26.1,26.1,25.66,25.74,916555
2013-01-29,25.76,26.0,25.76,25.96,974762
2013-01-30,25.95,26.36,25.83,26.05,884945
2013-01-31,26.08,26.36,25.82,25.88,1917880
2013-02-01,26.03,26.24,25.89,26.18,1122545
2013-02-04,26.03,26.09,25.85,25.87,716950
2013-02-05,25.93,26.08,25.76,25.99,1254062
2013-02-06,25.98,26.11,25.83,25.92,860338
2013-02-07,25.95,26.25,25.88,26.03,843800
2013-02-08,26.08,26.16,25.92,26.03,677892
2013-02-11,26.05,26.13,25.6,25.64,877365
2013-02-12,25.7,25.88,25.62,25.68,690708
2013-02-13,25.73,25.8,25.56,25.64,843178
2013-02-14,25.68,26.0,25.54,25.73,1406478
2013-02-15,25.83,26.28,25.75,26.1,3359602
2013-02-19,26.13,26.6,26.08,26.59,1438905
2013-02-20,26.58,26.76,26.42,26.44,1007125
2013-02-21,26.45,26.53,26.25,26.34,721232
2013-02-22,26.37,26.75,26.34,26.75,583402
2013-02-25,26.81,26.83,26.32,26.32,982740
2013-02-26,26.38,26.56,26.16,26.26,679210
2013-02-27,26.23,26.35,26.11,26.23,1073662
2013-02-28,26.31,26.45,26.2,26.25,1138780
2013-03-01,26.24,26.4,26.11,26.24,1513582
2013-03-04,26.26,26.88,26.26,26.88,965720
2013-03-05,27.01,27.34,26.9,27.21,898670
2013-03-06,27.24,27.33,26.9,27.15,800472
2013-03-07,27.2,27.27,26.86,26.95,861688
2013-03-08,27.08,27.08,26.86,26.99,590438
2013-03-11,26.96,27.29,26.93,27.28,679078
2013-03-12,27.34,27.34,27.2,27.27,567402
2013-03-13,27.28,27.43,27.16,27.39,446432
2013-03-14,27.41,27.55,27.32,27.53,658745
2013-03-15,27.45,27.61,27.3,27.54,1266568
2013-03-18,27.26,27.44,27.13,27.22,715380
2013-03-19,27.3,27.58,27.27,27.48,545870
2013-03-20,27.62,27.66,27.47,27.58,420952
2013-03-21,27.48,27.6,27.26,27.28,504142
2013-03-22,27.43,27.71,27.41,27.58,649428
2013-03-25,27.66,27.93,27.58,27.69,647118
2013-03-26,27.84,28.14,27.72,28.14,478632
2013-03-27,27.97,28.08,27.78,28.08,428000
2013-03-28,28.11,28.58,27.99,28.56,1058958
2013-04-01,28.54,28.54,28.22,28.42,775690
2013-04-02,28.56,28.78,28.47,28.74,665060
2013-04-03,28.8,28.8,28.09,28.14,666048
2013-04-04,28.23,28.3,27.93,28.03,764365
2013-04-05,27.94,27.94,27.65,27.77,695838
2013-04-08,27.78,27.89,27.71,27.87,449282
2013-04-09,27.86,28.0,27.62,27.76,505490
2013-04-10,27.73,28.16,27.62,28.15,650310
2013-04-11,28.16,28.41,28.02,28.37,466765
2013-04-12,28.22,28.34,28.05,28.32,452550
2013-04-15,28.24,28.7,28.03,28.03,897778
2013-04-16,28.16,28.7,27.9,28.7,751925
2013-04-17,28.56,28.58,28.07,28.26,752445
2013-04-18,28.31,28.57,28.09,28.28,743485
2013-04-19,28.37,28.79,28.32,28.68,1057212
2013-04-22,28.64,28.64,28.31,28.38,595218
2013-04-23,28.5,28.61,28.1,28.53,623075
2013-04-24,28.61,28.61,27.94,27.98,464790
2013-04-25,28.14,28.26,27.82,28.08,495318
2013-04-26,28.1,28.15,27.95,28.08,442125
2013-04-29,28.11,28.19,27.94,28.14,406698
2013-04-30,28.13,28.24,27.74,28.2,663042
2013-05-01,28.2,28.36,27.93,27.98,466572
2013-05-02,28.0,28.47,27.88,28.37,979625
2013-05-03,28.48,28.67,28.23,28.64,693502
2013-05-06,28.56,28.64,28.06,28.22,531775
2013-05-07,28.23,28.58,28.06,28.54,608195
2013-05-08,28.43,28.6,28.26,28.49,527162
2013-05-09,28.48,28.48,28.1,28.18,509608
2013-05-10,28.22,28.39,28.08,28.23,640145
2013-05-13,28.17,28.39,28.09,28.2,787838
2013-05-14,28.17,28.8,28.17,28.78,555172
2013-05-15,28.73,29.29,28.62,29.2,712200
2013-05-16,29.11,29.72,29.0,29.1,636500
2013-05-17,29.05,29.2,28.96,29.15,702390
2013-05-20,29.12,29.18,28.77,28.86,464195
2013-05-21,28.8,28.89,28.55,28.72,613912
2013-05-22,28.7,29.17,28.41,28.46,640770
2013-05-23,28.36,28.55,28.2,28.46,551390
2013-05-24,28.42,28.6,28.24,28.41,427942
2013-05-28,28.64,28.94,28.48,28.6,386000
2013-05-29,28.44,28.6,28.18,28.26,565912
2013-05-30,28.32,28.53,28.28,28.37,546438
2013-05-31,28.24,28.31,27.53,27.53,1545130
2013-06-03,27.42,27.86,27.18,27.3,1348608
2013-06-04,27.38,27.68,27.34,27.39,962448
2013-06-05,27.62,27.62,27.23,27.28,685935
2013-06-06,27.23,27.68,27.15,27.65,899588
2013-06-07,27.9,28.32,27.8,27.96,1070172
2013-06-10,27.95,28.18,27.69,27.95,530018
2013-06-11,27.76,28.34,27.71,27.99,679735
2013-06-12,28.13,28.3,27.58,27.59,664560
2013-06-13,27.61,28.12,27.31,28.08,693935
2013-06-14,28.09,28.43,27.91,27.98,542065
2013-06-17,28.1,28.46,28.03,28.23,606148
2013-06-18,28.23,28.36,28.08,28.26,484472
2013-06-19,28.29,28.43,27.56,27.6,609108
2013-06-20,27.41,27.44,26.58,26.6,978405
2013-06-21,26.85,27.67,26.85,27.3,1553310
2013-06-24,27.18,27.41,26.79,27.04,720185
2013-06-25,27.22,27.27,26.87,27.09,645162
2013-06-26,27.26,27.51,27.15,27.17,965322
2013-06-27,27.39,27.6,27.24,27.37,466902
2013-06-28,27.32,27.5,27.01,27.02,1414425
2013-07-01,27.08,27.38,26.95,26.98,985962
2013-07-02,26.98,27.22,26.88,27.1,1230125
2013-07-03,26.92,27.1,26.78,26.97,335208
2013-07-05,27.1,27.23,26.74,26.99,448850
2013-07-08,27.01,27.63,26.99,27.6,995895
2013-07-09,27.8,27.94,27.67,27.86,594128
2013-07-10,27.8,28.3,27.8,28.29,1104918
2013-07-11,28.62,28.87,28.4,28.82,1143122
2013-07-12,28.8,28.92,28.64,28.86,939045
2013-07-15,28.82,28.94,28.7,28.89,607020
2013-07-16,28.82,29.14,28.66,29.01,841112
2013-07-17,29.16,29.44,29.16,29.36,1171188
2013-07-18,29.36,29.44,29.24,29.37,540780
2013-07-19,29.48,29.48,29.14,29.2,1314775
2013-07-22,29.13,29.22,28.88,29.1,725592
2013-07-23,29.19,29.27,28.87,29.11,390538
2013-07-24,29.18,29.21,28.66,28.78,453595
2013-07-25,28.78,29.05,28.75,28.97,315250
2013-07-26,28.81,28.95,28.44,28.83,464248
2013-07-29,28.7,28.92,28.64,28.83,367158
2013-07-30,29.08,29.11,28.57,28.62,565330
2013-07-31,28.8,29.36,28.78,29.0,1593562
2013-08-01,29.3,29.49,29.12,29.16,808688
2013-08-02,29.12,29.22,28.76,29.05,830345
2013-08-05,29.03,29.27,28.95,29.15,538582
2013-08-06,29.19,29.33,29.03,29.21,964360
2013-08-07,29.15,29.21,28.81,28.82,569808
2013-08-08,28.85,29.17,28.8,29.14,919445
2013-08-09,29.24,29.25,28.82,29.02,717588
2013-08-12,28.84,28.86,28.55,28.6,493068
2013-08-13,28.67,28.76,28.49,28.65,586595
2013-08-14,28.6,28.75,28.45,28.46,489575
2013-08-15,28.37,28.4,27.88,27.95,581190
2013-08-16,27.88,28.0,27.47,27.5,1315858
2013-08-19,27.52,27.88,27.52,27.71,729078
2013-08-20,27.74,27.98,27.6,27.86,725935
2013-08-21,27.89,27.89,27.36,27.58,739025
2013-08-22,27.57,28.25,27.34,28.01,579892
2013-08-23,28.08,28.24,27.8,27.95,291645
2013-08-26,27.94,28.09,27.58,27.65,422962
2013-08-27,27.23,27.78,27.23,27.61,825218
2013-08-28,27.65,27.84,27.06,27.18,1335152
2013-08-29,27.18,27.39,27.02,27.06,1090115
2013-08-30,27.08,27.2,26.73,26.8,1137702
2013-09-03,26.96,27.07,26.56,26.68,807170
2013-09-04,26.62,27.45,26.62,27.27,1981432
2013-09-05,27.2,27.34,27.09,27.27,686155
2013-09-06,27.28,27.46,27.03,27.29,738675
2013-09-09,27.29,27.62,27.18,27.61,844570
2013-09-10,27.75,27.77,27.57,27.68,816065
2013-09-11,27.72,27.96,27.57,27.9,627020
2013-09-12,27.85,27.91,27.77,27.85,530300
2013-09-13,27.98,28.04,27.79,28.01,613390
2013-09-16,28.41,28.54,28.2,28.29,754062
2013-09-17,28.3,28.42,28.25,28.37,561062
2013-09-18,28.45,28.87,28.05,28.83,767412
2013-09-19,28.96,29.01,28.56,28.59,944685
2013-09-20,28.7,28.8,28.18,28.18,5442235
