Date,Open,High,Low,Close,Volume
2018-02-27,1884.0,1919.75,1870.02,1905.01,661915
2018-02-28,2051.0,2087.34,2034.04,2034.04,1441073
2018-03-01,2034.61,2053.54,1998.83,2028.37,837536
2018-03-02,2002.82,2037.87,1995.58,2033.79,642399
2018-03-05,2020.0,2077.0,2014.89,2072.66,614827
2018-03-06,2075.1,2095.87,2058.81,2085.51,533079
2018-03-07,2065.0,2127.96,2065.0,2122.93,580288
2018-03-08,2137.99,2169.15,2130.68,2150.08,584365
2018-03-09,2169.0,2177.96,2159.07,2170.61,489399
2018-03-12,2180.0,2218.1,2174.07,2206.09,529678
2018-03-13,2210.93,2228.99,2162.18,2170.0,519248
2018-03-14,2175.55,2194.58,2162.33,2188.9,344491
2018-03-15,2190.01,2207.57,2171.1,2187.77,335960
