Date,Open,High,Low,Close,Volume
2013-01-02,22.71,23.04,22.66,23.02,1903236
2013-01-03,23.05,23.28,22.98,23.22,2478654
2013-01-04,23.3,23.3,23.09,23.25,1619584
2013-01-07,23.15,23.21,23.03,23.04,1118838
2013-01-08,22.74,22.86,22.55,22.7,2208092
2013-01-09,22.78,22.96,22.72,22.8,1241254
2013-01-10,22.82,22.88,22.7,22.8,1175094
2013-01-11,22.82,22.84,22.62,22.7,1048076
2013-01-14,22.7,22.94,22.63,22.8,1459396
2013-01-15,22.67,22.92,22.62,22.88,1155032
2013-01-16,22.81,22.85,22.62,22.76,1337236
2013-01-17,22.8,23.26,22.76,23.16,1615402
2013-01-18,23.1,23.35,23.04,23.32,1665842
2013-01-22,23.32,23.5,23.22,23.27,1407406
2013-01-23,23.22,23.38,23.14,23.26,1096172
2013-01-24,23.3,23.44,23.16,23.26,1658218
2013-01-25,23.34,23.34,23.2,23.3,1112406
2013-01-28,23.31,23.31,23.04,23.05,1257702
2013-01-29,23.06,23.12,22.98,23.11,2269090
2013-01-30,23.16,23.31,22.96,22.96,2095212
2013-01-31,22.58,22.82,22.12,22.26,3333178
2013-02-01,22.36,22.86,22.2,22.8,4104572
2013-02-04,22.68,22.74,22.39,22.48,1981186
2013-02-05,22.57,22.81,22.56,22.77,1675658
2013-02-06,22.66,22.74,22.52,22.66,1649742
2013-02-07,22.7,22.9,22.58,22.6,1359926
2013-02-08,22.64,22.76,22.59,22.68,1242144
2013-02-11,22.67,22.68,22.34,22.57,1867932
2013-02-12,22.64,22.66,22.44,22.44,1978636
2013-02-13,22.6,22.6,22.38,22.6,1668390
2013-02-14,22.53,22.66,22.5,22.6,1828044
2013-02-15,22.81,23.04,22.66,22.77,2723304
2013-02-19,22.79,22.83,22.5,22.54,2118080
2013-02-20,22.51,22.6,22.25,22.26,1933494
2013-02-21,22.16,22.2,21.98,22.03,1897542
2013-02-22,22.14,22.28,21.98,22.17,2407362
2013-02-25,22.31,22.36,21.73,21.73,1505588
2013-02-26,21.8,21.94,21.63,21.9,1403712
2013-02-27,21.82,22.23,21.72,22.16,1464074
2013-02-28,22.14,22.36,22.12,22.2,2092034
2013-03-01,22.17,22.17,21.96,22.11,1782986
2013-03-04,22.04,22.07,21.84,22.0,1821366
2013-03-05,22.06,22.21,21.98,22.1,1287904
2013-03-06,22.24,22.3,22.07,22.14,1473424
2013-03-07,22.19,22.33,22.19,22.23,1286268
2013-03-08,22.32,22.44,22.28,22.42,1506098
2013-03-11,22.38,22.54,22.26,22.52,1498442
2013-03-12,22.54,22.57,22.38,22.54,1124908
2013-03-13,22.57,22.91,22.42,22.89,2647026
2013-03-14,22.95,23.02,22.82,23.01,1815454
2013-03-15,22.98,23.08,22.87,23.0,3147770
2013-03-18,22.78,23.03,22.76,22.9,1534598
2013-03-19,22.98,23.08,22.8,23.0,1854980
2013-03-20,23.1,23.18,23.01,23.1,1340110
2013-03-21,22.98,23.13,22.91,22.92,1543692
2013-03-22,22.96,23.02,22.76,22.94,1475494
2013-03-25,23.0,23.14,22.96,23.04,1218076
2013-03-26,23.13,23.24,22.98,23.24,1355640
2013-03-27,23.1,23.7,23.0,23.67,2041054
2013-03-28,23.66,23.82,23.56,23.79,1647978
2013-04-01,23.74,23.84,23.54,23.65,829054
2013-04-02,23.69,24.02,23.66,24.0,1900284
2013-04-03,23.98,24.04,23.35,23.48,1655066
2013-04-04,23.52,23.62,23.45,23.57,1137068
2013-04-05,23.37,23.53,23.24,23.5,1366342
2013-04-08,23.48,23.64,23.33,23.64,1246374
2013-04-09,23.64,23.81,23.57,23.71,1199600
2013-04-10,23.81,24.08,23.78,24.08,1317792
2013-04-11,24.1,24.25,24.04,24.06,1502872
2013-04-12,24.0,24.14,23.7,23.94,1253850
2013-04-15,23.66,23.69,23.16,23.2,1940698
2013-04-16,23.31,23.64,23.18,23.46,1957198
2013-04-17,23.32,23.38,22.94,23.29,1702454
2013-04-18,23.42,23.5,22.92,22.98,1336464
2013-04-19,23.06,23.32,23.03,23.22,1579714
2013-04-22,23.27,23.44,23.06,23.36,917860
2013-04-23,23.44,23.54,23.28,23.49,967702
2013-04-24,23.6,23.8,23.58,23.67,1159608
2013-04-25,22.35,23.14,22.12,22.54,8184834
2013-04-26,22.48,22.54,21.9,22.02,4464208
2013-04-29,22.02,22.35,21.86,22.23,3420774
2013-04-30,22.2,22.28,21.94,22.06,3756796
2013-05-01,22.06,22.4,22.06,22.34,2917004
2013-05-02,22.37,22.64,22.37,22.48,1790100
2013-05-03,22.64,23.05,22.58,22.67,2667178
2013-05-06,22.56,22.73,22.56,22.7,2336194
2013-05-07,22.64,22.84,22.56,22.74,1940844
2013-05-08,22.64,22.81,22.62,22.71,1695594
2013-05-09,22.74,22.98,22.65,22.94,2426796
2013-05-10,23.0,23.1,22.84,22.98,2505606
2013-05-13,22.84,22.94,22.74,22.8,2456134
2013-05-14,22.78,22.96,22.76,22.83,2402718
2013-05-15,22.75,22.86,22.64,22.78,2853578
2013-05-16,22.66,22.84,22.6,22.63,3236494
2013-05-17,22.77,22.96,22.73,22.88,5076552
2013-05-20,22.86,23.08,22.86,23.03,1577028
2013-05-21,23.03,23.3,23.0,23.14,3203470
2013-05-22,23.08,23.25,22.78,22.83,2164392
2013-05-23,22.68,22.95,22.6,22.63,2595694
2013-05-24,22.45,22.6,22.14,22.2,3058608
2013-05-28,22.36,22.55,22.18,22.25,3384672
2013-05-29,22.16,22.2,21.88,21.97,2481834
2013-05-30,21.93,22.03,21.77,21.78,2314000
2013-05-31,21.68,21.92,21.58,21.58,3454122
2013-06-03,21.56,21.7,21.13,21.68,3672760
2013-06-04,21.62,21.84,21.54,21.68,2811530
2013-06-05,21.56,21.65,21.32,21.36,2413966
2013-06-06,21.32,21.42,21.2,21.41,1706040
2013-06-07,21.5,21.82,21.48,21.79,2095116
2013-06-10,21.82,21.83,21.64,21.72,908044
2013-06-11,21.48,21.62,21.36,21.45,1777780
2013-06-12,21.56,21.6,21.18,21.22,2328678
2013-06-13,21.18,21.76,21.18,21.7,2078646
2013-06-14,21.7,21.8,21.6,21.67,1883620
2013-06-17,21.79,21.84,21.55,21.64,1499374
2013-06-18,21.63,21.7,21.52,21.6,1198766
2013-06-19,21.66,21.94,21.56,21.61,2043198
2013-06-20,21.44,21.44,21.18,21.32,2191506
2013-06-21,21.46,21.5,21.14,21.28,2736484
2013-06-24,21.03,21.12,20.77,21.02,1844560
2013-06-25,21.14,21.16,20.86,21.06,1944106
2013-06-26,21.14,21.22,20.87,21.02,1197490
2013-06-27,21.15,21.18,21.01,21.07,1946020
2013-06-28,21.01,21.12,20.76,20.77,4028234
2013-07-01,20.85,21.2,20.84,20.92,1572434
2013-07-02,20.92,21.16,20.8,21.09,2008504
2013-07-03,21.02,21.14,20.96,21.04,1095578
2013-07-05,21.08,21.32,21.08,21.27,1087866
2013-07-08,21.32,21.5,21.28,21.42,1810936
2013-07-09,21.5,21.88,21.48,21.84,2258038
2013-07-10,21.84,22.1,21.77,22.08,2257542
2013-07-11,22.4,22.64,22.34,22.6,2269878
2013-07-12,22.57,22.74,22.51,22.69,1629110
2013-07-15,22.67,22.68,22.5,22.56,1143724
2013-07-16,22.55,22.61,22.36,22.39,1326158
2013-07-17,22.42,22.48,22.22,22.23,1405794
2013-07-18,22.36,22.66,22.31,22.58,2756616
2013-07-19,22.68,22.68,22.44,22.58,1247734
2013-07-22,22.59,22.9,22.54,22.83,2049500
2013-07-23,22.87,22.94,22.76,22.82,2443730
2013-07-24,22.84,22.89,22.66,22.74,2280548
2013-07-25,22.67,22.92,22.46,22.62,1728794
2013-07-26,22.59,22.64,22.3,22.48,1466314
2013-07-29,22.46,22.53,22.34,22.44,905046
2013-07-30,22.41,22.56,22.37,22.48,1762650
2013-07-31,22.5,22.6,22.34,22.4,1439096
2013-08-01,22.52,22.88,22.44,22.78,1901086
2013-08-02,22.72,22.96,22.72,22.92,1266114
2013-08-05,22.87,22.95,22.56,22.64,1417962
2013-08-06,22.62,22.68,22.1,22.14,3109008
2013-08-07,22.12,22.3,21.98,22.2,1853710
2013-08-08,22.26,22.52,22.22,22.28,1555650
2013-08-09,22.28,22.47,22.19,22.34,1537014
2013-08-12,22.27,22.6,22.27,22.48,1359198
2013-08-13,22.52,22.66,22.44,22.64,1326170
2013-08-14,22.6,22.76,22.56,22.7,1384154
2013-08-15,22.58,22.62,22.26,22.32,1793606
2013-08-16,22.44,22.66,22.36,22.5,7443988
2013-08-19,22.44,22.77,22.38,22.77,2413058
2013-08-20,22.76,23.24,22.72,23.09,3315000
2013-08-21,22.96,23.02,22.72,22.72,2090124
2013-08-22,22.7,23.04,22.7,23.02,1125922
2013-08-23,22.92,23.06,22.7,22.85,1148126
2013-08-26,22.84,22.92,22.69,22.76,1241552
2013-08-27,22.51,22.65,22.49,22.54,1352282
2013-08-28,22.53,22.58,22.24,22.26,1221502
2013-08-29,22.16,22.55,22.12,22.4,1386396
2013-08-30,22.4,22.46,22.15,22.21,1337004
2013-09-03,22.48,22.58,21.97,22.14,1259062
2013-09-04,22.11,22.29,21.99,22.26,945368
2013-09-05,22.24,22.3,22.14,22.21,1232882
2013-09-06,22.22,22.33,22.05,22.2,890392
2013-09-09,22.16,22.56,22.12,22.52,1096350
2013-09-10,22.62,22.82,22.56,22.66,1347294
2013-09-11,22.66,22.72,22.58,22.62,1323960
2013-09-12,22.61,22.66,22.26,22.32,1261384
2013-09-13,22.3,22.38,22.13,22.23,1064416
2013-09-16,22.52,22.88,22.49,22.84,1433184
2013-09-17,22.84,23.0,22.71,22.89,1679392
2013-09-18,22.84,23.35,22.63,23.23,1951030
2013-09-19,23.22,23.4,23.04,23.04,1113118
2013-09-20,23.08,23.18,22.7,22.9,3190696
2013-09-23,22.79,23.18,22.78,22.82,1313362
2013-09-24,22.78,22.88,22.72,22.72,812302
2013-09-25,22.41,22.84,22.35,22.7,2856518
2013-09-26,22.76,22.96,22.6,22.74,878104
2013-09-27,22.56,22.66,22.44,22.5,2683106
2013-09-30,22.32,22.56,22.21,22.44,2942964
2013-10-01,22.44,22.78,22.38,22.71,1397282
2013-10-02,22.59,22.8,22.44,22.74,2639002
2013-10-03,22.75,22.76,22.25,22.45,1908750
2013-10-04,22.44,22.66,22.34,22.6,1561876
2013-10-07,22.41,22.57,22.28,22.44,1026740
2013-10-08,22.34,22.52,22.29,22.33,2033310
2013-10-09,22.35,22.44,22.14,22.32,1755216
2013-10-10,22.51,22.67,22.26,22.38,4138462
2013-10-11,22.42,22.75,22.32,22.74,2138232
2013-10-14,22.62,22.82,22.51,22.78,1485940
