Date,Open,High,Low,Close,Volume
2013-01-02,29.97,30.09,29.75,30.09,3366498
2013-01-03,30.0,30.16,29.99,30.02,2794705
2013-01-04,30.02,30.38,30.0,30.24,2858175
2013-01-07,30.25,30.27,30.05,30.17,1804471
2013-01-08,29.99,30.19,29.82,30.15,7884901
2013-01-09,30.2,30.41,30.15,30.4,4785359
2013-01-10,30.42,30.65,30.38,30.62,4765633
2013-01-11,30.87,30.87,30.5,30.8,4831966
2013-01-14,30.83,31.12,30.69,31.03,5071548
2013-01-15,30.82,31.09,30.8,31.07,4550825
2013-01-16,31.01,31.23,30.88,31.17,4068741
2013-01-17,31.25,31.64,31.19,31.51,3810021
2013-01-18,31.57,31.7,31.36,31.7,3744975
2013-01-22,31.74,31.96,31.66,31.94,3535613
2013-01-23,31.94,31.96,31.74,31.83,3177045
2013-01-24,31.88,32.47,31.88,32.4,4894148
2013-01-25,32.21,32.42,32.15,32.33,4093644
2013-01-28,32.5,32.72,32.34,32.63,4724388
2013-01-29,32.41,32.43,32.24,32.3,4353844
2013-01-30,32.05,33.0,32.01,32.72,5058134
2013-01-31,32.36,32.92,32.36,32.69,4801987
2013-02-01,32.91,33.08,32.78,33.07,4011085
2013-02-04,32.91,33.04,32.79,32.81,3313040
2013-02-05,32.93,33.13,32.88,32.99,3300127
2013-02-06,32.97,33.1,32.84,33.05,6548865
2013-02-07,33.17,33.37,32.9,33.28,4547286
2013-02-08,33.25,33.46,33.14,33.38,2919543
2013-02-11,33.49,33.53,33.26,33.37,3441645
2013-02-12,33.47,33.5,33.26,33.3,4307639
2013-02-13,33.42,33.6,33.35,33.48,3441691
2013-02-14,33.63,33.9,33.59,33.78,4943491
2013-02-15,33.89,33.93,33.5,33.73,4932280
2013-02-19,33.78,33.94,33.26,33.45,8966656
2013-02-20,33.61,34.0,33.51,33.65,4383766
2013-02-21,33.69,33.8,33.53,33.72,3280695
2013-02-22,33.75,33.97,33.71,33.92,2353783
2013-02-25,34.0,34.09,33.52,33.52,2538617
2013-02-26,33.55,33.83,33.41,33.82,3249248
2013-02-27,33.87,34.15,33.64,34.09,3141124
