Date,Open,High,Low,Close,Volume
2013-01-02,59.15,59.23,58.51,59.21,6264071
2013-01-03,59.14,59.47,58.87,59.17,4381255
2013-01-04,59.29,59.9,59.25,59.83,4827614
2013-01-07,59.63,59.71,59.04,59.17,5490262
2013-01-08,58.99,59.09,58.25,58.37,6140816
2013-01-09,58.59,58.67,58.16,58.25,4156296
2013-01-10,58.53,58.63,58.12,58.5,5434505
2013-01-11,58.33,58.36,58.02,58.27,3973734
2013-01-14,58.2,58.55,58.19,58.47,4219805
2013-01-15,58.4,59.08,58.28,59.03,6180345
2013-01-16,58.94,59.14,58.73,58.88,5598138
2013-01-17,59.11,59.32,58.65,59.14,5300121
2013-01-18,59.06,59.36,58.97,59.27,5309471
2013-01-22,59.3,59.98,59.17,59.98,4713523
2013-01-23,59.84,59.92,59.43,59.55,4494075
2013-01-24,59.67,60.58,59.52,60.41,7088530
2013-01-25,60.47,61.1,60.34,61.06,5501347
2013-01-28,60.88,60.94,60.18,60.75,4889504
2013-01-29,61.0,61.76,60.94,61.66,7363742
2013-01-30,61.67,62.05,60.92,61.09,6793088
2013-01-31,59.2,59.46,57.81,58.0,16925618
2013-02-01,58.47,58.84,58.02,58.82,11470206
2013-02-04,58.47,58.48,58.0,58.03,7313529
2013-02-05,58.44,58.53,57.62,57.72,7784119
2013-02-06,57.5,57.7,57.05,57.59,6874678
2013-02-07,57.67,57.84,57.36,57.63,5706170
2013-02-08,57.82,57.87,57.58,57.87,17871925
2013-02-11,57.94,57.94,57.53,57.59,19329729
2013-02-12,57.84,58.26,57.6,58.25,21827888
2013-02-13,58.35,58.62,58.0,58.61,6790032
2013-02-14,57.8,58.01,57.62,57.92,5764612
2013-02-15,57.9,58.01,56.78,57.02,9695918
2013-02-19,57.64,58.61,57.52,58.6,8119920
2013-02-20,58.6,58.61,57.64,57.67,5927228
2013-02-21,57.56,58.16,57.09,58.11,7299326
2013-02-22,58.3,58.33,57.65,58.2,4387306
2013-02-25,58.47,58.55,56.83,56.89,8410794
2013-02-26,57.3,57.92,56.95,57.75,7763493
2013-02-27,57.56,58.18,57.41,58.04,6117422
2013-02-28,57.9,58.3,57.85,57.95,7528351
2013-03-01,57.93,58.28,57.65,58.28,6732252
2013-03-04,58.14,58.19,57.25,57.62,5845181
2013-03-05,57.94,58.01,57.36,57.66,7151920
2013-03-06,57.93,58.04,57.44,58.0,6691685
2013-03-07,58.0,58.14,57.85,57.86,5333677
2013-03-08,57.97,58.49,57.83,58.39,4798073
2013-03-11,58.41,58.6,58.08,58.44,4726268
2013-03-12,58.56,58.92,58.45,58.73,4665530
