Date,Open,High,Low,Close,Volume
2013-01-02,44.41,44.6,42.89,42.92,7058549
2013-01-03,40.76,42.87,39.73,42.33,18765169
2013-01-04,42.41,44.75,42.22,44.6,8772419
2013-01-07,44.44,44.46,42.84,43.72,5862347
2013-01-08,43.63,43.72,43.34,43.36,2339992
2013-01-09,43.18,43.35,42.59,42.99,4621736
2013-01-10,42.99,43.38,42.68,43.38,2946181
2013-01-11,43.31,43.49,42.99,43.34,2240126
2013-01-14,43.24,43.84,42.87,43.02,4359120
2013-01-15,43.0,44.69,42.78,44.64,3542861
2013-01-16,44.53,44.86,44.07,44.63,2349217
2013-01-17,44.58,45.24,44.58,44.85,3651769
2013-01-18,44.74,44.98,44.52,44.65,1767106
2013-01-22,44.83,45.12,44.61,44.97,2553099
2013-01-23,44.73,45.16,44.67,45.06,2224608
2013-01-24,45.16,46.83,45.1,46.37,8393674
2013-01-25,46.42,46.85,46.28,46.84,3590211
2013-01-28,46.77,47.2,46.6,47.0,4163890
2013-01-29,46.89,47.24,46.4,47.16,2838588
2013-01-30,47.03,47.21,46.54,46.77,4138892
2013-01-31,46.63,46.83,46.19,46.22,3008856
2013-02-01,46.46,46.6,46.15,46.28,3421831
2013-02-04,46.25,46.51,45.49,45.52,4877138
2013-02-05,45.71,45.99,44.98,45.54,9746535
2013-02-06,45.58,46.16,45.33,46.05,4508197
2013-02-07,46.14,46.49,45.22,45.4,4865062
2013-02-08,45.49,46.15,45.42,46.0,1801655
2013-02-11,45.85,45.93,45.49,45.75,2223629
2013-02-12,45.74,45.77,45.0,45.04,3204578
2013-02-13,45.13,45.25,43.76,44.39,7879810
2013-02-14,44.39,45.57,44.32,45.03,5687398
2013-02-15,45.12,46.64,43.9,44.37,14019891
2013-02-19,44.11,44.6,43.35,43.96,6586592
2013-02-20,43.9,44.37,43.54,43.8,4449124
2013-02-21,43.61,46.09,43.58,45.51,6922585
2013-02-22,45.59,46.22,45.26,46.03,3691560
2013-02-25,46.17,46.38,45.4,45.45,4010519
2013-02-26,45.6,45.64,44.59,44.95,4376428
2013-02-27,46.28,47.5,46.21,46.56,6094597
2013-02-28,46.37,46.68,46.08,46.34,5020300
2013-03-01,46.26,47.59,45.84,47.57,4134609
2013-03-04,47.6,48.71,47.56,48.65,5402965
2013-03-05,48.75,48.99,48.32,48.92,2874940
2013-03-06,49.09,49.2,48.15,48.2,3143562
2013-03-07,47.85,48.35,47.41,47.46,3482732
2013-03-08,47.72,47.97,47.39,47.79,2540045
2013-03-11,47.79,48.1,47.45,47.48,2743774
2013-03-12,47.5,47.97,47.49,47.76,2714341
2013-03-13,47.71,48.1,47.53,48.03,2340809
2013-03-14,48.01,48.83,47.85,48.77,3170582
2013-03-15,48.64,48.72,47.79,48.18,3071025
2013-03-18,47.74,48.38,47.63,48.11,1830632
2013-03-19,48.12,48.22,47.46,47.77,5279393
2013-03-20,48.26,50.04,48.15,49.79,5947426
2013-03-21,49.41,49.91,48.92,49.81,3239923
2013-03-22,50.09,50.5,49.75,50.07,6403882
2013-03-25,52.53,52.91,49.84,51.08,10544191
2013-03-26,51.23,52.3,51.17,52.22,4110463
2013-03-27,50.88,51.56,50.6,50.95,7721512
2013-03-28,50.3,50.72,50.24,50.58,33361707
2013-04-01,50.77,50.87,50.25,50.62,4970389
2013-04-02,50.73,50.76,50.4,50.54,2790887
2013-04-03,50.68,50.73,50.04,50.12,2805343
2013-04-04,50.22,50.74,50.13,50.73,2929394
2013-04-05,50.23,50.42,49.92,50.4,3662395
2013-04-08,50.35,50.49,50.05,50.36,3150130
2013-04-09,50.48,50.58,49.76,49.85,7493919
2013-04-10,49.9,51.34,49.76,50.24,6800948
2013-04-11,50.31,50.85,50.21,50.28,5470706
2013-04-12,50.24,50.84,49.86,50.31,2350071
2013-04-15,50.01,50.6,49.62,49.9,3509769
2013-04-16,49.98,50.51,49.55,50.47,3536427
2013-04-17,50.18,51.92,50.17,51.9,6858355
2013-04-18,51.9,51.99,50.67,51.3,4107070
2013-04-19,51.47,51.86,51.15,51.82,4411906
2013-04-22,51.74,51.89,51.38,51.63,1895767
2013-04-23,51.81,52.57,51.74,52.15,2937387
2013-04-24,52.33,52.74,52.01,52.09,1604677
2013-04-25,52.24,52.9,52.2,52.71,2071341
2013-04-26,52.57,52.95,52.44,52.83,2084632
2013-04-29,52.82,52.99,52.14,52.18,1231550
2013-04-30,52.24,52.31,51.7,52.09,1554353
2013-05-01,52.0,52.6,51.99,52.03,1579540
2013-05-02,52.02,52.5,51.83,52.39,1487133
2013-05-03,52.49,53.0,52.08,52.49,2927279
2013-05-06,53.11,54.16,53.05,53.58,4635504
2013-05-07,53.43,53.52,52.98,53.44,4557589
2013-05-08,53.42,53.69,53.22,53.42,1297758
2013-05-09,53.53,53.55,52.51,52.68,1882279
2013-05-10,52.58,53.18,52.58,52.8,1327807
2013-05-13,52.84,53.0,52.46,52.59,1387168
2013-05-14,52.67,53.14,52.52,52.79,1390738
2013-05-15,52.85,53.61,52.42,53.32,2836361
2013-05-16,53.15,53.67,52.98,53.26,2215756
2013-05-17,53.5,54.17,53.32,54.08,2351925
2013-05-20,53.98,54.25,53.59,53.84,1953903
2013-05-21,53.9,54.67,53.73,54.47,2312944
2013-05-22,54.34,54.75,53.69,53.86,2634656
2013-05-23,53.64,54.81,53.46,54.45,3714582
2013-05-24,54.22,54.56,54.12,54.42,1839899
2013-05-28,54.87,55.17,54.42,54.48,2262842
2013-05-29,54.23,54.51,53.65,53.93,2206814
2013-05-30,53.94,54.21,53.66,53.67,1145398
2013-05-31,53.7,54.06,52.72,52.8,3724046
