Date,Open,High,Low,Close,Volume
2013-01-02,30.02,30.71,29.78,30.08,974658
2013-01-03,30.17,30.28,29.93,30.16,303916
2013-01-04,30.12,30.45,30.12,30.37,470524
2013-01-07,30.38,30.38,30.06,30.1,511750
2013-01-08,30.18,31.02,29.89,30.98,1201516
2013-01-09,30.94,31.23,30.68,30.96,463514
2013-01-10,31.08,31.12,30.7,30.83,403168
2013-01-11,30.86,31.15,30.76,31.04,678866
2013-01-14,31.02,31.08,30.64,30.9,387760
2013-01-15,30.77,30.88,30.54,30.76,1195052
2013-01-16,30.72,30.84,30.6,30.8,462890
2013-01-17,30.88,31.08,30.78,31.0,815396
2013-01-18,30.94,31.12,30.84,30.93,513386
2013-01-22,30.79,30.97,30.79,30.9,446188
2013-01-23,30.76,30.98,30.76,30.9,727516
2013-01-24,30.88,31.47,30.88,31.1,627896
2013-01-25,31.38,31.44,31.06,31.4,861506
2013-01-28,31.5,31.63,31.28,31.5,700880
2013-01-29,31.36,31.66,30.98,31.56,671742
2013-01-30,31.47,31.76,31.46,31.64,575990
2013-01-31,31.46,31.94,31.32,31.86,1225920
2013-02-01,31.96,32.22,31.95,32.1,789202
2013-02-04,31.78,32.08,31.6,31.86,603524
2013-02-05,31.9,32.02,31.76,31.98,592218
2013-02-06,31.92,31.92,31.73,31.84,805974
2013-02-07,31.9,32.16,31.54,32.16,578502
2013-02-08,32.26,32.47,32.2,32.3,875444
2013-02-11,32.36,32.49,31.94,32.16,743172
2013-02-12,32.32,32.32,32.0,32.11,584770
2013-02-13,32.25,32.42,32.1,32.16,1276310
2013-02-14,31.89,32.09,30.75,31.88,996568
2013-02-15,31.63,32.0,31.12,31.5,934728
2013-02-19,31.42,31.63,31.33,31.51,563206
2013-02-20,31.65,31.76,31.05,31.11,524130
2013-02-21,30.96,31.02,30.47,30.81,461278
2013-02-22,30.89,31.52,30.74,31.5,406444
2013-02-25,31.5,31.72,31.31,31.5,1209590
2013-02-26,31.52,31.82,31.39,31.6,948898
2013-02-27,31.5,32.6,31.5,32.42,1311748
2013-02-28,32.28,32.52,32.2,32.25,1613780
2013-03-01,31.89,33.16,31.89,33.08,1065842
2013-03-04,33.08,33.37,32.92,33.33,1033758
2013-03-05,33.56,34.07,33.42,34.04,1067098
2013-03-06,33.4,34.26,32.96,33.24,1934822
2013-03-07,33.5,34.85,33.5,34.75,8116040
2013-03-08,34.88,35.42,34.62,35.0,2092454
2013-03-11,35.0,35.16,34.76,35.05,730024
2013-03-12,35.0,35.17,34.71,34.96,505076
2013-03-13,34.9,35.1,34.82,35.04,786410
2013-03-14,35.02,35.43,35.0,35.3,944932
2013-03-15,35.26,35.26,34.66,34.67,910492
2013-03-18,34.25,34.8,33.94,34.74,1184490
2013-03-19,34.78,34.96,34.43,34.84,622380
2013-03-20,35.0,35.34,34.99,35.25,1253142
2013-03-21,35.04,35.33,34.72,34.88,1098498
2013-03-22,34.97,35.0,34.75,34.96,1190856
2013-03-25,35.13,35.4,34.54,34.8,1677480
2013-03-26,35.0,35.0,34.72,34.88,1762230
2013-03-27,34.76,34.82,34.34,34.74,1223552
2013-03-28,34.86,35.03,34.71,34.77,1328470
2013-04-01,34.9,35.04,34.82,34.98,3078662
2013-04-02,34.86,35.22,34.86,35.01,1846438
2013-04-03,34.94,35.02,34.62,34.92,832456
2013-04-04,34.76,34.96,34.52,34.86,698042
2013-04-05,34.3,35.02,34.02,35.0,1610924
2013-04-08,34.87,35.34,34.87,35.28,1311246
2013-04-09,35.27,35.51,35.08,35.34,1171986
2013-04-10,35.79,36.4,35.44,36.38,1180916
2013-04-11,36.42,36.92,36.42,36.54,954374
2013-04-12,36.31,36.83,36.31,36.74,781762
2013-04-15,36.46,36.64,35.48,35.55,1022774
2013-04-16,35.88,35.9,35.46,35.62,1205248
2013-04-17,35.52,35.66,35.04,35.54,1696604
2013-04-18,35.68,35.68,34.74,35.0,1099464
2013-04-19,35.12,35.53,34.88,35.5,1080238
2013-04-22,35.46,35.5,35.22,35.45,888942
2013-04-23,35.55,35.64,34.96,35.46,1121024
2013-04-24,35.45,35.59,35.32,35.41,777054
2013-04-25,35.68,35.77,35.28,35.64,1053408
2013-04-26,35.46,35.7,35.38,35.39,767040
2013-04-29,35.55,35.55,35.3,35.44,735350
2013-04-30,35.48,35.84,35.4,35.44,1531642
2013-05-01,35.6,35.6,35.26,35.28,654006
2013-05-02,35.26,36.06,35.26,35.93,844218
2013-05-03,36.16,36.24,35.79,35.8,461952
2013-05-06,35.66,35.72,35.54,35.62,527788
2013-05-07,34.26,35.36,34.26,35.24,1439080
2013-05-08,35.16,35.24,34.76,34.91,1113484
2013-05-09,34.82,35.36,34.78,35.2,1178542
2013-05-10,35.14,35.55,35.14,35.52,579388
2013-05-13,35.4,35.45,34.88,34.93,553636
2013-05-14,35.01,35.38,35.0,35.28,627040
2013-05-15,35.3,35.52,35.19,35.36,1074120
2013-05-16,35.3,35.44,34.98,35.11,2569124
2013-05-17,35.34,35.34,34.82,34.94,465712
2013-05-20,34.82,35.34,34.79,34.86,1293690
2013-05-21,34.86,35.46,34.77,35.33,1353750
2013-05-22,35.1,35.46,34.91,35.14,1039094
2013-05-23,34.93,35.32,34.7,35.2,1120136
2013-05-24,35.08,35.28,34.82,35.03,713414
2013-05-28,35.3,35.54,35.3,35.47,943786
2013-05-29,35.28,35.35,34.86,35.0,817182
