Date,Open,High,Low,Close,Volume
2013-01-02,66.97,67.43,66.78,67.24,1361086
2013-01-03,67.27,67.92,66.92,67.13,854441
2013-01-04,67.41,67.7,67.08,67.3,753552
2013-01-07,67.0,67.26,66.68,66.86,632354
2013-01-08,67.49,67.77,66.61,66.74,1369412
2013-01-09,66.87,67.36,66.32,67.23,1086880
2013-01-10,67.67,67.77,67.02,67.41,1053293
2013-01-11,67.27,67.39,66.98,67.07,686777
2013-01-14,66.89,67.12,66.28,66.6,1202079
2013-01-15,66.25,66.98,66.24,66.61,1282081
2013-01-16,66.53,66.97,66.23,66.89,820434
2013-01-17,67.19,68.54,67.19,68.24,1140967
2013-01-18,68.44,68.55,67.12,68.03,1864747
2013-01-22,68.08,68.4,67.66,68.24,1032091
2013-01-23,68.05,68.46,67.74,68.16,1096136
2013-01-24,68.2,68.24,65.4,67.06,2623063
2013-01-25,67.28,67.55,66.53,66.78,1813083
2013-01-28,66.98,67.71,66.86,67.54,1620675
2013-01-29,67.6,69.71,67.55,69.65,1616981
2013-01-30,69.7,69.72,68.99,69.13,1162402
2013-01-31,69.11,69.4,68.52,69.18,1714866
2013-02-01,69.62,70.53,69.11,70.34,1388036
2013-02-04,69.57,70.27,69.57,69.94,1567311
2013-02-05,70.2,70.98,70.01,70.81,1251971
2013-02-06,70.43,71.38,70.43,71.31,1250711
2013-02-07,71.54,71.77,70.57,70.9,1293533
2013-02-08,70.9,71.35,70.77,71.13,921228
2013-02-11,71.1,71.56,71.01,71.06,1079451
2013-02-12,71.16,71.7,71.04,71.46,1121815
2013-02-13,71.46,71.83,71.23,71.61,948596
2013-02-14,71.48,71.89,71.29,71.86,1049107
2013-02-15,71.91,72.82,71.87,72.56,1544769
2013-02-19,72.8,73.25,72.33,72.86,1081771
2013-02-20,72.97,73.13,72.16,72.22,1764561
2013-02-21,71.85,72.04,71.3,71.62,1557213
2013-02-22,71.93,73.45,71.9,73.12,2486134
2013-02-25,73.43,73.64,71.38,71.4,1842897
2013-02-26,71.51,72.62,71.13,72.25,1292056
2013-02-27,72.36,73.85,72.04,73.62,1047698
2013-02-28,73.57,73.99,73.17,73.35,1272292
2013-03-01,72.89,73.42,71.93,72.96,1341292
2013-03-04,72.65,72.74,71.57,72.37,1521905
2013-03-05,72.76,73.8,72.76,73.47,790677
2013-03-06,73.69,73.72,73.12,73.28,678152
2013-03-07,73.39,73.68,72.96,73.1,901279
2013-03-08,73.6,73.82,73.15,73.75,718162
2013-03-11,73.71,73.99,73.43,73.89,686511
2013-03-12,73.76,73.76,72.83,73.21,671767
2013-03-13,73.29,73.77,72.89,73.7,1132020
2013-03-14,73.9,74.62,73.71,74.52,923687
2013-03-15,74.25,74.57,73.84,74.08,1233477
2013-03-18,73.31,74.45,73.21,73.89,583469
2013-03-19,73.99,74.3,73.05,73.58,860973
2013-03-20,73.88,74.01,73.0,73.38,1403860
2013-03-21,73.74,73.86,72.14,72.35,1687925
2013-03-22,72.4,72.86,72.0,72.79,1501278
2013-03-25,73.09,73.36,71.64,72.22,1505432
2013-03-26,72.72,72.98,72.42,72.76,1024674
2013-03-27,72.36,72.39,71.64,72.34,999112
2013-03-28,72.34,72.96,72.12,72.88,1532072
2013-04-01,72.76,72.97,71.52,71.77,739010
2013-04-02,72.04,72.32,70.94,71.17,703848
2013-04-03,71.07,71.77,70.32,70.92,1351085
2013-04-04,71.15,72.11,71.09,71.92,1489691
2013-04-05,70.94,72.01,70.62,71.75,1086562
2013-04-08,72.26,73.1,72.25,72.94,1609706
2013-04-09,72.97,73.36,72.33,73.03,1016311
2013-04-10,73.12,74.41,73.05,74.41,1084718
2013-04-11,74.38,74.76,73.9,74.7,1359197
2013-04-12,74.4,74.64,73.05,73.41,864462
2013-04-15,72.92,73.07,70.44,70.47,1198474
2013-04-16,71.18,72.23,70.47,72.22,2150397
2013-04-17,71.93,72.81,69.29,69.91,2182176
2013-04-18,70.09,70.29,68.21,68.59,1625309
2013-04-19,68.58,68.97,68.04,68.15,1424069
2013-04-22,68.18,68.31,67.45,68.0,2121487
2013-04-23,68.47,69.1,68.11,69.1,1607210
2013-04-24,69.35,70.25,68.95,70.07,1107230
2013-04-25,69.95,70.66,69.82,69.94,986920
2013-04-26,69.98,69.98,68.66,69.1,604246
2013-04-29,69.45,69.91,68.72,69.7,1027783
2013-04-30,69.7,69.72,68.71,68.98,1643402
2013-05-01,68.77,68.94,67.98,68.03,1401162
2013-05-02,68.39,69.43,68.12,69.33,1129613
2013-05-03,69.83,71.78,69.83,71.16,955098
2013-05-06,71.02,72.56,70.8,71.98,1060590
2013-05-07,71.97,72.45,71.67,72.2,841212
2013-05-08,72.19,73.01,71.82,73.01,693915
2013-05-09,72.95,73.62,72.81,73.24,644048
2013-05-10,73.55,74.1,73.3,74.0,624927
2013-05-13,73.75,74.41,73.42,73.99,940703
2013-05-14,74.0,75.53,73.94,75.43,1085971
2013-05-15,75.14,76.21,75.03,76.0,634644
2013-05-16,75.6,76.18,75.45,75.77,750354
2013-05-17,75.93,77.21,75.93,77.21,744792
2013-05-20,76.92,78.0,76.81,77.82,894906
2013-05-21,78.0,78.38,77.6,77.87,967210
2013-05-22,77.88,78.34,76.02,76.41,867514
2013-05-23,78.76,80.36,78.5,79.54,3209918
2013-05-24,79.51,79.51,78.18,79.19,1812840
2013-05-28,80.21,80.45,78.95,79.19,1192166
2013-05-29,78.05,78.76,77.79,77.95,1479089
2013-05-30,78.21,78.92,77.95,78.57,899088
2013-05-31,78.19,79.91,77.96,78.25,1375527
2013-06-03,78.38,79.1,77.44,79.03,1404698
2013-06-04,78.85,79.78,78.44,79.21,1526486
2013-06-05,79.17,79.65,77.47,77.59,1263920
2013-06-06,77.65,79.04,77.0,79.04,1046448
2013-06-07,79.83,79.99,78.94,79.52,1187085
2013-06-10,79.72,79.76,78.47,78.79,920249
2013-06-11,77.93,78.94,77.66,78.25,1025812
2013-06-12,78.82,78.86,77.16,77.3,708331
2013-06-13,77.26,78.91,77.09,78.61,751205
2013-06-14,78.63,79.45,78.3,78.6,654871
2013-06-17,79.37,79.58,78.78,79.14,570454
2013-06-18,79.41,80.75,79.2,80.62,909705
2013-06-19,80.68,80.73,79.39,79.39,698048
2013-06-20,78.51,78.64,76.91,77.06,1271146
2013-06-21,77.51,77.81,76.06,77.37,1562005
2013-06-24,76.62,76.8,75.58,75.83,1132782
2013-06-25,76.66,77.18,76.4,76.7,1425567
2013-06-26,77.3,78.07,76.72,77.65,1319562
2013-06-27,78.2,78.36,77.74,78.04,982787
2013-06-28,77.9,78.54,77.61,77.66,2344951
2013-07-01,78.49,78.69,77.74,77.84,1213912
2013-07-02,77.75,78.16,76.5,76.76,1384131
2013-07-03,76.31,76.74,75.96,76.58,991440
2013-07-05,77.26,78.05,77.06,78.0,765531
2013-07-08,78.55,78.78,78.01,78.44,1173891
2013-07-09,79.15,80.33,79.07,79.53,1048868
2013-07-10,79.4,79.83,79.27,79.53,762568
2013-07-11,80.95,81.39,80.7,81.33,660655
2013-07-12,81.21,81.24,80.69,81.0,769555
2013-07-15,81.0,81.13,80.64,80.71,743193
2013-07-16,81.11,81.8,80.1,80.17,962663
2013-07-17,80.45,80.75,79.85,80.41,1057864
2013-07-18,82.61,84.04,81.36,83.63,1668520
2013-07-19,83.7,85.65,83.51,85.31,1746200
2013-07-22,85.0,85.79,84.94,85.27,1753243
2013-07-23,85.51,86.58,85.18,86.4,1303515
2013-07-24,86.63,87.05,85.06,85.22,926555
2013-07-25,84.84,85.72,84.25,85.44,821470
2013-07-26,85.02,85.19,83.92,84.67,911470
2013-07-29,84.7,85.98,84.69,85.06,1021652
2013-07-30,85.48,85.61,84.7,84.87,786447
2013-07-31,84.9,86.37,84.9,85.64,840500
2013-08-01,86.49,87.93,86.35,87.65,882138
2013-08-02,86.92,87.11,86.4,87.01,787282
2013-08-05,86.77,87.54,86.49,87.25,450513
2013-08-06,86.93,87.0,85.9,86.64,863572
2013-08-07,86.62,87.35,86.34,87.21,777432
2013-08-08,87.47,88.1,87.25,87.8,623706
2013-08-09,87.42,88.31,87.32,87.92,979860
2013-08-12,87.55,88.49,87.28,88.27,626807
2013-08-13,88.27,88.63,87.94,88.61,687794
2013-08-14,88.48,88.7,88.04,88.55,742491
2013-08-15,87.54,87.6,86.8,87.11,908271
2013-08-16,87.18,88.0,86.87,87.15,723416
2013-08-19,87.16,87.53,86.62,86.65,476473
2013-08-20,86.78,87.35,86.35,86.83,545005
2013-08-21,86.6,86.71,85.82,85.97,662718
2013-08-22,86.31,87.28,86.15,86.63,735709
2013-08-23,86.92,87.27,86.18,87.09,625452
2013-08-26,87.48,87.8,87.07,87.09,536960
2013-08-27,86.07,86.3,85.15,85.25,752114
2013-08-28,84.99,85.9,84.9,85.61,569226
2013-08-29,85.38,86.51,85.37,85.92,436640
2013-08-30,86.27,86.37,84.8,85.05,458782
2013-09-03,85.83,86.86,84.94,85.64,515562
2013-09-04,85.55,86.95,85.46,86.88,463484
2013-09-05,86.76,87.66,86.48,87.51,496957
2013-09-06,87.85,88.36,86.02,87.6,809522
2013-09-09,87.83,88.36,87.64,88.15,855738
2013-09-10,88.8,89.64,88.68,89.54,657792
2013-09-11,89.55,89.63,88.9,89.44,542219
2013-09-12,89.44,89.78,88.74,88.99,702868
2013-09-13,89.0,89.25,88.53,88.99,523167
2013-09-16,90.51,90.6,89.9,89.94,736063
2013-09-17,89.96,90.26,89.39,89.67,602094
2013-09-18,89.72,91.09,89.62,90.91,917789
2013-09-19,91.3,92.54,91.19,92.46,866662
2013-09-20,92.26,92.87,90.64,90.65,1286387
2013-09-23,90.45,91.03,89.93,90.91,542647
2013-09-24,90.81,91.58,90.73,90.89,767277
2013-09-25,90.89,91.26,90.04,90.21,997439
2013-09-26,90.49,91.13,89.73,90.01,715779
2013-09-27,89.41,89.91,89.33,89.36,734513
2013-09-30,88.46,89.9,88.3,89.83,733878
2013-10-01,89.81,91.04,89.46,90.66,987206
2013-10-02,90.2,90.37,88.98,90.21,628037
2013-10-03,89.72,90.1,88.13,88.48,691009
2013-10-04,88.41,89.1,88.17,88.97,608404
2013-10-07,88.26,89.29,88.09,88.51,767478
2013-10-08,88.54,89.27,87.45,87.5,781377
2013-10-09,87.58,87.59,86.25,86.86,759529
2013-10-10,87.91,89.15,87.57,89.14,777129
2013-10-11,88.78,90.41,88.65,90.35,763778
2013-10-14,89.7,90.81,89.34,90.78,987096
2013-10-15,90.6,90.9,89.0,89.49,1200849
2013-10-16,90.0,90.0,87.95,88.32,1594600
2013-10-17,87.1,87.58,85.1,87.4,3194805
2013-10-18,88.07,89.31,87.67,88.93,1880523
2013-10-21,89.28,90.12,89.09,89.41,927261
2013-10-22,89.76,90.67,89.52,90.41,822989
2013-10-23,90.25,90.42,89.34,90.38,791209
2013-10-24,90.68,92.02,90.46,91.75,1055949
2013-10-25,91.88,92.08,90.71,90.95,1149121
2013-10-28,90.76,91.43,90.61,91.36,815842
2013-10-29,91.55,92.13,91.1,92.07,636575
2013-10-30,92.37,92.64,91.52,91.84,714968
2013-10-31,91.77,92.38,91.06,91.79,863287
2013-11-01,91.85,92.42,90.81,91.26,1069811
2013-11-04,91.36,91.61,90.92,91.54,795228
2013-11-05,91.32,91.51,90.48,91.33,677174
2013-11-06,91.73,91.81,90.94,91.38,465861
2013-11-07,91.5,91.79,90.04,90.18,772384
2013-11-08,90.2,92.29,90.07,92.24,739495
2013-11-11,92.27,92.64,91.73,91.91,653705
2013-11-12,91.79,91.97,91.25,91.88,713997
