Date,Open,High,Low,Close,Volume
2013-01-02,45.68,45.9,44.82,45.4,1743721
2013-01-03,45.09,45.26,44.69,44.84,1810879
2013-01-04,44.98,46.58,44.98,46.46,2663699
2013-01-07,46.49,46.49,45.75,46.04,1814970
2013-01-08,45.24,45.43,44.91,45.31,1820029
2013-01-09,45.4,45.82,45.32,45.8,1826753
2013-01-10,46.0,46.0,44.95,45.24,1614835
2013-01-11,45.25,45.34,44.46,44.92,2058570
2013-01-14,44.95,45.06,44.58,44.64,1518732
2013-01-15,44.66,45.42,44.65,45.33,1479540
2013-01-16,45.27,45.41,44.81,45.36,1333207
2013-01-17,45.57,45.78,45.11,45.39,1363646
2013-01-18,45.38,45.61,45.27,45.38,1241506
2013-01-22,45.07,46.08,44.73,45.87,1809005
2013-01-23,45.78,46.09,45.5,45.5,1049495
2013-01-24,45.61,46.14,45.54,45.81,2144922
2013-01-25,46.03,46.06,45.46,45.87,1755060
2013-01-28,45.86,46.12,45.74,45.9,1520982
2013-01-29,45.9,46.12,45.64,45.99,1024461
2013-01-30,45.9,46.86,45.8,46.59,2156490
2013-01-31,46.5,46.61,46.11,46.5,1801117
2013-02-01,46.55,47.18,46.3,46.84,2598102
2013-02-04,46.75,47.4,46.51,46.93,3391437
2013-02-05,47.04,47.31,46.78,46.84,2194745
2013-02-06,46.79,47.35,46.6,47.32,2106713
2013-02-07,47.36,47.82,47.08,47.31,2137643
2013-02-08,47.41,47.41,46.98,47.36,1417982
2013-02-11,47.31,47.5,46.97,47.08,1365607
2013-02-12,47.0,47.03,46.47,46.81,1330572
2013-02-13,46.33,46.4,45.55,45.86,2659106
2013-02-14,45.78,45.91,45.37,45.52,1562751
2013-02-15,45.5,45.98,45.06,45.15,1964151
2013-02-19,45.3,45.85,45.05,45.25,2147274
2013-02-20,45.32,45.73,44.8,44.85,2196323
2013-02-21,44.83,45.3,44.11,44.74,3913555
2013-02-22,45.13,46.65,45.06,46.23,7661613
2013-02-25,46.21,46.55,45.23,45.25,3424348
2013-02-26,44.89,46.0,44.81,45.79,2761882
2013-02-27,46.21,47.12,46.08,46.83,2252524
2013-02-28,46.83,46.84,46.17,46.27,2118331
2013-03-01,45.94,46.21,45.43,46.18,3374496
2013-03-04,46.18,46.65,46.16,46.27,1845382
2013-03-05,46.5,46.76,46.34,46.62,1153914
2013-03-06,46.65,47.46,46.65,47.26,2039628
2013-03-07,47.26,47.54,46.86,47.48,1713083
2013-03-08,47.69,47.7,46.93,47.33,1368728
2013-03-11,47.18,47.67,47.06,47.59,1247725
2013-03-12,47.63,47.97,47.55,47.93,1454059
2013-03-13,47.91,49.17,47.91,49.01,2592604
2013-03-14,49.02,49.13,48.64,48.88,1117736
2013-03-15,48.64,49.53,48.63,49.37,2078690
2013-03-18,48.95,49.12,48.54,48.88,1206364
2013-03-19,48.9,49.0,48.43,48.66,961830
2013-03-20,48.77,49.17,48.45,48.74,1393704
2013-03-21,48.56,49.04,48.32,48.96,2046403
2013-03-22,48.8,49.87,48.66,49.62,2352300
2013-03-25,50.21,50.91,49.9,50.38,2638568
2013-03-26,50.46,50.69,50.01,50.69,1655330
2013-03-27,50.5,50.72,50.12,50.66,870835
2013-03-28,50.59,51.86,50.55,51.68,2047675
2013-04-01,51.74,51.74,50.84,50.9,1682836
2013-04-02,51.17,51.5,51.11,51.33,1670613
2013-04-03,51.52,52.0,50.5,50.61,1694876
2013-04-04,50.82,51.36,50.8,51.08,3553922
2013-04-05,50.57,50.7,49.93,50.54,3344556
2013-04-08,49.74,50.25,49.5,49.9,1408588
2013-04-09,49.93,50.21,48.66,49.1,3729258
2013-04-10,49.34,50.36,49.24,50.17,2014938
2013-04-11,50.09,50.55,49.63,49.83,2192406
2013-04-12,49.73,50.39,49.69,50.26,1465238
2013-04-15,50.12,50.47,48.68,48.81,1592132
2013-04-16,49.22,49.57,48.76,49.44,1624653
2013-04-17,49.1,49.24,48.37,48.77,1111200
2013-04-18,48.86,49.03,48.25,48.83,1300469
2013-04-19,49.08,49.17,48.68,48.89,830626
2013-04-22,49.0,49.18,48.48,49.06,1079686
2013-04-23,49.23,50.21,49.07,49.88,2050138
2013-04-24,50.05,50.7,49.95,50.35,2098614
