Date,Open,High,Low,Close,Volume
2013-01-02,54.98,55.23,54.37,54.74,910543
2013-01-03,54.74,54.95,54.07,54.5,1064683
2013-01-04,54.5,55.71,54.4,55.56,1283980
2013-01-07,55.2,55.41,55.03,55.38,542247
2013-01-08,55.18,55.49,54.93,55.44,733474
2013-01-09,55.58,56.0,55.37,55.99,530361
2013-01-10,56.14,56.45,55.86,56.11,1324672
2013-01-11,56.3,56.4,55.96,56.18,888295
2013-01-14,56.18,56.7,56.01,56.58,364557
2013-01-15,56.5,57.11,56.22,57.06,434116
2013-01-16,56.79,56.97,56.51,56.64,454342
2013-01-17,56.85,57.24,56.69,56.94,386770
2013-01-18,57.07,58.69,56.82,58.45,996440
2013-01-22,58.28,58.47,57.84,58.25,1121677
2013-01-23,58.13,58.42,57.84,58.15,560956
2013-01-24,57.98,59.3,57.98,59.05,659505
2013-01-25,59.19,59.19,58.63,58.87,485454
2013-01-28,58.88,58.94,58.53,58.74,330692
2013-01-29,58.62,58.99,58.19,58.96,376269
2013-01-30,58.86,58.97,58.52,58.78,416601
2013-01-31,58.77,59.07,58.41,58.7,388831
2013-02-01,59.24,59.6,58.95,59.28,822304
2013-02-04,59.0,59.43,58.8,58.94,579251
2013-02-05,59.32,59.68,59.2,59.52,546158
2013-02-06,59.27,59.83,58.99,59.72,606611
2013-02-07,59.53,59.74,55.4,55.83,3534584
2013-02-08,55.84,56.46,54.78,55.56,2228853
2013-02-11,55.32,55.55,54.68,54.98,1318592
2013-02-12,55.08,55.15,54.15,54.32,1205178
2013-02-13,54.37,54.49,53.73,54.01,1381949
2013-02-14,53.93,54.52,53.64,54.25,716891
2013-02-15,54.39,55.3,54.19,55.17,1035030
2013-02-19,55.16,56.26,53.47,55.8,1215607
2013-02-20,55.74,56.15,54.04,54.05,1580616
2013-02-21,54.01,54.31,53.65,53.98,1451823
2013-02-22,54.17,54.63,53.94,54.15,762232
2013-02-25,54.37,54.71,53.13,53.13,1110506
2013-02-26,53.28,53.58,52.79,53.33,907293
2013-02-27,53.53,54.42,53.33,54.41,1120597
2013-02-28,54.4,55.13,54.19,55.12,1303900
2013-03-01,54.79,56.13,54.77,55.86,1431187
2013-03-04,55.96,56.46,55.68,56.28,1173617
2013-03-05,56.35,57.02,56.28,56.67,977908
2013-03-06,56.95,57.16,56.76,56.82,727948
2013-03-07,56.84,56.86,56.34,56.5,679174
2013-03-08,56.76,56.89,55.95,56.82,897878
2013-03-11,56.83,56.98,56.47,56.72,882968
2013-03-12,56.73,56.85,56.12,56.54,1132359
2013-03-13,56.43,56.71,55.39,56.5,984492
2013-03-14,56.72,56.84,56.38,56.49,913967
2013-03-15,56.28,56.63,56.1,56.43,1381977
2013-03-18,56.01,56.45,55.62,56.17,977306
2013-03-19,56.36,56.78,55.88,56.23,807783
2013-03-20,56.36,57.23,56.07,56.86,716382
2013-03-21,56.56,56.83,56.42,56.61,456703
2013-03-22,56.8,56.8,56.22,56.41,470820
2013-03-25,56.49,56.6,56.05,56.24,879139
2013-03-26,56.48,56.53,56.28,56.46,527913
2013-03-27,56.18,56.7,55.83,56.63,516529
2013-03-28,56.59,57.68,56.44,57.59,792142
2013-04-01,57.46,57.63,56.34,56.74,416603
2013-04-02,56.99,57.41,56.59,57.36,738241
2013-04-03,57.27,57.39,56.18,56.21,749410
2013-04-04,56.35,56.71,56.0,56.69,597865
2013-04-05,56.04,56.31,55.87,56.28,586170
2013-04-08,56.31,57.02,56.22,56.97,668800
2013-04-09,57.14,58.17,57.13,57.96,557080
2013-04-10,58.08,59.08,57.73,58.84,779159
2013-04-11,58.81,59.37,58.59,59.12,808766
2013-04-12,58.95,59.2,58.7,58.95,709285
2013-04-15,58.69,58.85,57.81,57.84,873375
2013-04-16,58.33,58.64,57.97,58.48,763027
2013-04-17,58.26,58.72,57.88,58.59,852089
2013-04-18,58.69,58.9,58.24,58.76,762275
2013-04-19,58.89,58.98,57.71,58.62,1242344
2013-04-22,58.7,59.61,58.14,59.26,1136633
2013-04-23,59.38,60.11,58.14,59.94,1117754
2013-04-24,60.25,60.32,59.85,59.92,1379406
2013-04-25,60.34,62.0,60.34,61.63,949930
2013-04-26,61.84,61.84,61.24,61.33,551849
2013-04-29,61.35,61.4,60.66,60.92,806994
2013-04-30,60.94,61.34,60.76,61.2,1274554
2013-05-01,60.99,61.71,60.99,61.34,973296
2013-05-02,61.37,61.72,61.02,61.43,911323
2013-05-03,61.91,62.81,61.75,62.14,978931
2013-05-06,62.05,62.58,62.01,62.58,576955
2013-05-07,62.64,63.24,62.61,62.99,498923
2013-05-08,62.91,63.12,62.68,62.82,598922
2013-05-09,62.92,63.52,62.78,63.38,651436
2013-05-10,63.28,63.91,63.25,63.81,708292
2013-05-13,63.62,63.87,63.3,63.5,465914
2013-05-14,63.5,63.73,63.4,63.68,830640
2013-05-15,63.52,63.76,63.52,63.7,1119815
2013-05-16,63.57,63.73,63.08,63.15,566005
2013-05-17,63.08,63.16,62.34,62.88,982362
2013-05-20,62.45,62.45,61.22,62.28,728995
2013-05-21,62.44,62.96,62.34,62.67,644797
