Date,Open,High,Low,Close,Volume
2013-01-02,40.27,41.25,40.16,40.9,2293075
2013-01-03,40.89,41.08,40.77,41.03,2124854
2013-01-04,41.12,41.92,40.97,41.82,1592207
2013-01-07,41.53,41.69,41.22,41.37,1381654
2013-01-08,41.23,41.27,40.85,41.08,1473543
2013-01-09,41.29,42.35,41.12,42.16,2393708
2013-01-10,42.45,42.59,42.3,42.54,1920521
2013-01-11,42.4,42.92,42.4,42.7,2067874
2013-01-14,42.65,42.8,42.43,42.7,1139080
2013-01-15,42.46,42.84,42.43,42.74,1053385
2013-01-16,42.64,42.91,42.64,42.72,1258701
2013-01-17,42.78,43.04,42.69,43.03,1340404
2013-01-18,43.47,43.47,42.74,42.87,3014655
2013-01-22,42.82,43.11,42.69,43.08,1300320
2013-01-23,43.13,43.32,42.81,42.98,1293980
2013-01-24,43.11,43.74,42.96,43.19,1977681
2013-01-25,43.44,43.56,43.08,43.54,1503943
2013-01-28,43.69,43.8,43.19,43.38,1647768
2013-01-29,43.29,43.58,42.94,43.52,1489453
2013-01-30,43.51,43.54,42.97,43.12,1821949
2013-01-31,43.01,43.19,42.42,42.9,3358041
2013-02-01,43.3,43.32,42.95,43.03,1890978
2013-02-04,42.8,43.17,42.7,42.78,2066552
2013-02-05,43.0,43.61,42.73,43.43,1395571
2013-02-06,42.87,43.49,42.65,43.19,2003679
2013-02-07,43.25,43.25,42.62,43.08,1737588
2013-02-08,43.19,43.53,42.96,43.34,1448181
2013-02-11,43.29,43.46,42.8,43.0,913213
2013-02-12,42.95,43.19,42.72,42.75,1519621
2013-02-13,42.92,43.11,42.44,42.67,1361478
2013-02-14,42.56,42.78,42.23,42.4,1920533
2013-02-15,42.4,42.85,42.21,42.26,1628775
2013-02-19,42.39,42.74,42.14,42.6,1857939
2013-02-20,42.6,42.67,41.72,41.81,1535342
2013-02-21,41.67,41.67,40.66,40.75,2490052
2013-02-22,40.86,41.33,40.6,40.81,2289683
2013-02-25,41.08,41.56,39.92,39.99,2763573
2013-02-26,39.16,39.96,36.08,37.06,9355795
2013-02-27,37.19,38.52,37.15,38.22,4708356
2013-02-28,38.17,39.1,38.15,38.85,4339501
2013-03-01,38.51,38.91,38.19,38.82,2858873
2013-03-04,38.65,38.95,38.26,38.94,2431455
2013-03-05,39.02,39.76,38.99,39.55,1846145
2013-03-06,39.73,39.78,38.98,39.09,1807549
2013-03-07,39.06,39.25,38.74,38.78,1818727
2013-03-08,39.25,39.29,38.63,38.69,1621386
2013-03-11,38.76,38.87,38.56,38.64,1236833
2013-03-12,38.61,38.94,38.09,38.24,1746617
2013-03-13,38.48,38.54,38.13,38.29,2099797
2013-03-14,38.44,38.53,38.18,38.37,1773950
2013-03-15,38.27,38.5,38.2,38.44,2182861
2013-03-18,38.12,38.7,37.85,38.18,1756619
2013-03-19,38.18,38.34,37.02,37.43,2790565
2013-03-20,37.55,37.66,36.51,37.19,3526648
2013-03-21,37.05,37.14,36.46,36.59,2395476
2013-03-22,36.78,36.96,36.32,36.54,2491004
2013-03-25,36.69,36.78,35.45,35.67,3626744
2013-03-26,35.6,35.97,35.45,35.8,3118969
2013-03-27,35.63,35.85,35.33,35.73,2262915
2013-03-28,35.58,35.75,35.4,35.73,2269712
2013-04-01,35.79,36.12,35.24,35.37,1871926
2013-04-02,35.42,35.88,35.19,35.3,2162352
2013-04-03,35.21,35.87,35.21,35.62,2807576
2013-04-04,35.71,36.28,35.55,36.08,2610388
2013-04-05,35.58,36.28,35.16,36.21,2191803
2013-04-08,36.16,36.5,35.66,36.48,1880900
2013-04-09,36.57,37.04,36.46,37.01,1979872
2013-04-10,36.66,37.11,36.34,37.05,2730822
2013-04-11,37.17,37.25,36.9,37.03,1552565
2013-04-12,36.97,37.01,36.32,36.7,1771431
2013-04-15,36.62,36.8,35.72,35.86,1927920
2013-04-16,36.06,36.29,35.66,36.07,1876871
2013-04-17,35.71,35.83,35.0,35.22,2279900
2013-04-18,34.89,35.48,34.88,35.13,3031131
2013-04-19,35.07,35.67,34.95,35.34,1980488
2013-04-22,35.51,35.61,34.83,35.53,1457148
2013-04-23,35.72,35.78,35.26,35.42,1230771
2013-04-24,35.55,36.0,35.4,35.54,1842045
2013-04-25,35.66,35.71,35.38,35.44,2297009
2013-04-26,35.59,35.6,35.17,35.42,1358818
2013-04-29,35.44,35.79,35.31,35.66,725021
2013-04-30,35.56,35.94,35.44,35.93,1663596
2013-05-01,36.02,36.16,35.03,35.32,1716562
2013-05-02,37.0,38.45,36.94,37.03,5317139
2013-05-03,36.99,37.76,36.9,37.11,2763541
2013-05-06,37.24,38.17,37.01,37.9,2121609
2013-05-07,37.83,38.88,37.75,38.73,2269761
2013-05-08,38.45,39.1,38.27,39.08,1720808
2013-05-09,39.0,39.08,38.4,38.45,1728737
2013-05-10,38.5,38.88,38.28,38.43,1262127
2013-05-13,38.27,38.46,38.13,38.32,1538061
2013-05-14,38.41,38.83,38.29,38.71,1443923
2013-05-15,38.71,38.78,38.46,38.63,1246211
2013-05-16,38.48,38.81,38.08,38.2,1240126
2013-05-17,38.36,38.53,38.11,38.53,1649330
2013-05-20,38.48,38.68,38.29,38.57,1837363
2013-05-21,38.5,38.89,38.46,38.71,1757581
2013-05-22,38.67,39.2,38.07,38.3,1821249
2013-05-23,38.25,40.19,38.0,40.14,3507925
2013-05-24,39.84,39.96,39.02,39.33,1836967
2013-05-28,40.16,40.71,39.24,39.59,1756188
2013-05-29,39.25,39.64,39.1,39.36,1114446
2013-05-30,39.18,39.35,38.86,39.03,1130254
2013-05-31,38.86,39.38,38.84,39.03,1608908
2013-06-03,39.02,39.21,38.48,39.0,1822529
2013-06-04,38.97,39.18,38.3,38.49,1389924
2013-06-05,38.62,38.62,37.66,37.78,1253806
2013-06-06,37.89,38.5,37.8,38.29,1411694
2013-06-07,38.42,38.89,38.26,38.62,1406042
2013-06-10,38.63,38.77,38.36,38.48,1310828
2013-06-11,38.19,38.36,37.75,37.84,912021
2013-06-12,38.15,38.26,37.48,37.61,1072328
2013-06-13,37.67,38.66,37.47,38.57,889711
2013-06-14,38.61,38.95,38.16,38.28,630380
2013-06-17,38.65,39.26,38.32,38.65,1890621
2013-06-18,38.75,39.21,38.59,38.99,1000789
2013-06-19,39.07,39.37,38.46,38.48,790408
2013-06-20,38.06,38.06,37.28,37.29,1591288
2013-06-21,37.37,37.59,36.96,37.05,2145877
2013-06-24,36.93,37.3,36.44,36.71,1322105
2013-06-25,37.43,37.53,36.93,37.18,1703012
2013-06-26,37.5,37.72,37.28,37.32,1000072
2013-06-27,37.6,37.88,37.41,37.82,1222380
2013-06-28,37.62,38.26,37.62,38.04,2155683
2013-07-01,38.58,39.19,38.42,38.66,1867463
2013-07-02,38.57,38.78,38.05,38.18,1028065
2013-07-03,38.0,38.18,37.79,37.98,417966
2013-07-05,38.13,38.52,37.9,38.52,619099
2013-07-08,38.62,38.81,38.44,38.65,849639
2013-07-09,38.75,39.97,38.67,39.66,1953688
2013-07-10,39.47,39.75,39.4,39.6,1300019
2013-07-11,39.98,40.39,39.98,40.3,1222473
2013-07-12,39.88,40.14,39.68,40.0,1772739
2013-07-15,39.98,40.73,39.88,40.67,943365
2013-07-16,40.8,40.99,40.47,40.62,1159196
2013-07-17,40.75,40.84,40.32,40.47,887765
2013-07-18,40.47,41.35,40.42,41.31,1169461
2013-07-19,41.31,41.58,41.0,41.2,1201888
2013-07-22,41.56,41.6,41.2,41.27,928429
2013-07-23,41.24,41.39,40.37,40.39,1327163
2013-07-24,40.47,40.74,39.99,40.06,898708
2013-07-25,40.05,40.33,39.66,40.02,970707
2013-07-26,39.78,40.8,39.66,40.8,1322320
2013-07-29,40.54,40.77,40.11,40.16,959351
2013-07-30,40.25,40.44,40.05,40.27,966144
2013-07-31,40.43,40.79,40.2,40.32,850517
2013-08-01,40.57,41.8,40.56,41.68,1474602
2013-08-02,41.51,41.58,40.99,41.19,1076131
2013-08-05,41.1,41.16,39.98,40.34,1839666
2013-08-06,41.92,42.95,40.91,41.21,3283481
2013-08-07,40.6,41.27,40.14,41.21,2783271
2013-08-08,41.35,41.55,40.98,41.11,1589399
2013-08-09,41.1,41.1,40.6,40.79,1026892
2013-08-12,40.59,41.0,40.5,40.8,699834
2013-08-13,40.78,40.97,40.47,40.71,757150
2013-08-14,40.73,40.75,40.25,40.51,724837
2013-08-15,40.11,40.34,39.68,39.84,901160
2013-08-16,39.75,40.22,39.73,40.03,1047769
2013-08-19,40.0,40.33,39.91,39.92,1068834
2013-08-20,40.12,40.75,39.82,40.55,987288
2013-08-21,40.32,40.8,39.92,40.51,1067681
2013-08-22,40.6,41.35,40.5,41.26,713935
2013-08-23,41.25,41.43,40.97,41.25,1406645
2013-08-26,41.23,42.0,41.06,41.62,1431938
2013-08-27,41.05,41.22,40.42,40.67,1679146
2013-08-28,40.79,40.86,40.52,40.65,718114
2013-08-29,40.5,40.95,40.38,40.45,778328
2013-08-30,40.43,40.65,40.23,40.56,1165318
2013-09-03,40.91,41.56,40.91,41.46,2169157
2013-09-04,40.5,42.09,40.5,41.98,1716444
2013-09-05,42.02,42.3,41.58,42.14,1932828
2013-09-06,42.32,43.04,41.75,42.9,2739564
2013-09-09,42.93,43.69,42.91,43.62,2034773
2013-09-10,43.81,44.5,43.65,44.29,1992801
2013-09-11,44.1,44.75,44.1,44.74,1604866
2013-09-12,44.55,44.69,44.22,44.34,1587120
2013-09-13,44.44,44.47,44.17,44.28,1499441
2013-09-16,44.74,45.0,44.51,44.64,1472322
2013-09-17,44.68,44.78,43.68,43.89,1907223
2013-09-18,44.06,45.39,44.04,45.23,2534445
2013-09-19,45.22,45.48,44.88,44.93,1840901
2013-09-20,45.01,45.4,44.8,44.81,2909286
2013-09-23,44.76,44.86,44.34,44.57,1216343
2013-09-24,44.65,45.0,44.58,44.7,994139
2013-09-25,44.64,44.89,44.06,44.18,1145631
2013-09-26,44.41,44.67,44.13,44.32,757369
2013-09-27,44.12,44.39,43.95,44.14,646860
2013-09-30,43.76,44.16,43.45,44.06,868911
2013-10-01,43.9,44.61,43.9,44.51,765650
2013-10-02,44.02,44.25,43.7,44.06,697741
2013-10-03,43.77,43.85,42.76,43.02,1279666
2013-10-04,43.07,43.11,42.51,43.03,1391706
2013-10-07,42.68,43.12,42.38,42.9,925449
2013-10-08,42.81,43.0,42.0,42.06,1278980
2013-10-09,42.06,42.48,41.84,42.41,1359235
2013-10-10,41.98,43.2,41.79,43.12,932780
2013-10-11,42.75,43.45,42.75,43.45,547418
2013-10-14,43.07,43.68,43.02,43.58,660097
2013-10-15,43.42,43.56,43.11,43.16,1394138
2013-10-16,43.33,43.72,43.06,43.41,1083308
2013-10-17,43.07,43.3,42.92,43.14,1000618
2013-10-18,43.22,43.92,43.13,43.91,974542
2013-10-21,43.84,44.45,43.76,44.35,841236
2013-10-22,44.53,44.83,44.14,44.54,1071676
2013-10-23,44.25,44.65,43.95,44.14,936769
2013-10-24,44.65,46.67,44.54,46.3,2930107
2013-10-25,46.3,46.49,45.58,45.88,1081297
2013-10-28,46.01,46.9,45.89,46.63,1625800
2013-10-29,46.64,46.87,46.29,46.64,715108
2013-10-30,46.51,46.9,46.13,46.34,888828
2013-10-31,46.46,46.48,45.01,45.29,1760548
2013-11-01,45.51,45.79,45.18,45.4,1277929
2013-11-04,45.45,46.31,45.45,46.29,1161750
2013-11-05,44.5,45.0,42.56,43.41,3390629
2013-11-06,42.84,43.04,42.34,42.61,2260713
2013-11-07,42.95,42.97,42.07,42.17,1857839
2013-11-08,42.15,42.59,42.08,42.42,1412739
2013-11-11,42.28,42.67,42.14,42.52,861331
2013-11-12,42.5,42.82,42.21,42.61,939358
2013-11-13,42.47,43.1,42.29,43.1,935583
2013-11-14,43.05,43.43,42.85,43.23,837004
2013-11-15,43.32,43.4,42.86,43.33,795463
2013-11-18,43.39,43.53,43.16,43.31,665290
2013-11-19,43.17,43.5,43.04,43.35,1694320
2013-11-20,43.37,43.56,43.18,43.43,1129922
2013-11-21,43.51,43.86,43.46,43.79,794320
2013-11-22,43.88,43.88,43.44,43.62,957335
2013-11-25,43.8,43.9,43.45,43.77,869212
2013-11-26,43.77,43.88,43.36,43.45,988556
2013-11-27,43.32,43.61,43.17,43.52,701339
2013-11-29,43.31,43.86,43.3,43.44,490335
2013-12-02,43.91,43.91,43.31,43.43,993322
2013-12-03,43.26,43.4,42.97,43.27,803262
2013-12-04,42.97,43.57,42.88,43.31,1003923
2013-12-05,43.21,43.52,43.05,43.18,1282725
2013-12-06,43.82,43.82,43.37,43.44,929783
2013-12-09,43.52,43.69,43.37,43.41,855496
2013-12-10,43.29,43.48,42.64,42.81,1198638
2013-12-11,42.74,42.85,42.32,42.5,1902641
2013-12-12,42.49,42.82,42.41,42.63,930431
2013-12-13,42.8,43.12,42.59,43.02,919482
2013-12-16,43.16,43.4,42.78,42.8,793730
2013-12-17,42.69,42.96,42.29,42.7,1175434
2013-12-18,42.65,43.11,42.28,43.1,873280
2013-12-19,43.03,43.2,42.81,42.96,898886
2013-12-20,43.07,43.58,42.86,43.55,1660168
2013-12-23,43.02,43.87,43.02,43.58,915894
2013-12-24,43.72,43.85,43.35,43.47,303311
2013-12-26,43.55,43.71,43.42,43.63,478626
2013-12-27,43.7,44.2,43.57,44.16,817261
2013-12-30,44.16,44.26,44.03,44.15,427277
2013-12-31,44.37,44.48,44.03,44.25,561887
2014-01-02,44.31,44.48,43.34,43.49,782942
2014-01-03,43.39,43.65,43.12,43.25,753169
2014-01-06,43.47,43.64,42.81,42.82,1004509
2014-01-07,43.0,43.57,42.96,43.28,1065596
2014-01-08,43.24,43.29,42.82,42.99,882405
2014-01-09,43.21,43.21,42.41,43.01,981345
2014-01-10,43.13,43.82,42.86,43.61,1093014
2014-01-13,44.19,45.69,43.98,44.22,2833536
2014-01-14,43.4,43.98,43.03,43.79,1919209
2014-01-15,43.8,44.16,43.45,43.94,1272455
2014-01-16,43.93,44.03,43.53,44.0,889628
2014-01-17,43.79,44.05,43.64,43.77,1403412
2014-01-21,44.07,44.27,43.56,44.0,843610
2014-01-22,44.0,44.25,43.81,44.15,537642
2014-01-23,43.82,44.09,43.34,43.59,544651
2014-01-24,43.31,43.31,42.0,42.0,1201881
2014-01-27,42.1,42.2,41.09,41.49,1576044
2014-01-28,41.5,41.96,41.38,41.52,760001
2014-01-29,41.32,41.68,40.97,41.0,991605
2014-01-30,41.24,41.65,41.0,41.22,1022915
2014-01-31,40.56,41.36,40.54,40.86,1356075
2014-02-03,40.84,41.26,40.27,40.29,1881011
2014-02-04,40.55,40.83,39.88,40.54,1944077
2014-02-05,40.15,40.49,39.91,40.4,1638413
2014-02-06,40.4,40.48,40.02,40.12,1467480
2014-02-07,40.39,40.69,40.2,40.66,1337256
2014-02-10,40.57,40.94,40.4,40.92,1061643
2014-02-11,40.91,41.9,40.8,41.6,1480343
2014-02-12,41.73,41.96,41.41,41.61,921989
2014-02-13,41.38,41.9,41.33,41.77,816324
2014-02-14,41.57,42.0,41.47,41.86,760456
2014-02-18,41.88,42.11,41.68,41.87,824888
2014-02-19,41.69,41.83,41.06,41.15,1161366
2014-02-20,41.37,41.88,41.02,41.7,922192
2014-02-21,41.71,41.94,41.43,41.58,994299
2014-02-24,42.5,42.77,42.0,42.01,2156504
2014-02-25,41.91,41.91,38.7,39.06,4913044
2014-02-26,38.82,39.38,38.72,39.02,4614593
2014-02-27,38.97,39.4,38.82,39.18,2542063
2014-02-28,39.29,39.7,39.02,39.51,2185037
2014-03-03,39.29,39.71,39.1,39.43,1812165
2014-03-04,39.59,40.28,39.43,39.5,2568056
2014-03-05,39.49,39.61,39.31,39.59,1293292
2014-03-06,39.6,39.94,39.35,39.54,2113331
2014-03-07,39.72,39.96,39.45,39.82,2218477
2014-03-10,39.36,39.76,38.99,39.7,2154303
2014-03-11,39.66,40.0,39.45,39.68,1732823
2014-03-12,39.52,40.27,39.32,40.26,1604179
2014-03-13,40.19,40.36,39.73,39.78,1770017
2014-03-14,39.57,39.82,38.84,38.98,2632434
2014-03-17,39.27,39.56,38.74,38.89,1720102
2014-03-18,38.94,39.07,38.78,38.8,1104904
2014-03-19,38.96,38.97,38.42,38.74,2103049
2014-03-20,38.71,38.79,38.43,38.78,1955719
2014-03-21,39.09,39.09,38.51,38.95,5644054
2014-03-24,38.96,39.22,38.55,39.1,2257344
2014-03-25,39.2,39.55,39.03,39.23,998582
2014-03-26,39.29,39.6,38.66,38.68,978940
2014-03-27,38.62,38.83,38.48,38.64,1052912
2014-03-28,38.66,39.43,38.62,39.21,802599
2014-03-31,39.38,39.82,39.22,39.63,1498659
2014-04-01,39.67,39.77,39.25,39.73,1302081
2014-04-02,39.67,39.99,39.32,39.92,1324367
2014-04-03,40.0,40.39,39.93,40.25,1071627
