Date,Open,High,Low,Close,Volume
2013-01-02,47.71,48.2,47.26,47.83,2498239
2013-01-03,47.98,48.71,47.75,47.98,1531568
2013-01-04,48.21,48.21,47.68,48.04,1706727
2013-01-07,47.73,47.86,47.54,47.82,1242837
2013-01-08,47.84,47.86,47.13,47.56,1342571
2013-01-09,47.59,47.89,47.45,47.55,1853673
2013-01-10,46.99,47.0,46.3,46.5,2604842
2013-01-11,46.69,46.9,46.32,46.5,1938122
2013-01-14,46.66,46.9,46.34,46.47,1266896
2013-01-15,46.19,47.32,46.19,47.04,2172198
2013-01-16,46.96,47.23,46.63,47.0,1858073
2013-01-17,48.25,48.77,45.71,46.91,5193117
2013-01-18,46.65,48.62,46.48,48.6,3893572
2013-01-22,48.34,48.43,47.62,47.86,2427225
2013-01-23,47.8,47.97,47.31,47.62,1960366
2013-01-24,47.75,49.02,47.56,48.56,1432046
2013-01-25,48.59,49.0,48.31,48.96,1529782
2013-01-28,49.07,49.21,48.73,49.11,1285794
2013-01-29,48.92,49.59,48.77,49.51,1460896
2013-01-30,49.58,49.74,49.05,49.41,1794128
2013-01-31,49.37,50.0,48.8,49.68,3363133
2013-02-01,49.9,50.75,49.74,50.66,1778787
2013-02-04,50.54,50.6,49.51,49.63,1599588
2013-02-05,49.89,50.41,49.39,50.13,2445734
2013-02-06,49.76,50.24,49.72,50.0,1328471
2013-02-07,50.01,50.23,49.55,49.82,1146667
2013-02-08,50.05,50.9,49.88,50.69,1417902
2013-02-11,50.7,51.0,50.49,50.74,1002757
2013-02-12,50.77,51.41,50.75,51.0,1420902
2013-02-13,51.35,52.08,51.21,52.0,1324606
2013-02-14,52.02,52.71,51.83,52.49,1733495
2013-02-15,52.56,53.35,52.55,52.76,2413439
2013-02-19,52.93,53.25,52.59,53.18,1477751
2013-02-20,53.2,53.38,52.16,52.19,1488765
2013-02-21,52.05,52.15,50.83,50.89,1910722
2013-02-22,51.23,51.69,51.1,51.47,1205009
2013-02-25,51.89,52.09,50.88,50.9,1333256
2013-02-26,50.91,51.54,50.64,50.88,1096340
2013-02-27,50.95,52.63,50.73,52.29,1064727
2013-02-28,52.27,52.27,51.37,51.63,1346795
2013-03-01,51.57,52.14,50.84,51.74,1725246
2013-03-04,51.53,51.82,50.88,51.8,1465778
2013-03-05,51.96,52.35,51.46,51.57,1968612
2013-03-06,51.56,51.96,51.29,51.34,1784247
2013-03-07,51.43,51.5,51.07,51.1,1185238
2013-03-08,51.36,51.67,50.98,51.54,1195025
2013-03-11,51.39,51.69,51.15,51.32,899158
2013-03-12,51.2,51.42,49.73,50.86,1149512
2013-03-13,50.86,51.25,50.58,51.02,841533
2013-03-14,51.18,51.18,50.71,50.95,860914
2013-03-15,50.68,51.22,50.68,50.8,1951114
2013-03-18,50.5,50.92,50.16,50.48,926102
2013-03-19,50.68,51.17,49.94,50.71,963177
2013-03-20,51.05,51.54,50.93,51.47,934330
2013-03-21,51.05,51.42,50.42,50.5,1129482
2013-03-22,50.51,51.57,50.51,51.51,1053959
2013-03-25,51.57,51.7,50.28,50.37,1195680
2013-03-26,50.49,50.62,50.06,50.48,883435
2013-03-27,50.22,50.7,49.8,50.54,919788
2013-03-28,50.61,51.41,50.46,51.33,1445180
2013-04-01,51.54,51.54,49.54,49.78,1553939
2013-04-02,49.95,50.16,49.55,49.76,998176
2013-04-03,49.72,49.84,48.46,48.52,1724892
2013-04-04,48.68,49.42,48.46,49.35,927144
2013-04-05,48.59,49.25,48.33,49.19,909250
2013-04-08,49.4,50.29,49.13,50.29,1450842
2013-04-09,50.11,51.07,49.76,50.88,2003132
2013-04-10,48.92,50.32,48.1,49.12,4891733
2013-04-11,49.23,49.81,48.78,48.8,2414530
2013-04-12,48.91,49.61,48.22,49.49,3108006
2013-04-15,49.35,49.38,47.93,48.07,2130700
2013-04-16,48.54,49.51,48.5,49.25,2236066
2013-04-17,49.01,49.01,47.68,47.92,1907847
2013-04-18,47.89,48.25,47.08,47.26,2056382
2013-04-19,47.05,48.44,47.01,48.14,1667085
2013-04-22,48.29,48.74,47.7,48.61,1010587
2013-04-23,48.75,49.25,48.45,49.15,1137425
2013-04-24,49.43,49.93,49.16,49.49,962753
2013-04-25,49.6,49.88,49.23,49.34,1393535
2013-04-26,49.46,49.78,49.12,49.47,1204616
2013-04-29,49.46,50.21,49.09,49.92,1122379
2013-04-30,49.62,50.0,48.42,49.05,2315466
2013-05-01,48.94,49.17,47.72,47.91,1913036
2013-05-02,47.95,48.24,47.72,47.95,1865476
2013-05-03,48.49,48.5,47.8,47.86,1906887
2013-05-06,47.96,48.2,47.74,47.86,1195768
2013-05-07,48.09,48.98,48.04,48.64,1400755
2013-05-08,48.5,48.82,48.04,48.44,1336238
2013-05-09,48.21,49.02,48.16,48.72,1175211
2013-05-10,48.87,50.94,48.71,50.78,2303705
2013-05-13,50.55,51.66,50.55,50.94,2030599
2013-05-14,50.98,52.12,50.83,51.87,1949548
2013-05-15,51.67,52.09,51.54,52.0,1464785
2013-05-16,51.69,51.93,50.7,50.85,1289859
2013-05-17,51.02,51.33,50.61,51.11,1841122
