Date,Open,High,Low,Close,Volume
2013-01-02,15.46,15.77,15.43,15.77,13866227
2013-01-03,15.76,15.77,15.52,15.63,11670588
2013-01-04,15.51,15.7,15.48,15.69,14800035
2013-01-07,15.62,15.66,15.44,15.58,10650964
2013-01-08,15.63,15.64,15.4,15.44,10703389
2013-01-09,15.49,15.59,15.36,15.41,9882574
2013-01-10,15.52,15.72,15.46,15.7,11495670
2013-01-11,15.69,15.69,15.35,15.47,10867290
2013-01-14,15.49,15.5,15.28,15.35,7942055
2013-01-15,15.25,15.48,15.19,15.41,7683272
2013-01-16,15.4,15.76,15.35,15.55,14767580
2013-01-17,15.98,16.39,15.89,16.29,25139735
2013-01-18,16.44,16.63,16.34,16.38,17729866
2013-01-22,16.3,16.52,16.26,16.5,8941721
2013-01-23,16.46,16.56,16.31,16.37,8203901
2013-01-24,16.43,16.5,16.27,16.39,7786113
2013-01-25,16.42,16.46,16.26,16.37,5722586
2013-01-28,16.34,16.41,16.08,16.18,8723371
2013-01-29,16.34,16.39,16.11,16.27,8274809
2013-01-30,16.28,16.39,16.17,16.33,11003464
2013-01-31,16.3,16.34,16.18,16.29,8396710
2013-02-01,16.36,16.63,16.35,16.49,12703711
2013-02-04,16.3,16.34,16.16,16.2,11778149
2013-02-05,16.34,16.58,16.28,16.51,9336589
2013-02-06,16.45,16.61,16.37,16.59,5938805
2013-02-07,16.64,16.77,16.36,16.47,10888018
2013-02-08,16.55,16.61,16.4,16.61,9814015
2013-02-11,16.44,16.52,16.38,16.5,12187679
2013-02-12,16.54,16.63,16.45,16.56,8284724
2013-02-13,16.53,16.55,16.05,16.11,16635670
2013-02-14,16.09,16.19,16.04,16.13,11091204
2013-02-15,16.12,16.16,16.0,16.04,9471938
2013-02-19,16.07,16.16,15.94,15.96,11020445
2013-02-20,15.95,16.03,15.79,15.83,12260560
2013-02-21,15.85,15.96,15.51,15.6,17671587
2013-02-22,15.77,15.84,15.7,15.8,6752270
2013-02-25,15.9,15.94,15.52,15.53,12965929
2013-02-26,15.6,15.64,15.43,15.56,10616342
2013-02-27,15.56,15.76,15.47,15.72,8481443
2013-02-28,15.68,15.92,15.67,15.84,8899092
2013-03-01,15.73,15.9,15.57,15.82,11481195
2013-03-04,15.83,16.04,15.71,16.02,8628918
2013-03-05,16.15,16.19,15.88,16.02,15273806
2013-03-06,16.06,16.12,15.88,16.03,11432535
2013-03-07,16.05,16.25,16.01,16.23,8864711
2013-03-08,16.35,16.37,16.18,16.34,8404137
2013-03-11,16.37,16.42,16.24,16.35,10537279
2013-03-12,16.38,16.46,16.23,16.25,6625693
2013-03-13,16.24,16.39,16.18,16.39,8843791
2013-03-14,16.44,16.55,16.3,16.37,8664402
2013-03-15,16.35,16.61,16.3,16.61,16194478
2013-03-18,16.37,16.54,16.27,16.48,7536328
2013-03-19,16.56,16.58,16.41,16.51,8465919
2013-03-20,16.61,16.62,16.48,16.52,7800319
2013-03-21,16.4,16.52,16.35,16.37,8305091
2013-03-22,16.37,16.44,16.23,16.29,7034315
2013-03-25,16.31,16.39,16.22,16.35,8041305
2013-03-26,16.36,16.45,16.29,16.41,6967536
2013-03-27,16.34,16.4,16.25,16.37,4895182
2013-03-28,16.31,16.37,16.2,16.31,5584391
2013-04-01,16.28,16.3,16.06,16.14,5702611
2013-04-02,16.14,16.22,16.08,16.16,6808365
2013-04-03,16.13,16.23,15.82,15.99,13451520
2013-04-04,15.99,16.04,15.85,15.95,8668767
2013-04-05,15.73,16.06,15.64,16.02,10322762
2013-04-08,15.99,16.26,15.89,16.22,10211696
2013-04-09,16.3,16.49,16.2,16.39,8064266
2013-04-10,16.57,16.68,16.46,16.63,9086870
2013-04-11,16.62,16.86,16.53,16.86,9786737
2013-04-12,16.69,16.74,16.35,16.49,16086317
2013-04-15,16.47,16.49,16.06,16.08,10054574
2013-04-16,16.16,16.27,16.06,16.15,9928457
2013-04-17,15.97,15.98,15.64,15.8,11214905
2013-04-18,16.25,16.25,15.62,15.92,16586071
2013-04-19,16.03,16.42,15.89,16.4,11483215
2013-04-22,16.31,16.34,16.11,16.24,6563599
2013-04-23,16.31,16.5,16.22,16.47,8093408
2013-04-24,16.48,16.72,16.44,16.72,6445732
2013-04-25,16.75,16.95,16.69,16.83,5791422
2013-04-26,16.81,16.84,16.65,16.76,3342639
2013-04-29,16.77,16.89,16.76,16.83,4412508
2013-04-30,16.84,17.04,16.68,17.03,9295467
2013-05-01,17.03,17.1,16.7,16.75,7514942
2013-05-02,16.77,16.97,16.71,16.86,4456928
2013-05-03,17.05,17.12,17.01,17.1,6915978
2013-05-06,17.08,17.31,17.02,17.3,4109253
2013-05-07,17.37,17.53,17.3,17.51,6898090
2013-05-08,17.5,17.67,17.45,17.62,7591822
2013-05-09,17.66,17.81,17.53,17.57,8011275
2013-05-10,17.6,17.73,17.58,17.71,5419203
2013-05-13,17.65,17.76,17.55,17.7,13724124
2013-05-14,17.73,17.97,17.73,17.91,7011030
2013-05-15,17.91,18.15,17.81,18.08,6229963
2013-05-16,18.01,18.2,17.97,18.02,5154579
2013-05-17,18.17,18.31,18.04,18.25,6115266
2013-05-20,18.23,18.41,18.19,18.39,6307290
2013-05-21,18.45,18.5,18.22,18.3,7774030
2013-05-22,18.37,18.49,17.99,18.0,13408788
2013-05-23,17.81,18.2,17.76,18.1,8186266
2013-05-24,18.06,18.25,18.01,18.25,5606171
2013-05-28,18.52,18.6,18.36,18.43,6803979
2013-05-29,18.28,18.55,18.26,18.47,11196352
2013-05-30,18.46,18.74,18.45,18.53,9266481
2013-05-31,18.47,18.55,18.2,18.2,9136655
2013-06-03,18.26,18.32,17.82,18.2,10743110
2013-06-04,18.17,18.31,17.88,17.92,9863831
2013-06-05,17.88,17.97,17.68,17.71,8452550
2013-06-06,17.66,18.07,17.64,18.07,9103835
2013-06-07,18.24,18.44,18.09,18.42,8353929
2013-06-10,18.42,18.7,18.42,18.6,8097054
2013-06-11,18.47,18.56,18.29,18.34,8121697
2013-06-12,18.47,18.49,18.23,18.32,9989239
2013-06-13,18.25,18.49,18.15,18.45,8225891
2013-06-14,18.47,18.49,18.2,18.31,8865468
2013-06-17,18.46,18.53,18.2,18.29,6971420
2013-06-18,18.33,18.49,18.26,18.4,6251026
2013-06-19,18.36,18.47,18.08,18.1,10728112
2013-06-20,17.9,17.96,17.66,17.78,18099361
2013-06-21,17.89,17.96,17.43,17.7,23647009
2013-06-24,17.59,17.68,17.33,17.46,14737795
2013-06-25,17.67,17.94,17.55,17.88,11151353
2013-06-26,17.98,18.04,17.79,17.92,6414636
2013-06-27,18.06,18.32,18.0,18.1,8335298
2013-06-28,18.09,18.23,17.82,18.05,11104812
2013-07-01,18.23,18.48,18.05,18.28,6009151
2013-07-02,18.29,18.58,18.23,18.48,8840378
2013-07-03,18.5,18.5,18.2,18.37,5585636
2013-07-05,18.45,18.68,18.37,18.67,11339301
2013-07-08,18.75,18.81,18.46,18.58,11825693
2013-07-09,18.76,18.81,18.55,18.8,10268360
2013-07-10,18.82,18.85,18.59,18.79,14880668
2013-07-11,19.03,19.08,18.67,18.81,10249611
2013-07-12,18.79,19.0,18.75,18.98,5734697
2013-07-15,19.02,19.07,18.91,18.99,6823773
2013-07-16,19.01,19.09,18.67,18.86,6900471
2013-07-17,18.86,19.01,18.8,18.99,8009120
2013-07-18,18.8,18.97,18.27,18.94,17975186
2013-07-19,19.02,19.08,18.79,19.02,10327660
2013-07-22,19.16,19.35,18.96,19.34,7305222
2013-07-23,19.39,19.52,19.15,19.42,8691445
2013-07-24,19.49,19.79,19.43,19.59,10151212
2013-07-25,19.26,19.44,19.22,19.37,7790771
2013-07-26,19.17,19.38,19.17,19.37,4209530
2013-07-29,19.31,19.41,19.14,19.21,6179780
2013-07-30,19.32,19.4,19.2,19.26,5155350
2013-07-31,19.33,19.64,19.2,19.24,8748409
2013-08-01,19.44,19.65,19.32,19.6,5835338
2013-08-02,19.63,19.73,19.49,19.69,5585826
2013-08-05,19.7,19.71,19.52,19.58,4125208
2013-08-06,19.5,19.57,19.28,19.36,5557651
2013-08-07,19.31,19.33,19.16,19.22,6155926
2013-08-08,19.35,19.41,19.11,19.22,7554601
2013-08-09,19.17,19.38,19.17,19.3,5324943
2013-08-12,19.22,19.43,19.17,19.27,3901014
2013-08-13,19.13,19.32,18.97,19.09,10036492
2013-08-14,19.06,19.25,19.05,19.14,6817461
2013-08-15,19.06,19.15,18.98,19.04,6104650
2013-08-16,19.08,19.29,19.03,19.16,5672739
2013-08-19,19.13,19.15,18.97,19.01,6294936
2013-08-20,19.05,19.2,18.9,19.06,7299032
2013-08-21,18.98,19.17,18.89,18.93,7921143
2013-08-22,18.97,19.24,18.94,19.18,6031281
2013-08-23,19.31,19.32,19.04,19.2,3804952
2013-08-26,19.24,19.28,18.99,18.99,5896880
2013-08-27,18.8,18.86,18.43,18.43,10529866
2013-08-28,18.33,18.48,18.15,18.35,8269212
2013-08-29,18.2,18.55,18.17,18.39,4669145
2013-08-30,18.45,18.45,18.22,18.29,6179689
2013-09-03,18.53,18.66,18.16,18.31,7389376
2013-09-04,18.37,18.5,18.23,18.36,7633151
2013-09-05,18.38,18.64,18.36,18.53,6300102
2013-09-06,18.63,18.66,18.33,18.47,5249508
2013-09-09,18.25,18.5,18.13,18.38,9006825
2013-09-10,18.57,18.58,18.39,18.5,8942991
2013-09-11,18.51,18.62,18.4,18.58,5667859
2013-09-12,18.6,18.64,18.49,18.49,5828523
2013-09-13,18.53,18.57,18.32,18.38,10692372
2013-09-16,18.65,18.68,18.45,18.49,8409477
2013-09-17,18.42,18.6,18.33,18.55,10152097
2013-09-18,18.47,18.81,18.38,18.62,13477328
2013-09-19,18.63,18.7,18.33,18.53,13397506
2013-09-20,18.43,18.56,18.37,18.39,10900364
2013-09-23,18.31,18.34,18.09,18.15,6913056
2013-09-24,18.08,18.22,17.96,18.04,8161435
2013-09-25,18.29,18.35,17.95,18.29,9896339
2013-09-26,18.24,18.3,17.99,18.08,4527154
2013-09-27,17.93,18.24,17.93,18.08,5053013
2013-09-30,17.95,18.12,17.8,18.05,6050561
2013-10-01,17.98,18.27,17.98,18.26,6151208
2013-10-02,18.12,18.17,18.0,18.05,10707433
2013-10-03,17.98,18.04,17.84,18.0,6392178
2013-10-04,18.0,18.21,17.93,18.19,6107985
2013-10-07,18.03,18.05,17.77,17.78,5149807
2013-10-08,17.81,17.84,17.49,17.5,9268563
2013-10-09,17.58,17.84,17.5,17.76,10170907
2013-10-10,17.96,18.25,17.92,18.14,10817627
2013-10-11,17.99,18.28,17.81,18.2,9319427
2013-10-14,18.08,18.35,18.07,18.31,5591986
2013-10-15,18.37,18.4,18.12,18.13,7453340
2013-10-16,18.25,18.52,18.16,18.4,7907259
2013-10-17,18.39,19.0,18.34,18.96,14253521
2013-10-18,19.01,19.33,18.91,19.28,9457811
2013-10-21,18.79,19.39,18.79,19.22,7387066
2013-10-22,19.24,19.38,19.17,19.34,6871221
2013-10-23,19.28,19.34,19.15,19.22,5900623
2013-10-24,19.29,19.32,18.99,19.12,9931655
2013-10-25,19.1,19.22,18.95,19.08,7152326
2013-10-28,19.12,19.2,18.96,19.18,7314373
2013-10-29,19.25,19.27,19.09,19.21,7468906
2013-10-30,19.26,19.3,19.16,19.24,7166392
2013-10-31,19.27,19.28,19.03,19.04,6206473
2013-11-01,19.08,19.11,18.87,18.98,4738870
2013-11-04,19.0,19.06,18.79,18.84,4766126
2013-11-05,18.77,19.23,18.75,19.14,7932540
2013-11-06,19.09,19.19,19.03,19.12,6978136
2013-11-07,19.19,19.3,19.08,19.08,8906054
2013-11-08,19.15,20.03,19.06,20.01,15342201
2013-11-11,20.04,20.06,19.62,19.77,7219222
2013-11-12,19.1,19.83,19.1,19.56,4931110
2013-11-13,19.52,19.92,19.44,19.91,10260461
2013-11-14,19.96,20.05,19.87,20.02,5579684
2013-11-15,20.13,20.16,19.91,19.94,6062329
