Date,Open,High,Low,Close,Volume
2013-01-02,32.67,33.0,31.12,31.6,5168752
2013-01-03,31.75,32.55,31.71,32.5,3140211
2013-01-04,32.45,33.31,32.19,33.13,3824875
2013-01-07,33.13,33.21,32.75,32.79,3111687
2013-01-08,32.81,33.2,32.71,33.16,2416684
2013-01-09,33.18,33.32,32.73,33.01,1658163
2013-01-10,33.1,33.51,33.05,33.49,3646074
2013-01-11,33.46,33.59,33.18,33.57,2080153
2013-01-14,33.5,33.68,33.16,33.26,1666742
2013-01-15,33.01,34.19,33.01,34.05,2312741
2013-01-16,33.84,34.1,33.39,33.82,2090578
2013-01-17,33.91,34.04,33.45,33.73,3543431
2013-01-18,33.81,33.81,33.21,33.54,1673571
2013-01-22,33.51,33.93,33.2,33.72,2014022
2013-01-23,33.7,33.72,33.15,33.45,2811435
2013-01-24,33.59,34.27,33.59,33.8,2123430
2013-01-25,34.05,34.33,33.91,34.33,2137582
2013-01-28,34.46,34.61,34.11,34.32,1183401
2013-01-29,34.18,34.51,34.07,34.5,1340310
2013-01-30,34.46,34.68,34.37,34.41,1260836
2013-01-31,34.42,34.84,34.31,34.35,1215710
2013-02-01,34.6,34.62,34.11,34.56,1360686
2013-02-04,34.32,34.46,33.67,33.9,1235679
2013-02-05,33.99,34.32,33.77,34.15,1093931
2013-02-06,34.22,34.72,34.16,34.6,1501912
2013-02-07,34.75,34.86,34.19,34.57,1485374
2013-02-08,34.69,34.96,34.63,34.85,956594
2013-02-11,34.79,34.88,34.57,34.84,1156923
2013-02-12,34.85,35.03,34.69,34.72,1197578
2013-02-13,34.72,34.89,33.15,33.44,3338838
2013-02-14,33.43,33.67,33.05,33.29,1891509
2013-02-15,33.27,33.87,33.19,33.51,2457908
2013-02-19,33.59,34.2,33.19,34.07,1938839
2013-02-20,34.04,34.54,34.0,34.35,2914783
2013-02-21,34.39,34.94,34.15,34.29,2885457
2013-02-22,34.3,34.59,33.72,33.96,1759711
2013-02-25,33.98,34.02,33.13,33.13,1707074
2013-02-26,33.14,33.59,32.84,33.04,1691407
2013-02-27,33.06,34.01,33.04,33.88,1402554
2013-02-28,34.11,34.39,33.95,34.19,1634071
2013-03-01,34.09,34.56,33.98,34.55,1651200
2013-03-04,34.36,35.0,34.36,34.49,1940008
2013-03-05,34.81,35.35,34.68,35.34,2353291
2013-03-06,35.42,35.64,34.94,35.17,3687642
2013-03-07,35.16,35.5,34.96,35.31,2188266
2013-03-08,33.5,33.66,31.79,32.79,9830253
2013-03-11,32.73,32.79,32.1,32.49,4765981
2013-03-12,32.4,33.15,32.36,32.76,3065484
2013-03-13,32.88,33.28,32.8,32.94,1862777
2013-03-14,33.12,33.34,32.89,33.0,2308642
2013-03-15,33.08,33.14,32.33,32.36,2989452
2013-03-18,32.16,32.36,32.07,32.15,2651511
2013-03-19,32.08,32.23,31.3,31.95,4623578
2013-03-20,32.17,34.25,32.07,32.21,5448439
2013-03-21,32.15,32.53,32.06,32.28,5061255
2013-03-22,32.79,33.91,32.73,33.31,4861322
2013-03-25,33.31,33.5,32.76,33.04,3441440
2013-03-26,33.13,33.94,33.06,33.79,3642597
2013-03-27,33.58,34.22,33.4,34.12,3143143
2013-03-28,34.15,34.77,33.99,34.24,2795189
2013-04-01,34.2,34.29,33.52,33.82,1551339
2013-04-02,34.04,34.12,33.61,33.75,3023263
2013-04-03,33.9,34.41,33.1,33.21,3516406
2013-04-04,33.24,33.46,32.95,33.15,4124105
2013-04-05,32.86,33.38,32.57,33.36,2453651
2013-04-08,33.38,33.54,33.15,33.25,1229475
2013-04-09,33.42,33.68,32.96,32.96,2306042
2013-04-10,33.02,33.86,33.02,33.76,1576902
