Date,Open,High,Low,Close,Volume
2013-01-02,26.12,26.71,26.09,26.61,25538753
2013-01-03,26.61,26.64,26.17,26.26,15622776
2013-01-04,26.34,26.6,26.22,26.5,12468521
2013-01-07,26.34,26.46,26.09,26.2,7273147
2013-01-08,26.05,26.26,25.98,26.13,11684456
2013-01-09,26.2,26.47,26.1,26.39,10267320
2013-01-10,26.9,27.01,26.67,26.97,19457477
2013-01-11,26.9,27.0,26.8,26.93,12274487
2013-01-14,26.72,26.94,26.71,26.8,9432528
2013-01-15,26.62,27.06,26.54,27.04,13345042
2013-01-16,26.89,27.13,26.89,26.99,8719134
2013-01-17,27.21,27.57,27.08,27.46,20833913
2013-01-18,27.42,27.48,27.12,27.26,13560175
2013-01-22,27.3,27.3,26.97,27.17,12944208
2013-01-23,27.14,27.41,27.06,27.41,15096694
2013-01-24,27.44,27.6,27.04,27.06,37654028
2013-01-25,27.19,27.3,26.98,27.21,13733513
2013-01-28,27.54,27.94,27.41,27.56,24959276
2013-01-29,27.46,27.83,27.32,27.78,14455791
2013-01-30,27.67,28.22,27.6,27.9,27177735
2013-01-31,27.95,28.08,27.63,27.74,14193294
2013-02-01,28.13,28.43,28.0,28.16,25499693
2013-02-04,27.92,28.1,27.82,27.94,17848473
2013-02-05,28.03,28.39,27.89,28.35,22437004
2013-02-06,28.24,28.31,28.07,28.22,35505314
2013-02-07,27.37,28.0,27.34,27.56,47506916
2013-02-08,27.75,28.46,27.69,28.46,21117831
2013-02-11,28.54,28.56,28.13,28.31,13004246
2013-02-12,28.25,28.42,28.2,28.34,10860632
2013-02-13,28.51,28.53,28.25,28.32,13046294
2013-02-14,28.23,28.68,28.22,28.49,16098706
2013-02-15,28.54,28.93,28.46,28.9,27813430
2013-02-19,28.86,29.18,28.83,29.17,19033079
2013-02-20,29.2,29.3,28.63,28.7,19154153
2013-02-21,28.61,28.61,28.16,28.25,13793140
2013-02-22,28.34,28.57,28.27,28.57,10296710
2013-02-25,28.67,28.84,27.98,28.0,16453560
2013-02-26,28.08,28.36,28.01,28.3,21404391
2013-02-27,28.28,28.91,28.26,28.81,17538288
2013-02-28,28.75,28.97,28.68,28.8,11825731
2013-03-01,28.66,29.16,28.48,29.14,13387441
2013-03-04,28.84,29.51,28.68,29.49,16102280
2013-03-05,29.65,30.26,29.61,30.19,21837387
2013-03-06,30.37,30.48,29.87,29.87,16250111
2013-03-07,29.85,30.07,29.77,29.95,15228341
2013-03-08,30.02,30.76,29.92,30.57,16998540
2013-03-11,30.43,30.69,30.39,30.69,7918151
2013-03-12,30.69,30.69,30.12,30.46,18194421
2013-03-13,30.55,30.55,30.14,30.46,12695520
2013-03-14,30.54,30.66,30.42,30.65,9885555
2013-03-15,30.51,30.7,30.26,30.36,16659157
2013-03-18,30.03,30.37,29.81,30.16,10460221
