Date,Open,High,Low,Close,Volume
2013-01-02,70.67,71.21,70.24,71.21,2021462
2013-01-03,71.12,71.75,70.59,71.49,1740863
2013-01-04,71.65,71.66,71.0,71.07,2406224
2013-01-07,70.78,72.01,70.76,71.86,1941632
2013-01-08,71.5,71.68,70.28,70.41,1735587
2013-01-09,70.53,70.96,70.21,70.68,1404380
2013-01-10,71.03,71.65,70.92,71.65,1176685
2013-01-11,71.93,71.93,70.74,70.74,1588226
2013-01-14,70.6,70.82,70.14,70.35,2036270
2013-01-15,70.18,70.76,69.91,70.58,1487991
2013-01-16,70.61,70.79,69.51,69.8,1966892
2013-01-17,70.09,71.2,69.61,71.02,2186906
2013-01-18,70.89,71.15,70.41,70.66,2283986
2013-01-22,70.47,70.77,70.41,70.71,1853386
2013-01-23,68.37,71.69,67.2,71.45,8097276
2013-01-24,71.36,71.45,70.03,70.64,4237608
2013-01-25,70.75,71.09,70.2,70.96,2513785
2013-01-28,70.67,70.85,69.93,70.01,2846078
2013-01-29,69.85,69.91,69.03,69.25,2953510
2013-01-30,69.33,69.35,68.24,68.43,3041324
2013-01-31,68.22,68.37,66.12,66.3,5448711
2013-02-01,66.46,66.84,64.95,65.88,7156062
2013-02-04,65.16,65.64,64.47,64.57,4565261
2013-02-05,65.02,66.02,64.9,65.14,4732787
2013-02-06,65.0,66.32,65.0,66.27,4061728
2013-02-07,66.29,67.12,65.98,66.77,3747168
2013-02-08,66.74,66.88,66.47,66.82,2099197
2013-02-11,66.82,67.09,66.3,66.66,1650608
2013-02-12,66.93,66.99,66.5,66.68,1950788
2013-02-13,66.71,66.9,65.72,66.11,2673791
2013-02-14,65.81,66.75,65.63,66.22,2642256
2013-02-15,66.18,66.49,65.9,66.4,2015360
2013-02-19,66.52,67.03,66.21,67.03,2391502
2013-02-20,67.04,67.11,66.58,66.61,2304129
2013-02-21,66.6,66.75,66.04,66.49,1910216
2013-02-22,66.71,67.77,66.71,67.32,2115004
2013-02-25,67.71,67.89,66.67,66.69,3383297
2013-02-26,67.01,67.19,66.5,66.91,2702747
2013-02-27,66.75,68.74,66.6,68.55,3237172
2013-02-28,68.45,69.04,67.96,67.97,2338538
2013-03-01,67.54,68.14,66.91,67.73,1726463
2013-03-04,67.42,67.64,66.47,67.04,1598112
2013-03-05,67.3,67.87,67.28,67.67,1433922
2013-03-06,67.88,68.0,67.4,67.68,1945441
2013-03-07,67.9,68.32,67.57,67.74,1930326
2013-03-08,68.05,68.96,68.05,68.89,2456588
2013-03-11,68.85,69.3,68.58,69.16,1493201
2013-03-12,69.11,69.34,68.38,68.77,1341990
2013-03-13,68.9,70.18,68.88,70.11,2444996
2013-03-14,70.13,70.38,69.6,69.65,1581215
2013-03-15,69.32,69.91,69.12,69.91,3353351
2013-03-18,69.2,70.1,69.13,69.69,1315542
2013-03-19,70.0,70.49,69.68,69.92,1847972
2013-03-20,70.21,70.48,69.68,69.74,1572400
2013-03-21,69.37,69.69,68.86,68.89,1544236
2013-03-22,69.14,69.44,69.0,69.29,1150488
2013-03-25,69.53,69.92,69.16,69.53,1949133
2013-03-26,69.78,70.36,69.73,70.3,2362206
2013-03-27,69.81,70.61,69.68,70.26,2560618
2013-03-28,70.29,70.8,70.18,70.51,2505914
2013-04-01,70.14,70.24,68.12,68.16,2788714
2013-04-02,68.54,68.66,66.65,67.0,3553260
2013-04-03,67.16,68.63,66.87,68.39,3045262
2013-04-04,68.49,68.72,67.19,67.69,2333559
2013-04-05,67.37,69.64,67.17,69.56,3411559
2013-04-08,69.46,69.56,68.63,69.08,1861408
2013-04-09,69.37,69.68,68.79,69.33,1503137
2013-04-10,68.85,69.71,68.74,69.46,1748098
2013-04-11,69.7,71.38,69.6,71.33,2784509
2013-04-12,70.78,70.91,69.99,70.6,3324689
2013-04-15,69.67,70.0,68.1,68.19,2225024
2013-04-16,68.55,68.84,67.97,68.39,1810353
2013-04-17,67.74,67.97,65.77,66.43,3791017
2013-04-18,66.5,66.66,65.37,65.99,3396288
2013-04-19,66.35,67.13,66.27,67.0,2862177
2013-04-22,67.16,67.16,66.05,66.37,1763168
2013-04-23,66.94,67.18,66.23,67.1,1719533
2013-04-24,68.52,72.18,68.5,71.73,5152869
2013-04-25,71.56,73.96,71.12,73.53,4412818
2013-04-26,73.36,73.9,73.01,73.3,2026590
2013-04-29,73.48,73.48,72.97,73.28,1996372
2013-04-30,73.3,74.09,72.68,73.96,2080968
2013-05-01,73.68,74.54,73.67,73.78,2346373
2013-05-02,73.84,74.47,73.69,74.46,1293407
2013-05-03,74.5,75.38,74.48,75.24,1803054
2013-05-06,75.07,75.5,74.9,75.25,1480838
2013-05-07,75.29,75.6,74.89,75.2,1595677
2013-05-08,75.1,75.63,74.74,75.42,1584345
2013-05-09,75.44,75.87,75.02,75.25,1202031
2013-05-10,75.25,75.77,75.15,75.7,1878261
2013-05-13,75.42,75.7,74.76,75.2,1733291
2013-05-14,75.32,77.0,75.32,76.64,2663969
2013-05-15,76.33,76.72,75.71,76.61,2192520
2013-05-16,76.55,77.05,76.04,76.14,2057087
2013-05-17,76.39,78.29,76.38,78.29,2722966
2013-05-20,78.15,78.67,77.89,78.6,2317001
2013-05-21,78.47,78.69,77.82,77.98,1875021
2013-05-22,78.12,78.6,77.14,77.42,1742283
2013-05-23,76.44,77.27,76.16,76.94,1368280
2013-05-24,76.65,77.7,76.37,77.34,1278504
2013-05-28,78.12,78.52,77.49,77.87,1068204
2013-05-29,77.46,78.09,77.09,77.53,1151249
2013-05-30,77.79,78.76,77.77,78.35,1167530
2013-05-31,78.0,78.38,77.1,77.1,1717122
2013-06-03,77.23,77.92,76.81,77.57,1612649
2013-06-04,77.41,77.81,76.35,77.21,1661332
2013-06-05,76.87,77.16,76.46,76.68,1310043
2013-06-06,76.69,77.88,76.38,77.85,1844933
2013-06-07,78.3,79.46,78.08,79.12,1914874
2013-06-10,79.02,79.25,78.36,78.58,1672374
2013-06-11,77.95,79.1,77.8,78.17,1448274
2013-06-12,78.66,79.0,77.91,78.3,1258487
2013-06-13,78.15,78.58,77.69,78.07,2498307
2013-06-14,78.11,79.0,77.9,78.0,1568582
2013-06-17,78.63,79.13,77.96,78.38,1322445
2013-06-18,78.58,79.48,78.53,78.85,1890620
2013-06-19,78.94,78.96,77.48,77.5,1736125
2013-06-20,76.98,77.63,76.13,76.23,2246839
2013-06-21,76.81,77.21,76.2,76.2,3265367
2013-06-24,76.04,77.1,75.63,76.48,2283477
2013-06-25,76.97,77.12,76.1,76.42,2068450
2013-06-26,77.2,77.97,76.69,77.89,2226693
2013-06-27,78.34,79.01,78.03,78.67,1848646
2013-06-28,78.44,78.93,78.27,78.33,2395519
2013-07-01,78.06,79.37,77.96,79.01,2260820
2013-07-02,78.21,78.73,77.6,78.07,2863877
2013-07-03,77.91,78.59,77.4,78.34,886931
2013-07-05,79.04,79.56,78.62,79.42,1171954
2013-07-08,79.91,80.15,79.38,79.72,2849421
2013-07-09,80.21,80.54,79.72,79.86,1943032
2013-07-10,79.99,80.96,79.92,80.6,2234723
2013-07-11,81.33,82.72,81.22,82.45,2794739
2013-07-12,82.28,83.06,82.23,82.6,2297846
2013-07-15,82.65,83.58,82.55,83.56,1564457
2013-07-16,83.63,83.88,82.95,83.01,3148921
2013-07-17,83.03,83.44,82.62,82.93,1020694
2013-07-18,83.25,84.15,83.09,83.72,1554757
2013-07-19,83.81,84.67,83.54,84.4,2956345
2013-07-22,84.16,84.81,83.93,84.23,1897498
2013-07-23,84.45,84.56,83.78,84.03,1470027
2013-07-24,85.02,86.6,84.94,85.31,2996558
2013-07-25,85.4,85.92,84.63,85.8,1607374
2013-07-26,85.32,85.86,85.05,85.86,1142891
2013-07-29,84.8,85.33,83.99,85.02,2025036
2013-07-30,85.17,86.01,85.0,85.65,1496370
2013-07-31,85.5,86.17,85.07,85.34,2853405
2013-08-01,85.8,86.98,85.76,86.81,1530232
2013-08-02,86.68,87.54,86.44,87.49,1767897
2013-08-05,87.04,87.82,86.55,87.69,1547904
2013-08-06,87.28,87.85,87.23,87.34,1658608
2013-08-07,87.3,87.54,86.79,87.02,2125287
2013-08-08,87.38,87.8,86.86,87.02,998488
2013-08-09,87.03,87.28,86.46,86.92,1337673
2013-08-12,86.63,86.71,85.74,85.77,1265359
2013-08-13,85.81,86.19,85.28,86.0,1266135
2013-08-14,86.03,86.04,85.16,85.29,1384445
2013-08-15,84.44,84.78,83.72,83.81,1171889
2013-08-16,83.48,84.3,83.41,83.75,1466347
2013-08-19,83.43,84.55,83.41,84.15,1299769
2013-08-20,84.14,84.78,84.06,84.11,885185
2013-08-21,84.0,84.27,83.54,83.71,1084601
2013-08-22,84.0,84.69,83.87,84.5,1022215
2013-08-23,84.47,84.71,84.19,84.61,957539
2013-08-26,84.67,85.2,84.24,84.24,1537194
2013-08-27,83.74,84.35,82.73,82.91,1281992
2013-08-28,82.87,83.36,82.23,82.85,1265642
2013-08-29,82.69,83.77,82.46,83.58,1011305
2013-08-30,83.64,83.71,83.01,83.25,1178736
2013-09-03,84.32,84.74,83.97,84.35,1239465
2013-09-04,84.13,85.09,84.02,84.99,2014201
2013-09-05,84.84,85.05,84.33,84.99,838542
2013-09-06,85.11,85.17,83.76,84.57,973833
2013-09-09,84.76,85.49,84.76,85.28,1102877
2013-09-10,85.6,86.76,85.52,86.74,1348732
2013-09-11,86.3,86.99,86.11,86.9,1071399
2013-09-12,87.02,87.12,86.39,86.63,931380
2013-09-13,86.86,87.28,86.31,87.13,922268
2013-09-16,87.57,88.33,87.43,88.07,1216830
2013-09-17,86.65,89.2,86.65,89.14,1315771
2013-09-18,89.0,89.78,88.09,89.39,1352418
2013-09-19,89.38,89.94,88.9,89.65,1279756
2013-09-20,89.62,89.71,88.1,88.15,1694092
2013-09-23,88.06,88.61,87.61,87.91,1293657
2013-09-24,87.85,88.33,87.77,87.93,1535991
2013-09-25,88.04,88.16,87.58,87.74,1288103
2013-09-26,87.68,88.46,87.57,88.25,823330
